
#################################################################
Log started at 2025-06-13_14-56-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 9935, Got: 3c75
Checksum failed. Expected: fdc6, Got: 6975
Checksum failed. Expected: 47ea, Got: 4375
Checksum failed. Expected: 332c, Got: 9975
Checksum failed. Expected: 9139, Got: 4875
Checksum failed. Expected: 694d, Got: 8475
Checksum failed. Expected: 1f4b, Got: cc75
Checksum failed. Expected: 4722, Got: 7b75
Checksum failed. Expected: a3a1, Got: 9e75
Checksum failed. Expected: b9d7, Got: be75
Checksum failed. Expected: c9dd, Got: b475
Checksum failed. Expected: 1b4d, Got: d275
Checksum failed. Expected: 33a8, Got: 1575
Checksum failed. Expected: 8f84, Got: 9575
Checksum failed. Expected: b3b4, Got: a175
Checksum failed. Expected: 21ca, Got: 4975
Checksum failed. Expected: 0dcc, Got: 5f75
Checksum failed. Expected: dd47, Got: 0a75
Checksum failed. Expected: 0fce, Got: 5f75
Checksum failed. Expected: b14c, Got: 3b75
Checksum failed. Expected: d97a, Got: 4175
Checksum failed. Expected: 2d25, Got: 9875
Checksum failed. Expected: 2155, Got: d475
Checksum failed. Expected: c554, Got: 2f75
Checksum failed. Expected: 0949, Got: e075
Checksum failed. Expected: 1741, Got: ca75
Checksum failed. Expected: e3bd, Got: 7a75
Checksum failed. Expected: 47cd, Got: 2675
Checksum failed. Expected: 4d4b, Got: 9e75
Checksum failed. Expected: 35ad, Got: 1875
Checksum failed. Expected: d592, Got: 5d75
Checksum failed. Expected: 7bdb, Got: 0075
Checksum failed. Expected: 832c, Got: 4975
Checksum failed. Expected: ed57, Got: 0a75
Checksum failed. Expected: 91ed, Got: fc75
Checksum failed. Expected: edf7, Got: aa75
Checksum failed. Expected: 436c, Got: c975
Checksum failed. Expected: 875a, Got: 7375
Checksum failed. Expected: 0953, Got: ea75
Checksum failed. Expected: 05dc, Got: 7775
Checksum failed. Expected: a7c7, Got: c075
Checksum failed. Expected: 7b10, Got: 3575
Checksum failed. Expected: 931c, Got: 2975
Checksum failed. Expected: bbdc, Got: c175
Checksum failed. Expected: f762, Got: 0b75
Checksum failed. Expected: d542, Got: 0d75
Checksum failed. Expected: ffb8, Got: 5975
Checksum failed. Expected: e59b, Got: 5675
Checksum failed. Expected: f35c, Got: 0975
Checksum failed. Expected: eb11, Got: c675
Checksum failed. Expected: 1155, Got: e475
Checksum failed. Expected: ddb5, Got: 7875
Checksum failed. Expected: 8167, Got: 8675
Checksum failed. Expected: 0f7a, Got: 0b75
Checksum failed. Expected: 75d3, Got: fe75
Checksum failed. Expected: dd9b, Got: 5e75
Checksum failed. Expected: cd21, Got: f475
Checksum failed. Expected: ed54, Got: 0775
Checksum failed. Expected: 378d, Got: f675
Checksum failed. Expected: ad8e, Got: 8175
Checksum failed. Expected: 03ec, Got: 8975
Checksum failed. Expected: 117b, Got: 0a75
Checksum failed. Expected: 1f80, Got: 0175
Checksum failed. Expected: 7941, Got: 6875
Checksum failed. Expected: 43c5, Got: 2275
Checksum failed. Expected: b7f5, Got: de75
Checksum failed. Expected: d96e, Got: 3575
Checksum failed. Expected: bb3b, Got: 2075
Checksum failed. Expected: c11e, Got: fd75
Checksum failed. Expected: e767, Got: 2075
Checksum failed. Expected: 89df, Got: f675
