
#################################################################
Log started at 2025-06-12_15-51-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2593, Got: 78d5
Checksum failed. Expected: 2dc5, Got: 3334
Checksum failed. Expected: 602d, Got: ed92
Checksum failed. Expected: 10b0, Got: a7f0
Checksum failed. Expected: 19f0, Got: 624e
Checksum failed. Expected: 2c9e, Got: 1cac
Checksum failed. Expected: a1df, Got: d70b
Checksum failed. Expected: d681, Got: 9169
Checksum failed. Expected: f711, Got: 4bc7
Checksum failed. Expected: b749, Got: 0625
Checksum failed. Expected: ebe8, Got: c084
Checksum failed. Expected: 3e36, Got: 7ae2
Checksum failed. Expected: 4226, Got: 3540
Checksum failed. Expected: 4625, Got: ef9e
Checksum failed. Expected: 08a4, Got: a9fc
Checksum failed. Expected: 8a82, Got: 645b
Checksum failed. Expected: bab3, Got: 1eb9
Checksum failed. Expected: 049a, Got: d917
Checksum failed. Expected: 4d50, Got: 9375
Checksum failed. Expected: eb95, Got: 4dd3
Checksum failed. Expected: a373, Got: 0832
Checksum failed. Expected: 4611, Got: c290
Checksum failed. Expected: f688, Got: 7cee
Checksum failed. Expected: d356, Got: 374c
Checksum failed. Expected: f823, Got: f1aa
Checksum failed. Expected: 6d60, Got: ac09
Checksum failed. Expected: 6473, Got: 6667
Checksum failed. Expected: f1f7, Got: 20c5
Checksum failed. Expected: f1d2, Got: db23
Checksum failed. Expected: accf, Got: 9581
Checksum failed. Expected: 22fb, Got: 4fe0
Checksum failed. Expected: 084a, Got: 0a3e
Checksum failed. Expected: bef9, Got: c49c
Checksum failed. Expected: 849a, Got: 7efa
Checksum failed. Expected: 8bca, Got: 3959
Checksum failed. Expected: 9942, Got: f3b7
Checksum failed. Expected: b169, Got: ae15
Checksum failed. Expected: 691d, Got: 6873
Checksum failed. Expected: fbe7, Got: 22d1
Checksum failed. Expected: 1517, Got: dd30
Checksum failed. Expected: a040, Got: 978e
Checksum failed. Expected: 6c36, Got: 51ec
Checksum failed. Expected: d9ee, Got: 0c4a
Checksum failed. Expected: cacd, Got: c6a8
Checksum failed. Expected: 3044, Got: 8107
Checksum failed. Expected: 0be5, Got: 3b65
Checksum failed. Expected: 9ebe, Got: f5c3
Checksum failed. Expected: 2f79, Got: b021
Checksum failed. Expected: 7615, Got: 6a7f
Checksum failed. Expected: ec4b, Got: 24de
Checksum failed. Expected: 8885, Got: df3c
Checksum failed. Expected: 5bde, Got: 999a
Checksum failed. Expected: 2d28, Got: 53f8
Checksum failed. Expected: 7912, Got: 0e56
Checksum failed. Expected: 0025, Got: c8b5
Checksum failed. Expected: a933, Got: 8313
Checksum failed. Expected: 7b5d, Got: 3d71
Checksum failed. Expected: 65ee, Got: f7cf
Checksum failed. Expected: e2a7, Got: b22e
Checksum failed. Expected: f44a, Got: 6c8c
Checksum failed. Expected: e1f7, Got: 26ea
Checksum failed. Expected: 3a83, Got: e148
Checksum failed. Expected: 56da, Got: 9ba6
Checksum failed. Expected: b6dc, Got: 5605
Checksum failed. Expected: 8079, Got: 1063
Checksum failed. Expected: dd6a, Got: cac1
Checksum failed. Expected: 9edb, Got: 851f
Checksum failed. Expected: 36d9, Got: 3f7d
Checksum failed. Expected: 25b0, Got: f9dc
Checksum failed. Expected: 17bc, Got: b43a
Checksum failed. Expected: 7be2, Got: 6e98
Checksum failed. Expected: cf32, Got: 28f6
Checksum failed. Expected: 0939, Got: e354
Checksum failed. Expected: 4dc0, Got: 9db3
Checksum failed. Expected: 40b9, Got: 5811
Checksum failed. Expected: d367, Got: 126f
Checksum failed. Expected: efca, Got: cccd
Checksum failed. Expected: 9f41, Got: 872b
Checksum failed. Expected: b40b, Got: 418a
Checksum failed. Expected: 973d, Got: fbe8
Checksum failed. Expected: 38ee, Got: b646
Checksum failed. Expected: f703, Got: 70a4
Checksum failed. Expected: 943a, Got: 2b03
Checksum failed. Expected: fc9e, Got: e561
Checksum failed. Expected: d661, Got: 9fbf
Checksum failed. Expected: a56b, Got: 5a1d
Checksum failed. Expected: c5e5, Got: 147b
Checksum failed. Expected: 9958, Got: ceda
Checksum failed. Expected: 27e0, Got: 8938
Checksum failed. Expected: 77e4, Got: 4396
Checksum failed. Expected: 43e7, Got: fdf4
Checksum failed. Expected: 3824, Got: b852
Checksum failed. Expected: a186, Got: 72b1
Checksum failed. Expected: 88e3, Got: 2d0f
Checksum failed. Expected: 9fec, Got: e76d
Checksum failed. Expected: 2e95, Got: a1cb
Checksum failed. Expected: 02e5, Got: 5c29
Checksum failed. Expected: 6a4f, Got: 1688
Checksum failed. Expected: 2653, Got: d0e6
Checksum failed. Expected: 9424, Got: 8b44
Checksum failed. Expected: 8a52, Got: 45a2
Checksum failed. Expected: 08e3, Got: 0000
Checksum failed. Expected: 3f67, Got: ba5f
Checksum failed. Expected: a8f5, Got: 74bd
Checksum failed. Expected: f1c1, Got: 2f1b
Checksum failed. Expected: 86a2, Got: e979
Checksum failed. Expected: d189, Got: a3d7
Checksum failed. Expected: 2819, Got: 5e36
Checksum failed. Expected: bab0, Got: 1894
Checksum failed. Expected: 8265, Got: d2f2
Checksum failed. Expected: 3404, Got: 8d50
Checksum failed. Expected: 0964, Got: 47af
Checksum failed. Expected: 553b, Got: 020d
Checksum failed. Expected: 2a92, Got: bc6b
Checksum failed. Expected: f69d, Got: 76c9
Checksum failed. Expected: 32a7, Got: 3127
Checksum failed. Expected: cfee, Got: eb86
Checksum failed. Expected: 07ce, Got: a5e4
Checksum failed. Expected: 3520, Got: 6042
Checksum failed. Expected: 5dfe, Got: 1aa0
Checksum failed. Expected: 9f5f, Got: d4fe
Checksum failed. Expected: d644, Got: 8f5d
Checksum failed. Expected: 7694, Got: 49bb
Checksum failed. Expected: 39df, Got: 0419
Checksum failed. Expected: 7c50, Got: be77
Checksum failed. Expected: 2139, Got: 78d5
Checksum failed. Expected: 9fdf, Got: 3334
Checksum failed. Expected: 5355, Got: ed92
Checksum failed. Expected: 15d4, Got: a7f0
Checksum failed. Expected: 29ae, Got: 624e
Checksum failed. Expected: b5fa, Got: 1cac
Checksum failed. Expected: 308f, Got: d70b
Checksum failed. Expected: d551, Got: 9169
Checksum failed. Expected: fa19, Got: 4bc7
Checksum failed. Expected: 834f, Got: 0625
Checksum failed. Expected: bb26, Got: c084
Checksum failed. Expected: e1fe, Got: 7ae2
Checksum failed. Expected: a028, Got: 3540
Checksum failed. Expected: ada5, Got: ef9e
Checksum failed. Expected: a1e0, Got: a9fc
Checksum failed. Expected: e55a, Got: 645b
Checksum failed. Expected: 2ff7, Got: 1eb9
Checksum failed. Expected: e3aa, Got: d917
Checksum failed. Expected: 6ac4, Got: 9375
Checksum failed. Expected: 477b, Got: 4dd3
Checksum failed. Expected: 9371, Got: 0832
Checksum failed. Expected: 5a07, Got: c290
Checksum failed. Expected: cc1a, Got: 7cee
Checksum failed. Expected: 3d00, Got: 374c
Checksum failed. Expected: 1beb, Got: f1aa
Checksum failed. Expected: 2224, Got: ac09
Checksum failed. Expected: 862d, Got: 6667
Checksum failed. Expected: e749, Got: 20c5
Checksum failed. Expected: 8d38, Got: db23
Checksum failed. Expected: 6085, Got: 9581
Checksum failed. Expected: 4d33, Got: 4fe0
Checksum failed. Expected: 6106, Got: 0a3e
Checksum failed. Expected: d2ef, Got: c49c
Checksum failed. Expected: 1dd6, Got: 7efa
Checksum failed. Expected: be72, Got: 3959
Checksum failed. Expected: 16f6, Got: f3b7
Checksum failed. Expected: eb73, Got: ae15
Checksum failed. Expected: 7387, Got: 6873
Checksum failed. Expected: 0119, Got: 22d1
Checksum failed. Expected: 70ef, Got: dd30
Checksum failed. Expected: 42fa, Got: 978e
Checksum failed. Expected: 7268, Got: 51ec
Checksum failed. Expected: b08e, Got: 0c4a
Checksum failed. Expected: 0c47, Got: c6a8
Checksum failed. Expected: d30c, Got: 8107
Checksum failed. Expected: 7049, Got: 3b65
Checksum failed. Expected: 0ca0, Got: f5c3
Checksum failed. Expected: f855, Got: b021
Checksum failed. Expected: f5e5, Got: 6a7f
Checksum failed. Expected: a32b, Got: 24de
Checksum failed. Expected: af85, Got: df3c
Checksum failed. Expected: 621e, Got: 999a
Checksum failed. Expected: 237a, Got: 53f8
Checksum failed. Expected: 7afe, Got: 0e56
Checksum failed. Expected: d5a9, Got: c8b5
Checksum failed. Expected: f647, Got: 8313
Checksum failed. Expected: 5c89, Got: 3d71
Checksum failed. Expected: 047e, Got: f7cf
Checksum failed. Expected: c3d3, Got: b22e
Checksum failed. Expected: e664, Got: 6c8c
Checksum failed. Expected: 74df, Got: 26ea
Checksum failed. Expected: 0689, Got: e148
Checksum failed. Expected: 5f97, Got: 851f
Checksum failed. Expected: d023, Got: 3f7d
Checksum failed. Expected: dfba, Got: f9dc
Checksum failed. Expected: 3dae, Got: b43a
Checksum failed. Expected: 3f78, Got: 6e98
Checksum failed. Expected: c8ae, Got: 28f6
Checksum failed. Expected: 0c41, Got: e354
Checksum failed. Expected: 5e8c, Got: 9db3
Checksum failed. Expected: 9105, Got: 5811
Checksum failed. Expected: a3a5, Got: 126f
Checksum failed. Expected: 50f6, Got: cccd
