
#################################################################
Log started at 2025-06-12_15-49-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2809, Got: 0000
Checksum failed. Expected: bd66, Got: 0000
Checksum failed. Expected: 1b2f, Got: 0000
Checksum failed. Expected: 5dee, Got: 0000
Checksum failed. Expected: dbb1, Got: 0000
Checksum failed. Expected: d1fc, Got: 0000
Checksum failed. Expected: 1a37, Got: 0000
Checksum failed. Expected: aca4, Got: 0000
Checksum failed. Expected: 1614, Got: 0000
Checksum failed. Expected: 433b, Got: 0000
Checksum failed. Expected: 86ff, Got: 0000
Checksum failed. Expected: 0fb2, Got: 0000
Checksum failed. Expected: f932, Got: 0000
Checksum failed. Expected: 56ad, Got: 0000
Checksum failed. Expected: 07e4, Got: 0000
Checksum failed. Expected: a96a, Got: 0000
Checksum failed. Expected: 9fc8, Got: 0000
Checksum failed. Expected: 93fd, Got: 0000
Checksum failed. Expected: 233c, Got: 0000
Checksum failed. Expected: 8ec5, Got: 0000
Checksum failed. Expected: 2aaa, Got: 0000
Checksum failed. Expected: 4383, Got: 0000
Checksum failed. Expected: 6620, Got: 0000
Checksum failed. Expected: e850, Got: 0000
Checksum failed. Expected: de93, Got: 0000
Checksum failed. Expected: 00e7, Got: 0000
Checksum failed. Expected: 6200, Got: 0000
Checksum failed. Expected: 35dc, Got: 0000
Checksum failed. Expected: 5da0, Got: 0000
Checksum failed. Expected: cc90, Got: 0000
Checksum failed. Expected: 1e66, Got: 0000
Checksum failed. Expected: 41dc, Got: 0000
Checksum failed. Expected: 4871, Got: 0000
Checksum failed. Expected: 5f27, Got: 0000
Checksum failed. Expected: e12d, Got: 0000
Checksum failed. Expected: af8e, Got: 0000
Checksum failed. Expected: c421, Got: 0000
Checksum failed. Expected: e5a8, Got: 0000
Checksum failed. Expected: 7907, Got: 0000
Checksum failed. Expected: d793, Got: 0000
Checksum failed. Expected: 90ca, Got: 0000
Checksum failed. Expected: acc8, Got: 0000
Checksum failed. Expected: e39c, Got: 0000
Checksum failed. Expected: 63ac, Got: 0000
Checksum failed. Expected: 437a, Got: 0000
