
#################################################################
Log started at 2025-06-12_16-20-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 89ce, Got: 8b44
Checksum failed. Expected: cecb, Got: f9db
Checksum failed. Expected: d89c, Got: 6873
Checksum failed. Expected: a4e6, Got: d70b
Checksum failed. Expected: 59ea, Got: 45a2
Checksum failed. Expected: 9251, Got: b43a
Checksum failed. Expected: 1bed, Got: 22d1
Checksum failed. Expected: 37be, Got: 9169
Checksum failed. Expected: fc8b, Got: 0000
Checksum failed. Expected: e016, Got: 6e98
Checksum failed. Expected: 1fd3, Got: dd2f
Checksum failed. Expected: 4c7a, Got: 4bc7
Checksum failed. Expected: b9a6, Got: ba5f
Checksum failed. Expected: 95cc, Got: 28f6
Checksum failed. Expected: 9a5b, Got: 978e
Checksum failed. Expected: 5c15, Got: 0625
Checksum failed. Expected: 8cea, Got: 74bd
Checksum failed. Expected: 71af, Got: e354
Checksum failed. Expected: 7b78, Got: 51ec
Checksum failed. Expected: 35ce, Got: c083
Checksum failed. Expected: a1f3, Got: 2f1b
Checksum failed. Expected: fe1f, Got: 9db3
Checksum failed. Expected: 387d, Got: 0c4a
Checksum failed. Expected: ef92, Got: 7ae2
Checksum failed. Expected: 4ad7, Got: e979
Checksum failed. Expected: 4e40, Got: 5811
Checksum failed. Expected: ce62, Got: c6a8
Checksum failed. Expected: add9, Got: 3540
Checksum failed. Expected: c113, Got: a3d7
Checksum failed. Expected: 9a36, Got: 126f
Checksum failed. Expected: 6ab8, Got: 8106
Checksum failed. Expected: 9dc0, Got: ef9e
Checksum failed. Expected: a78a, Got: 5e36
Checksum failed. Expected: 51ec, Got: cccd
Checksum failed. Expected: 92cb, Got: 3b65
Checksum failed. Expected: bd3b, Got: a9fc
Checksum failed. Expected: 1cb2, Got: 1894
Checksum failed. Expected: 56de, Got: 872b
Checksum failed. Expected: ee78, Got: f5c3
Checksum failed. Expected: 0816, Got: 645a
Checksum failed. Expected: c5a1, Got: d2f2
Checksum failed. Expected: d289, Got: 418a
Checksum failed. Expected: c711, Got: b021
Checksum failed. Expected: 7f52, Got: 1eb9
Checksum failed. Expected: 444e, Got: 8d50
Checksum failed. Expected: 7a80, Got: fbe8
Checksum failed. Expected: 8666, Got: 6a7f
Checksum failed. Expected: e7dd, Got: d917
Checksum failed. Expected: 2679, Got: 47ae
Checksum failed. Expected: d872, Got: b646
Checksum failed. Expected: 2e44, Got: 24de
Checksum failed. Expected: 6fdb, Got: 9375
Checksum failed. Expected: e03a, Got: 020d
Checksum failed. Expected: 7bd6, Got: 70a4
Checksum failed. Expected: 77f0, Got: df3c
Checksum failed. Expected: 1078, Got: 4dd3
Checksum failed. Expected: dcdd, Got: bc6b
Checksum failed. Expected: 3e63, Got: 2b02
Checksum failed. Expected: 57ea, Got: 999a
Checksum failed. Expected: 1370, Got: 0832
Checksum failed. Expected: 5d92, Got: 76c9
Checksum failed. Expected: 862e, Got: e561
Checksum failed. Expected: be5c, Got: 53f8
Checksum failed. Expected: 77c3, Got: c290
Checksum failed. Expected: 5c5b, Got: 3127
Checksum failed. Expected: 53fc, Got: 9fbf
Checksum failed. Expected: 37a6, Got: 0e56
Checksum failed. Expected: f75b, Got: 7cee
Checksum failed. Expected: ebf2, Got: eb85
Checksum failed. Expected: fe39, Got: 5a1d
Checksum failed. Expected: 1cf3, Got: c8b5
Checksum failed. Expected: 24a1, Got: 374c
Checksum failed. Expected: d24e, Got: a5e4
Checksum failed. Expected: 5f42, Got: 147b
Checksum failed. Expected: 3b73, Got: 8313
Checksum failed. Expected: 6f82, Got: f1aa
Checksum failed. Expected: c035, Got: 6042
Checksum failed. Expected: 5ac3, Got: ced9
Checksum failed. Expected: 9fc2, Got: 3d71
Checksum failed. Expected: 480c, Got: ac09
Checksum failed. Expected: e7dc, Got: 1aa0
Checksum failed. Expected: e3ed, Got: 8938
Checksum failed. Expected: b7b0, Got: f7cf
Checksum failed. Expected: 6bd9, Got: 6667
Checksum failed. Expected: a953, Got: d4fe
Checksum failed. Expected: db60, Got: 4396
Checksum failed. Expected: 5414, Got: b22d
Checksum failed. Expected: 4efd, Got: 20c5
Checksum failed. Expected: 7981, Got: 8f5d
Checksum failed. Expected: 67bc, Got: fdf4
Checksum failed. Expected: 51cd, Got: 6c8c
Checksum failed. Expected: 29bf, Got: db23
Checksum failed. Expected: 50fb, Got: 49bb
Checksum failed. Expected: 77b0, Got: e148
Checksum failed. Expected: caf1, Got: 4fe0
Checksum failed. Expected: 6f2d, Got: be77
Checksum failed. Expected: a552, Got: 2d0f
Checksum failed. Expected: 915c, Got: 9ba6
Checksum failed. Expected: badf, Got: 0a3e
Checksum failed. Expected: 5797, Got: 78d5
Checksum failed. Expected: 6283, Got: e76d
Checksum failed. Expected: bfb7, Got: 5604
Checksum failed. Expected: 9470, Got: c49c
Checksum failed. Expected: dc9e, Got: 3334
Checksum failed. Expected: 2c14, Got: a1cb
Checksum failed. Expected: 6583, Got: 1063
Checksum failed. Expected: 2d89, Got: 7efa
Checksum failed. Expected: e605, Got: ed92
Checksum failed. Expected: e83f, Got: 5c29
Checksum failed. Expected: 7746, Got: cac1
Checksum failed. Expected: 7bb0, Got: 3958
Checksum failed. Expected: 6e2f, Got: a7f0
Checksum failed. Expected: 1691, Got: 1688
Checksum failed. Expected: 2e03, Got: 851f
Checksum failed. Expected: cdf3, Got: f3b7
Checksum failed. Expected: 0643, Got: 624e
Checksum failed. Expected: d27e, Got: d0e6
Checksum failed. Expected: 3850, Got: 3f7d
Checksum failed. Expected: 0c11, Got: ae15
Checksum failed. Expected: c22f, Got: 1cac
Checksum failed. Expected: 36c4, Got: 8b44
Checksum failed. Expected: 5067, Got: f9db
Checksum failed. Expected: 62a8, Got: 6873
Checksum failed. Expected: 9486, Got: d70b
Checksum failed. Expected: ee90, Got: 45a2
Checksum failed. Expected: 8629, Got: b43a
Checksum failed. Expected: 4c1b, Got: 22d1
Checksum failed. Expected: f7be, Got: 9169
Checksum failed. Expected: ef4b, Got: 0000
Checksum failed. Expected: ef46, Got: 6e98
Checksum failed. Expected: 029b, Got: dd2f
Checksum failed. Expected: bcf8, Got: 4bc7
Checksum failed. Expected: 2a32, Got: ba5f
Checksum failed. Expected: e36e, Got: 28f6
Checksum failed. Expected: f9eb, Got: 978e
Checksum failed. Expected: 4b85, Got: 0625
Checksum failed. Expected: 82bc, Got: 74bd
Checksum failed. Expected: 5f11, Got: e354
Checksum failed. Expected: ba48, Got: 51ec
Checksum failed. Expected: 7af2, Got: c083
Checksum failed. Expected: 7705, Got: 2f1b
Checksum failed. Expected: 60d9, Got: 9db3
Checksum failed. Expected: 6cb3, Got: 0c4a
Checksum failed. Expected: e348, Got: 7ae2
Checksum failed. Expected: cb43, Got: e979
Checksum failed. Expected: 0f2c, Got: 5811
Checksum failed. Expected: cfce, Got: c6a8
Checksum failed. Expected: be25, Got: 3540
Checksum failed. Expected: 3c2b, Got: a3d7
Checksum failed. Expected: 1cb0, Got: 126f
Checksum failed. Expected: 3a76, Got: 8106
Checksum failed. Expected: 8c30, Got: ef9e
Checksum failed. Expected: 83f0, Got: 5e36
Checksum failed. Expected: 084c, Got: cccd
Checksum failed. Expected: 8ab9, Got: 3b65
Checksum failed. Expected: 8589, Got: a9fc
Checksum failed. Expected: 8f5a, Got: 1894
