IMU initialized succesfully
PPS initialized succesfully

#################################################################
Log started at 2025-06-13_14-35-15 
#################################################################
Acceleration: X=-0.175236, Y=-0.706139, Z=9.763760 m/s^2 Time of Week: 455734.343000, Week Number: 2370
Acceleration: X=-0.173927, Y=-0.706503, Z=9.758552 m/s^2 Time of Week: 455734.344000, Week Number: 2370
Acceleration: X=-0.172068, Y=-0.703919, Z=9.754009 m/s^2 Time of Week: 455734.345000, Week Number: 2370
Acceleration: X=-0.170515, Y=-0.703382, Z=9.750270 m/s^2 Time of Week: 455734.346000, Week Number: 2370
Acceleration: X=-0.170333, Y=-0.701116, Z=9.748268 m/s^2 Time of Week: 455734.347000, Week Number: 2370
Acceleration: X=-0.169185, Y=-0.698817, Z=9.749751 m/s^2 Time of Week: 455734.348000, Week Number: 2370
Acceleration: X=-0.166878, Y=-0.697208, Z=9.751030 m/s^2 Time of Week: 455734.349000, Week Number: 2370
Acceleration: X=-0.165559, Y=-0.696712, Z=9.751576 m/s^2 Time of Week: 455734.350000, Week Number: 2370
Acceleration: X=-0.164125, Y=-0.695904, Z=9.750560 m/s^2 Time of Week: 455734.351000, Week Number: 2370
Acceleration: X=-0.161023, Y=-0.692991, Z=9.749638 m/s^2 Time of Week: 455734.352000, Week Number: 2370
Acceleration: X=-0.157812, Y=-0.691347, Z=9.750224 m/s^2 Time of Week: 455734.353000, Week Number: 2370
Acceleration: X=-0.155217, Y=-0.690392, Z=9.751822 m/s^2 Time of Week: 455734.354000, Week Number: 2370
Acceleration: X=-0.151523, Y=-0.689107, Z=9.752611 m/s^2 Time of Week: 455734.355000, Week Number: 2370
Acceleration: X=-0.147282, Y=-0.687420, Z=9.752493 m/s^2 Time of Week: 455734.356000, Week Number: 2370
Acceleration: X=-0.144198, Y=-0.684838, Z=9.754400 m/s^2 Time of Week: 455734.357000, Week Number: 2370
Acceleration: X=-0.143138, Y=-0.683721, Z=9.756857 m/s^2 Time of Week: 455734.358000, Week Number: 2370
Acceleration: X=-0.142898, Y=-0.683158, Z=9.757301 m/s^2 Time of Week: 455734.359000, Week Number: 2370
Acceleration: X=-0.128370, Y=-0.679330, Z=9.764481 m/s^2 Time of Week: 455734.365000, Week Number: 2370
Acceleration: X=-0.127790, Y=-0.677538, Z=9.765955 m/s^2 Time of Week: 455734.366000, Week Number: 2370
Acceleration: X=-0.127209, Y=-0.675880, Z=9.767504 m/s^2 Time of Week: 455734.367000, Week Number: 2370
Acceleration: X=-0.127225, Y=-0.677921, Z=9.770257 m/s^2 Time of Week: 455734.368000, Week Number: 2370
Acceleration: X=-0.127523, Y=-0.679893, Z=9.773785 m/s^2 Time of Week: 455734.369000, Week Number: 2370
Acceleration: X=-0.127165, Y=-0.680393, Z=9.775908 m/s^2 Time of Week: 455734.370000, Week Number: 2370
Acceleration: X=-0.127606, Y=-0.680640, Z=9.778096 m/s^2 Time of Week: 455734.371000, Week Number: 2370
Acceleration: X=-0.127513, Y=-0.679539, Z=9.780894 m/s^2 Time of Week: 455734.372000, Week Number: 2370
Acceleration: X=-0.129005, Y=-0.677685, Z=9.783162 m/s^2 Time of Week: 455734.373000, Week Number: 2370
Acceleration: X=-0.131707, Y=-0.676829, Z=9.786035 m/s^2 Time of Week: 455734.374000, Week Number: 2370
Acceleration: X=-0.133770, Y=-0.677885, Z=9.788800 m/s^2 Time of Week: 455734.375000, Week Number: 2370
Acceleration: X=-0.135776, Y=-0.679127, Z=9.788329 m/s^2 Time of Week: 455734.376000, Week Number: 2370
Acceleration: X=-0.137302, Y=-0.680081, Z=9.785831 m/s^2 Time of Week: 455734.377000, Week Number: 2370
Acceleration: X=-0.139608, Y=-0.681802, Z=9.785795 m/s^2 Time of Week: 455734.378000, Week Number: 2370
Acceleration: X=-0.141506, Y=-0.684115, Z=9.788059 m/s^2 Time of Week: 455734.379000, Week Number: 2370
Acceleration: X=-0.144526, Y=-0.684720, Z=9.790915 m/s^2 Time of Week: 455734.380000, Week Number: 2370
Acceleration: X=-0.147108, Y=-0.683884, Z=9.791654 m/s^2 Time of Week: 455734.381000, Week Number: 2370
Acceleration: X=-0.148781, Y=-0.683531, Z=9.789932 m/s^2 Time of Week: 455734.382000, Week Number: 2370
Acceleration: X=-0.149918, Y=-0.683844, Z=9.788764 m/s^2 Time of Week: 455734.383000, Week Number: 2370
Acceleration: X=-0.150073, Y=-0.684806, Z=9.788730 m/s^2 Time of Week: 455734.384000, Week Number: 2370
Acceleration: X=-0.151759, Y=-0.686095, Z=9.788850 m/s^2 Time of Week: 455734.385000, Week Number: 2370
Acceleration: X=-0.154470, Y=-0.686494, Z=9.788081 m/s^2 Time of Week: 455734.386000, Week Number: 2370
Acceleration: X=-0.157242, Y=-0.687374, Z=9.785788 m/s^2 Time of Week: 455734.387000, Week Number: 2370
Acceleration: X=-0.159219, Y=-0.689640, Z=9.781753 m/s^2 Time of Week: 455734.388000, Week Number: 2370
Acceleration: X=-0.161581, Y=-0.689923, Z=9.778530 m/s^2 Time of Week: 455734.389000, Week Number: 2370
Acceleration: X=-0.165237, Y=-0.689266, Z=9.776355 m/s^2 Time of Week: 455734.390000, Week Number: 2370
Acceleration: X=-0.167585, Y=-0.688765, Z=9.774422 m/s^2 Time of Week: 455734.391000, Week Number: 2370
Acceleration: X=-0.170664, Y=-0.688810, Z=9.771666 m/s^2 Time of Week: 455734.392000, Week Number: 2370
Acceleration: X=-0.175022, Y=-0.689694, Z=9.770285 m/s^2 Time of Week: 455734.393000, Week Number: 2370
Acceleration: X=-0.178489, Y=-0.691246, Z=9.769518 m/s^2 Time of Week: 455734.394000, Week Number: 2370
Acceleration: X=-0.180135, Y=-0.692869, Z=9.767353 m/s^2 Time of Week: 455734.395000, Week Number: 2370
Acceleration: X=-0.181802, Y=-0.691940, Z=9.766697 m/s^2 Time of Week: 455734.396000, Week Number: 2370
Acceleration: X=-0.182911, Y=-0.689503, Z=9.767920 m/s^2 Time of Week: 455734.397000, Week Number: 2370
Acceleration: X=-0.184469, Y=-0.688792, Z=9.770147 m/s^2 Time of Week: 455734.398000, Week Number: 2370
Acceleration: X=-0.184799, Y=-0.688538, Z=9.771842 m/s^2 Time of Week: 455734.399000, Week Number: 2370
Acceleration: X=-0.184769, Y=-0.688929, Z=9.772133 m/s^2 Time of Week: 455734.400000, Week Number: 2370
Acceleration: X=-0.185178, Y=-0.688804, Z=9.772206 m/s^2 Time of Week: 455734.401000, Week Number: 2370
Acceleration: X=-0.185341, Y=-0.687272, Z=9.772828 m/s^2 Time of Week: 455734.402000, Week Number: 2370
Acceleration: X=-0.185744, Y=-0.684950, Z=9.774014 m/s^2 Time of Week: 455734.403000, Week Number: 2370
Acceleration: X=-0.186329, Y=-0.683895, Z=9.774066 m/s^2 Time of Week: 455734.404000, Week Number: 2370
Acceleration: X=-0.186778, Y=-0.682226, Z=9.774815 m/s^2 Time of Week: 455734.405000, Week Number: 2370
Acceleration: X=-0.186110, Y=-0.679091, Z=9.776668 m/s^2 Time of Week: 455734.406000, Week Number: 2370
Acceleration: X=-0.185606, Y=-0.677422, Z=9.777221 m/s^2 Time of Week: 455734.407000, Week Number: 2370
Acceleration: X=-0.186228, Y=-0.675438, Z=9.779069 m/s^2 Time of Week: 455734.408000, Week Number: 2370
Acceleration: X=-0.186138, Y=-0.674647, Z=9.781331 m/s^2 Time of Week: 455734.409000, Week Number: 2370
Acceleration: X=-0.184638, Y=-0.674473, Z=9.783629 m/s^2 Time of Week: 455734.410000, Week Number: 2370
Acceleration: X=-0.182203, Y=-0.674636, Z=9.784092 m/s^2 Time of Week: 455734.411000, Week Number: 2370
Acceleration: X=-0.179624, Y=-0.674195, Z=9.784165 m/s^2 Time of Week: 455734.412000, Week Number: 2370
Acceleration: X=-0.179093, Y=-0.673272, Z=9.785368 m/s^2 Time of Week: 455734.413000, Week Number: 2370
Acceleration: X=-0.176977, Y=-0.672428, Z=9.786713 m/s^2 Time of Week: 455734.414000, Week Number: 2370
Acceleration: X=-0.173357, Y=-0.670935, Z=9.788022 m/s^2 Time of Week: 455734.415000, Week Number: 2370
Acceleration: X=-0.170741, Y=-0.668782, Z=9.790868 m/s^2 Time of Week: 455734.416000, Week Number: 2370
Acceleration: X=-0.170032, Y=-0.665847, Z=9.793317 m/s^2 Time of Week: 455734.417000, Week Number: 2370
Acceleration: X=-0.169072, Y=-0.663042, Z=9.795317 m/s^2 Time of Week: 455734.418000, Week Number: 2370
Acceleration: X=-0.167202, Y=-0.662057, Z=9.796131 m/s^2 Time of Week: 455734.419000, Week Number: 2370
Acceleration: X=-0.165063, Y=-0.662314, Z=9.796616 m/s^2 Time of Week: 455734.420000, Week Number: 2370
Acceleration: X=-0.163145, Y=-0.662097, Z=9.798129 m/s^2 Time of Week: 455734.421000, Week Number: 2370
Acceleration: X=-0.161687, Y=-0.661794, Z=9.797698 m/s^2 Time of Week: 455734.422000, Week Number: 2370
Acceleration: X=-0.160287, Y=-0.660994, Z=9.795655 m/s^2 Time of Week: 455734.423000, Week Number: 2370
Acceleration: X=-0.159357, Y=-0.659096, Z=9.794675 m/s^2 Time of Week: 455734.424000, Week Number: 2370
Acceleration: X=-0.159073, Y=-0.656789, Z=9.794216 m/s^2 Time of Week: 455734.425000, Week Number: 2370
Acceleration: X=-0.157146, Y=-0.654896, Z=9.794438 m/s^2 Time of Week: 455734.426000, Week Number: 2370
Acceleration: X=-0.152975, Y=-0.655186, Z=9.795320 m/s^2 Time of Week: 455734.427000, Week Number: 2370
Acceleration: X=-0.150098, Y=-0.656259, Z=9.795843 m/s^2 Time of Week: 455734.428000, Week Number: 2370
Acceleration: X=-0.147757, Y=-0.657657, Z=9.794962 m/s^2 Time of Week: 455734.429000, Week Number: 2370
Acceleration: X=-0.146820, Y=-0.658427, Z=9.795013 m/s^2 Time of Week: 455734.430000, Week Number: 2370
Acceleration: X=-0.146824, Y=-0.659573, Z=9.796346 m/s^2 Time of Week: 455734.431000, Week Number: 2370
Acceleration: X=-0.145980, Y=-0.661311, Z=9.797361 m/s^2 Time of Week: 455734.432000, Week Number: 2370
Acceleration: X=-0.143764, Y=-0.662211, Z=9.797842 m/s^2 Time of Week: 455734.433000, Week Number: 2370
Acceleration: X=-0.144221, Y=-0.661886, Z=9.798490 m/s^2 Time of Week: 455734.434000, Week Number: 2370
Acceleration: X=-0.143856, Y=-0.661799, Z=9.797405 m/s^2 Time of Week: 455734.435000, Week Number: 2370
Acceleration: X=-0.143141, Y=-0.661590, Z=9.794003 m/s^2 Time of Week: 455734.436000, Week Number: 2370
Acceleration: X=-0.142465, Y=-0.662865, Z=9.788411 m/s^2 Time of Week: 455734.437000, Week Number: 2370
Acceleration: X=-0.143109, Y=-0.666843, Z=9.784735 m/s^2 Time of Week: 455734.438000, Week Number: 2370
Acceleration: X=-0.145457, Y=-0.669863, Z=9.782655 m/s^2 Time of Week: 455734.439000, Week Number: 2370
Acceleration: X=-0.148239, Y=-0.672587, Z=9.781652 m/s^2 Time of Week: 455734.440000, Week Number: 2370
Acceleration: X=-0.149065, Y=-0.672941, Z=9.779450 m/s^2 Time of Week: 455734.441000, Week Number: 2370
Acceleration: X=-0.148277, Y=-0.673788, Z=9.776482 m/s^2 Time of Week: 455734.442000, Week Number: 2370
Acceleration: X=-0.146955, Y=-0.674437, Z=9.774659 m/s^2 Time of Week: 455734.443000, Week Number: 2370
Acceleration: X=-0.146665, Y=-0.678380, Z=9.773149 m/s^2 Time of Week: 455734.444000, Week Number: 2370
Acceleration: X=-0.146881, Y=-0.683526, Z=9.771142 m/s^2 Time of Week: 455734.445000, Week Number: 2370
Acceleration: X=-0.146042, Y=-0.686288, Z=9.769466 m/s^2 Time of Week: 455734.446000, Week Number: 2370
Acceleration: X=-0.146127, Y=-0.689246, Z=9.769193 m/s^2 Time of Week: 455734.447000, Week Number: 2370
Acceleration: X=-0.146337, Y=-0.692362, Z=9.768274 m/s^2 Time of Week: 455734.448000, Week Number: 2370
Acceleration: X=-0.147221, Y=-0.695024, Z=9.766709 m/s^2 Time of Week: 455734.449000, Week Number: 2370
Acceleration: X=-0.147738, Y=-0.695622, Z=9.763513 m/s^2 Time of Week: 455734.450000, Week Number: 2370
Acceleration: X=-0.147700, Y=-0.697507, Z=9.761519 m/s^2 Time of Week: 455734.451000, Week Number: 2370
Acceleration: X=-0.150541, Y=-0.698923, Z=9.760143 m/s^2 Time of Week: 455734.452000, Week Number: 2370
Acceleration: X=-0.152702, Y=-0.699153, Z=9.758378 m/s^2 Time of Week: 455734.453000, Week Number: 2370
Acceleration: X=-0.153642, Y=-0.700059, Z=9.757319 m/s^2 Time of Week: 455734.454000, Week Number: 2370
Acceleration: X=-0.153648, Y=-0.703474, Z=9.756943 m/s^2 Time of Week: 455734.455000, Week Number: 2370
Acceleration: X=-0.154077, Y=-0.706353, Z=9.757662 m/s^2 Time of Week: 455734.456000, Week Number: 2370
Acceleration: X=-0.154547, Y=-0.709117, Z=9.756636 m/s^2 Time of Week: 455734.457000, Week Number: 2370
Acceleration: X=-0.155774, Y=-0.711216, Z=9.754274 m/s^2 Time of Week: 455734.458000, Week Number: 2370
Acceleration: X=-0.155417, Y=-0.712395, Z=9.752049 m/s^2 Time of Week: 455734.459000, Week Number: 2370
Acceleration: X=-0.155573, Y=-0.713147, Z=9.749927 m/s^2 Time of Week: 455734.460000, Week Number: 2370
Acceleration: X=-0.155978, Y=-0.712856, Z=9.748595 m/s^2 Time of Week: 455734.461000, Week Number: 2370
Acceleration: X=-0.155572, Y=-0.713342, Z=9.747871 m/s^2 Time of Week: 455734.462000, Week Number: 2370
Acceleration: X=-0.155111, Y=-0.712847, Z=9.746891 m/s^2 Time of Week: 455734.463000, Week Number: 2370
Acceleration: X=-0.155620, Y=-0.714192, Z=9.746728 m/s^2 Time of Week: 455734.464000, Week Number: 2370
Acceleration: X=-0.155711, Y=-0.713790, Z=9.746460 m/s^2 Time of Week: 455734.465000, Week Number: 2370
Acceleration: X=-0.155636, Y=-0.712200, Z=9.747822 m/s^2 Time of Week: 455734.466000, Week Number: 2370
Acceleration: X=-0.155587, Y=-0.710278, Z=9.749426 m/s^2 Time of Week: 455734.467000, Week Number: 2370
Acceleration: X=-0.156550, Y=-0.708518, Z=9.749643 m/s^2 Time of Week: 455734.468000, Week Number: 2370
Acceleration: X=-0.156572, Y=-0.707179, Z=9.749804 m/s^2 Time of Week: 455734.469000, Week Number: 2370
Acceleration: X=-0.157011, Y=-0.705304, Z=9.751213 m/s^2 Time of Week: 455734.470000, Week Number: 2370
Acceleration: X=-0.154763, Y=-0.702594, Z=9.753428 m/s^2 Time of Week: 455734.471000, Week Number: 2370
Acceleration: X=-0.152186, Y=-0.699664, Z=9.756403 m/s^2 Time of Week: 455734.472000, Week Number: 2370
Acceleration: X=-0.150372, Y=-0.697995, Z=9.759960 m/s^2 Time of Week: 455734.473000, Week Number: 2370
Acceleration: X=-0.150558, Y=-0.695435, Z=9.761945 m/s^2 Time of Week: 455734.474000, Week Number: 2370
Acceleration: X=-0.151124, Y=-0.692917, Z=9.762453 m/s^2 Time of Week: 455734.475000, Week Number: 2370
Acceleration: X=-0.152277, Y=-0.691572, Z=9.763273 m/s^2 Time of Week: 455734.476000, Week Number: 2370
Acceleration: X=-0.152307, Y=-0.689831, Z=9.764892 m/s^2 Time of Week: 455734.477000, Week Number: 2370
Acceleration: X=-0.152617, Y=-0.688937, Z=9.765698 m/s^2 Time of Week: 455734.478000, Week Number: 2370
Acceleration: X=-0.152132, Y=-0.687535, Z=9.766743 m/s^2 Time of Week: 455734.479000, Week Number: 2370
Acceleration: X=-0.151605, Y=-0.685045, Z=9.767968 m/s^2 Time of Week: 455734.480000, Week Number: 2370
Acceleration: X=-0.151916, Y=-0.682293, Z=9.769183 m/s^2 Time of Week: 455734.481000, Week Number: 2370
Acceleration: X=-0.153718, Y=-0.679609, Z=9.771825 m/s^2 Time of Week: 455734.482000, Week Number: 2370
Acceleration: X=-0.155235, Y=-0.678266, Z=9.777558 m/s^2 Time of Week: 455734.483000, Week Number: 2370
Acceleration: X=-0.156259, Y=-0.677243, Z=9.782773 m/s^2 Time of Week: 455734.484000, Week Number: 2370
Acceleration: X=-0.157885, Y=-0.675312, Z=9.786736 m/s^2 Time of Week: 455734.485000, Week Number: 2370
Acceleration: X=-0.159125, Y=-0.673706, Z=9.789742 m/s^2 Time of Week: 455734.486000, Week Number: 2370
Acceleration: X=-0.161066, Y=-0.672770, Z=9.791318 m/s^2 Time of Week: 455734.487000, Week Number: 2370
Acceleration: X=-0.162416, Y=-0.673495, Z=9.794238 m/s^2 Time of Week: 455734.488000, Week Number: 2370
Acceleration: X=-0.162435, Y=-0.671903, Z=9.796882 m/s^2 Time of Week: 455734.489000, Week Number: 2370
Acceleration: X=-0.163432, Y=-0.667080, Z=9.800459 m/s^2 Time of Week: 455734.490000, Week Number: 2370
Acceleration: X=-0.164486, Y=-0.664990, Z=9.803183 m/s^2 Time of Week: 455734.491000, Week Number: 2370
Acceleration: X=-0.165725, Y=-0.664704, Z=9.802683 m/s^2 Time of Week: 455734.492000, Week Number: 2370
Acceleration: X=-0.166804, Y=-0.663622, Z=9.802735 m/s^2 Time of Week: 455734.493000, Week Number: 2370
Acceleration: X=-0.167336, Y=-0.663659, Z=9.802495 m/s^2 Time of Week: 455734.494000, Week Number: 2370
Acceleration: X=-0.168743, Y=-0.662537, Z=9.802592 m/s^2 Time of Week: 455734.495000, Week Number: 2370
Acceleration: X=-0.168945, Y=-0.660527, Z=9.803807 m/s^2 Time of Week: 455734.496000, Week Number: 2370
Acceleration: X=-0.168386, Y=-0.660007, Z=9.805020 m/s^2 Time of Week: 455734.497000, Week Number: 2370
