
#################################################################
Log started at 2025-06-12_15-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c74a, Got: 6014
Checksum failed. Expected: 2424, Got: 614d
Checksum failed. Expected: 7e34, Got: e2ce
Checksum failed. Expected: d4bc, Got: 606a
Checksum failed. Expected: 539d, Got: dc56
Checksum failed. Expected: 0763, Got: 666f
Checksum failed. Expected: 7f89, Got: f46b
Checksum failed. Expected: 598d, Got: 6dd9
Checksum failed. Expected: a819, Got: e386
Checksum failed. Expected: ef04, Got: 5c0b
Checksum failed. Expected: 40cf, Got: e1f0
Checksum failed. Expected: 7607, Got: e792
Checksum failed. Expected: e74f, Got: 62bc
Checksum failed. Expected: a697, Got: 5d80
Checksum failed. Expected: bd5d, Got: dab8
Checksum failed. Expected: 8593, Got: 5d7a
Checksum failed. Expected: bdae, Got: e1a2
Checksum failed. Expected: c5c7, Got: 72c8
Checksum failed. Expected: f69e, Got: f25e
Checksum failed. Expected: 8098, Got: ebaf
Checksum failed. Expected: 845c, Got: 6c7d
Checksum failed. Expected: 81d2, Got: e938
Checksum failed. Expected: 33f1, Got: 6f91
Checksum failed. Expected: df4a, Got: e970
Checksum failed. Expected: 194f, Got: e0c0
Checksum failed. Expected: 0796, Got: e10c
Checksum failed. Expected: 6a74, Got: e1fc
Checksum failed. Expected: ae87, Got: 63c1
Checksum failed. Expected: 24a0, Got: 5be8
Checksum failed. Expected: 001f, Got: 5b5f
Checksum failed. Expected: e92e, Got: 61a9
Checksum failed. Expected: 3e4c, Got: dff0
Checksum failed. Expected: baef, Got: 585d
Checksum failed. Expected: f16f, Got: dd3f
Checksum failed. Expected: 5065, Got: 6d1b
Checksum failed. Expected: 5584, Got: ef1c
Checksum failed. Expected: 2716, Got: e983
Checksum failed. Expected: 5a0e, Got: e0a4
Checksum failed. Expected: aaab, Got: e08e
Checksum failed. Expected: d190, Got: e614
Checksum failed. Expected: 112e, Got: 621b
Checksum failed. Expected: 24af, Got: ef84
Checksum failed. Expected: 3283, Got: 7090
Checksum failed. Expected: 5558, Got: 6ebb
Checksum failed. Expected: 174b, Got: 611e
Checksum failed. Expected: b6ff, Got: e6b8
Checksum failed. Expected: e363, Got: 74f6
Checksum failed. Expected: 14a9, Got: 7939
Checksum failed. Expected: 975b, Got: f78a
Checksum failed. Expected: 2f4b, Got: e3fb
Checksum failed. Expected: 5874, Got: 60b9
Checksum failed. Expected: 20f9, Got: 62f4
Checksum failed. Expected: 082c, Got: e4cd
Checksum failed. Expected: 2175, Got: 6752
Checksum failed. Expected: 34bf, Got: e908
Checksum failed. Expected: 601f, Got: e93b
Checksum failed. Expected: 1712, Got: 6dcf
Checksum failed. Expected: 27b9, Got: 6f29
Checksum failed. Expected: 6bce, Got: efc2
Checksum failed. Expected: 4844, Got: 6046
Checksum failed. Expected: e915, Got: 5e18
Checksum failed. Expected: 66c1, Got: ea27
Checksum failed. Expected: 9c67, Got: f288
Checksum failed. Expected: eeea, Got: eec8
Checksum failed. Expected: 3b63, Got: e5a8
Checksum failed. Expected: 7571, Got: 68ee
Checksum failed. Expected: 162a, Got: e963
Checksum failed. Expected: 8111, Got: eedb
Checksum failed. Expected: bc5b, Got: f089
Checksum failed. Expected: b7f5, Got: 7469
Checksum failed. Expected: f78f, Got: 6acf
