
#################################################################
Log started at 2025-06-12_16-32-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f58b, Got: d0a0
Checksum failed. Expected: e8ef, Got: d4f4
Checksum failed. Expected: 852e, Got: 5547
Checksum failed. Expected: 9a77, Got: 48b2
Checksum failed. Expected: 803d, Got: 591f
Checksum failed. Expected: a61a, Got: 56a0
Checksum failed. Expected: f019, Got: cf7a
Checksum failed. Expected: 8bee, Got: 4e2e
Checksum failed. Expected: e81e, Got: 5308
Checksum failed. Expected: a0e4, Got: d438
Checksum failed. Expected: 8c2e, Got: 573e
Checksum failed. Expected: 7014, Got: 5e3d
Checksum failed. Expected: 5628, Got: 5995
Checksum failed. Expected: 3a66, Got: ce61
Checksum failed. Expected: 2393, Got: c732
Checksum failed. Expected: 951f, Got: 4ff7
Checksum failed. Expected: a96c, Got: 4a89
Checksum failed. Expected: bf70, Got: 4099
Checksum failed. Expected: 1ff2, Got: c647
Checksum failed. Expected: 91f7, Got: d2a0
Checksum failed. Expected: b31d, Got: c97a
Checksum failed. Expected: befb, Got: c466
Checksum failed. Expected: 35df, Got: 4510
Checksum failed. Expected: 70ee, Got: ce17
Checksum failed. Expected: 43a9, Got: 46e8
Checksum failed. Expected: 894f, Got: c79e
Checksum failed. Expected: bf3c, Got: cf54
Checksum failed. Expected: 1139, Got: c803
Checksum failed. Expected: 496e, Got: cac3
Checksum failed. Expected: 25e9, Got: 4f9c
Checksum failed. Expected: b563, Got: d1f2
Checksum failed. Expected: 284b, Got: 47aa
Checksum failed. Expected: 3fa6, Got: c92a
Checksum failed. Expected: 2d45, Got: c76b
Checksum failed. Expected: e3ab, Got: 3fd2
Checksum failed. Expected: efd9, Got: 40c6
Checksum failed. Expected: 4860, Got: 4937
Checksum failed. Expected: 4536, Got: 466b
Checksum failed. Expected: 642e, Got: c7c8
Checksum failed. Expected: d9da, Got: 474a
Checksum failed. Expected: fa48, Got: bfdf
Checksum failed. Expected: cddc, Got: bce4
Checksum failed. Expected: 4c3c, Got: 443d
Checksum failed. Expected: 49d4, Got: 3f58
Checksum failed. Expected: 1c78, Got: 406b
Checksum failed. Expected: 87aa, Got: 40ad
Checksum failed. Expected: affc, Got: c091
Checksum failed. Expected: 59b6, Got: c21c
Checksum failed. Expected: 360e, Got: 4664
Checksum failed. Expected: 3a7f, Got: c4b5
Checksum failed. Expected: 67b1, Got: c046
Checksum failed. Expected: 7d72, Got: be92
Checksum failed. Expected: e66c, Got: 3f68
Checksum failed. Expected: 1405, Got: 452a
Checksum failed. Expected: a860, Got: 40d6
Checksum failed. Expected: 467e, Got: c3ad
Checksum failed. Expected: 7443, Got: 3dd7
Checksum failed. Expected: 1681, Got: c54f
Checksum failed. Expected: 1e2d, Got: 50e0
Checksum failed. Expected: 30f8, Got: c320
Checksum failed. Expected: 44b7, Got: 4565
Checksum failed. Expected: 6672, Got: 5053
Checksum failed. Expected: a358, Got: d916
Checksum failed. Expected: 0f67, Got: 5090
Checksum failed. Expected: 5b4f, Got: 4b9a
Checksum failed. Expected: c5ee, Got: c744
Checksum failed. Expected: 4f12, Got: ce02
Checksum failed. Expected: 2ad2, Got: cf45
Checksum failed. Expected: 0341, Got: 4776
Checksum failed. Expected: 603e, Got: 4fb6
Checksum failed. Expected: 2b6f, Got: d028
Checksum failed. Expected: fbb7, Got: 504a
Checksum failed. Expected: f468, Got: c92a
Checksum failed. Expected: c767, Got: 42d4
Checksum failed. Expected: 4797, Got: 3d8a
Checksum failed. Expected: ba58, Got: 43be
Checksum failed. Expected: 1882, Got: 46c4
Checksum failed. Expected: 6761, Got: 4443
Checksum failed. Expected: c142, Got: bb36
Checksum failed. Expected: a930, Got: 3e79
Checksum failed. Expected: fc4c, Got: bf30
Checksum failed. Expected: 42ed, Got: c62c
Checksum failed. Expected: 00ff, Got: cfb5
Checksum failed. Expected: 652b, Got: d07f
Checksum failed. Expected: 6cb5, Got: cfb7
Checksum failed. Expected: 4dc6, Got: d7f9
Checksum failed. Expected: 7846, Got: d0e2
Checksum failed. Expected: 223c, Got: cf77
Checksum failed. Expected: f912, Got: 5386
Checksum failed. Expected: e232, Got: c83c
Checksum failed. Expected: 10b0, Got: 48da
Checksum failed. Expected: 32e5, Got: cf12
Checksum failed. Expected: 28cf, Got: 4e6f
Checksum failed. Expected: 26d8, Got: 54c4
Checksum failed. Expected: eada, Got: 515c
Checksum failed. Expected: 986d, Got: cebf
Checksum failed. Expected: b2f4, Got: 5272
Checksum failed. Expected: 5954, Got: cd69
Checksum failed. Expected: ea4e, Got: 484f
Checksum failed. Expected: c292, Got: 56e1
Checksum failed. Expected: 3dc7, Got: e551
Checksum failed. Expected: 49d9, Got: d69d
Checksum failed. Expected: 944c, Got: d15b
Checksum failed. Expected: 0f3d, Got: cb63
Checksum failed. Expected: 9bbc, Got: 52d9
Checksum failed. Expected: e1a3, Got: 5a28
Checksum failed. Expected: 727f, Got: d523
Checksum failed. Expected: 6434, Got: da35
Checksum failed. Expected: ab2f, Got: dd76
Checksum failed. Expected: 3e9e, Got: 5be0
Checksum failed. Expected: 2672, Got: 4b10
Checksum failed. Expected: 407e, Got: cb58
Checksum failed. Expected: 1a57, Got: ce50
Checksum failed. Expected: 6a7c, Got: 511b
Checksum failed. Expected: f5a2, Got: 48af
Checksum failed. Expected: 8087, Got: 4df9
Checksum failed. Expected: 8345, Got: cab7
Checksum failed. Expected: fe59, Got: c4c2
Checksum failed. Expected: 6ed3, Got: c54f
