
#################################################################
Log started at 2025-06-13_14-54-28 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: fe31, Got: bd8c
Checksum failed. Expected: 26b9, Got: bd8b
Checksum failed. Expected: 4010, Got: bd8a
Checksum failed. Expected: 8e24, Got: bd8a
Checksum failed. Expected: 38fc, Got: bd8a
Checksum failed. Expected: 6882, Got: bd8a
Checksum failed. Expected: a228, Got: bd89
Checksum failed. Expected: 3431, Got: bd89
Checksum failed. Expected: 7793, Got: bd89
Checksum failed. Expected: e710, Got: bd89
Checksum failed. Expected: 6a30, Got: bd8a
Checksum failed. Expected: 5b59, Got: bd89
Checksum failed. Expected: c821, Got: bd88
Checksum failed. Expected: 2d7a, Got: bd89
Checksum failed. Expected: f1ff, Got: bd89
Checksum failed. Expected: ae51, Got: bd8a
Checksum failed. Expected: 25fd, Got: bd89
Checksum failed. Expected: ecaf, Got: bd87
Checksum failed. Expected: c6db, Got: bd88
Checksum failed. Expected: 29f4, Got: bd8a
Checksum failed. Expected: 90fe, Got: bd8a
Checksum failed. Expected: 3400, Got: bd8b
Checksum failed. Expected: 7deb, Got: bd8b
Checksum failed. Expected: 9915, Got: bd8d
Checksum failed. Expected: 2059, Got: bd8e
Checksum failed. Expected: 1ee4, Got: bd8e
Checksum failed. Expected: 29ca, Got: bd8e
Checksum failed. Expected: c6bd, Got: bd90
Checksum failed. Expected: 4f5a, Got: bd91
Checksum failed. Expected: 3e31, Got: bd91
Checksum failed. Expected: 4087, Got: bd93
Checksum failed. Expected: bef1, Got: bd95
Checksum failed. Expected: f726, Got: bd95
Checksum failed. Expected: 6723, Got: bd93
Checksum failed. Expected: 895d, Got: bd92
Checksum failed. Expected: 89b2, Got: bd92
Checksum failed. Expected: abb5, Got: bd93
Checksum failed. Expected: c4da, Got: bd93
Checksum failed. Expected: bb4d, Got: bd94
Checksum failed. Expected: 7b9e, Got: bd95
Checksum failed. Expected: 8f2d, Got: bd96
Checksum failed. Expected: 7747, Got: bd96
Checksum failed. Expected: 5996, Got: bd95
Checksum failed. Expected: c25d, Got: bd95
Checksum failed. Expected: b521, Got: bd96
Checksum failed. Expected: d398, Got: bd96
Checksum failed. Expected: 6e06, Got: bd96
Checksum failed. Expected: 3d41, Got: bd96
Checksum failed. Expected: 54ea, Got: bd97
Checksum failed. Expected: c95c, Got: bd95
Checksum failed. Expected: afe0, Got: bd93
Checksum failed. Expected: 95a8, Got: bd93
Checksum failed. Expected: 56ac, Got: bd94
Checksum failed. Expected: 0957, Got: bd95
Checksum failed. Expected: 8624, Got: bd95
Checksum failed. Expected: 5b8a, Got: bd95
Checksum failed. Expected: 811a, Got: bd94
Checksum failed. Expected: 0b11, Got: bd93
Checksum failed. Expected: d9f0, Got: bd93
Checksum failed. Expected: ccb6, Got: bd93
Checksum failed. Expected: 9582, Got: bd93
Checksum failed. Expected: eecd, Got: bd92
Checksum failed. Expected: d712, Got: bd93
