
#################################################################
Log started at 2025-06-12_16-18-56 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 8084, Got: 0000
Checksum failed. Expected: 39bd, Got: 0000
Checksum failed. Expected: 957a, Got: 0000
Checksum failed. Expected: 77b6, Got: 0000
Checksum failed. Expected: 66d1, Got: 0000
Checksum failed. Expected: 6838, Got: 0000
Checksum failed. Expected: b5e1, Got: 0000
Checksum failed. Expected: c42c, Got: 0000
Checksum failed. Expected: c25b, Got: 0000
Checksum failed. Expected: fa88, Got: 0000
Checksum failed. Expected: 9289, Got: 0000
Checksum failed. Expected: c896, Got: 0000
Checksum failed. Expected: 8dbf, Got: 0000
Checksum failed. Expected: 4d66, Got: 0000
Checksum failed. Expected: ab35, Got: 0000
Checksum failed. Expected: fe52, Got: 0000
Checksum failed. Expected: 5c37, Got: 0000
Checksum failed. Expected: 7f01, Got: 0000
Checksum failed. Expected: 725a, Got: 0000
Checksum failed. Expected: cbc6, Got: 0000
Checksum failed. Expected: adfd, Got: 0000
Checksum failed. Expected: 572e, Got: 0000
Checksum failed. Expected: 3dad, Got: 0000
Checksum failed. Expected: 75cc, Got: 0000
Checksum failed. Expected: b04c, Got: 0000
Checksum failed. Expected: 2e73, Got: 0000
Checksum failed. Expected: 05d6, Got: 0000
Checksum failed. Expected: c483, Got: 0000
Checksum failed. Expected: 9659, Got: 0000
Checksum failed. Expected: f324, Got: 0000
Checksum failed. Expected: 4649, Got: 0000
Checksum failed. Expected: 1b91, Got: 0000
Checksum failed. Expected: 7984, Got: 0000
Checksum failed. Expected: a07b, Got: 0000
Checksum failed. Expected: b0f2, Got: 0000
Checksum failed. Expected: 379b, Got: 0000
Checksum failed. Expected: a496, Got: 0000
Checksum failed. Expected: 1b24, Got: 0000
Checksum failed. Expected: 12dc, Got: 0000
Checksum failed. Expected: 6c7b, Got: 0000
Checksum failed. Expected: 4e96, Got: 0000
Checksum failed. Expected: 2088, Got: 0000
Checksum failed. Expected: 06dd, Got: 0000
Checksum failed. Expected: f5fc, Got: 0000
Checksum failed. Expected: edab, Got: 0000
Checksum failed. Expected: 6e00, Got: 0000
Checksum failed. Expected: cab1, Got: 0000
Checksum failed. Expected: ad0b, Got: 0000
Checksum failed. Expected: 561f, Got: 0000
Checksum failed. Expected: a2c2, Got: 0000
Checksum failed. Expected: e167, Got: 0000
Checksum failed. Expected: d80a, Got: 0000
Checksum failed. Expected: a907, Got: 0000
Checksum failed. Expected: 9f98, Got: 0000
Checksum failed. Expected: 1cba, Got: 0000
Checksum failed. Expected: a259, Got: 0000
Checksum failed. Expected: 4c74, Got: 0000
Checksum failed. Expected: 32e4, Got: 0000
Checksum failed. Expected: 4461, Got: 0000
