
#################################################################
Log started at 2025-06-16_09-24-54.581928 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 740e, Got: 0000
Checksum failed. Expected: 18da, Got: 0000
Checksum failed. Expected: 38b0, Got: 0000
Checksum failed. Expected: 19ff, Got: 0000
Checksum failed. Expected: 7619, Got: 0000
Checksum failed. Expected: 1d67, Got: 0000
Checksum failed. Expected: f2e3, Got: 0000
Checksum failed. Expected: 22b3, Got: 0000
Checksum failed. Expected: e714, Got: 0000
Checksum failed. Expected: e14d, Got: 0000
Checksum failed. Expected: 390d, Got: 0000
Checksum failed. Expected: d68a, Got: 0000
Checksum failed. Expected: 7969, Got: 0000
Checksum failed. Expected: 5e13, Got: 0000
Checksum failed. Expected: b8eb, Got: 0000
Checksum failed. Expected: 31f4, Got: 0000
Checksum failed. Expected: 19e9, Got: 0000
Checksum failed. Expected: fe85, Got: 0000
Checksum failed. Expected: 3703, Got: 0000
Checksum failed. Expected: 8eb1, Got: 0000
Checksum failed. Expected: 9b2b, Got: 0000
Checksum failed. Expected: 0da4, Got: 0000
Checksum failed. Expected: b6df, Got: 0000
Checksum failed. Expected: 7a30, Got: 0000
Checksum failed. Expected: 06ad, Got: 0000
Checksum failed. Expected: 761d, Got: 0000
Checksum failed. Expected: 2a55, Got: 0000
Checksum failed. Expected: af3f, Got: 0000
Checksum failed. Expected: 5abb, Got: 0000
Checksum failed. Expected: 9211, Got: 0000
Checksum failed. Expected: 04b2, Got: 0000
Checksum failed. Expected: f316, Got: 0000
Checksum failed. Expected: 397f, Got: 0000
Checksum failed. Expected: 61d1, Got: 0000
Checksum failed. Expected: 807b, Got: 0000
Checksum failed. Expected: 45d9, Got: 0000
Checksum failed. Expected: 85d3, Got: 0000
Checksum failed. Expected: b6e2, Got: 0000
Checksum failed. Expected: 9dc5, Got: 0000
Checksum failed. Expected: f689, Got: 0000
Checksum failed. Expected: 8d94, Got: 0000
Checksum failed. Expected: 3929, Got: 0000
Checksum failed. Expected: d6ac, Got: 0000
Checksum failed. Expected: 753d, Got: 0000
Checksum failed. Expected: 2631, Got: 0000
Checksum failed. Expected: b4b6, Got: 0000
Checksum failed. Expected: 4c0b, Got: 0000
Checksum failed. Expected: b5fd, Got: 0000
Checksum failed. Expected: 29b5, Got: 0000
Checksum failed. Expected: c2ed, Got: 0000
Checksum failed. Expected: c020, Got: 0000
Checksum failed. Expected: e97f, Got: 0000
Checksum failed. Expected: e6e6, Got: 0000
Checksum failed. Expected: 14c7, Got: 0000
Checksum failed. Expected: 9457, Got: 0000
Checksum failed. Expected: ac89, Got: 0000
Checksum failed. Expected: 5a35, Got: 0000
Checksum failed. Expected: 30bb, Got: 0000
Checksum failed. Expected: fdb5, Got: 0000
Checksum failed. Expected: dbee, Got: 0000
Checksum failed. Expected: 4c68, Got: 0000
Checksum failed. Expected: 3a8d, Got: 0000
Checksum failed. Expected: 9bef, Got: 0000
Checksum failed. Expected: 3323, Got: 0000
Checksum failed. Expected: be63, Got: 0000
Checksum failed. Expected: fa2b, Got: 0000
Checksum failed. Expected: 2a0d, Got: 0000
Checksum failed. Expected: a0e2, Got: 0000
Checksum failed. Expected: 6897, Got: 0000
Checksum failed. Expected: 1bae, Got: 0000
Checksum failed. Expected: ecd1, Got: 0000
Checksum failed. Expected: 00a5, Got: 0000
Checksum failed. Expected: a5bb, Got: 0000
Checksum failed. Expected: 7c69, Got: 0000
Checksum failed. Expected: fbf4, Got: 0000
Checksum failed. Expected: 7863, Got: 0000
Checksum failed. Expected: 557d, Got: 0000
Checksum failed. Expected: ca2d, Got: 0000
Checksum failed. Expected: ef2d, Got: 0000
Checksum failed. Expected: 3f4e, Got: 0000
Checksum failed. Expected: e9bf, Got: 0000
Checksum failed. Expected: b05a, Got: 0000
Checksum failed. Expected: c8a1, Got: 0000
Checksum failed. Expected: ca41, Got: 0000
Checksum failed. Expected: 3a9a, Got: 0000
Checksum failed. Expected: 28b9, Got: 0000
Checksum failed. Expected: 5019, Got: 0000
Checksum failed. Expected: 099d, Got: 0000
Checksum failed. Expected: 21ba, Got: 0000
