
#################################################################
Log started at 2025-06-12_16-18-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f297, Got: 40a3
Checksum failed. Expected: a73f, Got: 40a3
Checksum failed. Expected: 8427, Got: 40a3
Checksum failed. Expected: 6637, Got: 40a3
Checksum failed. Expected: 2217, Got: 40a3
Checksum failed. Expected: 118f, Got: 40a3
Checksum failed. Expected: b18f, Got: 40a3
Checksum failed. Expected: dbdf, Got: 40a3
Checksum failed. Expected: 74a7, Got: 40a3
Checksum failed. Expected: dfff, Got: 40a3
Checksum failed. Expected: 8427, Got: 40a3
Checksum failed. Expected: 652f, Got: 40a3
Checksum failed. Expected: 052f, Got: 40a3
Checksum failed. Expected: e10f, Got: 40a3
Checksum failed. Expected: 4a57, Got: 40a3
Checksum failed. Expected: 1bdf, Got: 40a3
Checksum failed. Expected: 1def, Got: 40a3
Checksum failed. Expected: c847, Got: 40a3
Checksum failed. Expected: 452f, Got: 40a3
Checksum failed. Expected: 2a57, Got: 40a3
Checksum failed. Expected: 273f, Got: 40a3
Checksum failed. Expected: 1def, Got: 40a3
Checksum failed. Expected: 610f, Got: 40a3
Checksum failed. Expected: 694f, Got: 40a3
Checksum failed. Expected: a52f, Got: 40a3
Checksum failed. Expected: 5def, Got: 40a3
Checksum failed. Expected: 5def, Got: 40a3
Checksum failed. Expected: 810f, Got: 40a3
Checksum failed. Expected: 7bdf, Got: 40a3
Checksum failed. Expected: e427, Got: 40a3
Checksum failed. Expected: 939f, Got: 40a3
Checksum failed. Expected: 5087, Got: 40a3
Checksum failed. Expected: d4a7, Got: 40a3
Checksum failed. Expected: ee77, Got: 40a3
Checksum failed. Expected: c637, Got: 40a3
Checksum failed. Expected: ef7f, Got: 40a3
Checksum failed. Expected: 4a57, Got: 40a3
Checksum failed. Expected: 852f, Got: 40a3
Checksum failed. Expected: e427, Got: 40a3
Checksum failed. Expected: 6d6f, Got: 40a3
Checksum failed. Expected: d5af, Got: 40a3
Checksum failed. Expected: 073f, Got: 40a3
Checksum failed. Expected: 8217, Got: 40a3
Checksum failed. Expected: ef7f, Got: 40a3
Checksum failed. Expected: cf7f, Got: 40a3
Checksum failed. Expected: 0d6f, Got: 40a3
Checksum failed. Expected: dad7, Got: 40a3
Checksum failed. Expected: 4847, Got: 40a3
Checksum failed. Expected: e73f, Got: 40a3
Checksum failed. Expected: def7, Got: 40a3
Checksum failed. Expected: 0637, Got: 40a3
Checksum failed. Expected: 8f7f, Got: 40a3
Checksum failed. Expected: d4a7, Got: 40a3
Checksum failed. Expected: 8427, Got: 40a3
Checksum failed. Expected: b087, Got: 40a3
Checksum failed. Expected: 652f, Got: 40a3
Checksum failed. Expected: e637, Got: 40a3
Checksum failed. Expected: 518f, Got: 40a3
Checksum failed. Expected: 652f, Got: 40a3
Checksum failed. Expected: 118f, Got: 40a3
Checksum failed. Expected: 35af, Got: 40a3
Checksum failed. Expected: 718f, Got: 40a3
Checksum failed. Expected: 8847, Got: 40a3
Checksum failed. Expected: 4217, Got: 40a3
Checksum failed. Expected: 1def, Got: 40a3
Checksum failed. Expected: 4637, Got: 40a3
Checksum failed. Expected: 694f, Got: 40a3
Checksum failed. Expected: a847, Got: 40a3
Checksum failed. Expected: 8f7f, Got: 40a3
Checksum failed. Expected: fef7, Got: 40a3
Checksum failed. Expected: 9ad7, Got: 40a3
Checksum failed. Expected: 59cf, Got: 40a3
Checksum failed. Expected: 1ef7, Got: 40a3
Checksum failed. Expected: 18c7, Got: 40a3
Checksum failed. Expected: 2e77, Got: 40a3
Checksum failed. Expected: 35af, Got: 40a3
Checksum failed. Expected: f8c7, Got: 40a3
Checksum failed. Expected: 252f, Got: 40a3
Checksum failed. Expected: 852f, Got: 40a3
Checksum failed. Expected: 2d6f, Got: 40a3
Checksum failed. Expected: 494f, Got: 40a3
Checksum failed. Expected: 431f, Got: 40a3
Checksum failed. Expected: 252f, Got: 40a3
Checksum failed. Expected: e427, Got: 40a3
Checksum failed. Expected: 5ef7, Got: 40a3
Checksum failed. Expected: ec67, Got: 40a3
Checksum failed. Expected: 6c67, Got: 40a3
Checksum failed. Expected: 073f, Got: 40a3
Checksum failed. Expected: 610f, Got: 40a3
Checksum failed. Expected: 8f7f, Got: 40a3
Checksum failed. Expected: 6d6f, Got: 40a3
Checksum failed. Expected: c427, Got: 40a3
Checksum failed. Expected: c73f, Got: 40a3
Checksum failed. Expected: 3ad7, Got: 40a3
Checksum failed. Expected: 939f, Got: 40a3
Checksum failed. Expected: c847, Got: 40a3
Checksum failed. Expected: 0217, Got: 40a3
Checksum failed. Expected: 4637, Got: 40a3
Checksum failed. Expected: ca57, Got: 40a3
Checksum failed. Expected: 9bdf, Got: 40a3
Checksum failed. Expected: 7ce7, Got: 40a3
Checksum failed. Expected: 010f, Got: 40a3
Checksum failed. Expected: b39f, Got: 40a3
Checksum failed. Expected: 14a7, Got: 40a3
Checksum failed. Expected: 2217, Got: 40a3
Checksum failed. Expected: a10f, Got: 40a3
Checksum failed. Expected: 99cf, Got: 40a3
Checksum failed. Expected: 2b5f, Got: 40a3
Checksum failed. Expected: 3def, Got: 40a3
Checksum failed. Expected: a007, Got: 40a3
Checksum failed. Expected: f5af, Got: 40a3
Checksum failed. Expected: c007, Got: 40a3
Checksum failed. Expected: 2007, Got: 40a3
Checksum failed. Expected: 610f, Got: 40a3
Checksum failed. Expected: 9fff, Got: 40a3
Checksum failed. Expected: f39f, Got: 40a3
Checksum failed. Expected: 4847, Got: 40a3
Checksum failed. Expected: 76b7, Got: 40a3
Checksum failed. Expected: 75af, Got: 40a3
Checksum failed. Expected: 16b7, Got: 40a3
Checksum failed. Expected: 7fff, Got: 40a3
Checksum failed. Expected: 8d6f, Got: 40a3
Checksum failed. Expected: 873f, Got: 40a3
Checksum failed. Expected: 2f7f, Got: 40a3
Checksum failed. Expected: 0a57, Got: 40a3
Checksum failed. Expected: 8e77, Got: 40a3
Checksum failed. Expected: 718f, Got: 40a3
Checksum failed. Expected: 3def, Got: 40a3
Checksum failed. Expected: 0c67, Got: 40a3
Checksum failed. Expected: 7087, Got: 40a3
Checksum failed. Expected: 3bdf, Got: 40a3
Checksum failed. Expected: 8b5f, Got: 40a3
Checksum failed. Expected: c10f, Got: 40a3
Checksum failed. Expected: 031f, Got: 40a3
Checksum failed. Expected: 0637, Got: 40a3
Checksum failed. Expected: c94f, Got: 40a3
Checksum failed. Expected: 37bf, Got: 40a3
Checksum failed. Expected: 631f, Got: 40a3
Checksum failed. Expected: 7297, Got: 40a3
Checksum failed. Expected: 294f, Got: 40a3
Checksum failed. Expected: f5af, Got: 40a3
Checksum failed. Expected: a007, Got: 40a3
Checksum failed. Expected: 19cf, Got: 40a3
Checksum failed. Expected: a73f, Got: 40a3
Checksum failed. Expected: ef7f, Got: 40a3
Checksum failed. Expected: d8c7, Got: 40a3
Checksum failed. Expected: 6007, Got: 40a3
Checksum failed. Expected: 94a7, Got: 40a3
Checksum failed. Expected: 4c67, Got: 40a3
Checksum failed. Expected: d7bf, Got: 40a3
Checksum failed. Expected: 16b7, Got: 40a3
Checksum failed. Expected: c847, Got: 40a3
Checksum failed. Expected: 78c7, Got: 40a3
Checksum failed. Expected: 9087, Got: 40a3
Checksum failed. Expected: 5fff, Got: 40a3
Checksum failed. Expected: 073f, Got: 40a3
Checksum failed. Expected: 77bf, Got: 40a3
Checksum failed. Expected: 7ef7, Got: 40a3
Checksum failed. Expected: 0217, Got: 40a3
Checksum failed. Expected: def7, Got: 40a3
Checksum failed. Expected: b5af, Got: 40a3
Checksum failed. Expected: 294f, Got: 40a3
Checksum failed. Expected: b4a7, Got: 40a3
Checksum failed. Expected: 7297, Got: 40a3
Checksum failed. Expected: a73f, Got: 40a3
Checksum failed. Expected: c73f, Got: 40a3
Checksum failed. Expected: bad7, Got: 40a3
Checksum failed. Expected: 9def, Got: 40a3
Checksum failed. Expected: cd6f, Got: 40a3
Checksum failed. Expected: 9ad7, Got: 40a3
Checksum failed. Expected: c427, Got: 40a3
Checksum failed. Expected: ac67, Got: 40a3
Checksum failed. Expected: a217, Got: 40a3
Checksum failed. Expected: a10f, Got: 40a3
Checksum failed. Expected: 010f, Got: 40a3
Checksum failed. Expected: ee77, Got: 40a3
Checksum failed. Expected: 1bdf, Got: 40a3
Checksum failed. Expected: 3fff, Got: 40a3
Checksum failed. Expected: 718f, Got: 40a3
Checksum failed. Expected: 9ef7, Got: 40a3
Checksum failed. Expected: e31f, Got: 40a3
Checksum failed. Expected: 3ef7, Got: 40a3
Checksum failed. Expected: 673f, Got: 40a3
Checksum failed. Expected: bad7, Got: 40a3
Checksum failed. Expected: 2217, Got: 40a3
Checksum failed. Expected: fdef, Got: 40a3
Checksum failed. Expected: 9def, Got: 40a3
Checksum failed. Expected: 810f, Got: 40a3
Checksum failed. Expected: dad7, Got: 40a3
Checksum failed. Expected: 831f, Got: 40a3
Checksum failed. Expected: 1ef7, Got: 40a3
Checksum failed. Expected: e10f, Got: 40a3
Checksum failed. Expected: e52f, Got: 40a3
Checksum failed. Expected: 38c7, Got: 40a3
Checksum failed. Expected: 410f, Got: 40a3
Checksum failed. Expected: b4a7, Got: 40a3
Checksum failed. Expected: 0b5f, Got: 40a3
Checksum failed. Expected: 8427, Got: 40a3
Checksum failed. Expected: 5bdf, Got: 40a3
Checksum failed. Expected: 35af, Got: 40a3
Checksum failed. Expected: 3ad7, Got: 40a3
Checksum failed. Expected: 410f, Got: 40a3
Checksum failed. Expected: 5ef7, Got: 40a3
Checksum failed. Expected: 0427, Got: 40a3
Checksum failed. Expected: d6b7, Got: 40a3
Checksum failed. Expected: bbdf, Got: 40a3
Checksum failed. Expected: ac67, Got: 40a3
Checksum failed. Expected: dad7, Got: 40a3
Checksum failed. Expected: e427, Got: 40a3
Checksum failed. Expected: bbdf, Got: 40a3
Checksum failed. Expected: e007, Got: 40a3
Checksum failed. Expected: fbdf, Got: 40a3
Checksum failed. Expected: 410f, Got: 40a3
Checksum failed. Expected: e637, Got: 40a3
Checksum failed. Expected: 1ad7, Got: 40a3
Checksum failed. Expected: 5ef7, Got: 40a3
Checksum failed. Expected: b39f, Got: 40a3
Checksum failed. Expected: 231f, Got: 40a3
Checksum failed. Expected: 2847, Got: 40a3
Checksum failed. Expected: 6e77, Got: 40a3
Checksum failed. Expected: cf7f, Got: 40a3
Checksum failed. Expected: c007, Got: 40a3
Checksum failed. Expected: f7bf, Got: 40a3
Checksum failed. Expected: ce77, Got: 40a3
Checksum failed. Expected: 79cf, Got: 40a3
Checksum failed. Expected: ea57, Got: 40a3
Checksum failed. Expected: c94f, Got: 40a3
Checksum failed. Expected: f8c7, Got: 40a3
Checksum failed. Expected: 1def, Got: 40a3
Checksum failed. Expected: cc67, Got: 40a3
Checksum failed. Expected: 0f7f, Got: 40a3
Checksum failed. Expected: 2d6f, Got: 40a3
Checksum failed. Expected: b5af, Got: 40a3
Checksum failed. Expected: 6427, Got: 40a3
Checksum failed. Expected: 2217, Got: 40a3

Exiting...
