
#################################################################
Log started at 2025-06-13_14-53-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 1d4a, Got: cd75
Checksum failed. Expected: cde7, Got: ba75
Checksum failed. Expected: ffe7, Got: 8875
Checksum failed. Expected: 1f73, Got: f475
Checksum failed. Expected: 2b12, Got: 8775
Checksum failed. Expected: 857a, Got: 9575
Checksum failed. Expected: 8dc0, Got: d375
Checksum failed. Expected: 9185, Got: 9475
Checksum failed. Expected: 3f64, Got: c575
Checksum failed. Expected: e75c, Got: 1575
Checksum failed. Expected: 611b, Got: 5a75
Checksum failed. Expected: 9937, Got: 3e75
Checksum failed. Expected: fddc, Got: 7f75
Checksum failed. Expected: 050d, Got: a875
Checksum failed. Expected: 7f5e, Got: 7f75
Checksum failed. Expected: 718c, Got: bb75
Checksum failed. Expected: 1d48, Got: cb75
Checksum failed. Expected: e166, Got: 2575
Checksum failed. Expected: 6939, Got: 7075
Checksum failed. Expected: 673c, Got: 7575
Checksum failed. Expected: 03c1, Got: 5e75
Checksum failed. Expected: a35e, Got: 5b75
Checksum failed. Expected: ef10, Got: c175
Checksum failed. Expected: 6993, Got: ca75
Checksum failed. Expected: 4557, Got: b275
Checksum failed. Expected: b100, Got: ef75
Checksum failed. Expected: a1eb, Got: ea75
Checksum failed. Expected: d385, Got: 5275
Checksum failed. Expected: 356e, Got: d975
Checksum failed. Expected: d5db, Got: a675
Checksum failed. Expected: a192, Got: 9175
Checksum failed. Expected: 215d, Got: dc75
Checksum failed. Expected: 499a, Got: f175
Checksum failed. Expected: b566, Got: 5175
Checksum failed. Expected: 5b34, Got: 7975
Checksum failed. Expected: 2368, Got: e575
Checksum failed. Expected: 6fa6, Got: d775
Checksum failed. Expected: 7f77, Got: 9875
Checksum failed. Expected: dd03, Got: c675
Checksum failed. Expected: 17ee, Got: 7775
Checksum failed. Expected: 8766, Got: 7f75
Checksum failed. Expected: c582, Got: 5d75
Checksum failed. Expected: 8573, Got: 8e75
Checksum failed. Expected: 57de, Got: 2775
Checksum failed. Expected: 7120, Got: 4f75
Checksum failed. Expected: b106, Got: f575
Checksum failed. Expected: 6fdf, Got: 1075
Checksum failed. Expected: 21b6, Got: 3575
Checksum failed. Expected: 0db3, Got: 4675
Checksum failed. Expected: 5bbd, Got: 0275
Checksum failed. Expected: ebd9, Got: 8e75
Checksum failed. Expected: e729, Got: e275
Checksum failed. Expected: 37f6, Got: 5f75
Checksum failed. Expected: cb39, Got: 0e75
Checksum failed. Expected: 750d, Got: 3875
Checksum failed. Expected: 099d, Got: 3475
Checksum failed. Expected: f3f1, Got: 9e75
Checksum failed. Expected: cfa2, Got: 7375
Checksum failed. Expected: 9b3d, Got: 4275
Checksum failed. Expected: 07a1, Got: 3a75
Checksum failed. Expected: 8bf3, Got: 0875
Checksum failed. Expected: a9c8, Got: bf75
Checksum failed. Expected: 1994, Got: 1b75
Checksum failed. Expected: c3c7, Got: a475
Checksum failed. Expected: 19fa, Got: 8175
Checksum failed. Expected: 992c, Got: 3375
Checksum failed. Expected: 49cd, Got: 2475
Checksum failed. Expected: df9e, Got: 5f75
Checksum failed. Expected: 2526, Got: a175
Checksum failed. Expected: 5fa1, Got: e275
Checksum failed. Expected: 1310, Got: 9d75
Checksum failed. Expected: 93d5, Got: e275
Checksum failed. Expected: f58d, Got: 3875
Checksum failed. Expected: f9fb, Got: a275
Checksum failed. Expected: b353, Got: 4075
Checksum failed. Expected: fd00, Got: a375
Checksum failed. Expected: 21b6, Got: 3575
Checksum failed. Expected: 4bdf, Got: 3475
Checksum failed. Expected: 9927, Got: 2e75
Checksum failed. Expected: b956, Got: 3d75
Checksum failed. Expected: 1d20, Got: a375
Checksum failed. Expected: 493f, Got: 9675
Checksum failed. Expected: 75ea, Got: 1575
Checksum failed. Expected: 012c, Got: cb75
Checksum failed. Expected: f79c, Got: 4575
Checksum failed. Expected: 778a, Got: b375
Checksum failed. Expected: ad10, Got: 0375
Checksum failed. Expected: 6dfd, Got: 3075
Checksum failed. Expected: 1f37, Got: b875
Checksum failed. Expected: 9725, Got: 2e75
Checksum failed. Expected: 4b69, Got: be75
Checksum failed. Expected: 8367, Got: 8475
Checksum failed. Expected: 136d, Got: fa75
Checksum failed. Expected: ed29, Got: dc75
Checksum failed. Expected: 2f1c, Got: 8d75
Checksum failed. Expected: 2d12, Got: 8575
Checksum failed. Expected: 6b94, Got: c975
Checksum failed. Expected: 7368, Got: 9575
Checksum failed. Expected: 31df, Got: 4e75
Checksum failed. Expected: 17b6, Got: 3f75
Checksum failed. Expected: 0975, Got: 0c75
Checksum failed. Expected: 8dd8, Got: eb75
Checksum failed. Expected: 010b, Got: aa75
Checksum failed. Expected: 2fdf, Got: 5075
Checksum failed. Expected: f5ce, Got: 7975
Checksum failed. Expected: 979c, Got: a575
Checksum failed. Expected: 4b74, Got: c975
Checksum failed. Expected: 3fdd, Got: 3e75
Checksum failed. Expected: 7d3f, Got: 6275
Checksum failed. Expected: d5f0, Got: bb75
Checksum failed. Expected: 0dcb, Got: 5e75
Checksum failed. Expected: b5c4, Got: af75
Checksum failed. Expected: 8f03, Got: 1475
Checksum failed. Expected: df2f, Got: f075
Checksum failed. Expected: dd18, Got: db75
Checksum failed. Expected: 45e4, Got: 3f75
Checksum failed. Expected: ef8a, Got: 3b75
Checksum failed. Expected: ade6, Got: d975
Checksum failed. Expected: 6919, Got: 5075
Checksum failed. Expected: 59cb, Got: 1275
Checksum failed. Expected: 9bf5, Got: fa75
Checksum failed. Expected: 75f1, Got: 1c75
Checksum failed. Expected: 9594, Got: 9f75
Checksum failed. Expected: 9f44, Got: 4575
Checksum failed. Expected: 539f, Got: ec75
Checksum failed. Expected: 5d69, Got: ac75
Checksum failed. Expected: 4957, Got: ae75
Checksum failed. Expected: 616b, Got: aa75
Checksum failed. Expected: 6d5e, Got: 9175
Checksum failed. Expected: c528, Got: 0375
Checksum failed. Expected: 71a2, Got: d175
Checksum failed. Expected: 9d50, Got: 5375
Checksum failed. Expected: e5c5, Got: 8075
Checksum failed. Expected: 1bcd, Got: 5275
