
#################################################################
Log started at 2025-06-13_16-08-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: fa2b, Got: bd84
Checksum failed. Expected: aae5, Got: bd82
Checksum failed. Expected: a76d, Got: bd82
Checksum failed. Expected: ece2, Got: bd82
Checksum failed. Expected: 33b8, Got: bd83
Checksum failed. Expected: 009e, Got: bd84
Checksum failed. Expected: 1efb, Got: bd83
Checksum failed. Expected: 9516, Got: bd83
Checksum failed. Expected: 9300, Got: bd82
Checksum failed. Expected: 1f7a, Got: bd82
Checksum failed. Expected: dcfd, Got: bd83
Checksum failed. Expected: 3381, Got: bd83
Checksum failed. Expected: f1b1, Got: bd83
Checksum failed. Expected: 9bbf, Got: bd82
Checksum failed. Expected: 20f3, Got: bd83
Checksum failed. Expected: 97c1, Got: bd83
Checksum failed. Expected: ec7f, Got: bd82
Checksum failed. Expected: 2480, Got: bd82
Checksum failed. Expected: 1a58, Got: bd82
Checksum failed. Expected: 3f4a, Got: bd82
Checksum failed. Expected: 6b97, Got: bd82
Checksum failed. Expected: 6fb9, Got: bd83
Checksum failed. Expected: 4f19, Got: bd81
Checksum failed. Expected: 9279, Got: bd82
Checksum failed. Expected: 8e43, Got: bd82
Checksum failed. Expected: c59c, Got: bd83
Checksum failed. Expected: 5a1a, Got: bd83
Checksum failed. Expected: 745e, Got: bd83
Checksum failed. Expected: a994, Got: bd84
Checksum failed. Expected: 19b3, Got: bd84
Checksum failed. Expected: 4b98, Got: bd84
Checksum failed. Expected: 7e99, Got: bd83
Checksum failed. Expected: 2e84, Got: bd82
Checksum failed. Expected: 65af, Got: bd81
Checksum failed. Expected: cb67, Got: bd82
Checksum failed. Expected: d081, Got: bd82
Checksum failed. Expected: b380, Got: bd82
Checksum failed. Expected: 8c15, Got: bd82
Checksum failed. Expected: 09a6, Got: bd81
Checksum failed. Expected: fc4b, Got: bd83
Checksum failed. Expected: 820f, Got: bd83
Checksum failed. Expected: e43b, Got: bd82
Checksum failed. Expected: 8836, Got: bd82
Checksum failed. Expected: 2c3f, Got: bd83
Checksum failed. Expected: 087a, Got: bd83
Checksum failed. Expected: 0e71, Got: bd82
Checksum failed. Expected: 943c, Got: bd83
Checksum failed. Expected: 28ce, Got: bd81
Checksum failed. Expected: 3094, Got: bd81
Checksum failed. Expected: d27e, Got: bd82
Checksum failed. Expected: 5836, Got: bd81
Checksum failed. Expected: 5550, Got: bd80
Checksum failed. Expected: 71ac, Got: bd80
Checksum failed. Expected: 4d50, Got: bd80
Checksum failed. Expected: 743c, Got: bd81
Checksum failed. Expected: eeb7, Got: bd81
Checksum failed. Expected: d213, Got: bd83
Checksum failed. Expected: e4fa, Got: bd83
Checksum failed. Expected: 1f17, Got: bd83
Checksum failed. Expected: 487b, Got: bd83
Checksum failed. Expected: c9d3, Got: bd83
Checksum failed. Expected: c51f, Got: bd83
Checksum failed. Expected: 5bb6, Got: bd83
Checksum failed. Expected: af55, Got: bd83
Checksum failed. Expected: df6e, Got: bd81
Checksum failed. Expected: 1b40, Got: bd81
Checksum failed. Expected: 63eb, Got: bd81
Checksum failed. Expected: abe2, Got: bd82
Checksum failed. Expected: dfab, Got: bd83
Checksum failed. Expected: 0156, Got: bd83
Checksum failed. Expected: a20f, Got: bd83
Checksum failed. Expected: 9f83, Got: bd82
Checksum failed. Expected: 514e, Got: bd83
Checksum failed. Expected: d56b, Got: bd82
Checksum failed. Expected: c985, Got: bd81
Checksum failed. Expected: f4f7, Got: bd81
Checksum failed. Expected: db56, Got: bd81
Checksum failed. Expected: 60b4, Got: bd81
Checksum failed. Expected: dccc, Got: bd82
Checksum failed. Expected: 6ec2, Got: bd84
Checksum failed. Expected: a173, Got: bd83
Checksum failed. Expected: 1801, Got: bd82
Checksum failed. Expected: d5e3, Got: bd84
Checksum failed. Expected: d0e4, Got: bd83
Checksum failed. Expected: d212, Got: bd83
Checksum failed. Expected: 0aff, Got: bd81
Checksum failed. Expected: 087d, Got: bd82
Checksum failed. Expected: 2e9c, Got: bd82
Checksum failed. Expected: 7c61, Got: bd82
Checksum failed. Expected: d213, Got: bd81
Checksum failed. Expected: b050, Got: bd83
Checksum failed. Expected: 999d, Got: bd84
Checksum failed. Expected: 4f8b, Got: bd83
Checksum failed. Expected: 1640, Got: bd83
Checksum failed. Expected: 3f34, Got: bd83
Checksum failed. Expected: a7ef, Got: bd81
Checksum failed. Expected: 41d0, Got: bd82
Checksum failed. Expected: 0ecc, Got: bd84
Checksum failed. Expected: 7058, Got: bd84
Checksum failed. Expected: 1b28, Got: bd82
Checksum failed. Expected: 5e9b, Got: bd82
Checksum failed. Expected: c07e, Got: bd84
Checksum failed. Expected: 6981, Got: bd83
Checksum failed. Expected: 4481, Got: bd82
Checksum failed. Expected: 8aa0, Got: bd81
Checksum failed. Expected: 9cfa, Got: bd82
Checksum failed. Expected: fcd1, Got: bd82
Checksum failed. Expected: 3620, Got: bd82
Checksum failed. Expected: f44d, Got: bd81
Checksum failed. Expected: 847a, Got: bd81
Checksum failed. Expected: cb20, Got: bd83
Checksum failed. Expected: bef7, Got: bd83
Checksum failed. Expected: 159f, Got: bd82
Checksum failed. Expected: a6f7, Got: bd82
Checksum failed. Expected: 7e73, Got: bd83
Checksum failed. Expected: d259, Got: bd84
Checksum failed. Expected: 99e6, Got: bd84
Checksum failed. Expected: 1a48, Got: bd84
Checksum failed. Expected: e23d, Got: bd85
Checksum failed. Expected: 6470, Got: bd84
Checksum failed. Expected: 835b, Got: bd83
Checksum failed. Expected: 942a, Got: bd83
Checksum failed. Expected: 454f, Got: bd84
Checksum failed. Expected: 1e4a, Got: bd83
Checksum failed. Expected: e783, Got: bd82
Checksum failed. Expected: 3a5e, Got: bd81
Checksum failed. Expected: 231f, Got: bd81
Checksum failed. Expected: 8763, Got: bd81
Checksum failed. Expected: fb44, Got: bd82
Checksum failed. Expected: 76c9, Got: bd82
Checksum failed. Expected: ca91, Got: bd81
Checksum failed. Expected: 8dc5, Got: bd80
Checksum failed. Expected: d077, Got: bd82
Checksum failed. Expected: 08f3, Got: bd83
Checksum failed. Expected: dea7, Got: bd82
Checksum failed. Expected: 2089, Got: bd82
Checksum failed. Expected: f72e, Got: bd82
Checksum failed. Expected: eba3, Got: bd82
Checksum failed. Expected: 3a48, Got: bd83
Checksum failed. Expected: b59c, Got: bd81
Checksum failed. Expected: c3fe, Got: bd7f
Checksum failed. Expected: dd1d, Got: bd7f
Checksum failed. Expected: 3417, Got: bd7e
Checksum failed. Expected: ecbb, Got: bd80
Checksum failed. Expected: f308, Got: bd81
Checksum failed. Expected: 24d0, Got: bd81
Checksum failed. Expected: d3e0, Got: bd83
Checksum failed. Expected: e8a6, Got: bd81
Checksum failed. Expected: a047, Got: bd81
Checksum failed. Expected: e0af, Got: bd80
Checksum failed. Expected: e68c, Got: bd81
Checksum failed. Expected: 6957, Got: bd82
Checksum failed. Expected: c515, Got: bd80
Checksum failed. Expected: cb1b, Got: bd7f
Checksum failed. Expected: 5310, Got: bd80
Checksum failed. Expected: d7d9, Got: bd80
Checksum failed. Expected: 80c1, Got: bd7a
Checksum failed. Expected: f58b, Got: bd7a
Checksum failed. Expected: 9b8b, Got: bd82
Checksum failed. Expected: ee74, Got: bd84
Checksum failed. Expected: d42b, Got: bd82
Checksum failed. Expected: 6abc, Got: bd82
Checksum failed. Expected: 6a15, Got: bd82
