
#################################################################
Log started at 2025-06-13_14-35-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.177885, Y=-0.674855, Z=9.787454 m/s^2 Time of Week: 455739.319000, Week Number: 2370
Acceleration: X=-0.155580, Y=-0.674304, Z=9.775407 m/s^2 Time of Week: 455739.329000, Week Number: 2370
Acceleration: X=-0.134426, Y=-0.680225, Z=9.774498 m/s^2 Time of Week: 455739.339000, Week Number: 2370
Acceleration: X=-0.122339, Y=-0.697218, Z=9.756182 m/s^2 Time of Week: 455739.349000, Week Number: 2370
Acceleration: X=-0.135486, Y=-0.708370, Z=9.754240 m/s^2 Time of Week: 455739.359000, Week Number: 2370
Acceleration: X=-0.151560, Y=-0.708276, Z=9.754107 m/s^2 Time of Week: 455739.369000, Week Number: 2370
Acceleration: X=-0.164890, Y=-0.687801, Z=9.763644 m/s^2 Time of Week: 455739.379000, Week Number: 2370
Acceleration: X=-0.174404, Y=-0.664124, Z=9.787614 m/s^2 Time of Week: 455739.389000, Week Number: 2370
Acceleration: X=-0.177854, Y=-0.651882, Z=9.809360 m/s^2 Time of Week: 455739.399000, Week Number: 2370
Acceleration: X=-0.170566, Y=-0.659066, Z=9.811014 m/s^2 Time of Week: 455739.409000, Week Number: 2370
Acceleration: X=-0.156120, Y=-0.669351, Z=9.793975 m/s^2 Time of Week: 455739.419000, Week Number: 2370
Acceleration: X=-0.147552, Y=-0.690761, Z=9.773114 m/s^2 Time of Week: 455739.429000, Week Number: 2370
Acceleration: X=-0.141936, Y=-0.703738, Z=9.755959 m/s^2 Time of Week: 455739.439000, Week Number: 2370
Acceleration: X=-0.140386, Y=-0.706227, Z=9.748514 m/s^2 Time of Week: 455739.449000, Week Number: 2370
Acceleration: X=-0.151733, Y=-0.703614, Z=9.756028 m/s^2 Time of Week: 455739.459000, Week Number: 2370
Acceleration: X=-0.163856, Y=-0.677496, Z=9.773303 m/s^2 Time of Week: 455739.469000, Week Number: 2370
Acceleration: X=-0.167368, Y=-0.661955, Z=9.800939 m/s^2 Time of Week: 455739.479000, Week Number: 2370
Acceleration: X=-0.159076, Y=-0.662629, Z=9.823225 m/s^2 Time of Week: 455739.489000, Week Number: 2370
Acceleration: X=-0.163630, Y=-0.667505, Z=9.797249 m/s^2 Time of Week: 455739.499000, Week Number: 2370
Acceleration: X=-0.158418, Y=-0.683271, Z=9.769929 m/s^2 Time of Week: 455739.509000, Week Number: 2370
Acceleration: X=-0.150737, Y=-0.696525, Z=9.755841 m/s^2 Time of Week: 455739.519000, Week Number: 2370
Acceleration: X=-0.153474, Y=-0.706673, Z=9.764197 m/s^2 Time of Week: 455739.529000, Week Number: 2370
Acceleration: X=-0.152503, Y=-0.701356, Z=9.769035 m/s^2 Time of Week: 455739.539000, Week Number: 2370
Acceleration: X=-0.147801, Y=-0.681363, Z=9.767465 m/s^2 Time of Week: 455739.549000, Week Number: 2370
Acceleration: X=-0.148273, Y=-0.667426, Z=9.777066 m/s^2 Time of Week: 455739.559000, Week Number: 2370
Acceleration: X=-0.162264, Y=-0.671855, Z=9.785781 m/s^2 Time of Week: 455739.569000, Week Number: 2370
Acceleration: X=-0.170302, Y=-0.672047, Z=9.790294 m/s^2 Time of Week: 455739.579000, Week Number: 2370
Acceleration: X=-0.180906, Y=-0.683697, Z=9.786125 m/s^2 Time of Week: 455739.589000, Week Number: 2370
Acceleration: X=-0.171415, Y=-0.680963, Z=9.775191 m/s^2 Time of Week: 455739.599000, Week Number: 2370
