
#################################################################
Log started at 2025-06-12_15-50-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d73c, Got: 801c
Checksum failed. Expected: 573c, Got: 801c
Checksum failed. Expected: c3ec, Got: 801c
Checksum failed. Expected: 277c, Got: 801c
Checksum failed. Expected: bac8, Got: 801c
Checksum failed. Expected: 0904, Got: 801c
Checksum failed. Expected: 6984, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: e470, Got: 801c
Checksum failed. Expected: 677c, Got: 801c
Checksum failed. Expected: ca08, Got: 801c
Checksum failed. Expected: 2f9c, Got: 801c
Checksum failed. Expected: cb0c, Got: 801c
Checksum failed. Expected: 3fdc, Got: 801c
Checksum failed. Expected: 83ec, Got: 801c
Checksum failed. Expected: 7ac8, Got: 801c
Checksum failed. Expected: 1020, Got: 801c
Checksum failed. Expected: b7bc, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: 8d14, Got: 801c
Checksum failed. Expected: 2f9c, Got: 801c
Checksum failed. Expected: 6268, Got: 801c
Checksum failed. Expected: 5840, Got: 801c
Checksum failed. Expected: b9c4, Got: 801c
Checksum failed. Expected: 0f1c, Got: 801c
Checksum failed. Expected: 2574, Got: 801c
Checksum failed. Expected: 5124, Got: 801c
Checksum failed. Expected: e470, Got: 801c
Checksum failed. Expected: 2060, Got: 801c
Checksum failed. Expected: 1228, Got: 801c
Checksum failed. Expected: 7dd4, Got: 801c
Checksum failed. Expected: 5c50, Got: 801c
Checksum failed. Expected: 573c, Got: 801c
Checksum failed. Expected: 9c50, Got: 801c
Checksum failed. Expected: 3dd4, Got: 801c
Checksum failed. Expected: 02e8, Got: 801c
Checksum failed. Expected: bac8, Got: 801c
Checksum failed. Expected: 46f8, Got: 801c
Checksum failed. Expected: cd14, Got: 801c
Checksum failed. Expected: 173c, Got: 801c
Checksum failed. Expected: 2c90, Got: 801c
Checksum failed. Expected: 05f4, Got: 801c
Checksum failed. Expected: bbcc, Got: 801c
Checksum failed. Expected: ef9c, Got: 801c
Checksum failed. Expected: 6984, Got: 801c
Checksum failed. Expected: b4b0, Got: 801c
Checksum failed. Expected: 7ac8, Got: 801c
Checksum failed. Expected: 9e58, Got: 801c
Checksum failed. Expected: a678, Got: 801c
Checksum failed. Expected: e268, Got: 801c
Checksum failed. Expected: ffdc, Got: 801c
Checksum failed. Expected: 5f5c, Got: 801c
Checksum failed. Expected: 0904, Got: 801c
Checksum failed. Expected: e164, Got: 801c
Checksum failed. Expected: 636c, Got: 801c
Checksum failed. Expected: 0f1c, Got: 801c
Checksum failed. Expected: b0a0, Got: 801c
Checksum failed. Expected: 5124, Got: 801c
Checksum failed. Expected: 636c, Got: 801c
Checksum failed. Expected: b4b0, Got: 801c
Checksum failed. Expected: b3ac, Got: 801c
Checksum failed. Expected: bcd0, Got: 801c
Checksum failed. Expected: db4c, Got: 801c
Checksum failed. Expected: 0e18, Got: 801c
Checksum failed. Expected: 0d14, Got: 801c
Checksum failed. Expected: 2470, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: ae98, Got: 801c
Checksum failed. Expected: d73c, Got: 801c
Checksum failed. Expected: a164, Got: 801c
Checksum failed. Expected: 2a88, Got: 801c
Checksum failed. Expected: f5b4, Got: 801c
Checksum failed. Expected: 4a08, Got: 801c
Checksum failed. Expected: fac8, Got: 801c
Checksum failed. Expected: 9124, Got: 801c
Checksum failed. Expected: 01e4, Got: 801c
Checksum failed. Expected: 4c10, Got: 801c
Checksum failed. Expected: 9b4c, Got: 801c
Checksum failed. Expected: a574, Got: 801c
Checksum failed. Expected: 1124, Got: 801c
Checksum failed. Expected: 4a08, Got: 801c
Checksum failed. Expected: 2c90, Got: 801c
Checksum failed. Expected: 9d54, Got: 801c
Checksum failed. Expected: 9b4c, Got: 801c
Checksum failed. Expected: ea88, Got: 801c
Checksum failed. Expected: b3ac, Got: 801c
Checksum failed. Expected: ab8c, Got: 801c
Checksum failed. Expected: c6f8, Got: 801c
Checksum failed. Expected: 0e18, Got: 801c
