
#################################################################
Log started at 2025-06-12_16-18-35 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 72c7, Got: 6042
Checksum failed. Expected: 3be7, Got: ced9
Checksum failed. Expected: 22c2, Got: 3d71
Checksum failed. Expected: 624e, Got: ac09
Checksum failed. Expected: 5070, Got: 1aa0
Checksum failed. Expected: dc61, Got: 8938
Checksum failed. Expected: 02a0, Got: f7cf
Checksum failed. Expected: 6aa1, Got: 6667
Checksum failed. Expected: 35d1, Got: d4fe
Checksum failed. Expected: 8690, Got: 4396
Checksum failed. Expected: 135c, Got: b22d
Checksum failed. Expected: 05d5, Got: 20c5
Checksum failed. Expected: bc01, Got: 8f5d
Checksum failed. Expected: 7fe2, Got: fdf4
Checksum failed. Expected: 32f1, Got: 6c8c
Checksum failed. Expected: c51d, Got: db23
Checksum failed. Expected: ea3d, Got: 49bb
Checksum failed. Expected: 4dbb, Got: b852
Checksum failed. Expected: 9812, Got: 26ea
Checksum failed. Expected: f228, Got: 9581
Checksum failed. Expected: 9cb1, Got: 0419
Checksum failed. Expected: cc67, Got: 72b0
Checksum failed. Expected: f503, Got: e148
Checksum failed. Expected: eca3, Got: 4fe0
Checksum failed. Expected: 44a9, Got: be77
Checksum failed. Expected: ac8a, Got: 2d0f
Checksum failed. Expected: 31f2, Got: 9ba6
Checksum failed. Expected: 05cf, Got: 0a3e
Checksum failed. Expected: 3cf3, Got: 78d5
Checksum failed. Expected: 4299, Got: e76d
Checksum failed. Expected: 2305, Got: 5604
Checksum failed. Expected: 77b0, Got: c49c
Checksum failed. Expected: dd82, Got: 3334
Checksum failed. Expected: 27a4, Got: a1cb
Checksum failed. Expected: b073, Got: 1063
Checksum failed. Expected: ce2d, Got: 7efa
Checksum failed. Expected: 1bc1, Got: ed92
Checksum failed. Expected: 0d1b, Got: 5c29
Checksum failed. Expected: f0ba, Got: cac1
Checksum failed. Expected: 6ed0, Got: 3958
Checksum failed. Expected: 010f, Got: a7f0
Checksum failed. Expected: a20f, Got: 1688
Checksum failed. Expected: 7f47, Got: 851f
Checksum failed. Expected: 5863, Got: f3b7
