
#################################################################
Log started at 2025-06-12_13-37-24 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: fba9, Got: 3e16
Checksum failed. Expected: 6185, Got: 286c
Checksum failed. Expected: c46e, Got: 302d
Checksum failed. Expected: c4d4, Got: 3cbf
Checksum failed. Expected: 73fd, Got: 28cb
Checksum failed. Expected: 927f, Got: 12f7
Checksum failed. Expected: 53ac, Got: 0e8c
Checksum failed. Expected: b34a, Got: 465f
Checksum failed. Expected: 1c88, Got: 1da8
Checksum failed. Expected: f17c, Got: 3542
Checksum failed. Expected: 7545, Got: 3c24
Checksum failed. Expected: 8bed, Got: 2c85
Checksum failed. Expected: 1615, Got: 1b73
Checksum failed. Expected: 6533, Got: 0705
Checksum failed. Expected: 3f46, Got: 1745
Checksum failed. Expected: 20ca, Got: 375a
Checksum failed. Expected: 1f8b, Got: 16e2
Checksum failed. Expected: ff42, Got: 205a
Checksum failed. Expected: 5249, Got: 3d9c
Checksum failed. Expected: c9ce, Got: 483e
Checksum failed. Expected: c4f1, Got: 521b
Checksum failed. Expected: e0bf, Got: 3083
Checksum failed. Expected: 2973, Got: 1d97
Checksum failed. Expected: 62bd, Got: 20ed
Checksum failed. Expected: 96eb, Got: 1102
Checksum failed. Expected: d981, Got: 0d6c
Checksum failed. Expected: d20d, Got: 1b99
Checksum failed. Expected: 97d5, Got: 2d67
Checksum failed. Expected: 044a, Got: 3e90
Checksum failed. Expected: acea, Got: 678f
Checksum failed. Expected: 5bef, Got: 4846
Checksum failed. Expected: 8c97, Got: 44e1
Checksum failed. Expected: ce62, Got: 3c3e
Checksum failed. Expected: f645, Got: 4b9e
Checksum failed. Expected: 8e15, Got: 1813
Checksum failed. Expected: a2d7, Got: 2769
Checksum failed. Expected: af44, Got: 2a5b
Checksum failed. Expected: a519, Got: 39d1
Checksum failed. Expected: aae4, Got: 371c
Checksum failed. Expected: c3ba, Got: 496d
Checksum failed. Expected: 3504, Got: 3996
Checksum failed. Expected: f8c5, Got: 2916
Checksum failed. Expected: d080, Got: 417c
Checksum failed. Expected: e3d5, Got: 1428
Checksum failed. Expected: 5e30, Got: 12f0
Checksum failed. Expected: d261, Got: 1dd3
Checksum failed. Expected: fa4b, Got: 2918
Checksum failed. Expected: 188f, Got: 26c6
Checksum failed. Expected: 2522, Got: 0a50
Checksum failed. Expected: 3652, Got: 1959
Checksum failed. Expected: 3ec8, Got: 3c59
Checksum failed. Expected: f4df, Got: 4005
Checksum failed. Expected: 41a1, Got: 2db0
Checksum failed. Expected: d1f4, Got: 2279
Checksum failed. Expected: 38b4, Got: 0b17
Checksum failed. Expected: 9860, Got: 3c81
Checksum failed. Expected: 971e, Got: 2398
Checksum failed. Expected: b944, Got: 51d5
Checksum failed. Expected: 8df8, Got: 225d
Checksum failed. Expected: 7732, Got: 4163
Checksum failed. Expected: b715, Got: 2b42
Checksum failed. Expected: 3421, Got: 3fef
Checksum failed. Expected: e7bf, Got: 2f19
Checksum failed. Expected: 5584, Got: f372
Checksum failed. Expected: cf5e, Got: 5363
Checksum failed. Expected: 1072, Got: 3770
Checksum failed. Expected: a68f, Got: 2273
Checksum failed. Expected: 5396, Got: 3079
Checksum failed. Expected: 2de4, Got: 32b0
Checksum failed. Expected: da47, Got: 2f14
Checksum failed. Expected: 0d32, Got: 1739
Checksum failed. Expected: 5eb2, Got: 2a74
Checksum failed. Expected: d345, Got: 1bbf
Checksum failed. Expected: 44b5, Got: 17ea
Checksum failed. Expected: 25b2, Got: 502b
Checksum failed. Expected: fc84, Got: 07d6
Checksum failed. Expected: 4d03, Got: 0ea4
Checksum failed. Expected: bd70, Got: 1d97
Checksum failed. Expected: c639, Got: 3214
Checksum failed. Expected: e402, Got: 2f6c
Checksum failed. Expected: fd21, Got: 1f0f
Checksum failed. Expected: 97dc, Got: 3a67
Checksum failed. Expected: 12a6, Got: 2f40
Checksum failed. Expected: f2a6, Got: 21f7
Checksum failed. Expected: 003d, Got: 25f7
Checksum failed. Expected: 9e24, Got: 2203
Checksum failed. Expected: 6845, Got: 366b
Checksum failed. Expected: 02f4, Got: 0f6e
Checksum failed. Expected: a489, Got: 192f
Checksum failed. Expected: b753, Got: 46dc
Checksum failed. Expected: bb23, Got: 36b3
Checksum failed. Expected: 8b5a, Got: 37f2
Checksum failed. Expected: 9d24, Got: 34d5
Checksum failed. Expected: fd85, Got: 465c
Checksum failed. Expected: d859, Got: 3e39
Checksum failed. Expected: b2d9, Got: 0b45
Checksum failed. Expected: f300, Got: 14c5
Checksum failed. Expected: 9d69, Got: 2866
Checksum failed. Expected: 0538, Got: 448d
Checksum failed. Expected: b42b, Got: 2197
Checksum failed. Expected: 78f7, Got: 2aa7
Checksum failed. Expected: 1a16, Got: 7656
Checksum failed. Expected: b86d, Got: 7296
Checksum failed. Expected: 2ea6, Got: 52fb
Checksum failed. Expected: ad15, Got: 32ee
Checksum failed. Expected: 11e9, Got: 1c9c
Checksum failed. Expected: e4d2, Got: 3cb8
Checksum failed. Expected: 869d, Got: 3734
Checksum failed. Expected: 502d, Got: 203e
Checksum failed. Expected: e81d, Got: 280d
Checksum failed. Expected: b0ce, Got: 141a
Checksum failed. Expected: 41af, Got: 4e92
Checksum failed. Expected: 4463, Got: 3160
Checksum failed. Expected: cd32, Got: 20b2
Checksum failed. Expected: 8154, Got: 43cc
Checksum failed. Expected: 01df, Got: 219a
Checksum failed. Expected: 96ca, Got: 2fd1
Checksum failed. Expected: b0f4, Got: 0df1
Checksum failed. Expected: 1061, Got: 41bb
Checksum failed. Expected: 7db1, Got: 5e27
Checksum failed. Expected: 20c0, Got: 420a
Checksum failed. Expected: 9d91, Got: 3f1c
Checksum failed. Expected: 0b12, Got: 3471
Checksum failed. Expected: b6df, Got: 4b40
Checksum failed. Expected: e14f, Got: 5528
Checksum failed. Expected: fe56, Got: 41c2
Checksum failed. Expected: 2051, Got: f7ee
Checksum failed. Expected: b71b, Got: 2c36
Checksum failed. Expected: a3ef, Got: 40f5
Checksum failed. Expected: 6142, Got: 209e
Checksum failed. Expected: 0bcc, Got: 0ce4
Checksum failed. Expected: 2f5f, Got: 2a44
Checksum failed. Expected: 1d8b, Got: 363f
Checksum failed. Expected: 16f7, Got: 407b
Checksum failed. Expected: cc27, Got: 46a7
Checksum failed. Expected: 3da6, Got: 2793
Checksum failed. Expected: 1954, Got: 4771
Checksum failed. Expected: e4ac, Got: 115b
Checksum failed. Expected: c372, Got: 2abd
Checksum failed. Expected: c569, Got: 17a9
Checksum failed. Expected: 28f2, Got: 1c4e
Checksum failed. Expected: 3b0f, Got: 42f0
Checksum failed. Expected: 3b4b, Got: 1a4b
Checksum failed. Expected: 0788, Got: 3ff6
Checksum failed. Expected: 6323, Got: 493d
Checksum failed. Expected: bfd9, Got: 377c
Checksum failed. Expected: 3f89, Got: 6dff
Checksum failed. Expected: e3fe, Got: 491f
Checksum failed. Expected: 28ae, Got: ff3e
Checksum failed. Expected: 6212, Got: 1954
Checksum failed. Expected: cbf6, Got: 2831
Checksum failed. Expected: eb3d, Got: 15ce
Checksum failed. Expected: 658b, Got: 2206
Checksum failed. Expected: 715a, Got: 52f7
Checksum failed. Expected: 8749, Got: 1618
Checksum failed. Expected: 1b07, Got: 3c7c
Checksum failed. Expected: 8e08, Got: 3e89
Checksum failed. Expected: f2c7, Got: 23bc
Checksum failed. Expected: 28b8, Got: 195c
Checksum failed. Expected: a801, Got: 0ce9
Checksum failed. Expected: 780a, Got: 28a9
Checksum failed. Expected: 5c16, Got: 22b6
Checksum failed. Expected: ffd8, Got: 41e5
Checksum failed. Expected: 8bcf, Got: 4abe
Checksum failed. Expected: 6b1a, Got: 1cf3
Checksum failed. Expected: 5306, Got: 38f8
Checksum failed. Expected: 46c4, Got: 3f53
Checksum failed. Expected: 0706, Got: 426a
Checksum failed. Expected: 5370, Got: 30ee
Checksum failed. Expected: 9eda, Got: 23e1
Checksum failed. Expected: 1ee9, Got: 2153
Checksum failed. Expected: d43d, Got: 238f
Checksum failed. Expected: e142, Got: 2f04
Checksum failed. Expected: d2cb, Got: 363f
Checksum failed. Expected: f753, Got: 3b93
Checksum failed. Expected: 8f44, Got: 5a43
Checksum failed. Expected: 8815, Got: 45ff
Checksum failed. Expected: beb1, Got: 3341
Checksum failed. Expected: 341a, Got: 05da
Checksum failed. Expected: 9d71, Got: 2c6c
Checksum failed. Expected: ed8a, Got: 1856
Checksum failed. Expected: 7024, Got: 4cde
Checksum failed. Expected: dfd3, Got: 28b4
Checksum failed. Expected: 3ef1, Got: 4ae9
Checksum failed. Expected: 525b, Got: 3f59
Checksum failed. Expected: fe14, Got: 3554
Checksum failed. Expected: 53b7, Got: 540c
Checksum failed. Expected: 2313, Got: 3e24
Checksum failed. Expected: 201b, Got: 23f2
Checksum failed. Expected: 14c0, Got: 26dc
Checksum failed. Expected: d369, Got: fca7
Checksum failed. Expected: 12fc, Got: 1fe2
Checksum failed. Expected: ec52, Got: 2567
Checksum failed. Expected: e113, Got: 4b95
Checksum failed. Expected: 9b99, Got: 18f4
Checksum failed. Expected: 3a11, Got: 4b14
Checksum failed. Expected: 2e5a, Got: 38c7
Checksum failed. Expected: cd7a, Got: 5475
Checksum failed. Expected: 0fe7, Got: 3ec4
Checksum failed. Expected: f795, Got: fb4b
Checksum failed. Expected: b27d, Got: 2cd2
Checksum failed. Expected: 3b28, Got: 212d
Checksum failed. Expected: 8f97, Got: 2fb2
Checksum failed. Expected: 01e2, Got: 398d
Checksum failed. Expected: af1d, Got: 357b
Checksum failed. Expected: c90c, Got: 5024
Checksum failed. Expected: 85d8, Got: 645c
Checksum failed. Expected: 7786, Got: 51c5
Checksum failed. Expected: 1dc0, Got: 4280
Checksum failed. Expected: 4bab, Got: 2c26
Checksum failed. Expected: 1b75, Got: 341f
Checksum failed. Expected: d261, Got: ef60
Checksum failed. Expected: 6f3a, Got: 04dd
Checksum failed. Expected: 2ed2, Got: 38a4
Checksum failed. Expected: 8de5, Got: 4d0b
Checksum failed. Expected: 8c4c, Got: 4ae4
Checksum failed. Expected: da3f, Got: 3459
Checksum failed. Expected: 9aa6, Got: 3380
Checksum failed. Expected: 5117, Got: 3b73
Checksum failed. Expected: d8f2, Got: 53dc
Checksum failed. Expected: b77c, Got: 2844
Checksum failed. Expected: 301b, Got: 0c47
Checksum failed. Expected: 2f76, Got: 2749
Checksum failed. Expected: faa6, Got: 2696
Checksum failed. Expected: 7dcb, Got: 48b7
Checksum failed. Expected: 55c3, Got: 4c6c
Checksum failed. Expected: a2d7, Got: 1935
Checksum failed. Expected: 1ed2, Got: 3620
Checksum failed. Expected: 81dd, Got: 41e8
Checksum failed. Expected: fd0e, Got: 304e
Checksum failed. Expected: 0e08, Got: 32f7
Checksum failed. Expected: 8e27, Got: 1faa
Checksum failed. Expected: 80bf, Got: 3baa
Checksum failed. Expected: 4948, Got: 3796
Checksum failed. Expected: 0193, Got: 4253
Checksum failed. Expected: d80c, Got: 19d9
Checksum failed. Expected: c0b3, Got: 2d37
Checksum failed. Expected: b231, Got: 35c2
Checksum failed. Expected: 6cae, Got: 4cd9
Checksum failed. Expected: f1e3, Got: 2a65
Checksum failed. Expected: b1c8, Got: 427f
Checksum failed. Expected: bc00, Got: 72d3
Checksum failed. Expected: 9397, Got: 6313
Checksum failed. Expected: 6f62, Got: 53ff
Checksum failed. Expected: c845, Got: 5f68
Checksum failed. Expected: 3b12, Got: 519e
Checksum failed. Expected: 94ec, Got: 3f83
Checksum failed. Expected: 0322, Got: 41cc
Checksum failed. Expected: 9599, Got: 25bf
Checksum failed. Expected: 4c75, Got: 4f86
Checksum failed. Expected: badb, Got: fbfa
Checksum failed. Expected: 95b0, Got: 2dd9
Checksum failed. Expected: 87b4, Got: c953
Checksum failed. Expected: 15e5, Got: 4a5d
Checksum failed. Expected: 33ae, Got: c54e
Checksum failed. Expected: 14c3, Got: 0186
Checksum failed. Expected: e4f7, Got: c437
Checksum failed. Expected: a4bf, Got: 57cc
Checksum failed. Expected: 8826, Got: e802
Checksum failed. Expected: 2702, Got: b42b
Checksum failed. Expected: c24a, Got: a3b6
Checksum failed. Expected: 72a3, Got: c8ae
Checksum failed. Expected: 0a4a, Got: dfb3
Checksum failed. Expected: d24d, Got: 701f
Checksum failed. Expected: b407, Got: afdb
Checksum failed. Expected: dfde, Got: 2115
Checksum failed. Expected: ef23, Got: d463
Checksum failed. Expected: 26ca, Got: 53f4
Checksum failed. Expected: d07c, Got: 91fa
Checksum failed. Expected: 93b1, Got: 2015
Checksum failed. Expected: d6ec, Got: ab35
Checksum failed. Expected: 5a7d, Got: a603
Checksum failed. Expected: e1c4, Got: b22c
Checksum failed. Expected: 5740, Got: 13a4
Checksum failed. Expected: 16ec, Got: da66
Checksum failed. Expected: cc11, Got: 2497
Checksum failed. Expected: 654f, Got: 5e80
Checksum failed. Expected: bfbc, Got: 417e
