
#################################################################
Log started at 2025-06-12_13-38-02 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 160f, Got: 2333
Checksum failed. Expected: 04dc, Got: 8c30
Checksum failed. Expected: 48fb, Got: a414
Checksum failed. Expected: bdcf, Got: 9049
Checksum failed. Expected: 0648, Got: 157a
Checksum failed. Expected: 65dd, Got: 63f4
Checksum failed. Expected: 1f9c, Got: 38cb
Checksum failed. Expected: 4540, Got: d665
Checksum failed. Expected: a597, Got: 0870
Checksum failed. Expected: 897b, Got: 3b54
Checksum failed. Expected: 0693, Got: 241a
Checksum failed. Expected: 4f59, Got: 185d
Checksum failed. Expected: 2df8, Got: 5bfb
Checksum failed. Expected: 8007, Got: f313
Checksum failed. Expected: a491, Got: 2782
Checksum failed. Expected: 951a, Got: 2a24
Checksum failed. Expected: d1c9, Got: 9f72
Checksum failed. Expected: e2c5, Got: f702
Checksum failed. Expected: 6f29, Got: b491
Checksum failed. Expected: 2659, Got: dbfa
Checksum failed. Expected: 0e86, Got: 5beb
Checksum failed. Expected: c1be, Got: 7410
Checksum failed. Expected: 04b9, Got: 2f3b
Checksum failed. Expected: c17d, Got: 0fe8
Checksum failed. Expected: 65a3, Got: 72bf
Checksum failed. Expected: 1f53, Got: 886d
Checksum failed. Expected: 31eb, Got: 2978
Checksum failed. Expected: 262d, Got: f9fa
Checksum failed. Expected: bb59, Got: 595c
Checksum failed. Expected: 7a80, Got: 86d2
Checksum failed. Expected: 704d, Got: dc84
Checksum failed. Expected: 0764, Got: 161a
Checksum failed. Expected: ce05, Got: bd46
Checksum failed. Expected: cab0, Got: 629c
Checksum failed. Expected: d0fd, Got: df28
Checksum failed. Expected: 2f78, Got: 7d4f
Checksum failed. Expected: 29f4, Got: cf7c
Checksum failed. Expected: 47dd, Got: 830f
Checksum failed. Expected: 6c1d, Got: 0691
Checksum failed. Expected: 1765, Got: 6487
Checksum failed. Expected: 1007, Got: ee78
Checksum failed. Expected: 091d, Got: a096
Checksum failed. Expected: 8d02, Got: 5d21
Checksum failed. Expected: 47fc, Got: 337e
Checksum failed. Expected: a9b3, Got: f5ce
Checksum failed. Expected: c180, Got: 8012
Checksum failed. Expected: 4f74, Got: 1e29
Checksum failed. Expected: 0608, Got: 9bf5
Checksum failed. Expected: 6a50, Got: 291a

Exiting...
