
#################################################################
Log started at 2025-06-12_16-20-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 6a72, Got: 3334
Checksum failed. Expected: b278, Got: a1cb
Checksum failed. Expected: 7ab9, Got: 1063
Checksum failed. Expected: 4e67, Got: 7efa
Checksum failed. Expected: 4ec5, Got: ed92
Checksum failed. Expected: 1a0b, Got: 5c29
Checksum failed. Expected: 742c, Got: cac1
Checksum failed. Expected: 55ac, Got: 3958
Checksum failed. Expected: 1cc3, Got: a7f0
Checksum failed. Expected: 9e11, Got: 1688
Checksum failed. Expected: c555, Got: 851f
Checksum failed. Expected: eba7, Got: f3b7
Checksum failed. Expected: dbf9, Got: 624e
Checksum failed. Expected: 142a, Got: d0e6
Checksum failed. Expected: 6d46, Got: 3f7d
Checksum failed. Expected: 98c9, Got: ae15
Checksum failed. Expected: 238d, Got: 1cac
Checksum failed. Expected: 7b9a, Got: 8b44
Checksum failed. Expected: 1975, Got: f9db
Checksum failed. Expected: 3db2, Got: 6873
Checksum failed. Expected: 7d54, Got: d70b
Checksum failed. Expected: 5650, Got: 45a2
Checksum failed. Expected: a707, Got: b43a
Checksum failed. Expected: e151, Got: 22d1
Checksum failed. Expected: 2ed0, Got: 9169
Checksum failed. Expected: 78e3, Got: 0000
Checksum failed. Expected: 7086, Got: 6e98
Checksum failed. Expected: 26c5, Got: dd2f
Checksum failed. Expected: 3e46, Got: 4bc7
Checksum failed. Expected: b5fe, Got: ba5f
Checksum failed. Expected: db30, Got: 28f6
Checksum failed. Expected: 3781, Got: 978e
Checksum failed. Expected: 27bf, Got: 0625
Checksum failed. Expected: 0842, Got: 74bd
Checksum failed. Expected: 7793, Got: e354
Checksum failed. Expected: 7b86, Got: 7ae2
Checksum failed. Expected: 1365, Got: e979
Checksum failed. Expected: 5532, Got: 5811
Checksum failed. Expected: ab08, Got: c6a8
Checksum failed. Expected: 93fd, Got: 3540
Checksum failed. Expected: bc5d, Got: a3d7
Checksum failed. Expected: 8168, Got: 126f
Checksum failed. Expected: 06d0, Got: 8106
Checksum failed. Expected: efcc, Got: ef9e
Checksum failed. Expected: fdce, Got: 5e36
Checksum failed. Expected: e9cc, Got: cccd
Checksum failed. Expected: 9ce7, Got: 3b65
Checksum failed. Expected: 9271, Got: a9fc
Checksum failed. Expected: 5452, Got: 1894
Checksum failed. Expected: cbd4, Got: 872b
Checksum failed. Expected: 90e4, Got: f5c3
Checksum failed. Expected: 30d6, Got: 645a
Checksum failed. Expected: 6c53, Got: d2f2
Checksum failed. Expected: 412b, Got: 418a
Checksum failed. Expected: a3a9, Got: b021
Checksum failed. Expected: 9c78, Got: 1eb9
Checksum failed. Expected: f9c4, Got: 8d50
Checksum failed. Expected: 99c2, Got: fbe8
Checksum failed. Expected: 2062, Got: 6a7f
Checksum failed. Expected: fda1, Got: d917
Checksum failed. Expected: ef07, Got: 47ae
Checksum failed. Expected: fade, Got: b646
Checksum failed. Expected: 6090, Got: 24de
Checksum failed. Expected: a77b, Got: 9375
Checksum failed. Expected: ae0e, Got: 020d
Checksum failed. Expected: 29ea, Got: 70a4
Checksum failed. Expected: 0652, Got: df3c
Checksum failed. Expected: b838, Got: 4dd3
Checksum failed. Expected: 87c7, Got: bc6b
Checksum failed. Expected: 94a7, Got: 2b02
Checksum failed. Expected: b7ba, Got: 999a
Checksum failed. Expected: 0c9e, Got: 0832
Checksum failed. Expected: fbc6, Got: 76c9
Checksum failed. Expected: fa16, Got: e561
Checksum failed. Expected: 8e4c, Got: 53f8
Checksum failed. Expected: 4e15, Got: c290
Checksum failed. Expected: 24db, Got: 3127
Checksum failed. Expected: 6588, Got: 9fbf
Checksum failed. Expected: 76a8, Got: 0e56
Checksum failed. Expected: ca75, Got: 7cee
Checksum failed. Expected: 772a, Got: eb85
Checksum failed. Expected: 7b9f, Got: 5a1d
Checksum failed. Expected: 37fd, Got: c8b5
Checksum failed. Expected: aca1, Got: 374c
Checksum failed. Expected: 3764, Got: a5e4
Checksum failed. Expected: 9c28, Got: 147b
Checksum failed. Expected: 38d9, Got: 8313
Checksum failed. Expected: ad76, Got: f1aa
Checksum failed. Expected: 8045, Got: 6042
Checksum failed. Expected: 0c0f, Got: ced9
Checksum failed. Expected: 521c, Got: 3d71
Checksum failed. Expected: 0a38, Got: ac09
Checksum failed. Expected: 208a, Got: 1aa0
Checksum failed. Expected: 9971, Got: 8938
Checksum failed. Expected: a328, Got: f7cf
Checksum failed. Expected: 117d, Got: 6667
Checksum failed. Expected: 16d9, Got: d4fe
Checksum failed. Expected: 8b90, Got: 4396
Checksum failed. Expected: d7ce, Got: b22d
Checksum failed. Expected: 5c51, Got: 20c5
Checksum failed. Expected: a687, Got: 8f5d
Checksum failed. Expected: 4354, Got: fdf4
Checksum failed. Expected: d26b, Got: 6c8c
Checksum failed. Expected: aa5d, Got: db23
Checksum failed. Expected: 42c7, Got: 49bb
Checksum failed. Expected: da2b, Got: b852
Checksum failed. Expected: cfce, Got: 26ea
Checksum failed. Expected: e856, Got: 9581
Checksum failed. Expected: 35c9, Got: 0419
Checksum failed. Expected: 9303, Got: 72b0
Checksum failed. Expected: 4fa9, Got: e148
Checksum failed. Expected: 2deb, Got: 4fe0
Checksum failed. Expected: 576d, Got: be77
Checksum failed. Expected: b07c, Got: 2d0f
Checksum failed. Expected: b6f2, Got: 9ba6
Checksum failed. Expected: 43ed, Got: 0a3e
Checksum failed. Expected: a679, Got: 78d5
Checksum failed. Expected: c037, Got: e76d
Checksum failed. Expected: c48d, Got: 5604
Checksum failed. Expected: 6ffa, Got: c49c
Checksum failed. Expected: 54be, Got: 3334
Checksum failed. Expected: 7278, Got: a1cb
Checksum failed. Expected: 5fbf, Got: 1063
Checksum failed. Expected: 06f7, Got: 7efa
Checksum failed. Expected: 8763, Got: ed92
Checksum failed. Expected: dd35, Got: 5c29
Checksum failed. Expected: ca60, Got: cac1
Checksum failed. Expected: b350, Got: 3958
Checksum failed. Expected: e325, Got: a7f0
Checksum failed. Expected: 319b, Got: 1688
Checksum failed. Expected: 7de5, Got: 851f
Checksum failed. Expected: 6f5f, Got: f3b7
Checksum failed. Expected: d1ed, Got: 624e
Checksum failed. Expected: d646, Got: d0e6
Checksum failed. Expected: 4f22, Got: 3f7d
Checksum failed. Expected: 271b, Got: ae15
Checksum failed. Expected: 4921, Got: 1cac
Checksum failed. Expected: 332a, Got: 8b44
Checksum failed. Expected: 8e5b, Got: f9db
Checksum failed. Expected: 6ee0, Got: 6873
Checksum failed. Expected: 625a, Got: d70b
Checksum failed. Expected: a1ea, Got: 45a2
Checksum failed. Expected: 5619, Got: b43a
Checksum failed. Expected: c657, Got: 22d1
Checksum failed. Expected: 37ce, Got: 9169
Checksum failed. Expected: 94eb, Got: 0000
Checksum failed. Expected: 35cc, Got: 6e98
Checksum failed. Expected: 9881, Got: dd2f
Checksum failed. Expected: 0062, Got: 4bc7
