
#################################################################
Log started at 2025-06-13_15-59-00 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 46ed, Got: 1f59
Checksum failed. Expected: dedd, Got: 1f59
Checksum failed. Expected: d583, Got: 1f59
Checksum failed. Expected: 9a35, Got: 1f59
Checksum failed. Expected: 4b1f, Got: 1f59
Checksum failed. Expected: dfe7, Got: 1f59
Checksum failed. Expected: 5dd3, Got: 1f59
Checksum failed. Expected: f5c3, Got: 1f59
Checksum failed. Expected: 11db, Got: 1f59
Checksum failed. Expected: 8459, Got: 1f59
Checksum failed. Expected: c3cf, Got: 1f59
Checksum failed. Expected: 066d, Got: 1f59
Checksum failed. Expected: 60f1, Got: 1f59
Checksum failed. Expected: 3c89, Got: 1f59
Checksum failed. Expected: 834f, Got: 1f59
Checksum failed. Expected: c90b, Got: 1f59
Checksum failed. Expected: 5797, Got: 1f59
Checksum failed. Expected: 72a5, Got: 1f59
Checksum failed. Expected: 3861, Got: 1f59
Checksum failed. Expected: 12e5, Got: 1f59
Checksum failed. Expected: 59ab, Got: 1f59
Checksum failed. Expected: 8ebd, Got: 1f59
Checksum failed. Expected: f2a5, Got: 1f59
Checksum failed. Expected: fe1d, Got: 1f59
Checksum failed. Expected: b96b, Got: 1f59
Checksum failed. Expected: 4c29, Got: 1f59
Checksum failed. Expected: 3fa7, Got: 1f59
Checksum failed. Expected: abdf, Got: 1f59
Checksum failed. Expected: 90d1, Got: 1f59
Checksum failed. Expected: 3861, Got: 1f59
Checksum failed. Expected: 1b3f, Got: 1f59
Checksum failed. Expected: 0459, Got: 1f59
Checksum failed. Expected: e419, Got: 1f59
Checksum failed. Expected: 5583, Got: 1f59
Checksum failed. Expected: dab5, Got: 1f59
Checksum failed. Expected: 5583, Got: 1f59
Checksum failed. Expected: 5cc9, Got: 1f59
Checksum failed. Expected: 568d, Got: 1f59
Checksum failed. Expected: 992b, Got: 1f59
Checksum failed. Expected: 396b, Got: 1f59
Checksum failed. Expected: 6205, Got: 1f59
Checksum failed. Expected: 46ed, Got: 1f59
Checksum failed. Expected: 2071, Got: 1f59
Checksum failed. Expected: f6cd, Got: 1f59
Checksum failed. Expected: 7091, Got: 1f59
Checksum failed. Expected: f091, Got: 1f59
Checksum failed. Expected: f4b9, Got: 1f59
Checksum failed. Expected: 6b5f, Got: 1f59
Checksum failed. Expected: ed73, Got: 1f59
Checksum failed. Expected: 9b3f, Got: 1f59
Checksum failed. Expected: f6cd, Got: 1f59
Checksum failed. Expected: 28c1, Got: 1f59
Checksum failed. Expected: d051, Got: 1f59
Checksum failed. Expected: 7d13, Got: 1f59
Checksum failed. Expected: 160d, Got: 1f59
Checksum failed. Expected: 1b3f, Got: 1f59
Checksum failed. Expected: 13ef, Got: 1f59
Checksum failed. Expected: 8881, Got: 1f59
Checksum failed. Expected: 3d93, Got: 1f59
Checksum failed. Expected: dab5, Got: 1f59
Checksum failed. Expected: 45e3, Got: 1f59
Checksum failed. Expected: dfe7, Got: 1f59
Checksum failed. Expected: e737, Got: 1f59
Checksum failed. Expected: eb5f, Got: 1f59
Checksum failed. Expected: 45e3, Got: 1f59
Checksum failed. Expected: ca15, Got: 1f59
Checksum failed. Expected: a7b7, Got: 1f59
Checksum failed. Expected: 1717, Got: 1f59
Checksum failed. Expected: 44d9, Got: 1f59
Checksum failed. Expected: f9eb, Got: 1f59
Checksum failed. Expected: e841, Got: 1f59
Checksum failed. Expected: 9c49, Got: 1f59
Checksum failed. Expected: 75c3, Got: 1f59
Checksum failed. Expected: 1c49, Got: 1f59
Checksum failed. Expected: e30f, Got: 1f59
Checksum failed. Expected: 396b, Got: 1f59
Checksum failed. Expected: 536f, Got: 1f59
Checksum failed. Expected: bb7f, Got: 1f59
Checksum failed. Expected: 364d, Got: 1f59
Checksum failed. Expected: 47f7, Got: 1f59
Checksum failed. Expected: 4d33, Got: 1f59
Checksum failed. Expected: dfe7, Got: 1f59
Checksum failed. Expected: f4b9, Got: 1f59
Checksum failed. Expected: ef87, Got: 1f59
Checksum failed. Expected: a5a3, Got: 1f59
Checksum failed. Expected: f6cd, Got: 1f59
Checksum failed. Expected: 6841, Got: 1f59
Checksum failed. Expected: 9b3f, Got: 1f59
Checksum failed. Expected: 238f, Got: 1f59
Checksum failed. Expected: 72a5, Got: 1f59
Checksum failed. Expected: eb5f, Got: 1f59
Checksum failed. Expected: 3fa7, Got: 1f59
Checksum failed. Expected: b757, Got: 1f59
Checksum failed. Expected: bb7f, Got: 1f59
Checksum failed. Expected: 91db, Got: 1f59
Checksum failed. Expected: d583, Got: 1f59
Checksum failed. Expected: 2071, Got: 1f59
Checksum failed. Expected: 834f, Got: 1f59
Checksum failed. Expected: 2efd, Got: 1f59
Checksum failed. Expected: b32f, Got: 1f59
Checksum failed. Expected: f9eb, Got: 1f59
Checksum failed. Expected: 6a55, Got: 1f59
Checksum failed. Expected: 7c09, Got: 1f59
Checksum failed. Expected: 76cd, Got: 1f59
Checksum failed. Expected: 160d, Got: 1f59
Checksum failed. Expected: ff27, Got: 1f59
Checksum failed. Expected: 1717, Got: 1f59
Checksum failed. Expected: a8c1, Got: 1f59
