
#################################################################
Log started at 2025-06-13_14-53-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 7d13, Got: 3675
Checksum failed. Expected: d598, Got: 6375
Checksum failed. Expected: 47d5, Got: 2e75
Checksum failed. Expected: a1f6, Got: f575
Checksum failed. Expected: e1f1, Got: b075
Checksum failed. Expected: 29e4, Got: 5b75
Checksum failed. Expected: 8dd4, Got: e775
Checksum failed. Expected: 0389, Got: 2675
Checksum failed. Expected: 3dc7, Got: 2a75
Checksum failed. Expected: bdb3, Got: 9675
Checksum failed. Expected: 954d, Got: 5875
Checksum failed. Expected: 412c, Got: 8b75
Checksum failed. Expected: 4789, Got: e275
Checksum failed. Expected: 258f, Got: 0a75
Checksum failed. Expected: 697f, Got: b675
Checksum failed. Expected: b7e5, Got: ce75
Checksum failed. Expected: 7be3, Got: 0875
Checksum failed. Expected: 0fd0, Got: 6175
Checksum failed. Expected: 234a, Got: c775
Checksum failed. Expected: 7122, Got: 5175
Checksum failed. Expected: f7ec, Got: 9575
Checksum failed. Expected: 9d83, Got: 8675
Checksum failed. Expected: bda2, Got: 8575
Checksum failed. Expected: 25e5, Got: 6075
Checksum failed. Expected: 1385, Got: 1275
Checksum failed. Expected: c5e7, Got: c275
Checksum failed. Expected: 992b, Got: 3275
Checksum failed. Expected: 7dc9, Got: ec75
Checksum failed. Expected: 8d37, Got: 4a75
Checksum failed. Expected: 9df5, Got: f875
Checksum failed. Expected: 8d26, Got: 3975
Checksum failed. Expected: db43, Got: 0875
Checksum failed. Expected: 274e, Got: c775
Checksum failed. Expected: 0546, Got: e175
Checksum failed. Expected: 9799, Got: a275
Checksum failed. Expected: ebbd, Got: 7275
Checksum failed. Expected: 53a1, Got: ee75
Checksum failed. Expected: db02, Got: c775
Checksum failed. Expected: 3972, Got: d975
Checksum failed. Expected: 23ca, Got: 4775
Checksum failed. Expected: 45d8, Got: 3375
Checksum failed. Expected: af1c, Got: 0d75
Checksum failed. Expected: 9372, Got: 7f75
Checksum failed. Expected: 7934, Got: 5b75
Checksum failed. Expected: 4bd6, Got: 2b75
Checksum failed. Expected: 7925, Got: 4c75
Checksum failed. Expected: 739c, Got: c975
Checksum failed. Expected: f9cd, Got: 7475
Checksum failed. Expected: 7f02, Got: 2375
Checksum failed. Expected: ab3c, Got: 3175
Checksum failed. Expected: e9c3, Got: 7a75
Checksum failed. Expected: 95a1, Got: ac75
Checksum failed. Expected: bfa2, Got: 8375
Checksum failed. Expected: c380, Got: 5d75
Checksum failed. Expected: eb0a, Got: bf75
Checksum failed. Expected: 1d62, Got: e575
Checksum failed. Expected: 5fe8, Got: 2975
Checksum failed. Expected: 6771, Got: aa75
Checksum failed. Expected: 4b3d, Got: 9275
Checksum failed. Expected: 2d97, Got: 0a75
Checksum failed. Expected: 0fae, Got: 3f75
Checksum failed. Expected: 695e, Got: 9575
Checksum failed. Expected: 3f92, Got: f375
Checksum failed. Expected: 35d4, Got: 3f75
Checksum failed. Expected: 5b36, Got: 7b75
Checksum failed. Expected: 3f39, Got: 9a75
Checksum failed. Expected: f368, Got: 1575
Checksum failed. Expected: 2ff2, Got: 6375
Checksum failed. Expected: d759, Got: 2275
Checksum failed. Expected: 61f3, Got: 3275
Checksum failed. Expected: 5b35, Got: 7a75
Checksum failed. Expected: 7b2e, Got: 5375
Checksum failed. Expected: 6d16, Got: 4975
Checksum failed. Expected: 879e, Got: b775
Checksum failed. Expected: f762, Got: 0b75
Checksum failed. Expected: 2b7e, Got: f375
Checksum failed. Expected: c16d, Got: 4c75
Checksum failed. Expected: 4123, Got: 8275
Checksum failed. Expected: 8f0b, Got: 1c75
Checksum failed. Expected: 9123, Got: 3275
Checksum failed. Expected: 27fe, Got: 7775
Checksum failed. Expected: 63f0, Got: 2d75
Checksum failed. Expected: 0b9b, Got: 3075
Checksum failed. Expected: 590a, Got: 5175
Checksum failed. Expected: 7975, Got: 9c75
Checksum failed. Expected: 9b74, Got: 7975
Checksum failed. Expected: a953, Got: 4a75
Checksum failed. Expected: 077f, Got: 1875
Checksum failed. Expected: c9a9, Got: 8075
Checksum failed. Expected: 23f6, Got: 7375
Checksum failed. Expected: 41ee, Got: 4d75
Checksum failed. Expected: 033d, Got: da75
Checksum failed. Expected: 1776, Got: ff75
Checksum failed. Expected: a703, Got: fc75
Checksum failed. Expected: d139, Got: 0875
Checksum failed. Expected: 3b9d, Got: 0275
Checksum failed. Expected: d54c, Got: 1775
Checksum failed. Expected: 8b1e, Got: 3375
Checksum failed. Expected: a152, Got: 5175
Checksum failed. Expected: e5fd, Got: b875
Checksum failed. Expected: 9309, Got: 1675
Checksum failed. Expected: 4f6d, Got: be75
Checksum failed. Expected: 4b1c, Got: 7175
Checksum failed. Expected: 3f8e, Got: ef75
Checksum failed. Expected: cb7a, Got: 4f75
Checksum failed. Expected: 134e, Got: db75
Checksum failed. Expected: 0db5, Got: 4875
Checksum failed. Expected: 0321, Got: be75
Checksum failed. Expected: fd59, Got: fc75
Checksum failed. Expected: afd8, Got: c975
Checksum failed. Expected: 8381, Got: 9e75
Checksum failed. Expected: fd34, Got: d775
Checksum failed. Expected: b1df, Got: ce75
Checksum failed. Expected: 0b20, Got: b575
