
#################################################################
Log started at 2025-06-13_16-01-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 948e, Got: 0942
Checksum failed. Expected: c101, Got: 0942
Checksum failed. Expected: ab60, Got: 0942
Checksum failed. Expected: c4b9, Got: 0942
Checksum failed. Expected: dc1b, Got: 0942
Checksum failed. Expected: bf19, Got: 0942
Checksum failed. Expected: 8ed7, Got: 0942
Checksum failed. Expected: 90a9, Got: 0942
Checksum failed. Expected: b7bf, Got: 0942
Checksum failed. Expected: 1f0d, Got: 0942
Checksum failed. Expected: bba9, Got: 0942
Checksum failed. Expected: e52b, Got: 0942
Checksum failed. Expected: 41b9, Got: 0942
Checksum failed. Expected: 2b18, Got: 0942
Checksum failed. Expected: 8896, Got: 0942
Checksum failed. Expected: e1df, Got: 0942
Checksum failed. Expected: 22bd, Got: 0942
Checksum failed. Expected: ff69, Got: 0942
Checksum failed. Expected: de2c, Got: 0942
Checksum failed. Expected: bbb7, Got: 0942
Checksum failed. Expected: 6da5, Got: 0942
Checksum failed. Expected: 94d6, Got: 0942
Checksum failed. Expected: 337f, Got: 0942
Checksum failed. Expected: 29ad, Got: 0942
Checksum failed. Expected: 252c, Got: 0942
Checksum failed. Expected: 24e5, Got: 0942
Checksum failed. Expected: dc47, Got: 0942
Checksum failed. Expected: b8d5, Got: 0942
Checksum failed. Expected: 1566, Got: 0942
Checksum failed. Expected: 4ea0, Got: 0942
Checksum failed. Expected: b07b, Got: 0942
Checksum failed. Expected: 7379, Got: 0942
Checksum failed. Expected: 7685, Got: 0942
Checksum failed. Expected: 3117, Got: 0942
Checksum failed. Expected: 4855, Got: 0942
Checksum failed. Expected: b807, Got: 0942
Checksum failed. Expected: 2dfd, Got: 0942
Checksum failed. Expected: 310b, Got: 0942
Checksum failed. Expected: 1739, Got: 0942
Checksum failed. Expected: dd75, Got: 0942
Checksum failed. Expected: d8f8, Got: 0942
Checksum failed. Expected: 5253, Got: 0942
Checksum failed. Expected: e208, Got: 0942
Checksum failed. Expected: 9d5b, Got: 0942
Checksum failed. Expected: 6279, Got: 0942
Checksum failed. Expected: a898, Got: 0942
Checksum failed. Expected: 62f3, Got: 0942
Checksum failed. Expected: c3df, Got: 0942
Checksum failed. Expected: 2811, Got: 0942
Checksum failed. Expected: d5a2, Got: 0942
Checksum failed. Expected: 555b, Got: 0942
Checksum failed. Expected: 31da, Got: 0942
Checksum failed. Expected: af75, Got: 0942
Checksum failed. Expected: f163, Got: 0942
Checksum failed. Expected: 5cef, Got: 0942
