
#################################################################
Log started at 2025-06-13_17-04-07 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=1.719143, Y=8.668123, Z=-5.036125 m/s^2 Time of Week: 464665.473000, Week Number: 2370
Acceleration: X=1.746116, Y=8.635050, Z=-5.076429 m/s^2 Time of Week: 464665.474000, Week Number: 2370
Acceleration: X=1.777454, Y=8.594590, Z=-5.108310 m/s^2 Time of Week: 464665.475000, Week Number: 2370
Acceleration: X=1.800234, Y=8.545961, Z=-5.139984 m/s^2 Time of Week: 464665.476000, Week Number: 2370
Acceleration: X=1.815629, Y=8.514525, Z=-5.154825 m/s^2 Time of Week: 464665.477000, Week Number: 2370
Acceleration: X=1.830502, Y=8.473137, Z=-5.178778 m/s^2 Time of Week: 464665.478000, Week Number: 2370
Acceleration: X=1.844879, Y=8.433082, Z=-5.189920 m/s^2 Time of Week: 464665.479000, Week Number: 2370
Acceleration: X=1.860846, Y=8.377343, Z=-5.202484 m/s^2 Time of Week: 464665.480000, Week Number: 2370
Acceleration: X=1.876760, Y=8.319591, Z=-5.216749 m/s^2 Time of Week: 464665.481000, Week Number: 2370
Acceleration: X=1.884063, Y=8.270046, Z=-5.226010 m/s^2 Time of Week: 464665.482000, Week Number: 2370
Acceleration: X=1.886125, Y=8.224893, Z=-5.225452 m/s^2 Time of Week: 464665.483000, Week Number: 2370
Acceleration: X=1.885150, Y=8.191745, Z=-5.223476 m/s^2 Time of Week: 464665.484000, Week Number: 2370
Acceleration: X=1.886687, Y=8.173668, Z=-5.226145 m/s^2 Time of Week: 464665.485000, Week Number: 2370
Acceleration: X=1.884296, Y=8.163855, Z=-5.230432 m/s^2 Time of Week: 464665.486000, Week Number: 2370
Acceleration: X=1.876820, Y=8.151967, Z=-5.228277 m/s^2 Time of Week: 464665.487000, Week Number: 2370
Acceleration: X=1.868548, Y=8.143212, Z=-5.219152 m/s^2 Time of Week: 464665.488000, Week Number: 2370
Acceleration: X=1.859215, Y=8.138820, Z=-5.211525 m/s^2 Time of Week: 464665.489000, Week Number: 2370
Acceleration: X=1.845084, Y=8.137326, Z=-5.206539 m/s^2 Time of Week: 464665.490000, Week Number: 2370
Acceleration: X=1.832096, Y=8.131530, Z=-5.193982 m/s^2 Time of Week: 464665.491000, Week Number: 2370
Acceleration: X=1.811249, Y=8.124771, Z=-5.176408 m/s^2 Time of Week: 464665.492000, Week Number: 2370
Acceleration: X=1.799895, Y=8.124126, Z=-5.164879 m/s^2 Time of Week: 464665.493000, Week Number: 2370
Acceleration: X=1.784875, Y=8.126729, Z=-5.157595 m/s^2 Time of Week: 464665.494000, Week Number: 2370
Acceleration: X=1.777597, Y=8.126452, Z=-5.146758 m/s^2 Time of Week: 464665.495000, Week Number: 2370
Acceleration: X=1.768562, Y=8.121892, Z=-5.130506 m/s^2 Time of Week: 464665.496000, Week Number: 2370
Acceleration: X=1.760024, Y=8.120832, Z=-5.114776 m/s^2 Time of Week: 464665.497000, Week Number: 2370
Acceleration: X=1.752090, Y=8.125174, Z=-5.107351 m/s^2 Time of Week: 464665.498000, Week Number: 2370
Acceleration: X=1.741142, Y=8.120386, Z=-5.095097 m/s^2 Time of Week: 464665.499000, Week Number: 2370
Acceleration: X=1.730820, Y=8.120178, Z=-5.082142 m/s^2 Time of Week: 464665.500000, Week Number: 2370
Acceleration: X=1.726110, Y=8.125162, Z=-5.074917 m/s^2 Time of Week: 464665.501000, Week Number: 2370
Acceleration: X=1.730080, Y=8.135037, Z=-5.065422 m/s^2 Time of Week: 464665.502000, Week Number: 2370
Acceleration: X=1.732472, Y=8.136996, Z=-5.065388 m/s^2 Time of Week: 464665.503000, Week Number: 2370
Acceleration: X=1.730363, Y=8.137510, Z=-5.059924 m/s^2 Time of Week: 464665.504000, Week Number: 2370
Acceleration: X=1.728002, Y=8.131282, Z=-5.052705 m/s^2 Time of Week: 464665.505000, Week Number: 2370
Acceleration: X=1.726989, Y=8.125224, Z=-5.048689 m/s^2 Time of Week: 464665.506000, Week Number: 2370
Acceleration: X=1.726275, Y=8.114202, Z=-5.042701 m/s^2 Time of Week: 464665.507000, Week Number: 2370
Acceleration: X=1.727006, Y=8.108826, Z=-5.032155 m/s^2 Time of Week: 464665.508000, Week Number: 2370
Acceleration: X=1.724905, Y=8.095303, Z=-5.020472 m/s^2 Time of Week: 464665.509000, Week Number: 2370
Acceleration: X=1.721156, Y=8.080204, Z=-5.011698 m/s^2 Time of Week: 464665.510000, Week Number: 2370
Acceleration: X=1.722469, Y=8.066015, Z=-5.007266 m/s^2 Time of Week: 464665.511000, Week Number: 2370
Acceleration: X=1.720485, Y=8.053918, Z=-5.004364 m/s^2 Time of Week: 464665.512000, Week Number: 2370
Acceleration: X=1.716317, Y=8.039664, Z=-5.012287 m/s^2 Time of Week: 464665.513000, Week Number: 2370
Acceleration: X=1.709328, Y=8.030805, Z=-5.019672 m/s^2 Time of Week: 464665.514000, Week Number: 2370
Acceleration: X=1.700278, Y=8.015886, Z=-5.020983 m/s^2 Time of Week: 464665.515000, Week Number: 2370
Acceleration: X=1.705303, Y=7.997186, Z=-5.023048 m/s^2 Time of Week: 464665.516000, Week Number: 2370
Acceleration: X=1.706455, Y=7.981292, Z=-5.028071 m/s^2 Time of Week: 464665.517000, Week Number: 2370
Acceleration: X=1.712537, Y=7.968308, Z=-5.027930 m/s^2 Time of Week: 464665.518000, Week Number: 2370
Acceleration: X=1.723914, Y=7.956036, Z=-5.023807 m/s^2 Time of Week: 464665.519000, Week Number: 2370
Acceleration: X=1.748850, Y=7.940663, Z=-5.030926 m/s^2 Time of Week: 464665.520000, Week Number: 2370
Acceleration: X=1.774347, Y=7.934555, Z=-5.036708 m/s^2 Time of Week: 464665.521000, Week Number: 2370
Acceleration: X=1.800902, Y=7.929835, Z=-5.033547 m/s^2 Time of Week: 464665.522000, Week Number: 2370
Acceleration: X=1.829066, Y=7.925890, Z=-5.031398 m/s^2 Time of Week: 464665.523000, Week Number: 2370
Acceleration: X=1.847640, Y=7.921230, Z=-5.033160 m/s^2 Time of Week: 464665.524000, Week Number: 2370
Acceleration: X=1.871161, Y=7.917736, Z=-5.026284 m/s^2 Time of Week: 464665.525000, Week Number: 2370
Acceleration: X=1.885477, Y=7.921900, Z=-5.015104 m/s^2 Time of Week: 464665.526000, Week Number: 2370
Acceleration: X=1.891684, Y=7.928806, Z=-5.006959 m/s^2 Time of Week: 464665.527000, Week Number: 2370
Acceleration: X=1.895104, Y=7.946423, Z=-4.992741 m/s^2 Time of Week: 464665.528000, Week Number: 2370
