
#################################################################
Log started at 2025-06-12_16-20-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d84f, Got: a9fc
Checksum failed. Expected: e32e, Got: 1894
Checksum failed. Expected: 2d3a, Got: 872b
Checksum failed. Expected: 9534, Got: f5c3
Checksum failed. Expected: a870, Got: 645a
Checksum failed. Expected: a8a5, Got: d2f2
Checksum failed. Expected: 369b, Got: 418a
Checksum failed. Expected: e117, Got: b021
Checksum failed. Expected: b6ee, Got: 1eb9
Checksum failed. Expected: 95ee, Got: 47ae
Checksum failed. Expected: 4c64, Got: b646
Checksum failed. Expected: d938, Got: 24de
Checksum failed. Expected: c1f1, Got: 9375
Checksum failed. Expected: 2ae0, Got: 020d
Checksum failed. Expected: 2d2c, Got: 70a4
Checksum failed. Expected: b818, Got: df3c
Checksum failed. Expected: 78c2, Got: 4dd3
Checksum failed. Expected: eb49, Got: bc6b
Checksum failed. Expected: 3efd, Got: 2b02
Checksum failed. Expected: 70e2, Got: 999a
Checksum failed. Expected: 45c6, Got: 0832
Checksum failed. Expected: 67b8, Got: 76c9
Checksum failed. Expected: 3992, Got: e561
Checksum failed. Expected: 73dc, Got: 53f8
Checksum failed. Expected: e77d, Got: c290
Checksum failed. Expected: 6573, Got: 3127
Checksum failed. Expected: 1fbe, Got: 9fbf
Checksum failed. Expected: 210c, Got: 0e56
Checksum failed. Expected: abcd, Got: 7cee
Checksum failed. Expected: 27d4, Got: eb85
Checksum failed. Expected: 8427, Got: 5a1d
Checksum failed. Expected: c2a1, Got: c8b5
Checksum failed. Expected: 56f7, Got: 374c
Checksum failed. Expected: 5f9e, Got: a5e4
Checksum failed. Expected: 16de, Got: 147b
Checksum failed. Expected: 437d, Got: 8313
Checksum failed. Expected: 261e, Got: f1aa
Checksum failed. Expected: 68ff, Got: 6042
Checksum failed. Expected: ec59, Got: ced9
Checksum failed. Expected: a178, Got: 3d71
Checksum failed. Expected: 83e0, Got: ac09
Checksum failed. Expected: 25da, Got: 1aa0
Checksum failed. Expected: 910b, Got: 8938
Checksum failed. Expected: cd7e, Got: f7cf
Checksum failed. Expected: 9c21, Got: 6667
Checksum failed. Expected: 72eb, Got: d4fe
Checksum failed. Expected: 2f92, Got: 4396
Checksum failed. Expected: 90f6, Got: b22d
Checksum failed. Expected: f8e3, Got: 20c5
Checksum failed. Expected: 61cb, Got: 8f5d
Checksum failed. Expected: c57a, Got: fdf4
Checksum failed. Expected: 2b53, Got: 6c8c
Checksum failed. Expected: afad, Got: db23
Checksum failed. Expected: 933f, Got: 49bb
Checksum failed. Expected: 1245, Got: b852
Checksum failed. Expected: 04be, Got: 26ea
Checksum failed. Expected: cde6, Got: 9581
Checksum failed. Expected: 1a59, Got: 0419
Checksum failed. Expected: 55a9, Got: 72b0
Checksum failed. Expected: f6d5, Got: e148
Checksum failed. Expected: 7c47, Got: 4fe0
Checksum failed. Expected: 6973, Got: be77
Checksum failed. Expected: 161a, Got: 2d0f
Checksum failed. Expected: 47ea, Got: 9ba6
Checksum failed. Expected: 06a1, Got: 0a3e
Checksum failed. Expected: 08df, Got: 78d5
Checksum failed. Expected: 425d, Got: e76d
Checksum failed. Expected: 8741, Got: 5604
Checksum failed. Expected: af84, Got: c49c
Checksum failed. Expected: df62, Got: 3334
Checksum failed. Expected: c4fe, Got: a1cb
