
#################################################################
Log started at 2025-06-12_16-19-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: a8a4, Got: 3503
Checksum failed. Expected: c433, Got: b38b
Checksum failed. Expected: 4d81, Got: 3770
Checksum failed. Expected: f6c0, Got: 3762
Checksum failed. Expected: b956, Got: b845
Checksum failed. Expected: d974, Got: 4132
Checksum failed. Expected: baee, Got: 3ab8
Checksum failed. Expected: 0fa3, Got: b188
Checksum failed. Expected: 7a31, Got: ae36
Checksum failed. Expected: c8c6, Got: 33fd
Checksum failed. Expected: cc26, Got: 2fa9
Checksum failed. Expected: b328, Got: 29c9
Checksum failed. Expected: 67c7, Got: 27b5
Checksum failed. Expected: 17d5, Got: a1c4
Checksum failed. Expected: d565, Got: 1bf1
Checksum failed. Expected: 0b17, Got: a480
Checksum failed. Expected: 0607, Got: 2b15
Checksum failed. Expected: ef56, Got: b10c
Checksum failed. Expected: 930f, Got: b384
Checksum failed. Expected: 49bc, Got: 22e0
Checksum failed. Expected: 4345, Got: 1bf5
Checksum failed. Expected: 079b, Got: 1c91
Checksum failed. Expected: ad81, Got: 1b3d
Checksum failed. Expected: a932, Got: 9cf1
Checksum failed. Expected: f6a5, Got: a243
Checksum failed. Expected: b512, Got: a539
Checksum failed. Expected: 9f8e, Got: 2f4b
Checksum failed. Expected: fe95, Got: a966
Checksum failed. Expected: 7bb5, Got: ad3d
Checksum failed. Expected: 1be6, Got: aa7a
Checksum failed. Expected: 1a45, Got: 9746
Checksum failed. Expected: aacf, Got: 2b61
Checksum failed. Expected: 6bcf, Got: afca
Checksum failed. Expected: 5615, Got: b2b3
Checksum failed. Expected: db18, Got: 56e2
Checksum failed. Expected: 69be, Got: b01c
Checksum failed. Expected: 4cdb, Got: 3092
Checksum failed. Expected: b5f6, Got: a724
Checksum failed. Expected: 7218, Got: a056
Checksum failed. Expected: 945a, Got: 1f48
Checksum failed. Expected: d345, Got: 1c4f
Checksum failed. Expected: 2aec, Got: 9532
Checksum failed. Expected: 872d, Got: 8da4
Checksum failed. Expected: c4a7, Got: 9e6d
Checksum failed. Expected: 2d8c, Got: a1e9
Checksum failed. Expected: 8ae8, Got: 1a12
Checksum failed. Expected: b855, Got: 9692
Checksum failed. Expected: 7f6a, Got: 98e8
Checksum failed. Expected: 0cf2, Got: 18ef
Checksum failed. Expected: 6e71, Got: 1338
Checksum failed. Expected: 039f, Got: 103d
Checksum failed. Expected: d945, Got: 8c88
Checksum failed. Expected: 69a3, Got: 8f06
Checksum failed. Expected: e845, Got: 87e3
Checksum failed. Expected: eb1b, Got: 18fa
Checksum failed. Expected: a0cd, Got: 92e1
Checksum failed. Expected: b4bd, Got: 9988
Checksum failed. Expected: d396, Got: 93b0
Checksum failed. Expected: f499, Got: 0897
Checksum failed. Expected: 0897, Got: 0ec2
Checksum failed. Expected: 2b91, Got: 9402
Checksum failed. Expected: 4e3c, Got: 9a41
Checksum failed. Expected: 8f4d, Got: 96f2
Checksum failed. Expected: 19f5, Got: 94c4
Checksum failed. Expected: 32c4, Got: 0b87
Checksum failed. Expected: 1572, Got: 8cb4
Checksum failed. Expected: 785f, Got: 5290
Checksum failed. Expected: 3730, Got: 13d6
Checksum failed. Expected: 47e1, Got: 9140
Checksum failed. Expected: 75c4, Got: 920c
Checksum failed. Expected: c7a5, Got: cf43
Checksum failed. Expected: a458, Got: 9113
Checksum failed. Expected: a09a, Got: a1d9
Checksum failed. Expected: b9ef, Got: aa4b
Checksum failed. Expected: e22b, Got: 17a4
Checksum failed. Expected: 20c1, Got: 9c73
Checksum failed. Expected: bc72, Got: bb9b
Checksum failed. Expected: 378f, Got: 1bf0
Checksum failed. Expected: 6f4f, Got: 583a
Checksum failed. Expected: 5de6, Got: 136b
Checksum failed. Expected: f762, Got: 1130
Checksum failed. Expected: 3513, Got: 2334
Checksum failed. Expected: 91f1, Got: 9bc7
Checksum failed. Expected: a7ca, Got: 1046
Checksum failed. Expected: 6f63, Got: acf1
Checksum failed. Expected: 286d, Got: 2e01
Checksum failed. Expected: 636c, Got: a4a6
Checksum failed. Expected: 3ea4, Got: 9dbb
Checksum failed. Expected: fc3c, Got: 9024
Checksum failed. Expected: b804, Got: 0d1b
Checksum failed. Expected: e625, Got: 118d
Checksum failed. Expected: 2044, Got: 93ef
Checksum failed. Expected: 1ad5, Got: 0bd8
Checksum failed. Expected: c878, Got: 0d3f
Checksum failed. Expected: e3cc, Got: 1170
Checksum failed. Expected: e29b, Got: 2056
Checksum failed. Expected: 0151, Got: 282d
Checksum failed. Expected: ca83, Got: a2e6
Checksum failed. Expected: a685, Got: 1e3c
Checksum failed. Expected: 63f5, Got: 998a
Checksum failed. Expected: 1e70, Got: 9afa
Checksum failed. Expected: 1bc7, Got: 9303
Checksum failed. Expected: 1e41, Got: 10b5
Checksum failed. Expected: 85c5, Got: 17de
Checksum failed. Expected: 0036, Got: 9a15
Checksum failed. Expected: b0d0, Got: 9dd6
Checksum failed. Expected: 1448, Got: 184e
Checksum failed. Expected: c5cf, Got: 9e60
Checksum failed. Expected: 5563, Got: 3059
Checksum failed. Expected: b194, Got: 3136
Checksum failed. Expected: c0bd, Got: 23a7
Checksum failed. Expected: f49f, Got: 1eda
Checksum failed. Expected: 05a9, Got: 94d6
Checksum failed. Expected: 6abc, Got: 9a3d
Checksum failed. Expected: 3e29, Got: 9b84
Checksum failed. Expected: 6d8d, Got: a1f3
Checksum failed. Expected: 642c, Got: a96d
Checksum failed. Expected: 65cf, Got: 2cb5
Checksum failed. Expected: fc3a, Got: 2e17
Checksum failed. Expected: a015, Got: b582
Checksum failed. Expected: 5567, Got: b3e2
Checksum failed. Expected: 532f, Got: 2d96
Checksum failed. Expected: daf5, Got: a668
Checksum failed. Expected: 5af6, Got: 15f7
Checksum failed. Expected: c8bc, Got: 9b20
Checksum failed. Expected: b09d, Got: 1cd5
Checksum failed. Expected: b38c, Got: 2d1e
Checksum failed. Expected: 263c, Got: 2d1f
Checksum failed. Expected: b6b0, Got: a72e
Checksum failed. Expected: 9797, Got: 9958
Checksum failed. Expected: d8fd, Got: 171f
Checksum failed. Expected: a7a1, Got: a12b
Checksum failed. Expected: 7a90, Got: 9dce
Checksum failed. Expected: 19ff, Got: 1721
Checksum failed. Expected: dd4d, Got: 1fc8
Checksum failed. Expected: 1b52, Got: 9f02
Checksum failed. Expected: 18e7, Got: 187a
Checksum failed. Expected: 6210, Got: 8cd4
Checksum failed. Expected: 769f, Got: 8ce8
Checksum failed. Expected: e54e, Got: 1739
Checksum failed. Expected: 4f48, Got: a479
Checksum failed. Expected: f69c, Got: b242
Checksum failed. Expected: d5ce, Got: ad23
Checksum failed. Expected: fe02, Got: 2bc3
Checksum failed. Expected: d5f2, Got: 2491
Checksum failed. Expected: efbe, Got: a760
Checksum failed. Expected: 1624, Got: b460
Checksum failed. Expected: c168, Got: 398b
Checksum failed. Expected: a8aa, Got: b43c
Checksum failed. Expected: 2f49, Got: 9a9e
Checksum failed. Expected: 22f9, Got: b2e1
Checksum failed. Expected: ee5b, Got: 2f3a
Checksum failed. Expected: ec70, Got: adcb
Checksum failed. Expected: eff9, Got: 30a1
Checksum failed. Expected: 973d, Got: 2e79
Checksum failed. Expected: 8429, Got: 3395
Checksum failed. Expected: 463e, Got: b40e
Checksum failed. Expected: b682, Got: 521f
Checksum failed. Expected: 926d, Got: 8fcd
Checksum failed. Expected: 6e1a, Got: 9724
Checksum failed. Expected: 586c, Got: 2462
Checksum failed. Expected: 1507, Got: a746
Checksum failed. Expected: 66a5, Got: a963
Checksum failed. Expected: 8547, Got: 20e8
Checksum failed. Expected: 6d18, Got: 92a0
Checksum failed. Expected: b314, Got: 95ad
Checksum failed. Expected: 9733, Got: 1820
Checksum failed. Expected: 282b, Got: a005
Checksum failed. Expected: a4fa, Got: 1243
Checksum failed. Expected: cfdc, Got: 18fd
Checksum failed. Expected: 2bbc, Got: 970e
Checksum failed. Expected: 8f31, Got: 18ba
Checksum failed. Expected: 6e0c, Got: 16d4
Checksum failed. Expected: a50d, Got: 893c
Checksum failed. Expected: faae, Got: 076d
Checksum failed. Expected: a440, Got: 0b15
Checksum failed. Expected: d48d, Got: 9290
Checksum failed. Expected: 4ebf, Got: 8b30
Checksum failed. Expected: b057, Got: 8370
Checksum failed. Expected: 3e45, Got: 12d7
Checksum failed. Expected: c5fe, Got: 967a
Checksum failed. Expected: 23c0, Got: 12a2
Checksum failed. Expected: 399f, Got: 9536
Checksum failed. Expected: a8c8, Got: 2063
Checksum failed. Expected: 954d, Got: 232c
Checksum failed. Expected: 4f1b, Got: a40c
Checksum failed. Expected: 7ba7, Got: 28f0
Checksum failed. Expected: 73fd, Got: 1d8f
Checksum failed. Expected: 0a86, Got: 9bd1
Checksum failed. Expected: f69c, Got: 1dbf
Checksum failed. Expected: 6d39, Got: a49e
Checksum failed. Expected: d4e6, Got: 2575
Checksum failed. Expected: c855, Got: a364
Checksum failed. Expected: 61a3, Got: 296d
Checksum failed. Expected: 7113, Got: 1ceb
Checksum failed. Expected: e06b, Got: 2453
Checksum failed. Expected: f96b, Got: acb2
Checksum failed. Expected: e113, Got: 2dbb
Checksum failed. Expected: d8b0, Got: 2c13
Checksum failed. Expected: 6f53, Got: b579
Checksum failed. Expected: 68ab, Got: 340b
Checksum failed. Expected: 09a2, Got: a900
Checksum failed. Expected: cb42, Got: 967b
Checksum failed. Expected: 3091, Got: b221
Checksum failed. Expected: 1bbc, Got: 2ff9
Checksum failed. Expected: 19b7, Got: 2dae
Checksum failed. Expected: 9c1f, Got: a1d4
Checksum failed. Expected: b002, Got: ab0d
Checksum failed. Expected: 2a93, Got: a6cc
Checksum failed. Expected: f30d, Got: 27be
Checksum failed. Expected: 3abb, Got: 26d1
Checksum failed. Expected: f687, Got: 94c8
Checksum failed. Expected: ab58, Got: 1461
Checksum failed. Expected: 9f2e, Got: 919d
Checksum failed. Expected: 6d48, Got: 95f3
Checksum failed. Expected: 86a5, Got: 1e18
Checksum failed. Expected: 7b02, Got: a271
Checksum failed. Expected: 3168, Got: 269b
Checksum failed. Expected: 9dae, Got: 9e88
Checksum failed. Expected: fba5, Got: 9530
Checksum failed. Expected: cfab, Got: 9544
Checksum failed. Expected: dc63, Got: 9bd2
Checksum failed. Expected: 80db, Got: a00f
Checksum failed. Expected: 6cf6, Got: 1692
Checksum failed. Expected: e004, Got: 94bc
Checksum failed. Expected: d40e, Got: 9b86
Checksum failed. Expected: 36f1, Got: a1cc
Checksum failed. Expected: cd01, Got: a39d
Checksum failed. Expected: ba90, Got: 268c
Checksum failed. Expected: fe8f, Got: af9c
Checksum failed. Expected: b0e5, Got: 2841
Checksum failed. Expected: 9e06, Got: 28bf
Checksum failed. Expected: 93be, Got: 27ce
Checksum failed. Expected: f21a, Got: 3117
Checksum failed. Expected: b57f, Got: 3339
Checksum failed. Expected: 5b08, Got: a95e
Checksum failed. Expected: 7ed8, Got: 2897
Checksum failed. Expected: ecae, Got: a528
Checksum failed. Expected: 28c0, Got: 2023
Checksum failed. Expected: e628, Got: a89d
Checksum failed. Expected: ac82, Got: 307c
Checksum failed. Expected: 4850, Got: a4d3
Checksum failed. Expected: 35ad, Got: 1e39
Checksum failed. Expected: b793, Got: 1a9f
Checksum failed. Expected: a27a, Got: 21d6
Checksum failed. Expected: 101b, Got: a9b3
Checksum failed. Expected: d206, Got: 2780
Checksum failed. Expected: 0f63, Got: 39fd
Checksum failed. Expected: 549b, Got: c033
Checksum failed. Expected: 0220, Got: 164d
Checksum failed. Expected: a394, Got: 812c
Checksum failed. Expected: a36c, Got: 05ef
Checksum failed. Expected: 867c, Got: 1e14
Checksum failed. Expected: 08fd, Got: 0d6f
Checksum failed. Expected: c7c8, Got: 0f45
Checksum failed. Expected: 1d98, Got: 0a71
Checksum failed. Expected: a047, Got: 0e7f
Checksum failed. Expected: 02a4, Got: 082b
Checksum failed. Expected: 498b, Got: 0ae8
Checksum failed. Expected: 4867, Got: 933d
Checksum failed. Expected: 0180, Got: a016
Checksum failed. Expected: 0187, Got: 1121
Checksum failed. Expected: 5728, Got: 1146
Checksum failed. Expected: 5344, Got: 8fb9
Checksum failed. Expected: 5e3b, Got: 102f
Checksum failed. Expected: d504, Got: 9dc0
Checksum failed. Expected: a79f, Got: af30
Checksum failed. Expected: 2347, Got: bc2c
Checksum failed. Expected: 106c, Got: 9922
Checksum failed. Expected: 4679, Got: 5672
Checksum failed. Expected: 14f7, Got: 58d6
Checksum failed. Expected: e893, Got: d82b
Checksum failed. Expected: fa83, Got: 54e6
Checksum failed. Expected: 08c5, Got: 13e0
Checksum failed. Expected: 8053, Got: 334c
Checksum failed. Expected: 2f74, Got: 1ecc
Checksum failed. Expected: 6d89, Got: 9b45
Checksum failed. Expected: 7045, Got: 57e5
Checksum failed. Expected: 684b, Got: 9792
Checksum failed. Expected: cb1c, Got: 5abd
Checksum failed. Expected: 4745, Got: d7c6
Checksum failed. Expected: e902, Got: ab0b
Checksum failed. Expected: a1fa, Got: a225
Checksum failed. Expected: 79ef, Got: 979c
Checksum failed. Expected: 8e44, Got: 498d
Checksum failed. Expected: 8407, Got: 0831
Checksum failed. Expected: 201a, Got: 91fd
Checksum failed. Expected: cb24, Got: 13c3
Checksum failed. Expected: 734c, Got: 138c
Checksum failed. Expected: e384, Got: 9ca1
Checksum failed. Expected: 0979, Got: a02c
Checksum failed. Expected: 1184, Got: 9aaf
Checksum failed. Expected: c562, Got: 0e92
Checksum failed. Expected: cf31, Got: 8931
Checksum failed. Expected: 598b, Got: 8832
Checksum failed. Expected: dc60, Got: fe1b
Checksum failed. Expected: 4af8, Got: 00f5
Checksum failed. Expected: 8aa0, Got: 8f91
Checksum failed. Expected: e67d, Got: 9009
Checksum failed. Expected: 287d, Got: 076c
