
#################################################################
Log started at 2025-06-12_16-19-23 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ce26, Got: d70b
Checksum failed. Expected: e478, Got: 45a2
Checksum failed. Expected: aa95, Got: b43a
Checksum failed. Expected: dd7d, Got: 22d1
Checksum failed. Expected: 0f82, Got: 9169
Checksum failed. Expected: dbb1, Got: 0000
Checksum failed. Expected: 71f8, Got: 6e98
Checksum failed. Expected: e6a9, Got: dd2f
Checksum failed. Expected: 5f78, Got: 4bc7
Checksum failed. Expected: 4b96, Got: ba5f
Checksum failed. Expected: 3efe, Got: 28f6
Checksum failed. Expected: 0961, Got: 978e
Checksum failed. Expected: 4a0d, Got: 0625
Checksum failed. Expected: d4ce, Got: 74bd
Checksum failed. Expected: 959b, Got: e354
Checksum failed. Expected: 5fe4, Got: 51ec
Checksum failed. Expected: f650, Got: c083
Checksum failed. Expected: 6275, Got: 2f1b
Checksum failed. Expected: ada5, Got: 9db3
Checksum failed. Expected: dc69, Got: 0c4a
Checksum failed. Expected: 2250, Got: 7ae2
Checksum failed. Expected: 2d35, Got: e979
Checksum failed. Expected: 7772, Got: 5811
Checksum failed. Expected: 3b4c, Got: c6a8
Checksum failed. Expected: afe9, Got: 3540
Checksum failed. Expected: 84b1, Got: a3d7
Checksum failed. Expected: d348, Got: 126f
Checksum failed. Expected: 3e44, Got: 8106
Checksum failed. Expected: 3d74, Got: ef9e
Checksum failed. Expected: c95a, Got: 5e36
Checksum failed. Expected: c538, Got: cccd
Checksum failed. Expected: 37c5, Got: 3b65
Checksum failed. Expected: c383, Got: a9fc
Checksum failed. Expected: dd34, Got: 1894
Checksum failed. Expected: 921a, Got: 872b
Checksum failed. Expected: 7906, Got: f5c3
Checksum failed. Expected: 4ede, Got: 645a
Checksum failed. Expected: a19d, Got: d2f2
Checksum failed. Expected: 1b7b, Got: 418a
Checksum failed. Expected: a637, Got: b021
Checksum failed. Expected: 7074, Got: 1eb9
Checksum failed. Expected: 27ac, Got: 8d50
Checksum failed. Expected: 469c, Got: fbe8
Checksum failed. Expected: 2728, Got: 6a7f
Checksum failed. Expected: 44e7, Got: d917
Checksum failed. Expected: 2889, Got: 47ae
Checksum failed. Expected: 4aa2, Got: b646
Checksum failed. Expected: 7736, Got: 24de
Checksum failed. Expected: 773f, Got: 9375
Checksum failed. Expected: 21bc, Got: 020d
Checksum failed. Expected: 2d86, Got: 70a4
Checksum failed. Expected: 125e, Got: df3c
Checksum failed. Expected: e1da, Got: 4dd3
Checksum failed. Expected: deed, Got: bc6b
Checksum failed. Expected: ede9, Got: 2b02
Checksum failed. Expected: 2414, Got: 999a
Checksum failed. Expected: 30fa, Got: 0832
Checksum failed. Expected: 8f42, Got: 76c9
Checksum failed. Expected: 8406, Got: e561
Checksum failed. Expected: 7fde, Got: 53f8
Checksum failed. Expected: b1e3, Got: c290
Checksum failed. Expected: 869b, Got: 3127
Checksum failed. Expected: 1f18, Got: 9fbf
Checksum failed. Expected: ee9c, Got: 0e56
Checksum failed. Expected: 4377, Got: 7cee
Checksum failed. Expected: 9da2, Got: eb85
Checksum failed. Expected: 254f, Got: 5a1d
Checksum failed. Expected: 397d, Got: c8b5
Checksum failed. Expected: c347, Got: 374c
Checksum failed. Expected: 4e0a, Got: a5e4
Checksum failed. Expected: 0112, Got: 147b
Checksum failed. Expected: 0681, Got: 8313
Checksum failed. Expected: a786, Got: f1aa
Checksum failed. Expected: 4245, Got: 6042
Checksum failed. Expected: 3b05, Got: ced9
Checksum failed. Expected: b3ce, Got: 3d71
Checksum failed. Expected: bf82, Got: ac09
Checksum failed. Expected: 09ac, Got: 1aa0
Checksum failed. Expected: 28a7, Got: 8938
Checksum failed. Expected: 86f6, Got: f7cf
Checksum failed. Expected: 8971, Got: 6667
Checksum failed. Expected: 1c91, Got: d4fe
Checksum failed. Expected: 9f0c, Got: 4396
Checksum failed. Expected: 137a, Got: b22d
Checksum failed. Expected: 892b, Got: 20c5
Checksum failed. Expected: 9827, Got: 8f5d
Checksum failed. Expected: e594, Got: fdf4
Checksum failed. Expected: 6803, Got: 6c8c
Checksum failed. Expected: e3df, Got: db23
Checksum failed. Expected: bcd7, Got: 49bb
Checksum failed. Expected: 86f7, Got: b852
Checksum failed. Expected: 525c, Got: 26ea
Checksum failed. Expected: 4d40, Got: 9581
Checksum failed. Expected: 55ed, Got: 0419
Checksum failed. Expected: 42f9, Got: 72b0
Checksum failed. Expected: 0f8d, Got: e148
Checksum failed. Expected: 4383, Got: 4fe0
Checksum failed. Expected: 8cb7, Got: be77
Checksum failed. Expected: dc48, Got: 2d0f
Checksum failed. Expected: 136c, Got: 9ba6
Checksum failed. Expected: 1f59, Got: 0a3e
Checksum failed. Expected: 34a1, Got: 78d5
Checksum failed. Expected: 3c63, Got: e76d
Checksum failed. Expected: 7c01, Got: 5604
Checksum failed. Expected: 4e90, Got: c49c
Checksum failed. Expected: 8a16, Got: 3334
Checksum failed. Expected: 94b8, Got: a1cb
Checksum failed. Expected: 7449, Got: 1063
Checksum failed. Expected: edfd, Got: 7efa
Checksum failed. Expected: 354b, Got: ed92
Checksum failed. Expected: 75e9, Got: 5c29
Checksum failed. Expected: e214, Got: cac1
Checksum failed. Expected: 1d80, Got: 3958
Checksum failed. Expected: 46f3, Got: a7f0
Checksum failed. Expected: 592f, Got: 1688
Checksum failed. Expected: 7093, Got: 851f
Checksum failed. Expected: 38c1, Got: f3b7
Checksum failed. Expected: 623f, Got: 624e
Checksum failed. Expected: cc1e, Got: d0e6
Checksum failed. Expected: 1776, Got: 3f7d
Checksum failed. Expected: 593b, Got: ae15
Checksum failed. Expected: 6a53, Got: 1cac
Checksum failed. Expected: d240, Got: 8b44
Checksum failed. Expected: 075d, Got: f9db
Checksum failed. Expected: 43ea, Got: 6873
Checksum failed. Expected: 3002, Got: d70b
Checksum failed. Expected: 18d0, Got: 45a2
Checksum failed. Expected: d461, Got: b43a
Checksum failed. Expected: e9a5, Got: 22d1
Checksum failed. Expected: a644, Got: 9169
Checksum failed. Expected: 0bc7, Got: 0000
Checksum failed. Expected: 77aa, Got: 6e98
Checksum failed. Expected: f5d9, Got: dd2f
Checksum failed. Expected: a8d4, Got: 4bc7
Checksum failed. Expected: 8958, Got: ba5f
Checksum failed. Expected: e254, Got: 28f6
Checksum failed. Expected: fd17, Got: 978e
Checksum failed. Expected: f18d, Got: 0625
Checksum failed. Expected: 5210, Got: 74bd
Checksum failed. Expected: a911, Got: e354
Checksum failed. Expected: ff02, Got: 51ec
Checksum failed. Expected: 32f6, Got: c083
Checksum failed. Expected: 0c1f, Got: 2f1b
Checksum failed. Expected: 2377, Got: 9db3
Checksum failed. Expected: 9c47, Got: 0c4a
Checksum failed. Expected: 4598, Got: 7ae2
Checksum failed. Expected: 44d5, Got: e979
Checksum failed. Expected: 690c, Got: 5811
Checksum failed. Expected: b448, Got: c6a8
Checksum failed. Expected: 446d, Got: 3540
Checksum failed. Expected: 49d5, Got: a3d7
Checksum failed. Expected: 7ac8, Got: 126f
Checksum failed. Expected: 101e, Got: 8106
Checksum failed. Expected: 377e, Got: ef9e
Checksum failed. Expected: 8e7e, Got: 5e36
Checksum failed. Expected: 524c, Got: cccd
Checksum failed. Expected: 5b1b, Got: 3b65
Checksum failed. Expected: 65bd, Got: a9fc
Checksum failed. Expected: 3562, Got: 1894
Checksum failed. Expected: adf2, Got: 872b
Checksum failed. Expected: c154, Got: f5c3
Checksum failed. Expected: 1c80, Got: 645a
Checksum failed. Expected: 66c1, Got: d2f2
Checksum failed. Expected: 3ca7, Got: 418a
Checksum failed. Expected: 7d57, Got: b021
Checksum failed. Expected: d012, Got: 1eb9
Checksum failed. Expected: 6028, Got: 8d50
Checksum failed. Expected: 747e, Got: fbe8
Checksum failed. Expected: fa10, Got: 6a7f
Checksum failed. Expected: 96c1, Got: d917
Checksum failed. Expected: 468b, Got: 47ae
Checksum failed. Expected: b804, Got: b646
Checksum failed. Expected: 20d2, Got: 24de
Checksum failed. Expected: 8bb5, Got: 9375
Checksum failed. Expected: 2dc2, Got: 020d
Checksum failed. Expected: abc8, Got: 70a4
Checksum failed. Expected: cacc, Got: df3c
Checksum failed. Expected: 7cb2, Got: 4dd3
Checksum failed. Expected: 3a53, Got: bc6b
Checksum failed. Expected: 08c1, Got: 2b02
Checksum failed. Expected: 3344, Got: 999a
Checksum failed. Expected: fe9c, Got: 0832
Checksum failed. Expected: 208e, Got: 76c9
Checksum failed. Expected: e7ce, Got: e561
Checksum failed. Expected: 2fdc, Got: 53f8
Checksum failed. Expected: b033, Got: c290
