
#################################################################
Log started at 2025-06-12_16-20-22 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c339, Got: 6e0c
Checksum failed. Expected: 768d, Got: f1ea
Checksum failed. Expected: b7d2, Got: 714f
Checksum failed. Expected: dfdc, Got: f6ed
Checksum failed. Expected: 5760, Got: 7f61
Checksum failed. Expected: ef79, Got: 8e38
Checksum failed. Expected: 481c, Got: 8a66
Checksum failed. Expected: 881f, Got: 0341
Checksum failed. Expected: 96d3, Got: 1274
Checksum failed. Expected: ea38, Got: 9716
Checksum failed. Expected: a971, Got: 1fb4
Checksum failed. Expected: f852, Got: 9a9c
Checksum failed. Expected: 997e, Got: a898
Checksum failed. Expected: 6277, Got: 38a9
Checksum failed. Expected: 9056, Got: bcf4
Checksum failed. Expected: 6f2c, Got: 329b
Checksum failed. Expected: 66cc, Got: 38c2
Checksum failed. Expected: 6567, Got: cdcd
Checksum failed. Expected: e725, Got: 55e6
Checksum failed. Expected: 0bf5, Got: d37b
Checksum failed. Expected: 9091, Got: e15c
Checksum failed. Expected: 7e2e, Got: 641c
Checksum failed. Expected: d5bd, Got: e902
Checksum failed. Expected: a3fd, Got: fdcd
Checksum failed. Expected: 30de, Got: ed39
Checksum failed. Expected: 67a4, Got: d6c7
Checksum failed. Expected: e148, Got: cbe7
Checksum failed. Expected: 8162, Got: 50a4
Checksum failed. Expected: 1fe2, Got: cbca
Checksum failed. Expected: 946a, Got: bdec
Checksum failed. Expected: 6020, Got: b982
Checksum failed. Expected: 73dc, Got: ad06
Checksum failed. Expected: cdcb, Got: 9e56
Checksum failed. Expected: 82cb, Got: 2510
Checksum failed. Expected: d476, Got: 9ff8
Checksum failed. Expected: 8740, Got: a675
Checksum failed. Expected: 320a, Got: 112a
Checksum failed. Expected: ac8d, Got: 8d78
Checksum failed. Expected: 467a, Got: 7daa
Checksum failed. Expected: 6ece, Got: 72e0
Checksum failed. Expected: d0eb, Got: 732d
Checksum failed. Expected: 654d, Got: ec64
Checksum failed. Expected: 81dd, Got: e5e2
Checksum failed. Expected: 58a3, Got: e904
Checksum failed. Expected: 262d, Got: df4b
Checksum failed. Expected: 1aa8, Got: d412
Checksum failed. Expected: 1aea, Got: d6d3
Checksum failed. Expected: 9923, Got: 5312
Checksum failed. Expected: 74db, Got: 5474
Checksum failed. Expected: 59b6, Got: 5b10
Checksum failed. Expected: f3b6, Got: 5710
Checksum failed. Expected: 28c2, Got: b1cf
Checksum failed. Expected: 2de2, Got: bf2d
Checksum failed. Expected: 9081, Got: 4086
Checksum failed. Expected: f293, Got: 395d
Checksum failed. Expected: 4986, Got: 7d9c
Checksum failed. Expected: 4f4d, Got: 812a
Checksum failed. Expected: b4d7, Got: c562
Checksum failed. Expected: d9d8, Got: c6ec
Checksum failed. Expected: e778, Got: 4d90
Checksum failed. Expected: 878c, Got: 0a14
Checksum failed. Expected: 09c1, Got: 48b4
Checksum failed. Expected: 33fe, Got: 0a8d
Checksum failed. Expected: 6ccb, Got: 0b76
Checksum failed. Expected: 8dce, Got: 0af9
Checksum failed. Expected: 076d, Got: cd9f
Checksum failed. Expected: e388, Got: 12a9
Checksum failed. Expected: c616, Got: 85aa
Checksum failed. Expected: 863d, Got: 3f6f
Checksum failed. Expected: ca35, Got: 3fd9
Checksum failed. Expected: ec3d, Got: 7c1d
Checksum failed. Expected: 99ed, Got: ba26
Checksum failed. Expected: cc2a, Got: 38ab
Checksum failed. Expected: f03a, Got: f87f
Checksum failed. Expected: 0fc4, Got: e7f1
Checksum failed. Expected: ef93, Got: 65a7
Checksum failed. Expected: fa0e, Got: 611e
Checksum failed. Expected: d6d7, Got: 6525
Checksum failed. Expected: fd3d, Got: ec8d
Checksum failed. Expected: b90a, Got: f131
