
#################################################################
Log started at 2025-06-12_16-19-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: a7a9, Got: 4025
Checksum failed. Expected: 2ef5, Got: c577
Checksum failed. Expected: eb5d, Got: c2fb
Checksum failed. Expected: 04c3, Got: 4efb
Checksum failed. Expected: d049, Got: e1dd
Checksum failed. Expected: 4ae8, Got: 37f7
Checksum failed. Expected: 6c41, Got: f8ae
Checksum failed. Expected: 1f68, Got: 8aa6
Checksum failed. Expected: 54e8, Got: 46ad
Checksum failed. Expected: 6d0a, Got: 85af
Checksum failed. Expected: 13cd, Got: ffd2
Checksum failed. Expected: 3153, Got: 051d
Checksum failed. Expected: 37d1, Got: 10ec
Checksum failed. Expected: f786, Got: 0f73
Checksum failed. Expected: 4e3e, Got: 06b4
Checksum failed. Expected: 8513, Got: 7b48
Checksum failed. Expected: 711e, Got: 7714
Checksum failed. Expected: 538e, Got: 768d
Checksum failed. Expected: 1ad7, Got: 807c
Checksum failed. Expected: 49bc, Got: 12a4
Checksum failed. Expected: ce4a, Got: a734
Checksum failed. Expected: e76b, Got: 2f40
Checksum failed. Expected: 2121, Got: b773
Checksum failed. Expected: 2736, Got: 3424
Checksum failed. Expected: 0814, Got: 3dc9
Checksum failed. Expected: 7260, Got: bd69
Checksum failed. Expected: da7c, Got: c7c8
Checksum failed. Expected: f3bd, Got: d9d5
Checksum failed. Expected: 6909, Got: ee4a
Checksum failed. Expected: 3ea4, Got: 1457
Checksum failed. Expected: d705, Got: 8ab5
Checksum failed. Expected: b10e, Got: e0b5
Checksum failed. Expected: 5d7d, Got: 13cc
Checksum failed. Expected: 1ec1, Got: ed55
Checksum failed. Expected: 9e47, Got: 2ef7
Checksum failed. Expected: 64c8, Got: b9e3
Checksum failed. Expected: a8cb, Got: ec96
Checksum failed. Expected: 9071, Got: a8b7
Checksum failed. Expected: 6b78, Got: 6d5d
Checksum failed. Expected: a4ed, Got: 2a82
Checksum failed. Expected: ca28, Got: 58e6
Checksum failed. Expected: fc80, Got: ee08
Checksum failed. Expected: 9f85, Got: d9ba
Checksum failed. Expected: 806f, Got: 643e
Checksum failed. Expected: 9ed4, Got: 7fca
Checksum failed. Expected: 8542, Got: 7fce
Checksum failed. Expected: 0936, Got: 7330
Checksum failed. Expected: 0d96, Got: bb44
Checksum failed. Expected: 0119, Got: f20a
Checksum failed. Expected: 5703, Got: 5acb
Checksum failed. Expected: f54f, Got: 8de2
Checksum failed. Expected: cbf4, Got: 0c80
Checksum failed. Expected: 8d9d, Got: 13b8
Checksum failed. Expected: 1dc6, Got: 645f
Checksum failed. Expected: 15c5, Got: 33c3
Checksum failed. Expected: ba94, Got: d339
Checksum failed. Expected: 080c, Got: 1ca6
Checksum failed. Expected: bb47, Got: 8c21
Checksum failed. Expected: ce52, Got: e30a
Checksum failed. Expected: cf4f, Got: 8653
Checksum failed. Expected: 8224, Got: 0e17
Checksum failed. Expected: 37b8, Got: acb8
