
#################################################################
Log started at 2025-06-16_16-27-12.465813 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.377544, Y=0.090683, Z=9.781774 m/s^2 Time of Week: 4.432000, Week Number: 0
Acceleration: X=0.409108, Y=0.081817, Z=9.804123 m/s^2 Time of Week: 4.726000, Week Number: 0
Acceleration: X=0.412679, Y=0.080599, Z=9.807040 m/s^2 Time of Week: 4.729000, Week Number: 0
Acceleration: X=0.414964, Y=0.090864, Z=9.809507 m/s^2 Time of Week: 4.732000, Week Number: 0
Acceleration: X=0.412728, Y=0.086054, Z=9.814438 m/s^2 Time of Week: 4.735000, Week Number: 0
Acceleration: X=0.409298, Y=0.088721, Z=9.816007 m/s^2 Time of Week: 4.738000, Week Number: 0
Acceleration: X=0.412309, Y=0.088870, Z=9.817900 m/s^2 Time of Week: 4.741000, Week Number: 0
Acceleration: X=0.408146, Y=0.086156, Z=9.820818 m/s^2 Time of Week: 4.744000, Week Number: 0
Acceleration: X=0.407244, Y=0.086873, Z=9.811126 m/s^2 Time of Week: 4.747000, Week Number: 0
Acceleration: X=0.411303, Y=0.084347, Z=9.807495 m/s^2 Time of Week: 4.750000, Week Number: 0
Acceleration: X=0.408152, Y=0.087976, Z=9.805569 m/s^2 Time of Week: 4.753000, Week Number: 0
Acceleration: X=0.405074, Y=0.086320, Z=9.797244 m/s^2 Time of Week: 4.756000, Week Number: 0
Acceleration: X=0.398007, Y=0.082598, Z=9.800660 m/s^2 Time of Week: 4.759000, Week Number: 0
Acceleration: X=0.396935, Y=0.088966, Z=9.804288 m/s^2 Time of Week: 4.762000, Week Number: 0
Acceleration: X=0.395884, Y=0.090348, Z=9.796980 m/s^2 Time of Week: 4.765000, Week Number: 0
Acceleration: X=0.397493, Y=0.085645, Z=9.794834 m/s^2 Time of Week: 4.768000, Week Number: 0
Acceleration: X=0.391720, Y=0.088771, Z=9.792486 m/s^2 Time of Week: 4.771000, Week Number: 0
Acceleration: X=0.389289, Y=0.086198, Z=9.793274 m/s^2 Time of Week: 4.774000, Week Number: 0
Acceleration: X=0.389149, Y=0.085606, Z=9.797349 m/s^2 Time of Week: 4.777000, Week Number: 0
Acceleration: X=0.386496, Y=0.093155, Z=9.799259 m/s^2 Time of Week: 4.780000, Week Number: 0
Acceleration: X=0.378770, Y=0.095287, Z=9.798681 m/s^2 Time of Week: 4.783000, Week Number: 0
Acceleration: X=0.385829, Y=0.095374, Z=9.798554 m/s^2 Time of Week: 4.786000, Week Number: 0
Acceleration: X=0.384865, Y=0.090023, Z=9.797368 m/s^2 Time of Week: 4.789000, Week Number: 0
Acceleration: X=0.383226, Y=0.092085, Z=9.794941 m/s^2 Time of Week: 4.792000, Week Number: 0
Acceleration: X=0.384508, Y=0.089468, Z=9.791186 m/s^2 Time of Week: 4.795000, Week Number: 0
Acceleration: X=0.381101, Y=0.085116, Z=9.795383 m/s^2 Time of Week: 4.798000, Week Number: 0
Acceleration: X=0.390264, Y=0.090289, Z=9.790867 m/s^2 Time of Week: 4.801000, Week Number: 0
Acceleration: X=0.392829, Y=0.081231, Z=9.788421 m/s^2 Time of Week: 4.804000, Week Number: 0
Acceleration: X=0.388411, Y=0.081946, Z=9.798767 m/s^2 Time of Week: 4.807000, Week Number: 0
Acceleration: X=0.392974, Y=0.080176, Z=9.805791 m/s^2 Time of Week: 4.810000, Week Number: 0
Acceleration: X=0.390924, Y=0.083072, Z=9.809256 m/s^2 Time of Week: 4.813000, Week Number: 0
Acceleration: X=0.392817, Y=0.074605, Z=9.803518 m/s^2 Time of Week: 4.816000, Week Number: 0
Acceleration: X=0.396273, Y=0.078080, Z=9.789038 m/s^2 Time of Week: 4.819000, Week Number: 0
Acceleration: X=0.392786, Y=0.080914, Z=9.792733 m/s^2 Time of Week: 4.822000, Week Number: 0
Acceleration: X=0.392218, Y=0.085198, Z=9.797748 m/s^2 Time of Week: 4.825000, Week Number: 0
Acceleration: X=0.397702, Y=0.086349, Z=9.797958 m/s^2 Time of Week: 4.828000, Week Number: 0
Acceleration: X=0.391492, Y=0.085850, Z=9.789854 m/s^2 Time of Week: 4.831000, Week Number: 0
Acceleration: X=0.395543, Y=0.090144, Z=9.795178 m/s^2 Time of Week: 4.834000, Week Number: 0
Acceleration: X=0.391240, Y=0.086892, Z=9.795997 m/s^2 Time of Week: 4.837000, Week Number: 0
Acceleration: X=0.399971, Y=0.086816, Z=9.802759 m/s^2 Time of Week: 4.840000, Week Number: 0
Acceleration: X=0.405833, Y=0.094173, Z=9.802132 m/s^2 Time of Week: 4.843000, Week Number: 0
Acceleration: X=0.404821, Y=0.094133, Z=9.804148 m/s^2 Time of Week: 4.846000, Week Number: 0
Acceleration: X=0.410002, Y=0.089428, Z=9.806436 m/s^2 Time of Week: 4.849000, Week Number: 0
Acceleration: X=0.411250, Y=0.097119, Z=9.809900 m/s^2 Time of Week: 4.852000, Week Number: 0
Acceleration: X=0.411600, Y=0.090322, Z=9.807147 m/s^2 Time of Week: 4.855000, Week Number: 0
Acceleration: X=0.415386, Y=0.086561, Z=9.811310 m/s^2 Time of Week: 4.858000, Week Number: 0
Acceleration: X=0.424834, Y=0.084561, Z=9.815615 m/s^2 Time of Week: 4.861000, Week Number: 0
Acceleration: X=0.422243, Y=0.080463, Z=9.812651 m/s^2 Time of Week: 4.864000, Week Number: 0
Acceleration: X=0.418676, Y=0.082384, Z=9.818940 m/s^2 Time of Week: 4.867000, Week Number: 0
Acceleration: X=0.412742, Y=0.081102, Z=9.811254 m/s^2 Time of Week: 4.870000, Week Number: 0
Acceleration: X=0.410530, Y=0.084849, Z=9.808443 m/s^2 Time of Week: 4.873000, Week Number: 0
Acceleration: X=0.402652, Y=0.076632, Z=9.808681 m/s^2 Time of Week: 4.876000, Week Number: 0
Acceleration: X=0.397769, Y=0.075075, Z=9.802016 m/s^2 Time of Week: 4.879000, Week Number: 0
Acceleration: X=0.399564, Y=0.082295, Z=9.798354 m/s^2 Time of Week: 4.882000, Week Number: 0
Acceleration: X=0.390091, Y=0.077766, Z=9.792627 m/s^2 Time of Week: 4.885000, Week Number: 0
Acceleration: X=0.394198, Y=0.077955, Z=9.785549 m/s^2 Time of Week: 4.888000, Week Number: 0
Acceleration: X=0.389762, Y=0.076122, Z=9.791964 m/s^2 Time of Week: 4.891000, Week Number: 0
Acceleration: X=0.383498, Y=0.085292, Z=9.799774 m/s^2 Time of Week: 4.894000, Week Number: 0
Acceleration: X=0.381833, Y=0.083255, Z=9.797513 m/s^2 Time of Week: 4.897000, Week Number: 0
Acceleration: X=0.377438, Y=0.085768, Z=9.786722 m/s^2 Time of Week: 4.900000, Week Number: 0
Acceleration: X=0.376199, Y=0.087642, Z=9.780476 m/s^2 Time of Week: 4.903000, Week Number: 0
Acceleration: X=0.383520, Y=0.089768, Z=9.784296 m/s^2 Time of Week: 4.906000, Week Number: 0
Acceleration: X=0.380282, Y=0.091421, Z=9.789324 m/s^2 Time of Week: 4.909000, Week Number: 0
Acceleration: X=0.379891, Y=0.088640, Z=9.798063 m/s^2 Time of Week: 4.912000, Week Number: 0
Acceleration: X=0.386035, Y=0.092119, Z=9.800356 m/s^2 Time of Week: 4.915000, Week Number: 0
Acceleration: X=0.387447, Y=0.094411, Z=9.793848 m/s^2 Time of Week: 4.918000, Week Number: 0
Acceleration: X=0.390077, Y=0.095509, Z=9.788305 m/s^2 Time of Week: 4.921000, Week Number: 0
Acceleration: X=0.390991, Y=0.098021, Z=9.801645 m/s^2 Time of Week: 4.924000, Week Number: 0
Acceleration: X=0.390755, Y=0.092867, Z=9.797694 m/s^2 Time of Week: 4.927000, Week Number: 0
Acceleration: X=0.398318, Y=0.087633, Z=9.798205 m/s^2 Time of Week: 4.930000, Week Number: 0
Acceleration: X=0.405533, Y=0.081470, Z=9.802672 m/s^2 Time of Week: 4.933000, Week Number: 0
Acceleration: X=0.414497, Y=0.076034, Z=9.801613 m/s^2 Time of Week: 4.936000, Week Number: 0
Acceleration: X=0.412280, Y=0.084283, Z=9.807816 m/s^2 Time of Week: 4.939000, Week Number: 0
Acceleration: X=0.407338, Y=0.075815, Z=9.817313 m/s^2 Time of Week: 4.942000, Week Number: 0
Acceleration: X=0.406967, Y=0.075482, Z=9.815674 m/s^2 Time of Week: 4.945000, Week Number: 0
Acceleration: X=0.410932, Y=0.077432, Z=9.818005 m/s^2 Time of Week: 4.948000, Week Number: 0
Acceleration: X=0.418838, Y=0.079748, Z=9.811284 m/s^2 Time of Week: 4.951000, Week Number: 0
Acceleration: X=0.411066, Y=0.078501, Z=9.803115 m/s^2 Time of Week: 4.954000, Week Number: 0
Acceleration: X=0.411092, Y=0.075384, Z=9.799988 m/s^2 Time of Week: 4.957000, Week Number: 0
Acceleration: X=0.410096, Y=0.089327, Z=9.808453 m/s^2 Time of Week: 4.960000, Week Number: 0
Acceleration: X=0.411994, Y=0.087337, Z=9.810009 m/s^2 Time of Week: 4.963000, Week Number: 0
Acceleration: X=0.406592, Y=0.086998, Z=9.816250 m/s^2 Time of Week: 4.966000, Week Number: 0
Acceleration: X=0.406694, Y=0.084103, Z=9.801032 m/s^2 Time of Week: 4.969000, Week Number: 0
Acceleration: X=0.396266, Y=0.087066, Z=9.803640 m/s^2 Time of Week: 4.972000, Week Number: 0
Acceleration: X=0.399344, Y=0.090667, Z=9.804599 m/s^2 Time of Week: 4.975000, Week Number: 0
Acceleration: X=0.398839, Y=0.087819, Z=9.804884 m/s^2 Time of Week: 4.978000, Week Number: 0
Acceleration: X=0.394896, Y=0.092729, Z=9.805632 m/s^2 Time of Week: 4.981000, Week Number: 0
Acceleration: X=0.392239, Y=0.096246, Z=9.806684 m/s^2 Time of Week: 4.984000, Week Number: 0
Acceleration: X=0.393714, Y=0.091297, Z=9.790137 m/s^2 Time of Week: 4.987000, Week Number: 0
Acceleration: X=0.384899, Y=0.096339, Z=9.787592 m/s^2 Time of Week: 4.990000, Week Number: 0
Acceleration: X=0.390237, Y=0.090136, Z=9.802185 m/s^2 Time of Week: 4.993000, Week Number: 0
Acceleration: X=0.387424, Y=0.090197, Z=9.800129 m/s^2 Time of Week: 4.996000, Week Number: 0
Acceleration: X=0.382033, Y=0.086706, Z=9.793433 m/s^2 Time of Week: 4.999000, Week Number: 0
Acceleration: X=0.384882, Y=0.079428, Z=9.782469 m/s^2 Time of Week: 5.002000, Week Number: 0
Acceleration: X=0.384737, Y=0.079703, Z=9.786700 m/s^2 Time of Week: 5.005000, Week Number: 0
Acceleration: X=0.393071, Y=0.082115, Z=9.789145 m/s^2 Time of Week: 5.008000, Week Number: 0
Acceleration: X=0.394864, Y=0.084831, Z=9.791969 m/s^2 Time of Week: 5.011000, Week Number: 0
Acceleration: X=0.390354, Y=0.082602, Z=9.797340 m/s^2 Time of Week: 5.014000, Week Number: 0
Acceleration: X=0.388027, Y=0.083198, Z=9.805489 m/s^2 Time of Week: 5.017000, Week Number: 0
Acceleration: X=0.391183, Y=0.077263, Z=9.790512 m/s^2 Time of Week: 5.020000, Week Number: 0
Acceleration: X=0.389236, Y=0.077943, Z=9.796231 m/s^2 Time of Week: 5.023000, Week Number: 0
Acceleration: X=0.387491, Y=0.086447, Z=9.802281 m/s^2 Time of Week: 5.026000, Week Number: 0
Acceleration: X=0.387783, Y=0.094947, Z=9.804080 m/s^2 Time of Week: 5.029000, Week Number: 0
Acceleration: X=0.387996, Y=0.092445, Z=9.796312 m/s^2 Time of Week: 5.032000, Week Number: 0
Acceleration: X=0.392664, Y=0.096158, Z=9.787513 m/s^2 Time of Week: 5.035000, Week Number: 0
Acceleration: X=0.396927, Y=0.090577, Z=9.792200 m/s^2 Time of Week: 5.038000, Week Number: 0
Acceleration: X=0.399597, Y=0.084381, Z=9.795953 m/s^2 Time of Week: 5.041000, Week Number: 0
Acceleration: X=0.404869, Y=0.087942, Z=9.801645 m/s^2 Time of Week: 5.044000, Week Number: 0
Acceleration: X=0.403158, Y=0.086603, Z=9.803210 m/s^2 Time of Week: 5.047000, Week Number: 0
Acceleration: X=0.403164, Y=0.089978, Z=9.802030 m/s^2 Time of Week: 5.050000, Week Number: 0
Acceleration: X=0.407125, Y=0.090054, Z=9.806233 m/s^2 Time of Week: 5.053000, Week Number: 0
Acceleration: X=0.405632, Y=0.086986, Z=9.808198 m/s^2 Time of Week: 5.056000, Week Number: 0
Acceleration: X=0.408647, Y=0.080414, Z=9.812284 m/s^2 Time of Week: 5.059000, Week Number: 0
Acceleration: X=0.412592, Y=0.080957, Z=9.810424 m/s^2 Time of Week: 5.062000, Week Number: 0
Acceleration: X=0.411315, Y=0.086311, Z=9.813578 m/s^2 Time of Week: 5.065000, Week Number: 0
Acceleration: X=0.408811, Y=0.082302, Z=9.810770 m/s^2 Time of Week: 5.068000, Week Number: 0
Acceleration: X=0.411856, Y=0.080554, Z=9.803405 m/s^2 Time of Week: 5.071000, Week Number: 0
Acceleration: X=0.413168, Y=0.085391, Z=9.802321 m/s^2 Time of Week: 5.074000, Week Number: 0
Acceleration: X=0.414332, Y=0.083715, Z=9.814002 m/s^2 Time of Week: 5.077000, Week Number: 0
Acceleration: X=0.410334, Y=0.080546, Z=9.812882 m/s^2 Time of Week: 5.080000, Week Number: 0
Acceleration: X=0.405919, Y=0.081595, Z=9.809791 m/s^2 Time of Week: 5.083000, Week Number: 0
Acceleration: X=0.406688, Y=0.077862, Z=9.804122 m/s^2 Time of Week: 5.086000, Week Number: 0
Acceleration: X=0.403046, Y=0.086760, Z=9.810228 m/s^2 Time of Week: 5.089000, Week Number: 0
Acceleration: X=0.404146, Y=0.080453, Z=9.802211 m/s^2 Time of Week: 5.092000, Week Number: 0
Acceleration: X=0.401673, Y=0.081212, Z=9.797262 m/s^2 Time of Week: 5.095000, Week Number: 0
Acceleration: X=0.390564, Y=0.086045, Z=9.798213 m/s^2 Time of Week: 5.098000, Week Number: 0
Acceleration: X=0.390419, Y=0.089143, Z=9.802833 m/s^2 Time of Week: 5.101000, Week Number: 0
Acceleration: X=0.385400, Y=0.088952, Z=9.801319 m/s^2 Time of Week: 5.104000, Week Number: 0
Acceleration: X=0.388310, Y=0.087111, Z=9.788907 m/s^2 Time of Week: 5.107000, Week Number: 0
Acceleration: X=0.379129, Y=0.086337, Z=9.787249 m/s^2 Time of Week: 5.110000, Week Number: 0
Acceleration: X=0.373036, Y=0.089625, Z=9.788644 m/s^2 Time of Week: 5.113000, Week Number: 0
Acceleration: X=0.373299, Y=0.088395, Z=9.786274 m/s^2 Time of Week: 5.116000, Week Number: 0
Acceleration: X=0.370515, Y=0.085545, Z=9.784728 m/s^2 Time of Week: 5.119000, Week Number: 0
Acceleration: X=0.376099, Y=0.084958, Z=9.777749 m/s^2 Time of Week: 5.122000, Week Number: 0
Acceleration: X=0.373031, Y=0.091041, Z=9.780125 m/s^2 Time of Week: 5.125000, Week Number: 0
Acceleration: X=0.377315, Y=0.087327, Z=9.783563 m/s^2 Time of Week: 5.128000, Week Number: 0
Acceleration: X=0.383760, Y=0.083765, Z=9.791906 m/s^2 Time of Week: 5.131000, Week Number: 0
Acceleration: X=0.381673, Y=0.086704, Z=9.791962 m/s^2 Time of Week: 5.134000, Week Number: 0
Acceleration: X=0.385415, Y=0.087317, Z=9.799253 m/s^2 Time of Week: 5.137000, Week Number: 0
Acceleration: X=0.398052, Y=0.086963, Z=9.794867 m/s^2 Time of Week: 5.140000, Week Number: 0
Acceleration: X=0.401865, Y=0.085031, Z=9.802088 m/s^2 Time of Week: 5.143000, Week Number: 0
Acceleration: X=0.406408, Y=0.074633, Z=9.813455 m/s^2 Time of Week: 5.146000, Week Number: 0
Acceleration: X=0.415748, Y=0.087140, Z=9.811749 m/s^2 Time of Week: 5.149000, Week Number: 0
Acceleration: X=0.414902, Y=0.078494, Z=9.809999 m/s^2 Time of Week: 5.152000, Week Number: 0
Acceleration: X=0.403563, Y=0.080266, Z=9.808090 m/s^2 Time of Week: 5.155000, Week Number: 0
Acceleration: X=0.412242, Y=0.087662, Z=9.813574 m/s^2 Time of Week: 5.158000, Week Number: 0
Acceleration: X=0.413234, Y=0.084897, Z=9.816485 m/s^2 Time of Week: 5.161000, Week Number: 0
Acceleration: X=0.414224, Y=0.084840, Z=9.816193 m/s^2 Time of Week: 5.164000, Week Number: 0
Acceleration: X=0.419244, Y=0.083774, Z=9.818601 m/s^2 Time of Week: 5.167000, Week Number: 0
Acceleration: X=0.411961, Y=0.086319, Z=9.810766 m/s^2 Time of Week: 5.170000, Week Number: 0
Acceleration: X=0.408636, Y=0.090779, Z=9.804312 m/s^2 Time of Week: 5.173000, Week Number: 0
Acceleration: X=0.414642, Y=0.087631, Z=9.799366 m/s^2 Time of Week: 5.176000, Week Number: 0
Acceleration: X=0.412908, Y=0.086640, Z=9.799715 m/s^2 Time of Week: 5.179000, Week Number: 0
