
#################################################################
Log started at 2025-06-16_09-34-07.205662 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.231348, Y=-0.300135, Z=9.804377 m/s^2 Time of Week: 18.204000, Week Number: 0
Acceleration: X=0.226959, Y=-0.299333, Z=9.798283 m/s^2 Time of Week: 18.208000, Week Number: 0
Acceleration: X=0.222722, Y=-0.304155, Z=9.798212 m/s^2 Time of Week: 18.212000, Week Number: 0
Acceleration: X=0.223772, Y=-0.307198, Z=9.780380 m/s^2 Time of Week: 18.216000, Week Number: 0
Acceleration: X=0.219835, Y=-0.307631, Z=9.786658 m/s^2 Time of Week: 18.220000, Week Number: 0
Acceleration: X=0.223940, Y=-0.308216, Z=9.799636 m/s^2 Time of Week: 18.224000, Week Number: 0
Acceleration: X=0.228476, Y=-0.306887, Z=9.816556 m/s^2 Time of Week: 18.228000, Week Number: 0
Acceleration: X=0.230240, Y=-0.307830, Z=9.817444 m/s^2 Time of Week: 18.232000, Week Number: 0
Acceleration: X=0.236586, Y=-0.304301, Z=9.824878 m/s^2 Time of Week: 18.236000, Week Number: 0
Acceleration: X=0.241569, Y=-0.297984, Z=9.817174 m/s^2 Time of Week: 18.240000, Week Number: 0
Acceleration: X=0.237099, Y=-0.295763, Z=9.804816 m/s^2 Time of Week: 18.244000, Week Number: 0
Acceleration: X=0.238029, Y=-0.305341, Z=9.808897 m/s^2 Time of Week: 18.248000, Week Number: 0
Acceleration: X=0.228566, Y=-0.304532, Z=9.784381 m/s^2 Time of Week: 18.252000, Week Number: 0
Acceleration: X=0.225570, Y=-0.308033, Z=9.775905 m/s^2 Time of Week: 18.256000, Week Number: 0
Acceleration: X=0.219188, Y=-0.307181, Z=9.781841 m/s^2 Time of Week: 18.260000, Week Number: 0
Acceleration: X=0.224380, Y=-0.313522, Z=9.791378 m/s^2 Time of Week: 18.264000, Week Number: 0
Acceleration: X=0.220293, Y=-0.303859, Z=9.800908 m/s^2 Time of Week: 18.268000, Week Number: 0
Acceleration: X=0.222949, Y=-0.298397, Z=9.807604 m/s^2 Time of Week: 18.272000, Week Number: 0
Acceleration: X=0.231405, Y=-0.307178, Z=9.814059 m/s^2 Time of Week: 18.276000, Week Number: 0
Acceleration: X=0.229118, Y=-0.295919, Z=9.811286 m/s^2 Time of Week: 18.280000, Week Number: 0
Acceleration: X=0.239349, Y=-0.306141, Z=9.802423 m/s^2 Time of Week: 18.284000, Week Number: 0
Acceleration: X=0.228576, Y=-0.312613, Z=9.792887 m/s^2 Time of Week: 18.288000, Week Number: 0
Acceleration: X=0.223579, Y=-0.318789, Z=9.789132 m/s^2 Time of Week: 18.292000, Week Number: 0
Acceleration: X=0.215871, Y=-0.318447, Z=9.783934 m/s^2 Time of Week: 18.296000, Week Number: 0
Acceleration: X=0.217603, Y=-0.321210, Z=9.780625 m/s^2 Time of Week: 18.300000, Week Number: 0
Acceleration: X=0.217954, Y=-0.317490, Z=9.788679 m/s^2 Time of Week: 18.304000, Week Number: 0
Acceleration: X=0.221284, Y=-0.314682, Z=9.796829 m/s^2 Time of Week: 18.308000, Week Number: 0
Acceleration: X=0.220893, Y=-0.307343, Z=9.807120 m/s^2 Time of Week: 18.312000, Week Number: 0
Acceleration: X=0.230603, Y=-0.304640, Z=9.805829 m/s^2 Time of Week: 18.316000, Week Number: 0
Acceleration: X=0.229390, Y=-0.304175, Z=9.798691 m/s^2 Time of Week: 18.320000, Week Number: 0
Acceleration: X=0.228499, Y=-0.295509, Z=9.796294 m/s^2 Time of Week: 18.324000, Week Number: 0
Acceleration: X=0.226303, Y=-0.299316, Z=9.800562 m/s^2 Time of Week: 18.328000, Week Number: 0
Acceleration: X=0.219971, Y=-0.306411, Z=9.791877 m/s^2 Time of Week: 18.332000, Week Number: 0
Acceleration: X=0.226850, Y=-0.299761, Z=9.794773 m/s^2 Time of Week: 18.336000, Week Number: 0
Acceleration: X=0.229284, Y=-0.295322, Z=9.796626 m/s^2 Time of Week: 18.340000, Week Number: 0
Acceleration: X=0.227558, Y=-0.295655, Z=9.803550 m/s^2 Time of Week: 18.344000, Week Number: 0
Acceleration: X=0.229220, Y=-0.294235, Z=9.809111 m/s^2 Time of Week: 18.348000, Week Number: 0
Acceleration: X=0.238194, Y=-0.287122, Z=9.809983 m/s^2 Time of Week: 18.352000, Week Number: 0
Acceleration: X=0.233213, Y=-0.299072, Z=9.809259 m/s^2 Time of Week: 18.356000, Week Number: 0
Acceleration: X=0.241436, Y=-0.302457, Z=9.800201 m/s^2 Time of Week: 18.360000, Week Number: 0
Acceleration: X=0.234341, Y=-0.306225, Z=9.797673 m/s^2 Time of Week: 18.364000, Week Number: 0
