
#################################################################
Log started at 2025-06-13_16-11-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.092844, Y=-0.626297, Z=9.776484 m/s^2 Time of Week: 461526.276000, Week Number: 2370, Difference: 461478.07894700003 ms
Acceleration: X=-0.095860, Y=-0.626868, Z=9.766888 m/s^2 Time of Week: 461526.277000, Week Number: 2370, Difference: 461478.078944 ms
Acceleration: X=-0.097040, Y=-0.623229, Z=9.770476 m/s^2 Time of Week: 461526.278000, Week Number: 2370, Difference: 461478.07895200007 ms
Acceleration: X=-0.104798, Y=-0.618915, Z=9.780647 m/s^2 Time of Week: 461526.279000, Week Number: 2370, Difference: 461478.07893200003 ms
Acceleration: X=-0.106053, Y=-0.622537, Z=9.787240 m/s^2 Time of Week: 461526.280000, Week Number: 2370, Difference: 461478.078938 ms
Acceleration: X=-0.104859, Y=-0.623147, Z=9.788413 m/s^2 Time of Week: 461526.281000, Week Number: 2370, Difference: 461478.078937 ms
Acceleration: X=-0.109598, Y=-0.621323, Z=9.786610 m/s^2 Time of Week: 461526.282000, Week Number: 2370, Difference: 461478.078948 ms
Acceleration: X=-0.105463, Y=-0.626189, Z=9.789012 m/s^2 Time of Week: 461526.283000, Week Number: 2370, Difference: 461478.0789450001 ms
Acceleration: X=-0.105470, Y=-0.623227, Z=9.787800 m/s^2 Time of Week: 461526.284000, Week Number: 2370, Difference: 461478.07894900005 ms
Acceleration: X=-0.107260, Y=-0.623843, Z=9.786009 m/s^2 Time of Week: 461526.285000, Week Number: 2370, Difference: 461478.07893300004 ms
Acceleration: X=-0.109047, Y=-0.619603, Z=9.785982 m/s^2 Time of Week: 461526.286000, Week Number: 2370, Difference: 461478.078908 ms
Acceleration: X=-0.111428, Y=-0.617201, Z=9.790768 m/s^2 Time of Week: 461526.287000, Week Number: 2370, Difference: 461478.078945 ms
Acceleration: X=-0.107821, Y=-0.618432, Z=9.791400 m/s^2 Time of Week: 461526.288000, Week Number: 2370, Difference: 461478.078947 ms
Acceleration: X=-0.108454, Y=-0.627456, Z=9.785430 m/s^2 Time of Week: 461526.289000, Week Number: 2370, Difference: 461478.07894700003 ms
Acceleration: X=-0.111484, Y=-0.631058, Z=9.778229 m/s^2 Time of Week: 461526.290000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.111431, Y=-0.624401, Z=9.781225 m/s^2 Time of Week: 461526.291000, Week Number: 2370, Difference: 461478.078952 ms
Acceleration: X=-0.106014, Y=-0.618995, Z=9.787203 m/s^2 Time of Week: 461526.292000, Week Number: 2370, Difference: 461478.07894700003 ms
Acceleration: X=-0.102425, Y=-0.617177, Z=9.787785 m/s^2 Time of Week: 461526.293000, Week Number: 2370, Difference: 461478.078954 ms
Acceleration: X=-0.101276, Y=-0.623260, Z=9.786606 m/s^2 Time of Week: 461526.294000, Week Number: 2370, Difference: 461478.0789530001 ms
Acceleration: X=-0.096502, Y=-0.620867, Z=9.792003 m/s^2 Time of Week: 461526.295000, Week Number: 2370, Difference: 461478.07892500004 ms
Acceleration: X=-0.100130, Y=-0.628059, Z=9.792621 m/s^2 Time of Week: 461526.296000, Week Number: 2370, Difference: 461478.078855 ms
Acceleration: X=-0.108447, Y=-0.627400, Z=9.784843 m/s^2 Time of Week: 461526.297000, Week Number: 2370, Difference: 461478.078862 ms
Acceleration: X=-0.104831, Y=-0.628045, Z=9.781275 m/s^2 Time of Week: 461526.298000, Week Number: 2370, Difference: 461478.078935 ms
Acceleration: X=-0.101276, Y=-0.628632, Z=9.784841 m/s^2 Time of Week: 461526.299000, Week Number: 2370, Difference: 461478.0789310001 ms
Acceleration: X=-0.098311, Y=-0.626862, Z=9.778806 m/s^2 Time of Week: 461526.300000, Week Number: 2370, Difference: 461478.0789450001 ms
Acceleration: X=-0.107301, Y=-0.628051, Z=9.779379 m/s^2 Time of Week: 461526.301000, Week Number: 2370, Difference: 461478.07892500004 ms
Acceleration: X=-0.109063, Y=-0.625689, Z=9.775807 m/s^2 Time of Week: 461526.302000, Week Number: 2370, Difference: 461478.078958 ms
Acceleration: X=-0.106038, Y=-0.626826, Z=9.777064 m/s^2 Time of Week: 461526.303000, Week Number: 2370, Difference: 461478.07894000004 ms
Acceleration: X=-0.102473, Y=-0.630987, Z=9.777065 m/s^2 Time of Week: 461526.304000, Week Number: 2370, Difference: 461478.078949 ms
Acceleration: X=-0.107837, Y=-0.628555, Z=9.771670 m/s^2 Time of Week: 461526.305000, Week Number: 2370, Difference: 461478.0789530001 ms
Acceleration: X=-0.106636, Y=-0.626794, Z=9.768657 m/s^2 Time of Week: 461526.306000, Week Number: 2370, Difference: 461478.078939 ms
Acceleration: X=-0.104844, Y=-0.630443, Z=9.772877 m/s^2 Time of Week: 461526.307000, Week Number: 2370, Difference: 461478.078944 ms
Acceleration: X=-0.110799, Y=-0.628597, Z=9.779476 m/s^2 Time of Week: 461526.308000, Week Number: 2370, Difference: 461478.078945 ms
Acceleration: X=-0.107205, Y=-0.628025, Z=9.780686 m/s^2 Time of Week: 461526.309000, Week Number: 2370, Difference: 461478.078935 ms
Acceleration: X=-0.105454, Y=-0.634627, Z=9.779484 m/s^2 Time of Week: 461526.310000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.107883, Y=-0.637053, Z=9.774083 m/s^2 Time of Week: 461526.311000, Week Number: 2370, Difference: 461478.078946 ms
Acceleration: X=-0.109624, Y=-0.631617, Z=9.776473 m/s^2 Time of Week: 461526.312000, Week Number: 2370, Difference: 461478.078953 ms
Acceleration: X=-0.100087, Y=-0.631034, Z=9.779457 m/s^2 Time of Week: 461526.313000, Week Number: 2370, Difference: 461478.07892600005 ms
Acceleration: X=-0.100132, Y=-0.632892, Z=9.774082 m/s^2 Time of Week: 461526.314000, Week Number: 2370, Difference: 461478.07887 ms
Acceleration: X=-0.100101, Y=-0.629309, Z=9.769901 m/s^2 Time of Week: 461526.315000, Week Number: 2370, Difference: 461478.07894 ms
Acceleration: X=-0.100700, Y=-0.629909, Z=9.766881 m/s^2 Time of Week: 461526.316000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.095301, Y=-0.628695, Z=9.772865 m/s^2 Time of Week: 461526.317000, Week Number: 2370, Difference: 461478.07894900005 ms
Acceleration: X=-0.098330, Y=-0.634082, Z=9.775844 m/s^2 Time of Week: 461526.318000, Week Number: 2370, Difference: 461478.078946 ms
Acceleration: X=-0.102530, Y=-0.638876, Z=9.773460 m/s^2 Time of Week: 461526.319000, Week Number: 2370, Difference: 461478.078951 ms
Acceleration: X=-0.106706, Y=-0.636454, Z=9.769854 m/s^2 Time of Week: 461526.320000, Week Number: 2370, Difference: 461478.078937 ms
Acceleration: X=-0.104906, Y=-0.634061, Z=9.774645 m/s^2 Time of Week: 461526.321000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.098906, Y=-0.631104, Z=9.775261 m/s^2 Time of Week: 461526.322000, Week Number: 2370, Difference: 461478.07895200007 ms
Acceleration: X=-0.100068, Y=-0.626876, Z=9.775874 m/s^2 Time of Week: 461526.323000, Week Number: 2370, Difference: 461478.078944 ms
Acceleration: X=-0.098864, Y=-0.625681, Z=9.774670 m/s^2 Time of Week: 461526.324000, Week Number: 2370, Difference: 461478.07893200003 ms
Acceleration: X=-0.098856, Y=-0.620261, Z=9.771635 m/s^2 Time of Week: 461526.325000, Week Number: 2370, Difference: 461478.07893300004 ms
Acceleration: X=-0.093475, Y=-0.616031, Z=9.781188 m/s^2 Time of Week: 461526.326000, Week Number: 2370, Difference: 461478.078928 ms
Acceleration: X=-0.095892, Y=-0.616055, Z=9.785362 m/s^2 Time of Week: 461526.327000, Week Number: 2370, Difference: 461478.07894200005 ms
Acceleration: X=-0.097079, Y=-0.621500, Z=9.789617 m/s^2 Time of Week: 461526.328000, Week Number: 2370, Difference: 461478.07894100004 ms
Acceleration: X=-0.094659, Y=-0.620318, Z=9.790845 m/s^2 Time of Week: 461526.329000, Week Number: 2370, Difference: 461478.07893 ms
Acceleration: X=-0.095913, Y=-0.625110, Z=9.790815 m/s^2 Time of Week: 461526.330000, Week Number: 2370, Difference: 461478.078809 ms
Acceleration: X=-0.092890, Y=-0.629335, Z=9.786658 m/s^2 Time of Week: 461526.331000, Week Number: 2370, Difference: 461478.078904 ms
Acceleration: X=-0.096495, Y=-0.633480, Z=9.792058 m/s^2 Time of Week: 461526.332000, Week Number: 2370, Difference: 461478.07893600006 ms
Acceleration: X=-0.097671, Y=-0.623259, Z=9.793229 m/s^2 Time of Week: 461526.333000, Week Number: 2370, Difference: 461478.078945 ms
Acceleration: X=-0.097681, Y=-0.623857, Z=9.789623 m/s^2 Time of Week: 461526.334000, Week Number: 2370, Difference: 461478.07894200005 ms
