
#################################################################
Log started at 2025-06-12_16-20-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=0.297028, Y=0.141057, Z=9.790114 m/s^2 Time of Week: 2596.520000, Week Number: 0
Acceleration: X=0.291056, Y=0.138702, Z=9.795504 m/s^2 Time of Week: 2596.521000, Week Number: 0
Acceleration: X=0.281465, Y=0.138716, Z=9.790081 m/s^2 Time of Week: 2596.522000, Week Number: 0
Acceleration: X=0.285118, Y=0.142892, Z=9.780502 m/s^2 Time of Week: 2596.523000, Week Number: 0
Acceleration: X=0.288723, Y=0.145215, Z=9.778719 m/s^2 Time of Week: 2596.524000, Week Number: 0
Acceleration: X=0.285097, Y=0.138606, Z=9.784125 m/s^2 Time of Week: 2596.525000, Week Number: 0
Acceleration: X=0.284510, Y=0.137424, Z=9.784113 m/s^2 Time of Week: 2596.526000, Week Number: 0
Acceleration: X=0.286307, Y=0.141656, Z=9.773911 m/s^2 Time of Week: 2596.527000, Week Number: 0
Acceleration: X=0.281509, Y=0.144703, Z=9.768506 m/s^2 Time of Week: 2596.528000, Week Number: 0
Acceleration: X=0.277868, Y=0.145311, Z=9.770857 m/s^2 Time of Week: 2596.529000, Week Number: 0
Acceleration: X=0.271302, Y=0.144688, Z=9.769099 m/s^2 Time of Week: 2596.530000, Week Number: 0
Acceleration: X=0.285037, Y=0.141651, Z=9.769114 m/s^2 Time of Week: 2596.531000, Week Number: 0
Acceleration: X=0.291013, Y=0.141050, Z=9.770290 m/s^2 Time of Week: 2596.532000, Week Number: 0
Acceleration: X=0.294624, Y=0.148169, Z=9.763082 m/s^2 Time of Week: 2596.533000, Week Number: 0
Acceleration: X=0.294038, Y=0.154811, Z=9.766655 m/s^2 Time of Week: 2596.534000, Week Number: 0
Acceleration: X=0.291022, Y=0.149437, Z=9.761310 m/s^2 Time of Week: 2596.535000, Week Number: 0
Acceleration: X=0.283810, Y=0.140496, Z=9.756553 m/s^2 Time of Week: 2596.536000, Week Number: 0
Acceleration: X=0.278400, Y=0.141703, Z=9.765497 m/s^2 Time of Week: 2596.537000, Week Number: 0
Acceleration: X=0.280809, Y=0.150698, Z=9.766676 m/s^2 Time of Week: 2596.538000, Week Number: 0
Acceleration: X=0.284396, Y=0.153692, Z=9.765484 m/s^2 Time of Week: 2596.539000, Week Number: 0
Acceleration: X=0.280155, Y=0.144101, Z=9.772651 m/s^2 Time of Week: 2596.540000, Week Number: 0
Acceleration: X=0.279556, Y=0.142874, Z=9.770831 m/s^2 Time of Week: 2596.541000, Week Number: 0
Acceleration: X=0.286737, Y=0.137439, Z=9.773257 m/s^2 Time of Week: 2596.542000, Week Number: 0
Acceleration: X=0.290903, Y=0.133237, Z=9.773888 m/s^2 Time of Week: 2596.543000, Week Number: 0
Acceleration: X=0.286735, Y=0.132650, Z=9.781079 m/s^2 Time of Week: 2596.544000, Week Number: 0
Acceleration: X=0.292794, Y=0.136839, Z=9.794289 m/s^2 Time of Week: 2596.545000, Week Number: 0
Acceleration: X=0.298186, Y=0.135012, Z=9.800902 m/s^2 Time of Week: 2596.546000, Week Number: 0
Acceleration: X=0.293979, Y=0.130241, Z=9.803325 m/s^2 Time of Week: 2596.547000, Week Number: 0
Acceleration: X=0.294528, Y=0.126632, Z=9.806318 m/s^2 Time of Week: 2596.548000, Week Number: 0
Acceleration: X=0.298124, Y=0.126653, Z=9.809910 m/s^2 Time of Week: 2596.549000, Week Number: 0
Acceleration: X=0.300523, Y=0.127220, Z=9.815869 m/s^2 Time of Week: 2596.550000, Week Number: 0
Acceleration: X=0.307664, Y=0.114000, Z=9.825474 m/s^2 Time of Week: 2596.551000, Week Number: 0
Acceleration: X=0.310038, Y=0.107400, Z=9.826698 m/s^2 Time of Week: 2596.552000, Week Number: 0
Acceleration: X=0.309450, Y=0.108569, Z=9.827288 m/s^2 Time of Week: 2596.553000, Week Number: 0
Acceleration: X=0.315467, Y=0.103769, Z=9.835121 m/s^2 Time of Week: 2596.554000, Week Number: 0
Acceleration: X=0.316075, Y=0.097770, Z=9.833363 m/s^2 Time of Week: 2596.555000, Week Number: 0
Acceleration: X=0.315485, Y=0.097170, Z=9.829756 m/s^2 Time of Week: 2596.556000, Week Number: 0
Acceleration: X=0.314318, Y=0.101406, Z=9.834550 m/s^2 Time of Week: 2596.557000, Week Number: 0
Acceleration: X=0.313092, Y=0.093030, Z=9.846544 m/s^2 Time of Week: 2596.558000, Week Number: 0
Acceleration: X=0.314825, Y=0.083396, Z=9.844767 m/s^2 Time of Week: 2596.559000, Week Number: 0
Acceleration: X=0.306435, Y=0.092441, Z=9.858512 m/s^2 Time of Week: 2596.565000, Week Number: 0
Acceleration: X=0.309366, Y=0.082815, Z=9.845345 m/s^2 Time of Week: 2596.566000, Week Number: 0
Acceleration: X=0.308737, Y=0.080418, Z=9.842363 m/s^2 Time of Week: 2596.567000, Week Number: 0
Acceleration: X=0.311148, Y=0.084595, Z=9.841752 m/s^2 Time of Week: 2596.568000, Week Number: 0
Acceleration: X=0.320163, Y=0.092929, Z=9.830945 m/s^2 Time of Week: 2596.569000, Week Number: 0
Acceleration: X=0.319573, Y=0.095910, Z=9.818972 m/s^2 Time of Week: 2596.570000, Week Number: 0
Acceleration: X=0.318954, Y=0.100139, Z=9.820739 m/s^2 Time of Week: 2596.571000, Week Number: 0
Acceleration: X=0.316543, Y=0.101337, Z=9.814726 m/s^2 Time of Week: 2596.572000, Week Number: 0
Acceleration: X=0.313563, Y=0.098332, Z=9.811129 m/s^2 Time of Week: 2596.573000, Week Number: 0
Acceleration: X=0.307614, Y=0.103147, Z=9.814093 m/s^2 Time of Week: 2596.574000, Week Number: 0
Acceleration: X=0.310605, Y=0.106161, Z=9.809898 m/s^2 Time of Week: 2596.575000, Week Number: 0
Acceleration: X=0.303419, Y=0.100840, Z=9.803938 m/s^2 Time of Week: 2596.576000, Week Number: 0
Acceleration: X=0.303417, Y=0.103848, Z=9.802734 m/s^2 Time of Week: 2596.577000, Week Number: 0
Acceleration: X=0.307013, Y=0.108008, Z=9.797935 m/s^2 Time of Week: 2596.578000, Week Number: 0
Acceleration: X=0.306417, Y=0.108022, Z=9.802731 m/s^2 Time of Week: 2596.579000, Week Number: 0
Acceleration: X=0.306423, Y=0.103207, Z=9.800361 m/s^2 Time of Week: 2596.580000, Week Number: 0
Acceleration: X=0.302838, Y=0.103793, Z=9.800356 m/s^2 Time of Week: 2596.581000, Week Number: 0
Acceleration: X=0.299837, Y=0.107933, Z=9.793151 m/s^2 Time of Week: 2596.582000, Week Number: 0
Acceleration: X=0.297961, Y=0.110342, Z=9.794296 m/s^2 Time of Week: 2596.583000, Week Number: 0
Acceleration: X=0.299793, Y=0.113404, Z=9.797275 m/s^2 Time of Week: 2596.584000, Week Number: 0
Acceleration: X=0.297448, Y=0.113444, Z=9.800924 m/s^2 Time of Week: 2596.585000, Week Number: 0
Acceleration: X=0.291454, Y=0.109844, Z=9.796763 m/s^2 Time of Week: 2596.586000, Week Number: 0
Acceleration: X=0.290312, Y=0.117687, Z=9.795530 m/s^2 Time of Week: 2596.587000, Week Number: 0
Acceleration: X=0.289721, Y=0.121246, Z=9.797306 m/s^2 Time of Week: 2596.588000, Week Number: 0
Acceleration: X=0.289775, Y=0.122455, Z=9.799108 m/s^2 Time of Week: 2596.589000, Week Number: 0
Acceleration: X=0.289799, Y=0.129070, Z=9.795484 m/s^2 Time of Week: 2596.590000, Week Number: 0
Acceleration: X=0.295184, Y=0.132647, Z=9.792461 m/s^2 Time of Week: 2596.591000, Week Number: 0
Acceleration: X=0.293967, Y=0.130801, Z=9.796668 m/s^2 Time of Week: 2596.592000, Week Number: 0
Acceleration: X=0.295203, Y=0.132603, Z=9.804466 m/s^2 Time of Week: 2596.593000, Week Number: 0
Acceleration: X=0.295818, Y=0.130240, Z=9.806871 m/s^2 Time of Week: 2596.594000, Week Number: 0
Acceleration: X=0.296446, Y=0.132637, Z=9.802675 m/s^2 Time of Week: 2596.595000, Week Number: 0
Acceleration: X=0.293461, Y=0.134434, Z=9.798483 m/s^2 Time of Week: 2596.596000, Week Number: 0
Acceleration: X=0.293429, Y=0.127868, Z=9.796724 m/s^2 Time of Week: 2596.597000, Week Number: 0
Acceleration: X=0.295221, Y=0.123674, Z=9.797940 m/s^2 Time of Week: 2596.598000, Week Number: 0
Acceleration: X=0.289281, Y=0.128475, Z=9.800326 m/s^2 Time of Week: 2596.599000, Week Number: 0
Acceleration: X=0.285109, Y=0.137461, Z=9.796715 m/s^2 Time of Week: 2596.600000, Week Number: 0
Acceleration: X=0.287482, Y=0.136291, Z=9.792534 m/s^2 Time of Week: 2596.601000, Week Number: 0
Acceleration: X=0.285076, Y=0.137552, Z=9.790708 m/s^2 Time of Week: 2596.602000, Week Number: 0
Acceleration: X=0.283904, Y=0.141159, Z=9.787692 m/s^2 Time of Week: 2596.603000, Week Number: 0
Acceleration: X=0.289937, Y=0.145305, Z=9.781706 m/s^2 Time of Week: 2596.604000, Week Number: 0
Acceleration: X=0.289894, Y=0.138653, Z=9.778721 m/s^2 Time of Week: 2596.605000, Week Number: 0
Acceleration: X=0.289842, Y=0.135665, Z=9.776907 m/s^2 Time of Week: 2596.606000, Week Number: 0
Acceleration: X=0.289256, Y=0.138056, Z=9.774509 m/s^2 Time of Week: 2596.607000, Week Number: 0
Acceleration: X=0.286330, Y=0.150653, Z=9.770302 m/s^2 Time of Week: 2596.608000, Week Number: 0
Acceleration: X=0.285112, Y=0.149479, Z=9.768525 m/s^2 Time of Week: 2596.609000, Week Number: 0
Acceleration: X=0.286928, Y=0.158500, Z=9.764890 m/s^2 Time of Week: 2596.610000, Week Number: 0
Acceleration: X=0.284537, Y=0.157917, Z=9.765479 m/s^2 Time of Week: 2596.611000, Week Number: 0
Acceleration: X=0.283304, Y=0.159083, Z=9.766049 m/s^2 Time of Week: 2596.612000, Week Number: 0
Acceleration: X=0.284476, Y=0.152472, Z=9.766659 m/s^2 Time of Week: 2596.613000, Week Number: 0
Acceleration: X=0.286256, Y=0.152417, Z=9.765482 m/s^2 Time of Week: 2596.614000, Week Number: 0
Acceleration: X=0.279129, Y=0.162050, Z=9.760102 m/s^2 Time of Week: 2596.615000, Week Number: 0
Acceleration: X=0.273717, Y=0.161481, Z=9.757683 m/s^2 Time of Week: 2596.616000, Week Number: 0
Acceleration: X=0.279072, Y=0.159619, Z=9.749282 m/s^2 Time of Week: 2596.617000, Week Number: 0
Acceleration: X=0.286271, Y=0.159008, Z=9.752879 m/s^2 Time of Week: 2596.618000, Week Number: 0
Acceleration: X=0.289797, Y=0.149978, Z=9.755895 m/s^2 Time of Week: 2596.619000, Week Number: 0
Acceleration: X=0.288602, Y=0.151790, Z=9.758878 m/s^2 Time of Week: 2596.620000, Week Number: 0
Acceleration: X=0.288036, Y=0.157193, Z=9.761267 m/s^2 Time of Week: 2596.621000, Week Number: 0
Acceleration: X=0.288641, Y=0.156605, Z=9.758900 m/s^2 Time of Week: 2596.622000, Week Number: 0
Acceleration: X=0.277219, Y=0.153644, Z=9.757707 m/s^2 Time of Week: 2596.623000, Week Number: 0
Acceleration: X=0.280219, Y=0.151821, Z=9.763097 m/s^2 Time of Week: 2596.624000, Week Number: 0
