
#################################################################
Log started at 2025-06-13_14-54-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5fc3, Got: 0475
Checksum failed. Expected: f1bb, Got: 6a75
Checksum failed. Expected: a3a2, Got: 9f75
Checksum failed. Expected: 399d, Got: 0475
Checksum failed. Expected: 511a, Got: 6975
Checksum failed. Expected: d97d, Got: 4475
Checksum failed. Expected: 3917, Got: 7e75
Checksum failed. Expected: 5948, Got: 8f75
Checksum failed. Expected: 0f00, Got: 9175
Checksum failed. Expected: e96a, Got: 2175
Checksum failed. Expected: 172e, Got: b775
Checksum failed. Expected: 2112, Got: 9175
Checksum failed. Expected: 9b96, Got: 9b75
Checksum failed. Expected: d945, Got: 0c75
Checksum failed. Expected: 0722, Got: bb75
Checksum failed. Expected: d76f, Got: 3875
Checksum failed. Expected: 4527, Got: 8275
Checksum failed. Expected: 4bc4, Got: 1975
Checksum failed. Expected: eb9d, Got: 5275
Checksum failed. Expected: eb7d, Got: 3275
Checksum failed. Expected: b50d, Got: f875
Checksum failed. Expected: 99dc, Got: e375
Checksum failed. Expected: cd04, Got: d775
Checksum failed. Expected: cb59, Got: 2e75
Checksum failed. Expected: 1120, Got: af75
Checksum failed. Expected: 3fab, Got: 0c75
Checksum failed. Expected: b9ab, Got: 9275
Checksum failed. Expected: bd33, Got: 1675
Checksum failed. Expected: 178d, Got: 1675
Checksum failed. Expected: 29cc, Got: 4375
Checksum failed. Expected: 9d48, Got: 4b75
Checksum failed. Expected: f77b, Got: 2475
Checksum failed. Expected: d3fe, Got: cb75
Checksum failed. Expected: 5d15, Got: 5875
Checksum failed. Expected: 9190, Got: 9f75
Checksum failed. Expected: 1522, Got: ad75
Checksum failed. Expected: 1f58, Got: d975
Checksum failed. Expected: c33c, Got: 1975
Checksum failed. Expected: 814e, Got: 6d75
Checksum failed. Expected: 13c1, Got: 4e75
Checksum failed. Expected: 897c, Got: 9375
Checksum failed. Expected: a340, Got: 3d75
Checksum failed. Expected: df15, Got: d675
Checksum failed. Expected: ad62, Got: 5575
Checksum failed. Expected: ef33, Got: e475
Checksum failed. Expected: 7bce, Got: f375
Checksum failed. Expected: 57b3, Got: fc75
Checksum failed. Expected: d905, Got: cc75
Checksum failed. Expected: bb85, Got: 6a75
Checksum failed. Expected: f34c, Got: f975
Checksum failed. Expected: 2b48, Got: bd75
Checksum failed. Expected: 3f97, Got: f875
Checksum failed. Expected: ad58, Got: 4b75
Checksum failed. Expected: d90b, Got: d275
Checksum failed. Expected: f3c7, Got: 7475
Checksum failed. Expected: 3122, Got: 9175
Checksum failed. Expected: a135, Got: 3475
Checksum failed. Expected: f31a, Got: c775
Checksum failed. Expected: ff35, Got: d675
Checksum failed. Expected: 053a, Got: d575
Checksum failed. Expected: 45ad, Got: 0875
Checksum failed. Expected: 73e3, Got: 1075
Checksum failed. Expected: 49b9, Got: 1075
Checksum failed. Expected: 3bec, Got: 5175
Checksum failed. Expected: 8f57, Got: 6875
Checksum failed. Expected: 93af, Got: bc75
Checksum failed. Expected: d9f5, Got: bc75
Checksum failed. Expected: 41a4, Got: 0375
Checksum failed. Expected: 7d94, Got: b775
Checksum failed. Expected: 07a2, Got: 3b75
Checksum failed. Expected: 3963, Got: ca75
Checksum failed. Expected: ad8b, Got: 7e75
Checksum failed. Expected: 8790, Got: a975
Checksum failed. Expected: a952, Got: 4975
Checksum failed. Expected: 43b9, Got: 1675
Checksum failed. Expected: 437e, Got: db75
Checksum failed. Expected: 31ca, Got: 3975
Checksum failed. Expected: 2d50, Got: c375
Checksum failed. Expected: 4ba4, Got: f975
Checksum failed. Expected: 4310, Got: 6d75
Checksum failed. Expected: df36, Got: f775
