
#################################################################
Log started at 2025-06-12_16-19-14 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 9859, Got: 0ae3
Checksum failed. Expected: a3b3, Got: c4ba
Checksum failed. Expected: 52fd, Got: 446d
Checksum failed. Expected: b135, Got: c0e0
Checksum failed. Expected: c09d, Got: 77b6
Checksum failed. Expected: 529f, Got: fe9c
Checksum failed. Expected: 99fb, Got: 8626
Checksum failed. Expected: a750, Got: 835c
Checksum failed. Expected: 81f1, Got: ff15
Checksum failed. Expected: 95a0, Got: 86b8
Checksum failed. Expected: f31f, Got: 8e47
Checksum failed. Expected: 8e71, Got: 0797
Checksum failed. Expected: bdf0, Got: c6e4
Checksum failed. Expected: 3841, Got: c765
Checksum failed. Expected: 41d3, Got: 07ff
Checksum failed. Expected: 028b, Got: 8f18
Checksum failed. Expected: f347, Got: 9ab5
Checksum failed. Expected: 90bc, Got: 1e6f
Checksum failed. Expected: 2ed6, Got: 20f5
Checksum failed. Expected: 306c, Got: 2535
Checksum failed. Expected: fece, Got: 2a9f
Checksum failed. Expected: 1c0d, Got: a7d6
Checksum failed. Expected: f9fa, Got: 27f1
Checksum failed. Expected: e8e1, Got: 224a
Checksum failed. Expected: a4e2, Got: 22e3
Checksum failed. Expected: 06b1, Got: 9b97
Checksum failed. Expected: 06dd, Got: 9b31
Checksum failed. Expected: c579, Got: 8fcd
Checksum failed. Expected: 94f4, Got: 567e
Checksum failed. Expected: 6b68, Got: 96cd
Checksum failed. Expected: 5181, Got: d7ac
Checksum failed. Expected: c0c5, Got: 5476
Checksum failed. Expected: 4240, Got: 5081
Checksum failed. Expected: e8de, Got: 11e6
Checksum failed. Expected: 66cf, Got: 0e1e
Checksum failed. Expected: c514, Got: 8922
Checksum failed. Expected: a709, Got: 9ed8
Checksum failed. Expected: 2524, Got: 2256
Checksum failed. Expected: c6cb, Got: 8f53
Checksum failed. Expected: a252, Got: 0afa
Checksum failed. Expected: f2f9, Got: 89d0
Checksum failed. Expected: 6b01, Got: cbaf
Checksum failed. Expected: d727, Got: 8d1b
Checksum failed. Expected: 632f, Got: 8ba5
Checksum failed. Expected: 86fd, Got: 498e
Checksum failed. Expected: 0320, Got: 8f52
Checksum failed. Expected: 369a, Got: 102b
Checksum failed. Expected: 0307, Got: 993f
Checksum failed. Expected: 0cfb, Got: 03b8
Checksum failed. Expected: 31db, Got: 7bce
Checksum failed. Expected: ce9e, Got: 8578
Checksum failed. Expected: bb0a, Got: 44ef
Checksum failed. Expected: 5c82, Got: 88a1
Checksum failed. Expected: c90d, Got: 8bf1
Checksum failed. Expected: 9c38, Got: 4f65
Checksum failed. Expected: 6264, Got: 4910
Checksum failed. Expected: 5074, Got: 8d56
Checksum failed. Expected: 9094, Got: 0a4b
Checksum failed. Expected: 8cbb, Got: 81c3
