
#################################################################
Log started at 2025-06-12_16-19-10 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: dfc5, Got: a388
Checksum failed. Expected: de8f, Got: 209e
Checksum failed. Expected: eb0e, Got: 1974
Checksum failed. Expected: 98f2, Got: 18d1
Checksum failed. Expected: 2885, Got: 9953
Checksum failed. Expected: fefb, Got: 16d2
Checksum failed. Expected: b1cd, Got: 08db
Checksum failed. Expected: 7997, Got: 8a1c
Checksum failed. Expected: da5e, Got: 91a9
Checksum failed. Expected: cde5, Got: 8e12
Checksum failed. Expected: ddee, Got: 8e5f
Checksum failed. Expected: 590b, Got: 0e38
Checksum failed. Expected: ba55, Got: 0d96
Checksum failed. Expected: 6917, Got: 87a6
Checksum failed. Expected: 3c94, Got: c719
Checksum failed. Expected: 4f37, Got: 0897
Checksum failed. Expected: f439, Got: 19b2
Checksum failed. Expected: 9db2, Got: 094d
Checksum failed. Expected: c7f5, Got: c34d
Checksum failed. Expected: bbad, Got: 05e5
Checksum failed. Expected: d94c, Got: 4960
Checksum failed. Expected: b735, Got: 4d5b
Checksum failed. Expected: 11d9, Got: ca34
Checksum failed. Expected: 8e42, Got: 49fa
Checksum failed. Expected: 1538, Got: d10e
Checksum failed. Expected: e3cf, Got: 110b
Checksum failed. Expected: 3efb, Got: 5000
Checksum failed. Expected: 2842, Got: 9151
Checksum failed. Expected: f0e2, Got: 1089
Checksum failed. Expected: 2761, Got: 5162
Checksum failed. Expected: 4495, Got: 0ce5
Checksum failed. Expected: 2130, Got: 85b4
Checksum failed. Expected: 3f3d, Got: 0816
Checksum failed. Expected: c649, Got: 8a20
Checksum failed. Expected: 99a6, Got: 45a0
Checksum failed. Expected: 295b, Got: c73a
Checksum failed. Expected: 9dfb, Got: 08fb
Checksum failed. Expected: bd52, Got: 8c36
Checksum failed. Expected: 5a3e, Got: 0d71
Checksum failed. Expected: 1cdb, Got: 94f8
Checksum failed. Expected: 20b9, Got: 8ac1
Checksum failed. Expected: b864, Got: 8275
Checksum failed. Expected: 1bda, Got: 005f
Checksum failed. Expected: 753c, Got: fee1
Checksum failed. Expected: 8654, Got: 3feb
Checksum failed. Expected: 3098, Got: 84be
Checksum failed. Expected: 5d79, Got: 9988
Checksum failed. Expected: 76a2, Got: 97bc
Checksum failed. Expected: f22d, Got: 15bf
Checksum failed. Expected: 7c03, Got: 1689
Checksum failed. Expected: 0b57, Got: 0ec5
Checksum failed. Expected: 8a74, Got: 1622
Checksum failed. Expected: 8434, Got: 98aa
Checksum failed. Expected: 2657, Got: 96c3
Checksum failed. Expected: 5ff2, Got: 16d4
Checksum failed. Expected: a761, Got: 15bf
Checksum failed. Expected: ff60, Got: 99b0
Checksum failed. Expected: f1fb, Got: 9500
Checksum failed. Expected: d206, Got: 117e
Checksum failed. Expected: f82b, Got: 0fcc
Checksum failed. Expected: 0111, Got: c9b6
Checksum failed. Expected: 2829, Got: 0c85
Checksum failed. Expected: e516, Got: 4c1d
Checksum failed. Expected: f743, Got: 0e38
Checksum failed. Expected: 5ff2, Got: 4c79
Checksum failed. Expected: bc2c, Got: 07ac
Checksum failed. Expected: 132c, Got: 0815
Checksum failed. Expected: b30a, Got: 8733
Checksum failed. Expected: ca37, Got: 94e1
Checksum failed. Expected: 8851, Got: 0622
Checksum failed. Expected: c2c3, Got: 0488
Checksum failed. Expected: 3bd1, Got: c0b0
Checksum failed. Expected: 9921, Got: 0012
Checksum failed. Expected: ad99, Got: 4ff9
Checksum failed. Expected: 71f6, Got: 88e7
Checksum failed. Expected: a40b, Got: 8fe7
Checksum failed. Expected: 8e02, Got: d6ad
Checksum failed. Expected: dbc1, Got: 169c
Checksum failed. Expected: 6ee5, Got: 8e67
Checksum failed. Expected: 2591, Got: c516
Checksum failed. Expected: 3fd6, Got: cd87
Checksum failed. Expected: 7ca8, Got: d0cf
Checksum failed. Expected: 6ce6, Got: 8ebf
Checksum failed. Expected: c7b4, Got: 4a7d
Checksum failed. Expected: 6c1e, Got: 4902
Checksum failed. Expected: aac8, Got: 8788
Checksum failed. Expected: ca4c, Got: 42bc
Checksum failed. Expected: eac6, Got: 7755
Checksum failed. Expected: d0d8, Got: b9c1
Checksum failed. Expected: bb20, Got: 38c6
Checksum failed. Expected: eaa1, Got: 3a65
Checksum failed. Expected: 9b78, Got: f81b
Checksum failed. Expected: 29e3, Got: fad9
