
#################################################################
Log started at 2025-06-12_15-12-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 349c, Got: 0000
Checksum failed. Expected: 5d5c, Got: 0000
Checksum failed. Expected: 10d3, Got: 0000
Checksum failed. Expected: cf23, Got: 0000
Checksum failed. Expected: e6f7, Got: 0000
Checksum failed. Expected: 9fb7, Got: 0000
Checksum failed. Expected: 111b, Got: 0000
Checksum failed. Expected: 9487, Got: 0000
Checksum failed. Expected: 46f1, Got: 0000
Checksum failed. Expected: 4331, Got: 0000
Checksum failed. Expected: b7b6, Got: 0000
Checksum failed. Expected: d80d, Got: 0000
Checksum failed. Expected: 1519, Got: 0000
Checksum failed. Expected: 3230, Got: 0000
Checksum failed. Expected: c7f1, Got: 0000
Checksum failed. Expected: 4516, Got: 0000
Checksum failed. Expected: e89c, Got: 0000
Checksum failed. Expected: 55d0, Got: 0000
Checksum failed. Expected: 2961, Got: 0000
Checksum failed. Expected: 4a9f, Got: 0000
Checksum failed. Expected: a7c6, Got: 0000
Checksum failed. Expected: 54e3, Got: 0000
Checksum failed. Expected: e2fe, Got: 0000
Checksum failed. Expected: a03b, Got: 0000
Checksum failed. Expected: 1d5f, Got: 0000
Checksum failed. Expected: 8962, Got: 0000
Checksum failed. Expected: 6caa, Got: 0000
Checksum failed. Expected: d031, Got: 0000
Checksum failed. Expected: 14d1, Got: 0000
Checksum failed. Expected: 5215, Got: 0000
Checksum failed. Expected: 7795, Got: 0000
Checksum failed. Expected: 4e49, Got: 0000
Checksum failed. Expected: c0a5, Got: 0000
Checksum failed. Expected: c31f, Got: 0000
Checksum failed. Expected: 29ef, Got: 0000
Checksum failed. Expected: 7934, Got: 0000
Checksum failed. Expected: adbb, Got: 0000
Checksum failed. Expected: 7df7, Got: 0000
Checksum failed. Expected: c17e, Got: 0000
Checksum failed. Expected: 8c9f, Got: 0000
Checksum failed. Expected: bac4, Got: 0000
Checksum failed. Expected: 33aa, Got: 0000
Checksum failed. Expected: 341e, Got: 0000
Checksum failed. Expected: 3cef, Got: 0000
Checksum failed. Expected: db0d, Got: 0000
Checksum failed. Expected: 8724, Got: 0000
