
#################################################################
Log started at 2025-06-12_14-15-55 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 98e3, Got: 0004
Checksum failed. Expected: a145, Got: 25a1
Checksum failed. Expected: c27c, Got: da74
Acceleration: X=0.020409, Y=0.021447, Z=9.806846 m/s^2 Time of Week: 1515.322000, Week Number: 0
Acceleration: X=0.018935, Y=0.025628, Z=9.798298 m/s^2 Time of Week: 1515.332000, Week Number: 0
Acceleration: X=0.014710, Y=0.019894, Z=9.796017 m/s^2 Time of Week: 1515.342000, Week Number: 0
Acceleration: X=0.016178, Y=0.020743, Z=9.803253 m/s^2 Time of Week: 1515.352000, Week Number: 0
Acceleration: X=0.019411, Y=0.024094, Z=9.810023 m/s^2 Time of Week: 1515.362000, Week Number: 0
Acceleration: X=0.013450, Y=0.023974, Z=9.806011 m/s^2 Time of Week: 1515.372000, Week Number: 0
Acceleration: X=0.019051, Y=0.025310, Z=9.798095 m/s^2 Time of Week: 1515.382000, Week Number: 0
Acceleration: X=0.014197, Y=0.026183, Z=9.808042 m/s^2 Time of Week: 1515.392000, Week Number: 0
Acceleration: X=0.009183, Y=0.024557, Z=9.818539 m/s^2 Time of Week: 1515.402000, Week Number: 0
Acceleration: X=0.011746, Y=0.031599, Z=9.809372 m/s^2 Time of Week: 1515.412000, Week Number: 0
Acceleration: X=0.009508, Y=0.029393, Z=9.805042 m/s^2 Time of Week: 1515.422000, Week Number: 0
Acceleration: X=0.012952, Y=0.025787, Z=9.805599 m/s^2 Time of Week: 1515.432000, Week Number: 0
Acceleration: X=0.017493, Y=0.026678, Z=9.807077 m/s^2 Time of Week: 1515.442000, Week Number: 0
Acceleration: X=0.018041, Y=0.024802, Z=9.793734 m/s^2 Time of Week: 1515.452000, Week Number: 0
Acceleration: X=0.027870, Y=0.020969, Z=9.791014 m/s^2 Time of Week: 1515.462000, Week Number: 0
Acceleration: X=0.026497, Y=0.020983, Z=9.799621 m/s^2 Time of Week: 1515.472000, Week Number: 0
Acceleration: X=0.019962, Y=0.020059, Z=9.798153 m/s^2 Time of Week: 1515.482000, Week Number: 0
Acceleration: X=0.010946, Y=0.026711, Z=9.802254 m/s^2 Time of Week: 1515.492000, Week Number: 0
Acceleration: X=0.009122, Y=0.035368, Z=9.809332 m/s^2 Time of Week: 1515.502000, Week Number: 0
Acceleration: X=0.008146, Y=0.035903, Z=9.807218 m/s^2 Time of Week: 1515.512000, Week Number: 0
