
#################################################################
Log started at 2025-06-13_14-56-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 4cb7, Got: 8db4
Checksum failed. Expected: 43ed, Got: 8da7
Checksum failed. Expected: c67d, Got: 8d8b
Checksum failed. Expected: 24e4, Got: 8d83
Checksum failed. Expected: d040, Got: 8d82
Checksum failed. Expected: 523e, Got: 8de4
Checksum failed. Expected: 9166, Got: 8e5b
Checksum failed. Expected: fe93, Got: 8d52
Checksum failed. Expected: 6110, Got: 8dee
Checksum failed. Expected: 6c48, Got: 8d53
Checksum failed. Expected: a6e7, Got: 8e08
Checksum failed. Expected: ec7f, Got: 8e98
Checksum failed. Expected: 2178, Got: 8f4d
Checksum failed. Expected: 3694, Got: 8f8d
Checksum failed. Expected: 32b9, Got: 8ffc
Checksum failed. Expected: aed6, Got: 8f23
Checksum failed. Expected: 23b1, Got: 8f0a
Checksum failed. Expected: 90e4, Got: 8f36
Checksum failed. Expected: d2af, Got: 8fd4
Checksum failed. Expected: c7d7, Got: 9044
Checksum failed. Expected: ddab, Got: 8ffe
Checksum failed. Expected: cc2f, Got: 907e
Checksum failed. Expected: 53d2, Got: 915f
Checksum failed. Expected: 52dc, Got: 91f8
Checksum failed. Expected: 9472, Got: 924c
Checksum failed. Expected: be51, Got: 9060
Checksum failed. Expected: fc89, Got: 8fe9
Checksum failed. Expected: 3334, Got: 9045
Checksum failed. Expected: 3f56, Got: 91c9
Checksum failed. Expected: 8ae3, Got: 9227
Checksum failed. Expected: 54b8, Got: 9227
Checksum failed. Expected: c15e, Got: 9228
Checksum failed. Expected: a6bd, Got: 9241
Checksum failed. Expected: ce02, Got: 9214
Checksum failed. Expected: baf0, Got: 91f1
Checksum failed. Expected: 2056, Got: 9188
Checksum failed. Expected: adee, Got: 9158
Checksum failed. Expected: 81f2, Got: 917e
Checksum failed. Expected: 4dab, Got: 924c
Checksum failed. Expected: 73f5, Got: 9233
Checksum failed. Expected: 4da7, Got: 9368
Checksum failed. Expected: f77d, Got: 9321
Checksum failed. Expected: 7910, Got: 92c7
Checksum failed. Expected: 5f3a, Got: 9329
Checksum failed. Expected: e603, Got: 9372
Checksum failed. Expected: be7c, Got: 9322
Checksum failed. Expected: 8223, Got: 92c9
Checksum failed. Expected: 3047, Got: 91d7
Checksum failed. Expected: b19e, Got: 9109
Checksum failed. Expected: 959c, Got: 9108
Checksum failed. Expected: 1e81, Got: 91cb
Checksum failed. Expected: 1242, Got: 9212
Checksum failed. Expected: ffff, Got: 9223
Checksum failed. Expected: 71b7, Got: 91df
Checksum failed. Expected: 29cc, Got: 9230
Checksum failed. Expected: 5b5c, Got: 9273
Checksum failed. Expected: efc9, Got: 9284
Checksum failed. Expected: 89a1, Got: 91ad
Checksum failed. Expected: 8243, Got: 923e
Checksum failed. Expected: e19e, Got: 92c4
Checksum failed. Expected: 6776, Got: 92b2
Checksum failed. Expected: 4608, Got: 936e
Checksum failed. Expected: 2019, Got: 9290
Checksum failed. Expected: a44c, Got: 911f
Checksum failed. Expected: 3f23, Got: 91bb
Checksum failed. Expected: b16b, Got: 9210
Checksum failed. Expected: efaf, Got: 917a
Checksum failed. Expected: 0721, Got: 90f3
Checksum failed. Expected: 46c2, Got: 90d4
Checksum failed. Expected: 0eb4, Got: 9007
Checksum failed. Expected: 2802, Got: 907e
Checksum failed. Expected: a989, Got: 90b5
Checksum failed. Expected: 0079, Got: 904b
Checksum failed. Expected: 19fa, Got: 910d
Checksum failed. Expected: de7e, Got: 9078
Checksum failed. Expected: 1682, Got: 912c
Checksum failed. Expected: 2946, Got: 9156
Checksum failed. Expected: b288, Got: 8f7a
Checksum failed. Expected: 2957, Got: 8eee
Checksum failed. Expected: 74c5, Got: 8f15
Checksum failed. Expected: eedb, Got: 8f97
Checksum failed. Expected: 704e, Got: 9125
Checksum failed. Expected: 8bc8, Got: 919c
Checksum failed. Expected: acad, Got: 901b
Checksum failed. Expected: af36, Got: 8f75
Checksum failed. Expected: c87e, Got: 8fb0
Checksum failed. Expected: 578f, Got: 8fc0
Checksum failed. Expected: 756d, Got: 8fc3
Checksum failed. Expected: 466c, Got: 8ff3
Checksum failed. Expected: 9247, Got: 9018
Checksum failed. Expected: 3896, Got: 8fd8
Checksum failed. Expected: dd88, Got: 8fb1
Checksum failed. Expected: c85a, Got: 9022
Checksum failed. Expected: cbef, Got: 9178
Checksum failed. Expected: 1047, Got: 9243
Checksum failed. Expected: ea46, Got: 928d
Checksum failed. Expected: 0985, Got: 9226
Checksum failed. Expected: 35e1, Got: 9101
Checksum failed. Expected: 2137, Got: 8fc7
Checksum failed. Expected: b611, Got: 900c
Checksum failed. Expected: 1806, Got: 9095
Checksum failed. Expected: 2735, Got: 9086
Checksum failed. Expected: b122, Got: 912f
Checksum failed. Expected: de22, Got: 9129
Checksum failed. Expected: 34f1, Got: 9141
Checksum failed. Expected: 2a59, Got: 90cf
Checksum failed. Expected: feb7, Got: 9099
Checksum failed. Expected: 0263, Got: 905a
Checksum failed. Expected: 15e9, Got: 9000
Checksum failed. Expected: e32d, Got: 9065
Checksum failed. Expected: 05f6, Got: 90de
Checksum failed. Expected: d9cf, Got: 9068
Checksum failed. Expected: 4bae, Got: 9065
Checksum failed. Expected: f251, Got: 8fa3
Checksum failed. Expected: c9b3, Got: 901e
Checksum failed. Expected: baf0, Got: 9118
Checksum failed. Expected: 05c4, Got: 8fe8
Checksum failed. Expected: 8600, Got: 8f3e
Checksum failed. Expected: 5185, Got: 8ff2
Checksum failed. Expected: 2a92, Got: 9065
Checksum failed. Expected: f5dd, Got: 8f72
Checksum failed. Expected: 2861, Got: 8de2
Checksum failed. Expected: 52a7, Got: 8e44
Checksum failed. Expected: 6e02, Got: 8fca
Checksum failed. Expected: fc96, Got: 9089
Checksum failed. Expected: 318f, Got: 9149
Checksum failed. Expected: 800c, Got: 9162
Checksum failed. Expected: 8487, Got: 90a5
Checksum failed. Expected: 14d3, Got: 8fb2
Checksum failed. Expected: 55df, Got: 9008
Checksum failed. Expected: b039, Got: 9050
Checksum failed. Expected: be9e, Got: 9018
Checksum failed. Expected: 7796, Got: 9022
Checksum failed. Expected: f764, Got: 9085
Checksum failed. Expected: 2f6c, Got: 90b5
Checksum failed. Expected: effb, Got: 919f
Checksum failed. Expected: 2369, Got: 90fb
Checksum failed. Expected: 5850, Got: 9059
Checksum failed. Expected: 9d26, Got: 910e
Checksum failed. Expected: 9e29, Got: 9247
Checksum failed. Expected: 5569, Got: 9294
Checksum failed. Expected: 3c96, Got: 9276
Checksum failed. Expected: 1881, Got: 9190
Checksum failed. Expected: b4e9, Got: 9204
Checksum failed. Expected: 6b9d, Got: 9375
Checksum failed. Expected: a6e8, Got: 936e
Checksum failed. Expected: 4adf, Got: 928f
Checksum failed. Expected: a1c3, Got: 920e
Checksum failed. Expected: 90ed, Got: 91d7
Checksum failed. Expected: 4377, Got: 92a3
Checksum failed. Expected: 9c46, Got: 9369
Checksum failed. Expected: 9b5f, Got: 939d
Checksum failed. Expected: b8f5, Got: 937b
Checksum failed. Expected: 1169, Got: 9264
Checksum failed. Expected: 33e7, Got: 9141
Checksum failed. Expected: eb6e, Got: 921f
Checksum failed. Expected: 7ddb, Got: 9255
Checksum failed. Expected: 5746, Got: 9292
Checksum failed. Expected: aa74, Got: 9271
Checksum failed. Expected: f9fa, Got: 9160
Checksum failed. Expected: 67f3, Got: 914e
