
#################################################################
Log started at 2025-06-12_16-20-06 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d773, Got: 0c4a
Checksum failed. Expected: 14dc, Got: 7ae2
Checksum failed. Expected: 528b, Got: e979
Checksum failed. Expected: 3418, Got: 5811
Checksum failed. Expected: cb7c, Got: c6a8
Checksum failed. Expected: 6857, Got: 3540
Checksum failed. Expected: 2a15, Got: a3d7
Checksum failed. Expected: ff00, Got: 126f
Checksum failed. Expected: a428, Got: 8106
Checksum failed. Expected: 41fc, Got: ef9e
Checksum failed. Expected: 98fc, Got: 5e36
Checksum failed. Expected: 0724, Got: cccd
Checksum failed. Expected: 68c3, Got: 3b65
Checksum failed. Expected: d089, Got: a9fc
Checksum failed. Expected: a24a, Got: 1894
Checksum failed. Expected: 1486, Got: 872b
Checksum failed. Expected: 8d6e, Got: f5c3
Checksum failed. Expected: aa36, Got: 645a
Checksum failed. Expected: c701, Got: d2f2
Checksum failed. Expected: 1cd9, Got: 418a
Checksum failed. Expected: 9bed, Got: b021
Checksum failed. Expected: f0c4, Got: 1eb9
Checksum failed. Expected: 47bc, Got: 8d50
Checksum failed. Expected: 9dae, Got: fbe8
Checksum failed. Expected: 3974, Got: 6a7f
Checksum failed. Expected: e4f7, Got: d917
Checksum failed. Expected: dfdb, Got: 47ae
Checksum failed. Expected: 5dfc, Got: b646
Checksum failed. Expected: a726, Got: 24de
Checksum failed. Expected: fde3, Got: 9375
Checksum failed. Expected: f6b2, Got: 020d
Checksum failed. Expected: fc28, Got: 70a4
Checksum failed. Expected: 4140, Got: df3c
Checksum failed. Expected: f75e, Got: 4dd3
Checksum failed. Expected: f039, Got: bc6b
Checksum failed. Expected: 2765, Got: 2b02
Checksum failed. Expected: 4640, Got: 999a
Checksum failed. Expected: a8da, Got: 0832
Checksum failed. Expected: 13ca, Got: 76c9
Checksum failed. Expected: 4d54, Got: e561
Checksum failed. Expected: bea0, Got: 53f8
Checksum failed. Expected: aced, Got: c290
Checksum failed. Expected: 455d, Got: 3127
Checksum failed. Expected: dbb0, Got: 9fbf
Checksum failed. Expected: e898, Got: 0e56
Checksum failed. Expected: 8cc5, Got: 7cee
Checksum failed. Expected: fe40, Got: eb85
Checksum failed. Expected: 2491, Got: 5a1d
Checksum failed. Expected: 892d, Got: c8b5
Checksum failed. Expected: 292b, Got: 374c
Checksum failed. Expected: ca22, Got: a5e4
Checksum failed. Expected: ce98, Got: 147b
Checksum failed. Expected: 9ae9, Got: 8313
Checksum failed. Expected: f1e2, Got: f1aa
Checksum failed. Expected: 8323, Got: 6042
Checksum failed. Expected: 768f, Got: ced9
Checksum failed. Expected: a014, Got: 3d71
Checksum failed. Expected: a674, Got: ac09
