
#################################################################
Log started at 2025-06-12_16-32-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 8b3e, Got: 8313
Checksum failed. Expected: c63f, Got: a7f0
Checksum failed. Expected: 9ab2, Got: cccd
Checksum failed. Expected: 7fff, Got: f1aa
Checksum failed. Expected: 7857, Got: 1688
Checksum failed. Expected: 53f0, Got: 3b65
Checksum failed. Expected: a74f, Got: 6042
Checksum failed. Expected: 1736, Got: 851f
Checksum failed. Expected: f521, Got: a9fc
Checksum failed. Expected: cfe8, Got: ced9
Checksum failed. Expected: 397b, Got: f3b7
Checksum failed. Expected: 5166, Got: 1894
Checksum failed. Expected: 1182, Got: 3d71
Checksum failed. Expected: 88cb, Got: 624e
Checksum failed. Expected: 230c, Got: 872b
Checksum failed. Expected: 00e9, Got: ac09
Checksum failed. Expected: 684d, Got: d0e6
Checksum failed. Expected: 5410, Got: f5c3
Checksum failed. Expected: 57f4, Got: 1aa0
Checksum failed. Expected: 150a, Got: 3f7d
Checksum failed. Expected: e315, Got: 645b
Checksum failed. Expected: e91d, Got: 8938
Checksum failed. Expected: 44de, Got: ae15
Checksum failed. Expected: eab9, Got: d2f2
Checksum failed. Expected: a4c0, Got: f7cf
Checksum failed. Expected: 6d78, Got: 1cac
Checksum failed. Expected: 2648, Got: 418a
Checksum failed. Expected: 8fba, Got: 6667
Checksum failed. Expected: 5447, Got: 8b44
Checksum failed. Expected: 5846, Got: b021
Checksum failed. Expected: f279, Got: d4fe
Checksum failed. Expected: f68c, Got: f9dc
Checksum failed. Expected: eb99, Got: 1eb9
Checksum failed. Expected: c0f1, Got: 4396
Checksum failed. Expected: 2ca0, Got: 6873
Checksum failed. Expected: 59dd, Got: 8d50
Checksum failed. Expected: ac2e, Got: b22d
Checksum failed. Expected: 0b27, Got: d70b
Checksum failed. Expected: 42dd, Got: fbe8
Checksum failed. Expected: c7f1, Got: 20c5
Checksum failed. Expected: 599f, Got: 45a2
Checksum failed. Expected: f926, Got: 6a7f
Checksum failed. Expected: 102f, Got: 8f5d
Checksum failed. Expected: 4d39, Got: b43a
Checksum failed. Expected: 6a96, Got: d917
Checksum failed. Expected: 5429, Got: fdf4
Checksum failed. Expected: 51cd, Got: 22d1
Checksum failed. Expected: ee15, Got: 47ae
Checksum failed. Expected: 1828, Got: 6c8c
Checksum failed. Expected: 3ffe, Got: 9169
Checksum failed. Expected: ea1f, Got: b646
Checksum failed. Expected: ef2c, Got: db23
Checksum failed. Expected: cbe2, Got: 0000
Checksum failed. Expected: 5618, Got: 24de
Checksum failed. Expected: 3a58, Got: 49bb
Checksum failed. Expected: 9627, Got: 6e98
Checksum failed. Expected: 91a8, Got: 9375
Checksum failed. Expected: 05c7, Got: b852
Checksum failed. Expected: 0cf0, Got: dd30
Checksum failed. Expected: 21bd, Got: 020d
Checksum failed. Expected: f507, Got: 26ea
Checksum failed. Expected: 9e20, Got: 4bc7
Checksum failed. Expected: 78d3, Got: 70a4
Checksum failed. Expected: 90ea, Got: 9581
Checksum failed. Expected: eed5, Got: ba5f
Checksum failed. Expected: 27a7, Got: df3c
Checksum failed. Expected: ce83, Got: 0419
Checksum failed. Expected: 711f, Got: 28f6
Checksum failed. Expected: 36c0, Got: 4dd3
Checksum failed. Expected: da7f, Got: 72b1
Checksum failed. Expected: 0047, Got: 978e
Checksum failed. Expected: 23f8, Got: bc6b
Checksum failed. Expected: f42d, Got: e148
Checksum failed. Expected: 808f, Got: 0625
Checksum failed. Expected: 31ef, Got: 2b02
Checksum failed. Expected: c906, Got: 4fe0
Checksum failed. Expected: 27f2, Got: 74bd
Checksum failed. Expected: 4887, Got: 999a
Checksum failed. Expected: a348, Got: be77
Checksum failed. Expected: 9875, Got: e354
Checksum failed. Expected: e88f, Got: 0832
Checksum failed. Expected: 3aaa, Got: 2d0f
Checksum failed. Expected: c727, Got: 51ec
Checksum failed. Expected: d6d4, Got: 76c9
Checksum failed. Expected: 6897, Got: 9ba6
Checksum failed. Expected: 2c16, Got: c083
Checksum failed. Expected: 0a01, Got: e561
Checksum failed. Expected: 8bb6, Got: 0a3e
Checksum failed. Expected: 4486, Got: 2f1b
Checksum failed. Expected: 3ac1, Got: 53f8
Checksum failed. Expected: 1cf8, Got: 78d5
Checksum failed. Expected: a53d, Got: 9db3
Checksum failed. Expected: d267, Got: c290
Checksum failed. Expected: 3e16, Got: e76d
Checksum failed. Expected: 75c6, Got: 0c4a
Checksum failed. Expected: 293a, Got: 3127
Checksum failed. Expected: 04fb, Got: 5604
Checksum failed. Expected: 0e4e, Got: 7ae2
Checksum failed. Expected: 3646, Got: 9fbf
Checksum failed. Expected: b0b9, Got: c49c
Checksum failed. Expected: ecc8, Got: e979
Checksum failed. Expected: a384, Got: 0e56
Checksum failed. Expected: 178e, Got: 3334
Checksum failed. Expected: 34d8, Got: 5811
Checksum failed. Expected: d9a5, Got: 7cee
Checksum failed. Expected: d21e, Got: a1cb
Checksum failed. Expected: 2029, Got: c6a8
Checksum failed. Expected: 726c, Got: eb86
Checksum failed. Expected: 6125, Got: 1063
Checksum failed. Expected: c879, Got: 3540
Checksum failed. Expected: 19ae, Got: 5a1d
Checksum failed. Expected: 659d, Got: 7efa
Checksum failed. Expected: 57b4, Got: a3d7
Checksum failed. Expected: a5bf, Got: c8b5
Checksum failed. Expected: 4425, Got: ed92
Checksum failed. Expected: 154d, Got: 126f
Checksum failed. Expected: f323, Got: 374c
Checksum failed. Expected: e418, Got: 5c29
