
#################################################################
Log started at 2025-06-13_16-01-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: cb69, Got: 0942
Checksum failed. Expected: f5c8, Got: 0942
Checksum failed. Expected: 3693, Got: 0942
Checksum failed. Expected: 8aa1, Got: 0942
Checksum failed. Expected: 7fcd, Got: 0942
Checksum failed. Expected: ce9f, Got: 0942
Checksum failed. Expected: 77e1, Got: 0942
Checksum failed. Expected: 9237, Got: 0942
Checksum failed. Expected: 5425, Got: 0942
Checksum failed. Expected: 13e3, Got: 0942
Checksum failed. Expected: ed51, Got: 0942
Checksum failed. Expected: 4b0d, Got: 0942
Checksum failed. Expected: 7e10, Got: 0942
Checksum failed. Expected: 41ee, Got: 0942
Checksum failed. Expected: 2707, Got: 0942
Checksum failed. Expected: 56c5, Got: 0942
Checksum failed. Expected: 7f23, Got: 0942
Checksum failed. Expected: 0872, Got: 0942
Checksum failed. Expected: 2d7d, Got: 0942
Checksum failed. Expected: 1089, Got: 0942
Checksum failed. Expected: 76be, Got: 0942
Checksum failed. Expected: 8017, Got: 0942
Checksum failed. Expected: 8205, Got: 0942
Checksum failed. Expected: 55f4, Got: 0942
Checksum failed. Expected: fe3f, Got: 0942
Checksum failed. Expected: 0dfd, Got: 0942
Checksum failed. Expected: 2999, Got: 0942
Checksum failed. Expected: bfce, Got: 0942
Checksum failed. Expected: fa28, Got: 0942
Checksum failed. Expected: 28c3, Got: 0942
Checksum failed. Expected: f671, Got: 0942
Checksum failed. Expected: b30f, Got: 0942
Checksum failed. Expected: cb5d, Got: 0942
Checksum failed. Expected: 97c7, Got: 0942
Checksum failed. Expected: b862, Got: 0942
Checksum failed. Expected: a4f1, Got: 0942
Checksum failed. Expected: 3b2f, Got: 0942
Checksum failed. Expected: 67bd, Got: 0942
Checksum failed. Expected: 5abb, Got: 0942
Checksum failed. Expected: 80da, Got: 0942
Checksum failed. Expected: 8f78, Got: 0942
Checksum failed. Expected: 3bff, Got: 0942
Checksum failed. Expected: 1251, Got: 0942
Checksum failed. Expected: 176f, Got: 0942
Checksum failed. Expected: e2de, Got: 0942
Checksum failed. Expected: 05c9, Got: 0942
Checksum failed. Expected: 9ae7, Got: 0942
Checksum failed. Expected: cff8, Got: 0942
Checksum failed. Expected: 2b7f, Got: 0942
Checksum failed. Expected: ba51, Got: 0942
Checksum failed. Expected: d8f0, Got: 0942
Checksum failed. Expected: ddfb, Got: 0942
Checksum failed. Expected: 2dc9, Got: 0942
Checksum failed. Expected: 4fb7, Got: 0942
Checksum failed. Expected: 5088, Got: 0942
Checksum failed. Expected: d692, Got: 0942
Checksum failed. Expected: acbb, Got: 0942
Checksum failed. Expected: 152d, Got: 0942
Checksum failed. Expected: 05fb, Got: 0942
Checksum failed. Expected: ff69, Got: 0942
Checksum failed. Expected: c157, Got: 0942
Checksum failed. Expected: 6fe9, Got: 0942
Checksum failed. Expected: d4df, Got: 0942
Checksum failed. Expected: 0e5b, Got: 0942
Checksum failed. Expected: 1afd, Got: 0942
Checksum failed. Expected: 635b, Got: 0942
Checksum failed. Expected: 6eca, Got: 0942
Checksum failed. Expected: c5f5, Got: 0942
Checksum failed. Expected: 27d6, Got: 0942
Checksum failed. Expected: af0f, Got: 0942
Checksum failed. Expected: 9cbb, Got: 0942
Checksum failed. Expected: e2fd, Got: 0942
Checksum failed. Expected: a3cc, Got: 0942
Checksum failed. Expected: 77c7, Got: 0942
Checksum failed. Expected: 6df5, Got: 0942
Checksum failed. Expected: 674a, Got: 0942
Checksum failed. Expected: fd4d, Got: 0942
Checksum failed. Expected: a47c, Got: 0942
Checksum failed. Expected: eff5, Got: 0942
Checksum failed. Expected: 70e7, Got: 0942
Checksum failed. Expected: b3e5, Got: 0942
Checksum failed. Expected: 8e63, Got: 0942
Checksum failed. Expected: 7d05, Got: 0942
Checksum failed. Expected: f0db, Got: 0942
Checksum failed. Expected: 25f9, Got: 0942
Checksum failed. Expected: c195, Got: 0942
Checksum failed. Expected: 35b7, Got: 0942
Checksum failed. Expected: 3475, Got: 0942
Checksum failed. Expected: b0f4, Got: 0942
Checksum failed. Expected: 7a42, Got: 0942
Checksum failed. Expected: 149b, Got: 0942
Checksum failed. Expected: 1f19, Got: 0942
Checksum failed. Expected: 6cc5, Got: 0942
Checksum failed. Expected: aeb8, Got: 0942
Checksum failed. Expected: 0bea, Got: 0942
Checksum failed. Expected: 36c8, Got: 0942
Checksum failed. Expected: 3361, Got: 0942
Checksum failed. Expected: fab3, Got: 0942
Checksum failed. Expected: 4311, Got: 0942
Checksum failed. Expected: 7d72, Got: 0942
Checksum failed. Expected: d9dc, Got: 0942
Checksum failed. Expected: c227, Got: 0942
Checksum failed. Expected: f855, Got: 0942
Checksum failed. Expected: d0b1, Got: 0942
Checksum failed. Expected: 0b43, Got: 0942
Checksum failed. Expected: 1061, Got: 0942
Checksum failed. Expected: 6bc3, Got: 0942
Checksum failed. Expected: ad89, Got: 0942
Checksum failed. Expected: 3e67, Got: 0942
Checksum failed. Expected: dc15, Got: 0942
Checksum failed. Expected: 0251, Got: 0942
Checksum failed. Expected: 8ff4, Got: 0942
Checksum failed. Expected: f94f, Got: 0942
Checksum failed. Expected: eb24, Got: 0942
Checksum failed. Expected: 5127, Got: 0942
Checksum failed. Expected: 50e5, Got: 0942
Checksum failed. Expected: 94e4, Got: 0942
Checksum failed. Expected: 7e3f, Got: 0942
Checksum failed. Expected: d25b, Got: 0942
Checksum failed. Expected: 9efd, Got: 0942
Checksum failed. Expected: c96e, Got: 0942
Checksum failed. Expected: a4d7, Got: 0942
Checksum failed. Expected: 1276, Got: 0942
Checksum failed. Expected: 1341, Got: 0942
Checksum failed. Expected: 4c9f, Got: 0942
Checksum failed. Expected: 1a5b, Got: 0942
Checksum failed. Expected: 63cd, Got: 0942
Checksum failed. Expected: fe2f, Got: 0942
Checksum failed. Expected: a105, Got: 0942
Checksum failed. Expected: 2c83, Got: 0942
Checksum failed. Expected: 21a1, Got: 0942
Checksum failed. Expected: 97cf, Got: 0942
