
#################################################################
Log started at 2025-06-13_14-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 3bb3, Got: 1875
Checksum failed. Expected: 31fc, Got: 6b75
Checksum failed. Expected: a333, Got: 3075
Checksum failed. Expected: 6bb2, Got: e775
Checksum failed. Expected: f7d7, Got: 8075
Checksum failed. Expected: f7e6, Got: 8f75
Checksum failed. Expected: f9ff, Got: a675
Checksum failed. Expected: dbce, Got: 9375
Checksum failed. Expected: 0f8b, Got: 1c75
Checksum failed. Expected: fd88, Got: 2b75
Checksum failed. Expected: f173, Got: 2275
Checksum failed. Expected: 6f88, Got: b975
Checksum failed. Expected: 7991, Got: b875
Checksum failed. Expected: cb7a, Got: 4f75
Checksum failed. Expected: 6dcc, Got: ff75
Checksum failed. Expected: 7716, Got: 3f75
Checksum failed. Expected: 433e, Got: 9b75
Checksum failed. Expected: dd25, Got: e875
Checksum failed. Expected: 8739, Got: 5275
Checksum failed. Expected: 9f2f, Got: 3075
Checksum failed. Expected: 6535, Got: 7075
Checksum failed. Expected: 6fb1, Got: e275
Checksum failed. Expected: ffcf, Got: 7075
Checksum failed. Expected: bf06, Got: e775
Checksum failed. Expected: a7f0, Got: e975
Checksum failed. Expected: 8115, Got: 3475
Checksum failed. Expected: ab60, Got: 5575
Checksum failed. Expected: a135, Got: 3475
Checksum failed. Expected: 93f7, Got: 0475
Checksum failed. Expected: 0557, Got: f275
Checksum failed. Expected: dd7d, Got: 4075
Checksum failed. Expected: 6b7f, Got: b475
Checksum failed. Expected: bb01, Got: e675
Checksum failed. Expected: 7707, Got: 3075
Checksum failed. Expected: 01c7, Got: 6675
Checksum failed. Expected: 4311, Got: 6e75
Checksum failed. Expected: 4354, Got: b175
Checksum failed. Expected: 3f10, Got: 7175
Checksum failed. Expected: ade6, Got: d975
Checksum failed. Expected: a75a, Got: 5375
Checksum failed. Expected: cf17, Got: e875
Checksum failed. Expected: cb4f, Got: 2475
Checksum failed. Expected: d1ce, Got: 9d75
Checksum failed. Expected: 2146, Got: c575
Checksum failed. Expected: c180, Got: 5f75
Checksum failed. Expected: e59c, Got: 5775
Checksum failed. Expected: fd9b, Got: 3e75
Checksum failed. Expected: bb52, Got: 3775
Checksum failed. Expected: 6f56, Got: 8775
Checksum failed. Expected: 2dc8, Got: 3b75
