
#################################################################
Log started at 2025-06-13_14-56-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ff76, Got: 1775
Checksum failed. Expected: 4f7d, Got: ce75
Checksum failed. Expected: 71ef, Got: 1e75
Checksum failed. Expected: f7a5, Got: 4e75
Checksum failed. Expected: 3f48, Got: a975
Checksum failed. Expected: 3f76, Got: d775
Checksum failed. Expected: 0ffd, Got: 8e75
Checksum failed. Expected: af69, Got: 5a75
Checksum failed. Expected: 2942, Got: b975
Checksum failed. Expected: 4de8, Got: 3b75
Checksum failed. Expected: 636a, Got: a775
Checksum failed. Expected: 2f9d, Got: 0e75
Checksum failed. Expected: db3a, Got: ff75
Checksum failed. Expected: c5a7, Got: 8275
Checksum failed. Expected: 5950, Got: 9775
Checksum failed. Expected: 99f0, Got: f775
Checksum failed. Expected: 596d, Got: b475
Checksum failed. Expected: fd16, Got: b975
Checksum failed. Expected: bd8f, Got: 7275
Checksum failed. Expected: 9d68, Got: 6b75
Checksum failed. Expected: 6346, Got: 8375
Checksum failed. Expected: e147, Got: 0675
Checksum failed. Expected: 3be6, Got: 4b75
Checksum failed. Expected: 2fdf, Got: 5075
Checksum failed. Expected: 9dfc, Got: ff75
Checksum failed. Expected: ffb8, Got: 5975
Checksum failed. Expected: 65b8, Got: f375
Checksum failed. Expected: c719, Got: f275
Checksum failed. Expected: e766, Got: 1f75
Checksum failed. Expected: d7bd, Got: 8675
Checksum failed. Expected: 2348, Got: c575
Checksum failed. Expected: a5f7, Got: f275
Checksum failed. Expected: 5b5c, Got: a175
Checksum failed. Expected: abc0, Got: b575
Checksum failed. Expected: 898d, Got: a475
Checksum failed. Expected: d3fa, Got: c775
Checksum failed. Expected: 9194, Got: a375
Checksum failed. Expected: 7b76, Got: 9b75
Checksum failed. Expected: 5749, Got: 9275
Checksum failed. Expected: 9b53, Got: 5875
Checksum failed. Expected: f31b, Got: c875
Checksum failed. Expected: 3d64, Got: c775
Checksum failed. Expected: bbcc, Got: b175
Checksum failed. Expected: 8d34, Got: 4775
Checksum failed. Expected: 59a6, Got: ed75
Checksum failed. Expected: 3d42, Got: a575
Checksum failed. Expected: 69d2, Got: 0975
Checksum failed. Expected: 39bf, Got: 2675
Checksum failed. Expected: 6b7a, Got: af75
Checksum failed. Expected: 2f5f, Got: d075
Checksum failed. Expected: df9f, Got: 6075
Checksum failed. Expected: a103, Got: 0275
Checksum failed. Expected: cd85, Got: 5875
Checksum failed. Expected: 3b61, Got: c675
Checksum failed. Expected: 136e, Got: fb75
Checksum failed. Expected: e5eb, Got: a675
Checksum failed. Expected: 4d12, Got: 6575
Checksum failed. Expected: 63d3, Got: 1075
Checksum failed. Expected: 8b2d, Got: 4275
Checksum failed. Expected: 3398, Got: 0575
Checksum failed. Expected: 11d0, Got: 5f75
Checksum failed. Expected: a52c, Got: 2775
Checksum failed. Expected: c14a, Got: 2975
Checksum failed. Expected: c93a, Got: 1175
Checksum failed. Expected: a1f1, Got: f075
Checksum failed. Expected: f755, Got: fe75
Checksum failed. Expected: 2b4c, Got: c175
Checksum failed. Expected: 7d30, Got: 5375
Checksum failed. Expected: 2d26, Got: 9975
Checksum failed. Expected: ddc8, Got: 8b75
Checksum failed. Expected: 5579, Got: c475
Checksum failed. Expected: abcb, Got: c075
Checksum failed. Expected: cde5, Got: b875
Checksum failed. Expected: 4b71, Got: c675
Checksum failed. Expected: 4708, Got: 6175
Checksum failed. Expected: 65f2, Got: 2d75
Checksum failed. Expected: a1bb, Got: ba75
Checksum failed. Expected: 1baf, Got: 3475
Checksum failed. Expected: 3f03, Got: 6475
Checksum failed. Expected: 9fbe, Got: bf75
Checksum failed. Expected: b3d7, Got: c475
Checksum failed. Expected: bb64, Got: 4975
Checksum failed. Expected: 7909, Got: 3075
Checksum failed. Expected: 1536, Got: c175
Checksum failed. Expected: 9931, Got: 3875
Checksum failed. Expected: 85a4, Got: bf75
Checksum failed. Expected: 4198, Got: f775
Checksum failed. Expected: 43a0, Got: fd75
Checksum failed. Expected: 9d69, Got: 6c75
Checksum failed. Expected: 7783, Got: ac75
Checksum failed. Expected: 6f16, Got: 4775
Checksum failed. Expected: a1d0, Got: cf75
Checksum failed. Expected: 25f7, Got: 7275
Checksum failed. Expected: 6daa, Got: dd75
Checksum failed. Expected: abde, Got: d375
Checksum failed. Expected: 5f30, Got: 7175
Checksum failed. Expected: f768, Got: 1175
Checksum failed. Expected: 55af, Got: fa75
Checksum failed. Expected: 31e7, Got: 5675
Checksum failed. Expected: 7562, Got: 8d75
Checksum failed. Expected: 83c1, Got: de75
Checksum failed. Expected: 2d18, Got: 8b75
Checksum failed. Expected: 9925, Got: 2c75
Checksum failed. Expected: 03a9, Got: 4675
Checksum failed. Expected: 034a, Got: e775
Checksum failed. Expected: 9d9f, Got: a275
Checksum failed. Expected: 6576, Got: b175
Checksum failed. Expected: 0138, Got: d775
Checksum failed. Expected: ab79, Got: 6e75
Checksum failed. Expected: b323, Got: 1075
Checksum failed. Expected: 950a, Got: 1575
Checksum failed. Expected: e15b, Got: 1a75
Checksum failed. Expected: ad2d, Got: 2075
Checksum failed. Expected: af45, Got: 3675
Checksum failed. Expected: 8b38, Got: 4d75
Checksum failed. Expected: b7fd, Got: e675
Checksum failed. Expected: cdaa, Got: 7d75
Checksum failed. Expected: 3924, Got: 8b75
Checksum failed. Expected: 3f1c, Got: 7d75
Checksum failed. Expected: 49f3, Got: 4a75
Checksum failed. Expected: 5708, Got: 5175
Checksum failed. Expected: edf9, Got: ac75
Checksum failed. Expected: f58f, Got: 3a75
Checksum failed. Expected: fb1e, Got: c375
Checksum failed. Expected: bb09, Got: ee75
Checksum failed. Expected: fbeb, Got: 9075
Checksum failed. Expected: 5914, Got: 5b75
Checksum failed. Expected: 3dc1, Got: 2475
Checksum failed. Expected: c3d1, Got: ae75
Checksum failed. Expected: fbfa, Got: 9f75
Checksum failed. Expected: f5bd, Got: 6875
Checksum failed. Expected: 39a1, Got: 0875
Checksum failed. Expected: 956c, Got: 7775
Checksum failed. Expected: 1927, Got: ae75
Checksum failed. Expected: 3d48, Got: ab75
Checksum failed. Expected: 0909, Got: a075
Checksum failed. Expected: 9b67, Got: 6c75
Checksum failed. Expected: 7fce, Got: ef75
Checksum failed. Expected: 4b59, Got: ae75
Checksum failed. Expected: 51fe, Got: 4d75
Checksum failed. Expected: 5b28, Got: 6d75
Checksum failed. Expected: 510a, Got: 5975
Checksum failed. Expected: 3d77, Got: da75
Checksum failed. Expected: d3c8, Got: 9575
Checksum failed. Expected: 5b9e, Got: e375
Checksum failed. Expected: 4fc7, Got: 1875
Checksum failed. Expected: 5130, Got: 7f75
Checksum failed. Expected: 3796, Got: ff75
Checksum failed. Expected: 2f65, Got: d675
Checksum failed. Expected: e9bd, Got: 7475
Checksum failed. Expected: e5ba, Got: 7575
Checksum failed. Expected: 2b51, Got: c675
Checksum failed. Expected: 2f3d, Got: ae75
Checksum failed. Expected: d175, Got: 4475
Checksum failed. Expected: 0762, Got: fb75
Checksum failed. Expected: f5ec, Got: 9775
Checksum failed. Expected: 2713, Got: 8c75
Checksum failed. Expected: 6507, Got: 4275
Checksum failed. Expected: 5561, Got: ac75
Checksum failed. Expected: fbf7, Got: 9c75
Checksum failed. Expected: 877c, Got: 9575
Checksum failed. Expected: 93f3, Got: 0075
Checksum failed. Expected: bda4, Got: 8775
Checksum failed. Expected: 359c, Got: 0775
Checksum failed. Expected: 53b1, Got: fe75
Checksum failed. Expected: eb28, Got: dd75
Checksum failed. Expected: df76, Got: 3775
Checksum failed. Expected: 7fa3, Got: c475
Checksum failed. Expected: ff16, Got: b775
Checksum failed. Expected: 4d05, Got: 5875
Checksum failed. Expected: 778b, Got: b475
Checksum failed. Expected: 29b9, Got: 3075
Checksum failed. Expected: a375, Got: 7275
Checksum failed. Expected: c745, Got: 1e75
Checksum failed. Expected: 7d3c, Got: 5f75
Checksum failed. Expected: 39f4, Got: 5b75
Checksum failed. Expected: 15a6, Got: 3175
Checksum failed. Expected: b131, Got: 2075
Checksum failed. Expected: 9746, Got: 4f75
Checksum failed. Expected: e156, Got: 1575
Checksum failed. Expected: 717d, Got: ac75
Checksum failed. Expected: 0365, Got: 0275
Checksum failed. Expected: 7702, Got: 2b75
Checksum failed. Expected: 69ef, Got: 2675
Checksum failed. Expected: 5339, Got: 8675
Checksum failed. Expected: c526, Got: 0175
Checksum failed. Expected: 5f98, Got: d975
Checksum failed. Expected: 1dd8, Got: 5b75
Checksum failed. Expected: c7c1, Got: 9a75
Checksum failed. Expected: a3be, Got: bb75
Checksum failed. Expected: cd20, Got: f375
Checksum failed. Expected: 0359, Got: f675
Checksum failed. Expected: 33d8, Got: 4575
Checksum failed. Expected: 8312, Got: 2f75
Checksum failed. Expected: 09bc, Got: 5375
Checksum failed. Expected: 83d4, Got: f175
Checksum failed. Expected: f107, Got: b675
Checksum failed. Expected: 558b, Got: d675
Checksum failed. Expected: 13bd, Got: 4a75
Checksum failed. Expected: 1f30, Got: b175
Checksum failed. Expected: d719, Got: e275
Checksum failed. Expected: 67db, Got: 1475
Checksum failed. Expected: 8197, Got: b675
Checksum failed. Expected: a506, Got: 0175
Checksum failed. Expected: a3f3, Got: f075
Checksum failed. Expected: b706, Got: ef75
Checksum failed. Expected: 994a, Got: 5175
Checksum failed. Expected: 399f, Got: 0675
Checksum failed. Expected: f93c, Got: e375
Checksum failed. Expected: 175f, Got: e875
Checksum failed. Expected: 25d6, Got: 5175
Checksum failed. Expected: 3f4b, Got: ac75
Checksum failed. Expected: 21c2, Got: 4175
Checksum failed. Expected: 5d2d, Got: 7075
Checksum failed. Expected: cd96, Got: 6975
Checksum failed. Expected: f994, Got: 3b75
Checksum failed. Expected: 9f08, Got: 0975
Checksum failed. Expected: 4d54, Got: a775
Checksum failed. Expected: fbe9, Got: 8e75
Checksum failed. Expected: 1152, Got: e175
Checksum failed. Expected: ff42, Got: e375
Checksum failed. Expected: e781, Got: 3a75
Checksum failed. Expected: 5987, Got: ce75
Checksum failed. Expected: f792, Got: 3b75
Checksum failed. Expected: abbf, Got: b475
Checksum failed. Expected: 3396, Got: 0375
Checksum failed. Expected: b57c, Got: 6775
Checksum failed. Expected: 5965, Got: ac75
Checksum failed. Expected: 87b3, Got: cc75
Checksum failed. Expected: 99d3, Got: da75
Checksum failed. Expected: bdc7, Got: aa75
Checksum failed. Expected: cd3a, Got: 0d75
Checksum failed. Expected: 514a, Got: 9975
Checksum failed. Expected: 5fad, Got: ee75
Checksum failed. Expected: 9daa, Got: ad75
Checksum failed. Expected: 3b93, Got: f875
Checksum failed. Expected: 73c2, Got: ef75
Checksum failed. Expected: 2bf2, Got: 6775
Checksum failed. Expected: 054f, Got: ea75
Checksum failed. Expected: 83a2, Got: bf75
Checksum failed. Expected: fbe1, Got: 8675
Checksum failed. Expected: c9d0, Got: a775
Checksum failed. Expected: a314, Got: 1175
Checksum failed. Expected: 79b9, Got: e075
Checksum failed. Expected: 83dc, Got: f975
Checksum failed. Expected: 67a1, Got: da75
Checksum failed. Expected: 35cb, Got: 3675
Checksum failed. Expected: 932c, Got: 3975
Checksum failed. Expected: 0199, Got: 3875
Checksum failed. Expected: 9bc5, Got: ca75
Checksum failed. Expected: 49bb, Got: 1275
Checksum failed. Expected: e165, Got: 2475
Checksum failed. Expected: 5daf, Got: f275
Checksum failed. Expected: 5951, Got: 9875
Checksum failed. Expected: bdab, Got: 8e75
Checksum failed. Expected: 7324, Got: 5175
Checksum failed. Expected: 8b25, Got: 3a75
Checksum failed. Expected: 55c0, Got: 0b75
Checksum failed. Expected: 79c2, Got: e975
Checksum failed. Expected: 1f71, Got: f275
Checksum failed. Expected: 93ed, Got: fa75
Checksum failed. Expected: 67f7, Got: 3075
Checksum failed. Expected: e55c, Got: 1775
Checksum failed. Expected: 2b87, Got: fc75
Checksum failed. Expected: 3b01, Got: 6675
Checksum failed. Expected: 6f3f, Got: 7075
Checksum failed. Expected: d5b5, Got: 8075
