
#################################################################
Log started at 2025-06-12_16-32-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d045, Got: 4466
Checksum failed. Expected: 1bd3, Got: c651
Checksum failed. Expected: 372f, Got: c9ec
Checksum failed. Expected: 380f, Got: 4667
Checksum failed. Expected: ec9d, Got: d3dc
Checksum failed. Expected: 5ae3, Got: cfb3
Checksum failed. Expected: bf75, Got: d04c
Checksum failed. Expected: e4d8, Got: 4df6
Checksum failed. Expected: c7dd, Got: 4cb0
Checksum failed. Expected: 047a, Got: 4b76
Checksum failed. Expected: 8534, Got: 48be
Checksum failed. Expected: 2d78, Got: 4386
Checksum failed. Expected: 156a, Got: 3636
Checksum failed. Expected: 1b15, Got: be3f
Checksum failed. Expected: 1e35, Got: 506e
Checksum failed. Expected: d0b4, Got: d4a9
Checksum failed. Expected: fa53, Got: d44d
Checksum failed. Expected: 56c1, Got: c522
Checksum failed. Expected: 3c4e, Got: 540c
Checksum failed. Expected: 5979, Got: 577b
Checksum failed. Expected: fc5a, Got: d1fd
Checksum failed. Expected: c4b9, Got: d2b8
Checksum failed. Expected: b307, Got: d4e9
Checksum failed. Expected: e740, Got: 4ae4
Checksum failed. Expected: 2433, Got: d5e3
Checksum failed. Expected: 0b53, Got: d492
Checksum failed. Expected: ee9c, Got: cebc
Checksum failed. Expected: 255e, Got: 54ac
Checksum failed. Expected: 6af7, Got: c974
Checksum failed. Expected: e56f, Got: b864
Checksum failed. Expected: 2c15, Got: b2c4
Checksum failed. Expected: 4517, Got: c109
Checksum failed. Expected: 8959, Got: ce60
Checksum failed. Expected: a973, Got: 44b8
Checksum failed. Expected: 8491, Got: c371
Checksum failed. Expected: 7b26, Got: 4c8b
Checksum failed. Expected: 11c5, Got: 4360
Checksum failed. Expected: 6ba3, Got: bf0c
Checksum failed. Expected: 5c9d, Got: c70e
Checksum failed. Expected: 6a89, Got: 465c
Checksum failed. Expected: 6e09, Got: 469d
Checksum failed. Expected: 9c8f, Got: bd92
Checksum failed. Expected: 16b2, Got: b7b0
Checksum failed. Expected: 6f76, Got: 36a8
Checksum failed. Expected: 9b65, Got: 36b9
Checksum failed. Expected: ec24, Got: 41e2
Checksum failed. Expected: 52c9, Got: c67a
Checksum failed. Expected: dce5, Got: 3e2e
