
#################################################################
Log started at 2025-06-12_16-33-55 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d7d3, Got: 4396
Checksum failed. Expected: 13e2, Got: 6873
Checksum failed. Expected: 6ea3, Got: 8d50
Checksum failed. Expected: 74be, Got: b22d
Checksum failed. Expected: fad9, Got: d70b
Checksum failed. Expected: d1da, Got: 8f5d
Checksum failed. Expected: 5ec7, Got: b43a
Checksum failed. Expected: 583a, Got: d917
Checksum failed. Expected: 2fc3, Got: fdf4
Checksum failed. Expected: d9dd, Got: 22d1
Checksum failed. Expected: ea7d, Got: 47ae
Checksum failed. Expected: 2254, Got: 6c8c
Checksum failed. Expected: a74e, Got: 9169
Checksum failed. Expected: 1d89, Got: b646
Checksum failed. Expected: 180a, Got: db23
Checksum failed. Expected: 4c90, Got: 0000
Checksum failed. Expected: 152a, Got: 24de
Checksum failed. Expected: 46a0, Got: 49bb
Checksum failed. Expected: c667, Got: 6e98
Checksum failed. Expected: a344, Got: 9375
Checksum failed. Expected: 8567, Got: b852
Checksum failed. Expected: 2818, Got: dd30
Checksum failed. Expected: e515, Got: 020d
Checksum failed. Expected: 134b, Got: 26ea
Checksum failed. Expected: c80c, Got: 4bc7
Checksum failed. Expected: 6131, Got: 70a4
Checksum failed. Expected: 84e2, Got: 9581
Checksum failed. Expected: 333b, Got: ba5f
Checksum failed. Expected: afb7, Got: df3c
Checksum failed. Expected: 0c87, Got: 0419
Checksum failed. Expected: 2beb, Got: 28f6
Checksum failed. Expected: 09ea, Got: 4dd3
Checksum failed. Expected: 8f05, Got: 72b1
Checksum failed. Expected: ae6b, Got: 978e
Checksum failed. Expected: 081e, Got: bc6b
Checksum failed. Expected: adeb, Got: e148
Checksum failed. Expected: d8ff, Got: 0625
Checksum failed. Expected: 0419, Got: 2b02
Checksum failed. Expected: 6d9e, Got: 4fe0
Checksum failed. Expected: d94e, Got: 74bd
Checksum failed. Expected: 9fe9, Got: 999a
Checksum failed. Expected: 086e, Got: be77
Checksum failed. Expected: 14dd, Got: e354
Checksum failed. Expected: 3349, Got: 0832
Checksum failed. Expected: a308, Got: 2d0f
Checksum failed. Expected: 7659, Got: 51ec
Checksum failed. Expected: 1702, Got: 76c9
Checksum failed. Expected: bccf, Got: 9ba6
Checksum failed. Expected: a00e, Got: c083
Checksum failed. Expected: e8c5, Got: e561
Checksum failed. Expected: be20, Got: 0a3e
Checksum failed. Expected: af00, Got: 2f1b
Checksum failed. Expected: 65bb, Got: 53f8
Checksum failed. Expected: 47f2, Got: 78d5
Checksum failed. Expected: 23c1, Got: 9db3
Checksum failed. Expected: 39a9, Got: c290
Checksum failed. Expected: 320e, Got: e76d
Checksum failed. Expected: dc08, Got: 0c4a
Checksum failed. Expected: 83c6, Got: 3127
Checksum failed. Expected: e2bf, Got: 5604
Checksum failed. Expected: 9988, Got: 7ae2
Checksum failed. Expected: 7120, Got: 9fbf
Checksum failed. Expected: 860d, Got: c49c
Checksum failed. Expected: f702, Got: e979
Checksum failed. Expected: d6ee, Got: 0e56
Checksum failed. Expected: 3e50, Got: 3334
Checksum failed. Expected: 1f52, Got: 5811
Checksum failed. Expected: 463b, Got: 7cee
Checksum failed. Expected: 8cea, Got: a1cb
Checksum failed. Expected: 46dd, Got: c6a8
Checksum failed. Expected: b5b6, Got: eb86
Checksum failed. Expected: 246f, Got: 1063
Checksum failed. Expected: 20e9, Got: 3540
Checksum failed. Expected: 93fa, Got: 5a1d
Checksum failed. Expected: 36ab, Got: 7efa
Checksum failed. Expected: 4012, Got: a3d7
Checksum failed. Expected: 42f5, Got: c8b5
Checksum failed. Expected: 44c5, Got: ed92
Checksum failed. Expected: 0837, Got: 126f
Checksum failed. Expected: cfcb, Got: 374c
Checksum failed. Expected: 1ee4, Got: 5c29
Checksum failed. Expected: f351, Got: 8107
Checksum failed. Expected: 909b, Got: a5e4
Checksum failed. Expected: 471e, Got: ef9e
Checksum failed. Expected: 964b, Got: 147b
Checksum failed. Expected: 3069, Got: 3958
Checksum failed. Expected: ca9c, Got: 5e36
Checksum failed. Expected: 89c2, Got: 8313
Checksum failed. Expected: 22e7, Got: a7f0
Checksum failed. Expected: 3a12, Got: cccd
Checksum failed. Expected: 7b67, Got: f1aa
Checksum failed. Expected: 98b7, Got: 1688
Checksum failed. Expected: 7026, Got: 3b65
Checksum failed. Expected: 578f, Got: 6042
Checksum failed. Expected: c884, Got: 851f
Checksum failed. Expected: 3325, Got: a9fc
Checksum failed. Expected: f59c, Got: ced9
Checksum failed. Expected: 58cd, Got: f3b7
Checksum failed. Expected: 6b72, Got: 1894
Checksum failed. Expected: 4932, Got: 3d71
Checksum failed. Expected: a0bb, Got: 624e
Checksum failed. Expected: f744, Got: 872b
Checksum failed. Expected: 1d1f, Got: ac09
Checksum failed. Expected: c4f5, Got: d0e6
Checksum failed. Expected: 69d6, Got: f5c3
Checksum failed. Expected: 26e6, Got: 1aa0
Checksum failed. Expected: 138e, Got: 3f7d
Checksum failed. Expected: 7395, Got: 645b
Checksum failed. Expected: f01f, Got: 8938
Checksum failed. Expected: 7856, Got: ae15
Checksum failed. Expected: 4a99, Got: d2f2
Checksum failed. Expected: 9f1a, Got: f7cf
Checksum failed. Expected: f042, Got: 1cac
Checksum failed. Expected: f0f4, Got: 418a
Checksum failed. Expected: 8b22, Got: 6667
Checksum failed. Expected: 31fd, Got: 8b44
Checksum failed. Expected: 2846, Got: b021
Checksum failed. Expected: c7bf, Got: d4fe
Checksum failed. Expected: 26cc, Got: f9dc
Checksum failed. Expected: a23b, Got: 1eb9
Checksum failed. Expected: a1df, Got: 4396
Checksum failed. Expected: b5be, Got: 6873
Checksum failed. Expected: 86f3, Got: 8d50
Checksum failed. Expected: e4de, Got: b22d
Checksum failed. Expected: fcf5, Got: d70b
Checksum failed. Expected: 23cb, Got: fbe8
Checksum failed. Expected: fd85, Got: 20c5
Checksum failed. Expected: b655, Got: 45a2
Checksum failed. Expected: f7aa, Got: 6a7f
Checksum failed. Expected: e575, Got: 8f5d
Checksum failed. Expected: e745, Got: b43a
Checksum failed. Expected: 2de0, Got: d917
Checksum failed. Expected: dd47, Got: fdf4
Checksum failed. Expected: f457, Got: 22d1
Checksum failed. Expected: 3051, Got: 47ae
Checksum failed. Expected: aac4, Got: 6c8c
Checksum failed. Expected: 976e, Got: 9169
Checksum failed. Expected: ede9, Got: b646
Checksum failed. Expected: ac22, Got: db23
Checksum failed. Expected: d2d9, Got: 0000
Checksum failed. Expected: 0d98, Got: 24de
Checksum failed. Expected: 8b44, Got: 49bb
Checksum failed. Expected: 4b8b, Got: 6e98
Checksum failed. Expected: 1cc0, Got: 9375
Checksum failed. Expected: 6585, Got: b852
Checksum failed. Expected: 3c0e, Got: dd30
Checksum failed. Expected: 6f7f, Got: 020d
Checksum failed. Expected: 023b, Got: 26ea
Checksum failed. Expected: 80fa, Got: 4bc7
Checksum failed. Expected: fb7b, Got: 70a4
Checksum failed. Expected: 0a14, Got: 9581
Checksum failed. Expected: cd85, Got: ba5f
Checksum failed. Expected: 47e5, Got: df3c
Checksum failed. Expected: 39db, Got: 0419
Checksum failed. Expected: a575, Got: 28f6
Checksum failed. Expected: 2ba4, Got: 4dd3
Checksum failed. Expected: 2d87, Got: 72b1
Checksum failed. Expected: 47a7, Got: 978e
Checksum failed. Expected: 3bc6, Got: bc6b
Checksum failed. Expected: faff, Got: e148
Checksum failed. Expected: 69cb, Got: 0625
Checksum failed. Expected: 5349, Got: 2b02
Checksum failed. Expected: f5ec, Got: 4fe0
Checksum failed. Expected: d81e, Got: 74bd
Checksum failed. Expected: 055b, Got: 999a
Checksum failed. Expected: 12d8, Got: be77
Checksum failed. Expected: cff5, Got: e354
Checksum failed. Expected: a239, Got: 0832
Checksum failed. Expected: d278, Got: 2d0f
Checksum failed. Expected: 5dd9, Got: 51ec
Checksum failed. Expected: be02, Got: 76c9
Checksum failed. Expected: abbf, Got: 9ba6
Checksum failed. Expected: 1a98, Got: c083
Checksum failed. Expected: 4b0d, Got: e561
Checksum failed. Expected: 5216, Got: 0a3e
Checksum failed. Expected: 1de2, Got: 2f1b
Checksum failed. Expected: 0a9f, Got: 53f8
Checksum failed. Expected: 0318, Got: 78d5
Checksum failed. Expected: 359b, Got: 9db3
Checksum failed. Expected: 8d1f, Got: c290
Checksum failed. Expected: a860, Got: e76d
Checksum failed. Expected: 38ee, Got: 0c4a
Checksum failed. Expected: 84b2, Got: 3127
Checksum failed. Expected: 2871, Got: 5604
Checksum failed. Expected: 5b02, Got: 7ae2
Checksum failed. Expected: 9a3c, Got: 9fbf
Checksum failed. Expected: 60d7, Got: c49c
Checksum failed. Expected: ba8a, Got: e979
Checksum failed. Expected: 1214, Got: 0e56
Checksum failed. Expected: e334, Got: 3334
Checksum failed. Expected: b88e, Got: 5811
Checksum failed. Expected: 858b, Got: 7cee
Checksum failed. Expected: 53aa, Got: a1cb
Checksum failed. Expected: dcef, Got: c6a8
Checksum failed. Expected: a28a, Got: eb86
Checksum failed. Expected: 3103, Got: 1063
Checksum failed. Expected: 9311, Got: 3540
Checksum failed. Expected: 7eb2, Got: 5a1d
Checksum failed. Expected: 444d, Got: 7efa
Checksum failed. Expected: fb5b, Got: 5c29
Checksum failed. Expected: de09, Got: 8107
Checksum failed. Expected: 2e1d, Got: a5e4
Checksum failed. Expected: a46c, Got: cac1
Checksum failed. Expected: 286b, Got: ef9e
Checksum failed. Expected: aa41, Got: 147b
Checksum failed. Expected: d007, Got: 3958
Checksum failed. Expected: 0398, Got: 5e36
Checksum failed. Expected: e5a8, Got: 8313
