
#################################################################
Log started at 2025-06-12_13-54-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-2.199585, Y=0.723442, Z=-9.546942 m/s^2 Time of Week: 208.737000, Week Number: 0
Acceleration: X=-2.183701, Y=0.742244, Z=-9.495673 m/s^2 Time of Week: 208.747000, Week Number: 0
Acceleration: X=-2.186888, Y=0.734242, Z=-9.474158 m/s^2 Time of Week: 208.757000, Week Number: 0
Acceleration: X=-2.198938, Y=0.714256, Z=-9.502524 m/s^2 Time of Week: 208.767000, Week Number: 0
Acceleration: X=-2.210604, Y=0.707661, Z=-9.529379 m/s^2 Time of Week: 208.777000, Week Number: 0
Acceleration: X=-2.200515, Y=0.708945, Z=-9.483636 m/s^2 Time of Week: 208.787000, Week Number: 0
Acceleration: X=-2.193805, Y=0.721295, Z=-9.478296 m/s^2 Time of Week: 208.797000, Week Number: 0
Acceleration: X=-2.194521, Y=0.711139, Z=-9.529812 m/s^2 Time of Week: 208.807000, Week Number: 0
Acceleration: X=-2.183146, Y=0.726607, Z=-9.519087 m/s^2 Time of Week: 208.817000, Week Number: 0
Acceleration: X=-2.193329, Y=0.749273, Z=-9.496618 m/s^2 Time of Week: 208.827000, Week Number: 0
Acceleration: X=-2.202938, Y=0.733772, Z=-9.528042 m/s^2 Time of Week: 208.837000, Week Number: 0
Acceleration: X=-2.198428, Y=0.727554, Z=-9.523583 m/s^2 Time of Week: 208.847000, Week Number: 0
Acceleration: X=-2.190441, Y=0.722215, Z=-9.505245 m/s^2 Time of Week: 208.857000, Week Number: 0
Acceleration: X=-2.190968, Y=0.714683, Z=-9.499467 m/s^2 Time of Week: 208.867000, Week Number: 0
Acceleration: X=-2.186329, Y=0.715714, Z=-9.487374 m/s^2 Time of Week: 208.877000, Week Number: 0
Acceleration: X=-2.203748, Y=0.706424, Z=-9.494667 m/s^2 Time of Week: 208.887000, Week Number: 0
Acceleration: X=-2.220651, Y=0.718423, Z=-9.506193 m/s^2 Time of Week: 208.897000, Week Number: 0
Acceleration: X=-2.198913, Y=0.731446, Z=-9.507285 m/s^2 Time of Week: 208.907000, Week Number: 0
Acceleration: X=-2.176173, Y=0.719544, Z=-9.524893 m/s^2 Time of Week: 208.917000, Week Number: 0
Acceleration: X=-2.189817, Y=0.755449, Z=-9.504566 m/s^2 Time of Week: 208.927000, Week Number: 0
Acceleration: X=-2.185868, Y=0.718874, Z=-9.527489 m/s^2 Time of Week: 208.937000, Week Number: 0
Acceleration: X=-2.194479, Y=0.731248, Z=-9.520752 m/s^2 Time of Week: 208.947000, Week Number: 0
Acceleration: X=-2.198875, Y=0.723327, Z=-9.468588 m/s^2 Time of Week: 208.957000, Week Number: 0
Acceleration: X=-2.193233, Y=0.694793, Z=-9.516783 m/s^2 Time of Week: 208.967000, Week Number: 0
Acceleration: X=-2.201447, Y=0.700664, Z=-9.521009 m/s^2 Time of Week: 208.977000, Week Number: 0
Acceleration: X=-2.192973, Y=0.696295, Z=-9.504702 m/s^2 Time of Week: 208.987000, Week Number: 0
Acceleration: X=-2.187801, Y=0.727239, Z=-9.482569 m/s^2 Time of Week: 208.997000, Week Number: 0
Acceleration: X=-2.198209, Y=0.729814, Z=-9.498340 m/s^2 Time of Week: 209.007000, Week Number: 0
Acceleration: X=-2.193804, Y=0.729587, Z=-9.546937 m/s^2 Time of Week: 209.017000, Week Number: 0
Acceleration: X=-2.182027, Y=0.740775, Z=-9.529211 m/s^2 Time of Week: 209.027000, Week Number: 0
