
#################################################################
Log started at 2025-06-16_16-13-41.134051 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.374977, Y=0.160148, Z=9.821007 m/s^2 Time of Week: 116021.982410, Week Number: 2371
Acceleration: X=0.375998, Y=0.158790, Z=9.816630 m/s^2 Time of Week: 116021.985410, Week Number: 2371
Acceleration: X=0.384326, Y=0.153724, Z=9.806417 m/s^2 Time of Week: 116021.988410, Week Number: 2371
Acceleration: X=0.385431, Y=0.153456, Z=9.814273 m/s^2 Time of Week: 116021.991410, Week Number: 2371
Acceleration: X=0.381328, Y=0.160087, Z=9.817389 m/s^2 Time of Week: 116021.994410, Week Number: 2371
Acceleration: X=0.377587, Y=0.152353, Z=9.815114 m/s^2 Time of Week: 116021.997410, Week Number: 2371
Acceleration: X=0.374646, Y=0.149199, Z=9.802171 m/s^2 Time of Week: 116022.000410, Week Number: 2371
Acceleration: X=0.374657, Y=0.153826, Z=9.809396 m/s^2 Time of Week: 116022.003410, Week Number: 2371
Acceleration: X=0.375388, Y=0.151691, Z=9.804285 m/s^2 Time of Week: 116022.006410, Week Number: 2371
Acceleration: X=0.374593, Y=0.153191, Z=9.797998 m/s^2 Time of Week: 116022.009410, Week Number: 2371
Acceleration: X=0.368468, Y=0.156035, Z=9.812766 m/s^2 Time of Week: 116022.012410, Week Number: 2371
Acceleration: X=0.366745, Y=0.156743, Z=9.805282 m/s^2 Time of Week: 116022.015410, Week Number: 2371
Acceleration: X=0.358600, Y=0.146129, Z=9.810029 m/s^2 Time of Week: 116022.018410, Week Number: 2371
Acceleration: X=0.361367, Y=0.152520, Z=9.798897 m/s^2 Time of Week: 116022.021410, Week Number: 2371
Acceleration: X=0.364988, Y=0.150515, Z=9.798633 m/s^2 Time of Week: 116022.024410, Week Number: 2371
Acceleration: X=0.359261, Y=0.147520, Z=9.796877 m/s^2 Time of Week: 116022.027410, Week Number: 2371
Acceleration: X=0.352124, Y=0.149144, Z=9.791077 m/s^2 Time of Week: 116022.030410, Week Number: 2371
Acceleration: X=0.349959, Y=0.142512, Z=9.793669 m/s^2 Time of Week: 116022.033410, Week Number: 2371
Acceleration: X=0.352781, Y=0.147187, Z=9.787886 m/s^2 Time of Week: 116022.036410, Week Number: 2371
Acceleration: X=0.355544, Y=0.147314, Z=9.796730 m/s^2 Time of Week: 116022.039410, Week Number: 2371
Acceleration: X=0.353887, Y=0.149985, Z=9.795309 m/s^2 Time of Week: 116022.042410, Week Number: 2371
Acceleration: X=0.356676, Y=0.150397, Z=9.794470 m/s^2 Time of Week: 116022.045410, Week Number: 2371
Acceleration: X=0.357651, Y=0.142804, Z=9.803206 m/s^2 Time of Week: 116022.048410, Week Number: 2371
Acceleration: X=0.353209, Y=0.147102, Z=9.800035 m/s^2 Time of Week: 116022.051410, Week Number: 2371
Acceleration: X=0.358932, Y=0.151019, Z=9.804271 m/s^2 Time of Week: 116022.054410, Week Number: 2371
Acceleration: X=0.353506, Y=0.154357, Z=9.799051 m/s^2 Time of Week: 116022.057410, Week Number: 2371
Acceleration: X=0.355004, Y=0.158091, Z=9.795027 m/s^2 Time of Week: 116022.060410, Week Number: 2371
Acceleration: X=0.363115, Y=0.154865, Z=9.794270 m/s^2 Time of Week: 116022.063410, Week Number: 2371
Acceleration: X=0.364085, Y=0.153402, Z=9.803132 m/s^2 Time of Week: 116022.066410, Week Number: 2371
Acceleration: X=0.366431, Y=0.153365, Z=9.801264 m/s^2 Time of Week: 116022.069410, Week Number: 2371
Acceleration: X=0.366738, Y=0.156920, Z=9.804672 m/s^2 Time of Week: 116022.072410, Week Number: 2371
Acceleration: X=0.369752, Y=0.152168, Z=9.809215 m/s^2 Time of Week: 116022.075410, Week Number: 2371
Acceleration: X=0.368037, Y=0.148643, Z=9.812119 m/s^2 Time of Week: 116022.078410, Week Number: 2371
Acceleration: X=0.369461, Y=0.155994, Z=9.801471 m/s^2 Time of Week: 116022.081410, Week Number: 2371
Acceleration: X=0.377627, Y=0.153926, Z=9.808066 m/s^2 Time of Week: 116022.084410, Week Number: 2371
Acceleration: X=0.368596, Y=0.147714, Z=9.804125 m/s^2 Time of Week: 116022.087410, Week Number: 2371
Acceleration: X=0.364846, Y=0.156561, Z=9.805435 m/s^2 Time of Week: 116022.090410, Week Number: 2371
Acceleration: X=0.369190, Y=0.157055, Z=9.810149 m/s^2 Time of Week: 116022.093410, Week Number: 2371
Acceleration: X=0.372238, Y=0.154129, Z=9.809403 m/s^2 Time of Week: 116022.096410, Week Number: 2371
Acceleration: X=0.366491, Y=0.153154, Z=9.805670 m/s^2 Time of Week: 116022.099410, Week Number: 2371
Acceleration: X=0.364180, Y=0.156089, Z=9.796063 m/s^2 Time of Week: 116022.102410, Week Number: 2371
Acceleration: X=0.362105, Y=0.154865, Z=9.804500 m/s^2 Time of Week: 116022.105410, Week Number: 2371
Acceleration: X=0.362184, Y=0.154641, Z=9.800973 m/s^2 Time of Week: 116022.108410, Week Number: 2371
Acceleration: X=0.359002, Y=0.156630, Z=9.806064 m/s^2 Time of Week: 116022.111410, Week Number: 2371
Acceleration: X=0.358566, Y=0.159111, Z=9.800297 m/s^2 Time of Week: 116022.114410, Week Number: 2371
Acceleration: X=0.355297, Y=0.158406, Z=9.800940 m/s^2 Time of Week: 116022.117410, Week Number: 2371
Acceleration: X=0.361917, Y=0.159872, Z=9.800559 m/s^2 Time of Week: 116022.120410, Week Number: 2371
Acceleration: X=0.364805, Y=0.154625, Z=9.798631 m/s^2 Time of Week: 116022.123410, Week Number: 2371
Acceleration: X=0.357297, Y=0.150039, Z=9.801696 m/s^2 Time of Week: 116022.126410, Week Number: 2371
Acceleration: X=0.358049, Y=0.151372, Z=9.802852 m/s^2 Time of Week: 116022.129410, Week Number: 2371
Acceleration: X=0.359846, Y=0.149842, Z=9.800532 m/s^2 Time of Week: 116022.132410, Week Number: 2371
Acceleration: X=0.355784, Y=0.149439, Z=9.793513 m/s^2 Time of Week: 116022.135410, Week Number: 2371
Acceleration: X=0.357214, Y=0.152185, Z=9.803033 m/s^2 Time of Week: 116022.138410, Week Number: 2371
Acceleration: X=0.363537, Y=0.145730, Z=9.800196 m/s^2 Time of Week: 116022.141410, Week Number: 2371
Acceleration: X=0.365722, Y=0.150407, Z=9.804089 m/s^2 Time of Week: 116022.144410, Week Number: 2371
Acceleration: X=0.363942, Y=0.148623, Z=9.802822 m/s^2 Time of Week: 116022.147410, Week Number: 2371
Acceleration: X=0.364055, Y=0.151429, Z=9.801383 m/s^2 Time of Week: 116022.150410, Week Number: 2371
Acceleration: X=0.362113, Y=0.148941, Z=9.792155 m/s^2 Time of Week: 116022.153410, Week Number: 2371
Acceleration: X=0.362943, Y=0.156203, Z=9.798957 m/s^2 Time of Week: 116022.156410, Week Number: 2371
Acceleration: X=0.361944, Y=0.155177, Z=9.804609 m/s^2 Time of Week: 116022.159410, Week Number: 2371
Acceleration: X=0.365052, Y=0.148742, Z=9.804272 m/s^2 Time of Week: 116022.162410, Week Number: 2371
Acceleration: X=0.359771, Y=0.152368, Z=9.804293 m/s^2 Time of Week: 116022.165410, Week Number: 2371
Acceleration: X=0.368476, Y=0.151673, Z=9.797365 m/s^2 Time of Week: 116022.168410, Week Number: 2371
Acceleration: X=0.363051, Y=0.155978, Z=9.803024 m/s^2 Time of Week: 116022.171410, Week Number: 2371
Acceleration: X=0.366195, Y=0.153673, Z=9.801434 m/s^2 Time of Week: 116022.174410, Week Number: 2371
Acceleration: X=0.367076, Y=0.146159, Z=9.804906 m/s^2 Time of Week: 116022.177410, Week Number: 2371
Acceleration: X=0.365485, Y=0.149570, Z=9.807148 m/s^2 Time of Week: 116022.180410, Week Number: 2371
Acceleration: X=0.362442, Y=0.150769, Z=9.799885 m/s^2 Time of Week: 116022.183410, Week Number: 2371
Acceleration: X=0.364713, Y=0.156441, Z=9.810680 m/s^2 Time of Week: 116022.186410, Week Number: 2371
Acceleration: X=0.366411, Y=0.150063, Z=9.806064 m/s^2 Time of Week: 116022.189410, Week Number: 2371
Acceleration: X=0.362292, Y=0.146711, Z=9.801726 m/s^2 Time of Week: 116022.192410, Week Number: 2371
Acceleration: X=0.365692, Y=0.151881, Z=9.809080 m/s^2 Time of Week: 116022.195410, Week Number: 2371
Acceleration: X=0.365929, Y=0.159278, Z=9.805147 m/s^2 Time of Week: 116022.198410, Week Number: 2371
Acceleration: X=0.365999, Y=0.156633, Z=9.797313 m/s^2 Time of Week: 116022.201410, Week Number: 2371
Acceleration: X=0.358878, Y=0.157492, Z=9.800095 m/s^2 Time of Week: 116022.204410, Week Number: 2371
Acceleration: X=0.367641, Y=0.150717, Z=9.803026 m/s^2 Time of Week: 116022.207410, Week Number: 2371
Acceleration: X=0.357602, Y=0.154642, Z=9.808885 m/s^2 Time of Week: 116022.210410, Week Number: 2371
Acceleration: X=0.361543, Y=0.156330, Z=9.807231 m/s^2 Time of Week: 116022.213410, Week Number: 2371
Acceleration: X=0.364346, Y=0.159545, Z=9.808971 m/s^2 Time of Week: 116022.216410, Week Number: 2371
Acceleration: X=0.368437, Y=0.161971, Z=9.798789 m/s^2 Time of Week: 116022.219410, Week Number: 2371
Acceleration: X=0.368043, Y=0.161920, Z=9.790842 m/s^2 Time of Week: 116022.222410, Week Number: 2371
Acceleration: X=0.366514, Y=0.154968, Z=9.792493 m/s^2 Time of Week: 116022.225410, Week Number: 2371
Acceleration: X=0.361621, Y=0.154861, Z=9.800143 m/s^2 Time of Week: 116022.228410, Week Number: 2371
Acceleration: X=0.359398, Y=0.155428, Z=9.806669 m/s^2 Time of Week: 116022.231410, Week Number: 2371
Acceleration: X=0.362995, Y=0.151911, Z=9.796711 m/s^2 Time of Week: 116022.234410, Week Number: 2371
Acceleration: X=0.361087, Y=0.156282, Z=9.796645 m/s^2 Time of Week: 116022.237410, Week Number: 2371
Acceleration: X=0.363468, Y=0.156580, Z=9.796884 m/s^2 Time of Week: 116022.240410, Week Number: 2371
Acceleration: X=0.357857, Y=0.155052, Z=9.796656 m/s^2 Time of Week: 116022.243410, Week Number: 2371
Acceleration: X=0.364981, Y=0.155269, Z=9.802574 m/s^2 Time of Week: 116022.246410, Week Number: 2371
Acceleration: X=0.365060, Y=0.158577, Z=9.802656 m/s^2 Time of Week: 116022.249410, Week Number: 2371
Acceleration: X=0.362337, Y=0.157922, Z=9.797983 m/s^2 Time of Week: 116022.252410, Week Number: 2371
