
#################################################################
Log started at 2025-06-13_14-54-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d86c, Got: a861
Checksum failed. Expected: eefa, Got: a701
Checksum failed. Expected: a800, Got: 8b6a
Checksum failed. Expected: 3f0f, Got: 8ac8
Checksum failed. Expected: cf3a, Got: 90bd
Checksum failed. Expected: 8450, Got: 896b
Checksum failed. Expected: 11c6, Got: 9cdd
Checksum failed. Expected: 4aad, Got: a78f
Checksum failed. Expected: 58cb, Got: 97e3
Checksum failed. Expected: 25d0, Got: 6ca9
Checksum failed. Expected: 5391, Got: 3dfa
Checksum failed. Expected: 73d8, Got: 2699
Checksum failed. Expected: cf35, Got: 3329
Checksum failed. Expected: 3ffd, Got: 393b
Checksum failed. Expected: e7cc, Got: 40b7
Checksum failed. Expected: 3a99, Got: 0c0d
Checksum failed. Expected: cb17, Got: 0577
Checksum failed. Expected: 9dd8, Got: 03e3
Checksum failed. Expected: f409, Got: 1bd9
Checksum failed. Expected: 9366, Got: 21ab
Checksum failed. Expected: 4b40, Got: 0abc
Checksum failed. Expected: 7820, Got: d19f
Checksum failed. Expected: b64d, Got: 9667
Checksum failed. Expected: 4053, Got: 883f
Checksum failed. Expected: 17aa, Got: 9a22
Checksum failed. Expected: f24b, Got: 8945
Checksum failed. Expected: 6d51, Got: 4b94
Checksum failed. Expected: d40e, Got: 3ca0
Checksum failed. Expected: 316c, Got: 453c
Checksum failed. Expected: 65fc, Got: 22db
Checksum failed. Expected: 68c3, Got: f309
Checksum failed. Expected: cef7, Got: de90
Checksum failed. Expected: 7ce0, Got: e8cb
Checksum failed. Expected: 10ed, Got: eb8e
Checksum failed. Expected: d686, Got: d3e7
Checksum failed. Expected: e9d5, Got: dd4d
Checksum failed. Expected: e4d4, Got: a8dd
Checksum failed. Expected: a54f, Got: 9326
Checksum failed. Expected: f296, Got: a637
Checksum failed. Expected: 8ae1, Got: 9b9d
Checksum failed. Expected: 4c01, Got: 86e6
Checksum failed. Expected: 654f, Got: 78c2
Checksum failed. Expected: a081, Got: 8d77
Checksum failed. Expected: f5de, Got: 9874
Checksum failed. Expected: 59d7, Got: 8ef0
Checksum failed. Expected: a01b, Got: 8fc2
Checksum failed. Expected: 0288, Got: a7ec
Checksum failed. Expected: 8e9f, Got: b0e0
Checksum failed. Expected: 672b, Got: a727
Checksum failed. Expected: 7be5, Got: b6e7
Checksum failed. Expected: eed6, Got: ae58
Checksum failed. Expected: 772b, Got: cd65
Checksum failed. Expected: 6b4d, Got: 1491
Checksum failed. Expected: bcbe, Got: 28d2
Checksum failed. Expected: 47d7, Got: 5215
Checksum failed. Expected: d8ad, Got: 683d
Checksum failed. Expected: 8b7f, Got: 82ca
Checksum failed. Expected: 97bd, Got: c5dc
Checksum failed. Expected: 8300, Got: 039c
Checksum failed. Expected: de04, Got: 0942
Checksum failed. Expected: 6df8, Got: 0792
Checksum failed. Expected: 0b8d, Got: 31b2
Checksum failed. Expected: 6e19, Got: 7e75
Checksum failed. Expected: f52e, Got: be69
Checksum failed. Expected: 319f, Got: e30a
Checksum failed. Expected: 1feb, Got: 06a2
Checksum failed. Expected: d1e3, Got: 089a
Checksum failed. Expected: 8b6f, Got: 0da4
Checksum failed. Expected: fdd9, Got: 2423
Checksum failed. Expected: 746f, Got: 38ad
Checksum failed. Expected: 003a, Got: 5750
Checksum failed. Expected: 2f1a, Got: 6ace
Checksum failed. Expected: cff6, Got: 6b05
Checksum failed. Expected: 3d8a, Got: 6faa
Checksum failed. Expected: c32e, Got: 70d6
Checksum failed. Expected: 321b, Got: 72a1
Checksum failed. Expected: 8631, Got: 6552
Checksum failed. Expected: 07ed, Got: 6215
Checksum failed. Expected: 3acc, Got: 7524
Checksum failed. Expected: c4dc, Got: 96a4
Checksum failed. Expected: 211e, Got: a02e
Checksum failed. Expected: 7d89, Got: a705
Checksum failed. Expected: b231, Got: 9f94
Checksum failed. Expected: c088, Got: 74bb
Checksum failed. Expected: 3cfa, Got: 4781
Checksum failed. Expected: bb03, Got: 28ea
Checksum failed. Expected: 93e7, Got: 33bc
Checksum failed. Expected: d7ff, Got: 2baf
Checksum failed. Expected: 2898, Got: 0867
Checksum failed. Expected: d71b, Got: ea83
Checksum failed. Expected: e6eb, Got: d85a
Checksum failed. Expected: 54ce, Got: dd00
Checksum failed. Expected: ff1d, Got: f06c
Checksum failed. Expected: 230f, Got: b8b8
Checksum failed. Expected: e214, Got: 5370
Checksum failed. Expected: 3fee, Got: 592f
Checksum failed. Expected: fc8b, Got: 8217
Checksum failed. Expected: 59b4, Got: 648f
Checksum failed. Expected: eb78, Got: ff71
Checksum failed. Expected: 0def, Got: f029
Checksum failed. Expected: 706a, Got: 2018
Checksum failed. Expected: b5eb, Got: 2bc4
Checksum failed. Expected: 01c0, Got: f831
Checksum failed. Expected: adc5, Got: bdfc
Checksum failed. Expected: 1fc7, Got: a3c1
Checksum failed. Expected: 0fcb, Got: b2cc
Checksum failed. Expected: 4157, Got: cbf0
Checksum failed. Expected: 6987, Got: c8d3
Checksum failed. Expected: a204, Got: a694
Checksum failed. Expected: ae94, Got: a77a
Checksum failed. Expected: 9dd7, Got: a4d8
Checksum failed. Expected: bed6, Got: 5888
Checksum failed. Expected: f9b7, Got: 18c9
Checksum failed. Expected: ad9a, Got: d2ab
Checksum failed. Expected: 6ff7, Got: b264
Checksum failed. Expected: 1cb6, Got: d521
Checksum failed. Expected: 2106, Got: dd76
Checksum failed. Expected: e637, Got: 9c9f
Checksum failed. Expected: 030d, Got: 8705
Checksum failed. Expected: a9d8, Got: 9d24
Checksum failed. Expected: 129d, Got: d2f3
Checksum failed. Expected: 27b6, Got: f228
Checksum failed. Expected: f39d, Got: e77f
Checksum failed. Expected: c696, Got: e4ec
Checksum failed. Expected: 5c4a, Got: 11dc
Checksum failed. Expected: 681b, Got: 1caa
Checksum failed. Expected: 229f, Got: 1017
Checksum failed. Expected: 5e43, Got: fdc5
Checksum failed. Expected: e1ee, Got: 0e75
Checksum failed. Expected: 25ba, Got: 1ba5
Checksum failed. Expected: 9a75, Got: 3107
Checksum failed. Expected: b457, Got: 423a
Checksum failed. Expected: 120b, Got: 58ad
Checksum failed. Expected: b765, Got: 6436
Checksum failed. Expected: d870, Got: 57ab
Checksum failed. Expected: e692, Got: 8222
Checksum failed. Expected: 18a1, Got: b6ec
Checksum failed. Expected: 4f1f, Got: eb25
Checksum failed. Expected: 4079, Got: 1c01
Checksum failed. Expected: 009a, Got: 3fd5
