
#################################################################
Log started at 2025-06-12_15-58-59 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 6f96, Got: 2914
Checksum failed. Expected: 5f89, Got: 24d9
Checksum failed. Expected: d4a4, Got: 1dfe
Checksum failed. Expected: a226, Got: 2064
Checksum failed. Expected: 6ef0, Got: 1fa9
Checksum failed. Expected: 284e, Got: 2073
Checksum failed. Expected: d293, Got: a27f
Checksum failed. Expected: 5ead, Got: a7df
Checksum failed. Expected: f086, Got: 230a
Checksum failed. Expected: 7542, Got: 3007
Checksum failed. Expected: 0618, Got: adcb
Checksum failed. Expected: f8c3, Got: 3158
Checksum failed. Expected: f619, Got: 382a
Checksum failed. Expected: b81a, Got: 3194
Checksum failed. Expected: 6f8b, Got: aa84
Checksum failed. Expected: 51ea, Got: 2e90
Checksum failed. Expected: 9936, Got: 2434
Checksum failed. Expected: b4d7, Got: a732
Checksum failed. Expected: f58a, Got: 2c7c
Checksum failed. Expected: 4c2b, Got: aec6
Checksum failed. Expected: ee75, Got: 20d7
Checksum failed. Expected: de06, Got: 2040
Checksum failed. Expected: 5acc, Got: a2c7
Checksum failed. Expected: 63ea, Got: 2e90
Checksum failed. Expected: 145d, Got: 2ac0
Checksum failed. Expected: 8e5f, Got: 24d5
Checksum failed. Expected: b3b9, Got: 9fe6
Checksum failed. Expected: 7428, Got: a0fe
Checksum failed. Expected: 52c8, Got: 2e53
Checksum failed. Expected: 6316, Got: acdc
Checksum failed. Expected: c398, Got: 268d
Checksum failed. Expected: 8d20, Got: a332
Checksum failed. Expected: c690, Got: ab0e
Checksum failed. Expected: 030d, Got: 2b08
Checksum failed. Expected: 0149, Got: 346a
Checksum failed. Expected: 7d01, Got: 2ab5
Checksum failed. Expected: 4ca8, Got: 1e28
Checksum failed. Expected: b792, Got: 200b
Checksum failed. Expected: 7c29, Got: a92c
Checksum failed. Expected: 00d8, Got: ac9f
Checksum failed. Expected: fca5, Got: 244e
Checksum failed. Expected: 564e, Got: a27c
Checksum failed. Expected: dcde, Got: 229f
Checksum failed. Expected: b9cf, Got: 18e4
Checksum failed. Expected: 6f26, Got: 1ace
Checksum failed. Expected: 1ea4, Got: 9d5d
Checksum failed. Expected: 9ebb, Got: 2306
Checksum failed. Expected: 82d3, Got: 9c64
Checksum failed. Expected: 4e19, Got: 93da
Checksum failed. Expected: 6024, Got: 1fe9
Checksum failed. Expected: 066a, Got: 2166
Checksum failed. Expected: e8cf, Got: 20b9
Checksum failed. Expected: c3fa, Got: 97bc
Checksum failed. Expected: 8c61, Got: 9784
Checksum failed. Expected: 3688, Got: 1991
Checksum failed. Expected: c4e0, Got: 1d4a
Checksum failed. Expected: 4339, Got: 9adf
Checksum failed. Expected: 2da0, Got: a318
Checksum failed. Expected: f4c9, Got: 144b
Checksum failed. Expected: 730f, Got: 99cc
Checksum failed. Expected: 1385, Got: 28f7
Checksum failed. Expected: 9bda, Got: a65a
Checksum failed. Expected: c1ca, Got: 2269
Checksum failed. Expected: 1189, Got: a3e3
Checksum failed. Expected: 32bd, Got: 237d
Checksum failed. Expected: a69d, Got: ac2e
Checksum failed. Expected: c1fb, Got: 9be5
Checksum failed. Expected: 6996, Got: 1a39
Checksum failed. Expected: 9d89, Got: 2b3c
Checksum failed. Expected: 3b6d, Got: 22c7
Checksum failed. Expected: e583, Got: 209c
Checksum failed. Expected: 6444, Got: 22b9
Checksum failed. Expected: e19e, Got: 2206
Checksum failed. Expected: 5fa5, Got: 20c8
Checksum failed. Expected: 474f, Got: 2298
Checksum failed. Expected: 44e4, Got: 1d10
Checksum failed. Expected: c8ab, Got: 1e99
Checksum failed. Expected: bb12, Got: a64e
Checksum failed. Expected: 5767, Got: b248
Checksum failed. Expected: 10a4, Got: b83f
Checksum failed. Expected: f32e, Got: 35f8
Checksum failed. Expected: df9b, Got: 3978
Checksum failed. Expected: 1c6d, Got: bc89
Checksum failed. Expected: d169, Got: b648
Checksum failed. Expected: 15f3, Got: b85e
Checksum failed. Expected: be83, Got: bc62
Checksum failed. Expected: fd98, Got: 3f85
Checksum failed. Expected: cdb7, Got: 3df7
Checksum failed. Expected: 10c1, Got: 3701
Checksum failed. Expected: 6e9b, Got: b6fc
Checksum failed. Expected: 7a4e, Got: 395a
Checksum failed. Expected: dd49, Got: 35ce
Checksum failed. Expected: 0bbd, Got: 2c0b
Checksum failed. Expected: 4d3a, Got: 2b86
Checksum failed. Expected: 99e4, Got: a71c
Checksum failed. Expected: 7bf9, Got: a465
Checksum failed. Expected: 986c, Got: 28e9
Checksum failed. Expected: 3b58, Got: ad44
Checksum failed. Expected: 1d02, Got: af38
Checksum failed. Expected: 6d4f, Got: a043
Checksum failed. Expected: 476c, Got: 9d97
Checksum failed. Expected: 01e4, Got: 9f16
Checksum failed. Expected: 13f6, Got: a28f
Checksum failed. Expected: fc37, Got: 2033
Checksum failed. Expected: 19da, Got: 1ec8
Checksum failed. Expected: a978, Got: 19a2
