
#################################################################
Log started at 2025-06-12_16-19-26 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2c8e, Got: cccd
Checksum failed. Expected: 3887, Got: 3b65
Checksum failed. Expected: c553, Got: a9fc
Checksum failed. Expected: 38e2, Got: 1894
Checksum failed. Expected: 0fa4, Got: 872b
Checksum failed. Expected: 33e6, Got: f5c3
Checksum failed. Expected: 124a, Got: 645a
Checksum failed. Expected: c873, Got: d2f2
Checksum failed. Expected: 2183, Got: 418a
Checksum failed. Expected: 5361, Got: b021
Checksum failed. Expected: f898, Got: 1eb9
Checksum failed. Expected: 5f70, Got: 8d50
Checksum failed. Expected: ed72, Got: fbe8
Checksum failed. Expected: d560, Got: 6a7f
Checksum failed. Expected: f549, Got: d917
Checksum failed. Expected: 408d, Got: 47ae
Checksum failed. Expected: 4e8e, Got: b646
Checksum failed. Expected: 0af4, Got: 24de
Checksum failed. Expected: 496f, Got: 9375
Checksum failed. Expected: 25a8, Got: 020d
Checksum failed. Expected: 36b8, Got: 70a4
Checksum failed. Expected: 746e, Got: df3c
Checksum failed. Expected: aec4, Got: 4dd3
Checksum failed. Expected: 007d, Got: bc6b
Checksum failed. Expected: cddd, Got: 2b02
Checksum failed. Expected: fa7c, Got: 999a
Checksum failed. Expected: 920a, Got: 0832
Checksum failed. Expected: 758a, Got: 76c9
Checksum failed. Expected: 4a8e, Got: e561
Checksum failed. Expected: 3586, Got: 53f8
Checksum failed. Expected: 5f1b, Got: c290
Checksum failed. Expected: 43a5, Got: 3127
Checksum failed. Expected: c2b6, Got: 9fbf
Checksum failed. Expected: fb06, Got: 0e56
Checksum failed. Expected: 1f33, Got: 7cee
Checksum failed. Expected: 12bc, Got: eb85
Checksum failed. Expected: 309d, Got: 5a1d
Checksum failed. Expected: 4f65, Got: c8b5
Checksum failed. Expected: 4409, Got: 374c
Checksum failed. Expected: 8188, Got: a5e4
Checksum failed. Expected: bd0e, Got: 147b
Checksum failed. Expected: 01ef, Got: 8313
Checksum failed. Expected: 066c, Got: f1aa
Checksum failed. Expected: e09d, Got: 6042
Checksum failed. Expected: 4545, Got: ced9
Checksum failed. Expected: 15de, Got: 3d71
Checksum failed. Expected: 1a30, Got: ac09
Checksum failed. Expected: 9f94, Got: 1aa0
Checksum failed. Expected: 7ad7, Got: 8938
Checksum failed. Expected: 78e6, Got: f7cf
Checksum failed. Expected: 4135, Got: 6667
Checksum failed. Expected: 610b, Got: d4fe
Checksum failed. Expected: 0fe0, Got: 4396
Checksum failed. Expected: d2a0, Got: b22d
Checksum failed. Expected: c743, Got: 20c5
Checksum failed. Expected: acf3, Got: 8f5d
Checksum failed. Expected: 25c8, Got: fdf4
Checksum failed. Expected: 23f1, Got: 6c8c
Checksum failed. Expected: 69e7, Got: db23
Checksum failed. Expected: 1ff5, Got: 49bb
Checksum failed. Expected: 9bd1, Got: b852
Checksum failed. Expected: 4fe6, Got: 26ea
Checksum failed. Expected: f95c, Got: 9581
Checksum failed. Expected: f88b, Got: 0419
Checksum failed. Expected: fcd9, Got: 72b0
Checksum failed. Expected: d94d, Got: e148
Checksum failed. Expected: d641, Got: 4fe0
Checksum failed. Expected: 5aaf, Got: be77
Checksum failed. Expected: 44ac, Got: 2d0f
Checksum failed. Expected: ee1a, Got: 9ba6
Checksum failed. Expected: 06af, Got: 0a3e
Checksum failed. Expected: 671f, Got: 78d5
Checksum failed. Expected: 8e93, Got: e76d
Checksum failed. Expected: b19b, Got: 5604
Checksum failed. Expected: 6e04, Got: c49c
Checksum failed. Expected: a760, Got: 3334
Checksum failed. Expected: 7b0e, Got: a1cb
Checksum failed. Expected: e963, Got: 1063
Checksum failed. Expected: bd11, Got: 7efa
Checksum failed. Expected: 20d9, Got: ed92
Checksum failed. Expected: 264b, Got: 5c29
Checksum failed. Expected: 5512, Got: cac1
Checksum failed. Expected: 205e, Got: 3958
Checksum failed. Expected: 1a3f, Got: a7f0
Checksum failed. Expected: 3a31, Got: 1688
Checksum failed. Expected: 5195, Got: 851f
Checksum failed. Expected: fa9d, Got: ae15
Checksum failed. Expected: e4b3, Got: 1cac
Checksum failed. Expected: a470, Got: 8b44
Checksum failed. Expected: badb, Got: f9db
Checksum failed. Expected: 8fc6, Got: 6873
Checksum failed. Expected: f252, Got: d70b
Checksum failed. Expected: 748c, Got: 45a2
Checksum failed. Expected: 5307, Got: b43a
Checksum failed. Expected: 5a87, Got: 22d1
Checksum failed. Expected: e9a2, Got: 9169
Checksum failed. Expected: 5591, Got: 0000
Checksum failed. Expected: f456, Got: 6e98
Checksum failed. Expected: 55ef, Got: dd2f
Checksum failed. Expected: 9ae6, Got: 4bc7
Checksum failed. Expected: 4ef4, Got: ba5f
Checksum failed. Expected: 785e, Got: 28f6
Checksum failed. Expected: a301, Got: 978e
Checksum failed. Expected: 3737, Got: 0625
Checksum failed. Expected: 2354, Got: 74bd
Checksum failed. Expected: af3b, Got: e354
Checksum failed. Expected: 0202, Got: 51ec
Checksum failed. Expected: ad86, Got: c083
Checksum failed. Expected: a337, Got: 2f1b
Checksum failed. Expected: e5e9, Got: 9db3
Checksum failed. Expected: 7b4f, Got: 0c4a
Checksum failed. Expected: 81b6, Got: 7ae2
Checksum failed. Expected: 5bed, Got: e979
Checksum failed. Expected: c1b2, Got: 5811
Checksum failed. Expected: 8ad2, Got: c6a8
Checksum failed. Expected: 4a97, Got: 3540
Checksum failed. Expected: d229, Got: a3d7
Checksum failed. Expected: 7fe4, Got: 126f
Checksum failed. Expected: 0230, Got: 8106
Checksum failed. Expected: 8d08, Got: ef9e
Checksum failed. Expected: 02ac, Got: 5e36
Checksum failed. Expected: 71d4, Got: cccd
Checksum failed. Expected: d165, Got: 3b65
Checksum failed. Expected: ebe7, Got: a9fc
Checksum failed. Expected: c2ee, Got: 1894
Checksum failed. Expected: 4842, Got: 872b
Checksum failed. Expected: fa48, Got: f5c3
Checksum failed. Expected: d02e, Got: 645a
Checksum failed. Expected: b813, Got: d2f2
Checksum failed. Expected: c933, Got: 418a
Checksum failed. Expected: 1ac3, Got: b021
Checksum failed. Expected: 17ca, Got: 1eb9
Checksum failed. Expected: a8ee, Got: 8d50
Checksum failed. Expected: 701c, Got: fbe8
Checksum failed. Expected: 09b8, Got: 6a7f
Checksum failed. Expected: 0c0b, Got: d917
Checksum failed. Expected: 2377, Got: 47ae
Checksum failed. Expected: 2e4e, Got: b646
Checksum failed. Expected: 4284, Got: 24de
Checksum failed. Expected: 2a3d, Got: 9375
Checksum failed. Expected: 4704, Got: 020d
Checksum failed. Expected: 6d3a, Got: 70a4
Checksum failed. Expected: 4fe8, Got: df3c
Checksum failed. Expected: baec, Got: 4dd3
Checksum failed. Expected: 8ec1, Got: bc6b
Checksum failed. Expected: c0a7, Got: 2b02
Checksum failed. Expected: f39a, Got: 999a
Checksum failed. Expected: a26a, Got: 0832
Checksum failed. Expected: d766, Got: 76c9
Checksum failed. Expected: 7aae, Got: e561
Checksum failed. Expected: 2c88, Got: 53f8
Checksum failed. Expected: 65ef, Got: c290
Checksum failed. Expected: 40fb, Got: 3127
Checksum failed. Expected: 782a, Got: 9fbf
Checksum failed. Expected: 3d22, Got: 0e56
Checksum failed. Expected: d16f, Got: 7cee
Checksum failed. Expected: 89be, Got: eb85
Checksum failed. Expected: 3fef, Got: 5a1d
Checksum failed. Expected: 1073, Got: c8b5
Checksum failed. Expected: fa7d, Got: 374c
Checksum failed. Expected: de1e, Got: a5e4
Checksum failed. Expected: 0f0a, Got: 147b
Checksum failed. Expected: f8f1, Got: 8313
Checksum failed. Expected: bdee, Got: f1aa
Checksum failed. Expected: ecc5, Got: 6042
Checksum failed. Expected: 6bd9, Got: ced9
Checksum failed. Expected: 2868, Got: 3d71
Checksum failed. Expected: d5ea, Got: ac09
Checksum failed. Expected: add8, Got: 1aa0
Checksum failed. Expected: f61f, Got: 8938
Checksum failed. Expected: b5bc, Got: f7cf
Checksum failed. Expected: b1d5, Got: 6667
Checksum failed. Expected: 08ad, Got: d4fe
Checksum failed. Expected: baba, Got: 4396
Checksum failed. Expected: 4786, Got: b22d
Checksum failed. Expected: 514f, Got: 20c5
Checksum failed. Expected: a403, Got: 8f5d
Checksum failed. Expected: 8ace, Got: fdf4
Checksum failed. Expected: 86db, Got: 6c8c
Checksum failed. Expected: d441, Got: db23
Checksum failed. Expected: e43b, Got: 49bb
Checksum failed. Expected: ebb1, Got: b852
Checksum failed. Expected: e162, Got: 26ea
Checksum failed. Expected: 6d34, Got: 9581
Checksum failed. Expected: a581, Got: 0419
Checksum failed. Expected: 0c39, Got: 72b0
Checksum failed. Expected: 1fa1, Got: e148
Checksum failed. Expected: d9eb, Got: 4fe0
Checksum failed. Expected: acab, Got: be77
Checksum failed. Expected: 85ba, Got: 2d0f
Checksum failed. Expected: 2056, Got: 9ba6
Checksum failed. Expected: aa27, Got: 0a3e
Checksum failed. Expected: 799b, Got: 78d5
Checksum failed. Expected: 1791, Got: e76d
Checksum failed. Expected: 4c95, Got: 5604
Checksum failed. Expected: 116e, Got: c49c
Checksum failed. Expected: cf10, Got: 3334
Checksum failed. Expected: 6884, Got: a1cb
Checksum failed. Expected: 5085, Got: 1063
Checksum failed. Expected: 4b55, Got: 7efa
Checksum failed. Expected: 771b, Got: ed92
Checksum failed. Expected: 5779, Got: 5c29
Checksum failed. Expected: 3b26, Got: cac1
Checksum failed. Expected: 5a0a, Got: 3958
Checksum failed. Expected: c40b, Got: a7f0
Checksum failed. Expected: 0f57, Got: 1688
Checksum failed. Expected: 6b81, Got: 851f
Checksum failed. Expected: e241, Got: f3b7
Checksum failed. Expected: 066b, Got: 624e
Checksum failed. Expected: ff1c, Got: d0e6
Checksum failed. Expected: 1ad4, Got: 3f7d
Checksum failed. Expected: 04c9, Got: ae15
Checksum failed. Expected: 909b, Got: 1cac
Checksum failed. Expected: 8106, Got: 8b44
Checksum failed. Expected: dd45, Got: f9db
Checksum failed. Expected: 0a00, Got: 6873
Checksum failed. Expected: 0d4c, Got: d70b
Checksum failed. Expected: 85fa, Got: 45a2
Checksum failed. Expected: 21cb, Got: b43a
Checksum failed. Expected: 6f2d, Got: 22d1
Checksum failed. Expected: c0e4, Got: 9169
Checksum failed. Expected: f29d, Got: 0000
Checksum failed. Expected: add2, Got: 6e98
Checksum failed. Expected: 2067, Got: dd2f
Checksum failed. Expected: 6450, Got: 4bc7
Checksum failed. Expected: d5b4, Got: ba5f
Checksum failed. Expected: 7cf4, Got: 28f6
Checksum failed. Expected: 937f, Got: 978e
Checksum failed. Expected: 6fa5, Got: 0625
Checksum failed. Expected: e116, Got: 74bd
Checksum failed. Expected: bc4f, Got: e354
Checksum failed. Expected: b200, Got: 51ec
Checksum failed. Expected: 8c16, Got: c083
Checksum failed. Expected: f2e7, Got: 2f1b
Checksum failed. Expected: 7635, Got: 9db3
Checksum failed. Expected: 4aff, Got: 0c4a
Checksum failed. Expected: b708, Got: 7ae2
Checksum failed. Expected: c94f, Got: e979
Checksum failed. Expected: c764, Got: 5811
Checksum failed. Expected: d004, Got: c6a8
Checksum failed. Expected: d9c7, Got: 3540
Checksum failed. Expected: d6bf, Got: a3d7
Checksum failed. Expected: 8488, Got: 126f
Checksum failed. Expected: 1160, Got: 8106
Checksum failed. Expected: b7b2, Got: ef9e
Checksum failed. Expected: 308e, Got: 5e36
Checksum failed. Expected: 734e, Got: cccd
Checksum failed. Expected: 2231, Got: 3b65
Checksum failed. Expected: a571, Got: a9fc
Checksum failed. Expected: ccd8, Got: 1894
Checksum failed. Expected: ddc6, Got: 872b
Checksum failed. Expected: 8ebe, Got: f5c3
Checksum failed. Expected: b72e, Got: 645a
Checksum failed. Expected: 7081, Got: d2f2
Checksum failed. Expected: 1181, Got: 418a
Checksum failed. Expected: 6c9d, Got: b021
Checksum failed. Expected: ce2a, Got: 1eb9
Checksum failed. Expected: a84c, Got: 8d50
Checksum failed. Expected: fe3e, Got: fbe8
Checksum failed. Expected: 29d6, Got: 6a7f
Checksum failed. Expected: e21d, Got: d917
Checksum failed. Expected: 1e8f, Got: 47ae
Checksum failed. Expected: fad4, Got: b646
Checksum failed. Expected: 6086, Got: 24de
Checksum failed. Expected: 5d65, Got: 9375
Checksum failed. Expected: 1bfa, Got: 020d
Checksum failed. Expected: 3150, Got: 70a4
Checksum failed. Expected: 0648, Got: df3c
Checksum failed. Expected: a308, Got: 4dd3
Checksum failed. Expected: 86af, Got: bc6b
Checksum failed. Expected: 6d7b, Got: 2b02
Checksum failed. Expected: 8b48, Got: 999a
Checksum failed. Expected: 9404, Got: 0832
Checksum failed. Expected: 0548, Got: 76c9
Checksum failed. Expected: 5830, Got: e561
Checksum failed. Expected: e720, Got: 53f8
Checksum failed. Expected: d9a5, Got: c290
Checksum failed. Expected: 4bf3, Got: 3127
Checksum failed. Expected: 8322, Got: 9fbf
Checksum failed. Expected: 802a, Got: 0e56
Checksum failed. Expected: bec3, Got: 7cee
Checksum failed. Expected: 14b6, Got: eb85
Checksum failed. Expected: a35d, Got: 147b
Checksum failed. Expected: a6d3, Got: 8313
Checksum failed. Expected: 9c7e, Got: f1aa
Checksum failed. Expected: 51a9, Got: 6042
Checksum failed. Expected: f07d, Got: ced9
Checksum failed. Expected: 8d4c, Got: 3d71
Checksum failed. Expected: d980, Got: ac09
Checksum failed. Expected: 9e64, Got: 1aa0
Checksum failed. Expected: bb43, Got: 8938
Checksum failed. Expected: 2210, Got: f7cf
Checksum failed. Expected: b787, Got: 6667
Checksum failed. Expected: 0f6d, Got: d4fe
Checksum failed. Expected: b6e0, Got: 4396
Checksum failed. Expected: b812, Got: b22d
Checksum failed. Expected: 43e9, Got: 20c5
Checksum failed. Expected: 572b, Got: 8f5d
Checksum failed. Expected: b14e, Got: fdf4
Checksum failed. Expected: 2923, Got: 6c8c
Checksum failed. Expected: fccf, Got: db23
Checksum failed. Expected: c4d9, Got: 49bb
Checksum failed. Expected: cf87, Got: b852
Checksum failed. Expected: 3cba, Got: 26ea
Checksum failed. Expected: 7a48, Got: 9581
Checksum failed. Expected: 3a05, Got: 0419
Checksum failed. Expected: 406f, Got: 72b0
Checksum failed. Expected: b641, Got: e148
Checksum failed. Expected: 2139, Got: 4fe0
Checksum failed. Expected: 434b, Got: be77
Checksum failed. Expected: 8518, Got: 2d0f
Checksum failed. Expected: 7014, Got: 9ba6
Checksum failed. Expected: 52b5, Got: 0a3e
Checksum failed. Expected: b64f, Got: 78d5
Checksum failed. Expected: 2d23, Got: e76d
