
#################################################################
Log started at 2025-06-12_16-18-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 27c4, Got: 3d71
Checksum failed. Expected: 6426, Got: ac09
Checksum failed. Expected: 290a, Got: 1aa0
Checksum failed. Expected: 6ae1, Got: 8938
Checksum failed. Expected: 9782, Got: f7cf
Checksum failed. Expected: 7f83, Got: 6667
Checksum failed. Expected: 72e3, Got: d4fe
Checksum failed. Expected: 0ca0, Got: 4396
Checksum failed. Expected: faba, Got: b22d
Checksum failed. Expected: df7d, Got: 20c5
Checksum failed. Expected: e609, Got: 8f5d
Checksum failed. Expected: cab8, Got: fdf4
Checksum failed. Expected: 7cb9, Got: 6c8c
Checksum failed. Expected: a627, Got: db23
Checksum failed. Expected: 0cd5, Got: 49bb
Checksum failed. Expected: 0bdb, Got: b852
Checksum failed. Expected: bff0, Got: 26ea
Checksum failed. Expected: 95ce, Got: 9581
Checksum failed. Expected: 13ef, Got: 0419
Checksum failed. Expected: 9413, Got: 72b0
Checksum failed. Expected: db53, Got: e148
Checksum failed. Expected: 4105, Got: 4fe0
Checksum failed. Expected: 685d, Got: be77
Checksum failed. Expected: 2700, Got: 2d0f
Checksum failed. Expected: 7458, Got: 9ba6
Checksum failed. Expected: 87a7, Got: 0a3e
Checksum failed. Expected: 441f, Got: 78d5
Checksum failed. Expected: fb73, Got: e76d
Checksum failed. Expected: 5bd1, Got: 5604
Checksum failed. Expected: 1b64, Got: c49c
Checksum failed. Expected: f9c6, Got: 3334
Checksum failed. Expected: c6ec, Got: 1063
Checksum failed. Expected: 0c4d, Got: 7efa
Checksum failed. Expected: 1637, Got: ed92
Checksum failed. Expected: a851, Got: 5c29
Checksum failed. Expected: 1798, Got: cac1
Checksum failed. Expected: af1a, Got: 3958
Checksum failed. Expected: 5671, Got: a7f0
Checksum failed. Expected: 5595, Got: 1688
Checksum failed. Expected: 8a9d, Got: 851f
Checksum failed. Expected: 004f, Got: f3b7
Checksum failed. Expected: 74d9, Got: 624e
Checksum failed. Expected: 72d0, Got: d0e6
Checksum failed. Expected: 5794, Got: 3f7d
Checksum failed. Expected: 7561, Got: ae15
Checksum failed. Expected: 6f37, Got: 1cac
Checksum failed. Expected: e920, Got: 8b44
Checksum failed. Expected: ccc1, Got: f9db
Checksum failed. Expected: c27a, Got: 6873
Checksum failed. Expected: c18e, Got: d70b
Checksum failed. Expected: 2d94, Got: 45a2
Checksum failed. Expected: a351, Got: b43a
Checksum failed. Expected: d639, Got: 22d1
Checksum failed. Expected: 3afa, Got: 9169
Checksum failed. Expected: edcb, Got: 0000
Checksum failed. Expected: 8fba, Got: 6e98
Checksum failed. Expected: d093, Got: dd2f
Checksum failed. Expected: 0172, Got: 4bc7
Checksum failed. Expected: 83c4, Got: ba5f
Checksum failed. Expected: 457e, Got: 28f6
Checksum failed. Expected: b5e7, Got: 978e
Checksum failed. Expected: df51, Got: 0625
Checksum failed. Expected: b42c, Got: 74bd
Checksum failed. Expected: 0911, Got: e354
Checksum failed. Expected: 8ada, Got: 7ae2
Checksum failed. Expected: 81eb, Got: e979
Checksum failed. Expected: 2b68, Got: 5811
Checksum failed. Expected: 44e8, Got: c6a8
Checksum failed. Expected: f1a3, Got: 3540
Checksum failed. Expected: 3145, Got: a3d7
Checksum failed. Expected: 37de, Got: 126f
Checksum failed. Expected: 2d74, Got: 8106
Checksum failed. Expected: d6f0, Got: ef9e
Checksum failed. Expected: 85c0, Got: 5e36
Checksum failed. Expected: a488, Got: cccd
Checksum failed. Expected: 7547, Got: 3b65
Checksum failed. Expected: f341, Got: a9fc
Checksum failed. Expected: bc84, Got: 1894
Checksum failed. Expected: 51aa, Got: 872b
Checksum failed. Expected: aad2, Got: f5c3
Checksum failed. Expected: 85fe, Got: 645a
Checksum failed. Expected: 9b67, Got: d2f2
Checksum failed. Expected: 66b3, Got: 418a
Checksum failed. Expected: bd97, Got: b021
Checksum failed. Expected: f802, Got: 1eb9
Checksum failed. Expected: c028, Got: 8d50
Checksum failed. Expected: 961a, Got: fbe8
Checksum failed. Expected: 3f96, Got: 6a7f
Checksum failed. Expected: f7cf, Got: d917
Checksum failed. Expected: 9d0d, Got: 47ae
Checksum failed. Expected: 02d0, Got: b646
Checksum failed. Expected: 4e16, Got: 24de
Checksum failed. Expected: 10bb, Got: 9375
Checksum failed. Expected: 30ac, Got: 020d
Checksum failed. Expected: d6e2, Got: 70a4
Checksum failed. Expected: 70a0, Got: df3c
Checksum failed. Expected: 9c32, Got: 4dd3
Checksum failed. Expected: 13f1, Got: bc6b
Checksum failed. Expected: 833b, Got: 2b02
Checksum failed. Expected: 580a, Got: 999a
Checksum failed. Expected: e1c6, Got: 0831
Checksum failed. Expected: 5db7, Got: 76c9
Checksum failed. Expected: bf5e, Got: e561
Checksum failed. Expected: a1d8, Got: 53f8
Checksum failed. Expected: 4a5f, Got: c290
Checksum failed. Expected: 958b, Got: 3127
Checksum failed. Expected: aad0, Got: 9fbf
Checksum failed. Expected: fc7e, Got: 0e56
Checksum failed. Expected: 7a97, Got: 7cee
Checksum failed. Expected: 41b8, Got: eb85
Checksum failed. Expected: 3223, Got: 5a1d
Checksum failed. Expected: 312b, Got: c8b5
Checksum failed. Expected: 0e7f, Got: 374c
Checksum failed. Expected: c064, Got: a5e4
Checksum failed. Expected: 4a2e, Got: 147b
Checksum failed. Expected: 7179, Got: 8313
Checksum failed. Expected: 4b9c, Got: f1aa
Checksum failed. Expected: 36bb, Got: 6042
Checksum failed. Expected: ad5f, Got: ced9
Checksum failed. Expected: 8130, Got: 3d71
Checksum failed. Expected: 8574, Got: ac09
Checksum failed. Expected: ba78, Got: 1aa0
Checksum failed. Expected: 73df, Got: 8938
Checksum failed. Expected: 0614, Got: f7cf
Checksum failed. Expected: 637b, Got: 6667
Checksum failed. Expected: 6479, Got: 4396
Checksum failed. Expected: 411c, Got: b22d
Checksum failed. Expected: 181b, Got: 20c5
Checksum failed. Expected: 0649, Got: 8f5d
Checksum failed. Expected: 470e, Got: fdf4
Checksum failed. Expected: 115f, Got: 6c8c
Checksum failed. Expected: e40b, Got: db23
Checksum failed. Expected: 9e51, Got: 49bb
