
#################################################################
Log started at 2025-06-12_15-50-16 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 3d21, Got: 8f5a
Checksum failed. Expected: d7ec, Got: 0acf
Checksum failed. Expected: fc7c, Got: 9818
Checksum failed. Expected: bc35, Got: 9766
Checksum failed. Expected: ba91, Got: 1b31
Checksum failed. Expected: 5901, Got: 1aa6
Checksum failed. Expected: 70f0, Got: 97f5
Checksum failed. Expected: 1a3f, Got: a3de
Checksum failed. Expected: aa14, Got: 22ed
Checksum failed. Expected: 1822, Got: 9275
Checksum failed. Expected: 443a, Got: ff70
Checksum failed. Expected: 9af5, Got: 7ef0
Checksum failed. Expected: 33e2, Got: 106f
Checksum failed. Expected: c3e5, Got: 8e8f
Checksum failed. Expected: 6797, Got: 92fa
Checksum failed. Expected: 3466, Got: 1a61
Checksum failed. Expected: 33b1, Got: 21d6
Checksum failed. Expected: 1071, Got: 1f20
Checksum failed. Expected: 0737, Got: 973c
Checksum failed. Expected: 6b92, Got: 8f98
Checksum failed. Expected: 1b8b, Got: 8bfb
Checksum failed. Expected: fd63, Got: 84ea
Checksum failed. Expected: 3f36, Got: 8c1d
Checksum failed. Expected: 97ae, Got: 19bc
Checksum failed. Expected: 52c6, Got: 9bba
Checksum failed. Expected: 71ba, Got: 96ba
Checksum failed. Expected: a6fd, Got: 8723
Checksum failed. Expected: f1a8, Got: 8b07
Checksum failed. Expected: 7113, Got: 8c1d
Checksum failed. Expected: f0d0, Got: 0f26
Checksum failed. Expected: adac, Got: 88dd
Checksum failed. Expected: 102a, Got: 8c4a
Checksum failed. Expected: 94cb, Got: 8799
Checksum failed. Expected: 050b, Got: 88c0
Checksum failed. Expected: 9730, Got: 07aa
Checksum failed. Expected: d6f1, Got: 0390
Checksum failed. Expected: cd34, Got: 905e
Checksum failed. Expected: df45, Got: 10e3
Checksum failed. Expected: db3f, Got: 86bb
Checksum failed. Expected: d0f9, Got: 8d2a
Checksum failed. Expected: c534, Got: 9657
Checksum failed. Expected: 2f7b, Got: 9a9c
Checksum failed. Expected: b7cc, Got: 9c25
Checksum failed. Expected: 4eb2, Got: 99ef
Checksum failed. Expected: af0f, Got: 9a03
Checksum failed. Expected: fc11, Got: 9601
Checksum failed. Expected: 3a4e, Got: 119e
Checksum failed. Expected: fc81, Got: 1816
Checksum failed. Expected: 9b34, Got: 1383
Checksum failed. Expected: 51bf, Got: 8a1f
Checksum failed. Expected: 1ec8, Got: 0b7a
Checksum failed. Expected: eb36, Got: 9e48
Checksum failed. Expected: 6471, Got: 9738
Checksum failed. Expected: 78a2, Got: 0fd7
Checksum failed. Expected: dfa6, Got: 941f
Checksum failed. Expected: a9c9, Got: 1cd4
Checksum failed. Expected: 5dbb, Got: 106f
Checksum failed. Expected: 6b52, Got: 8c06
Checksum failed. Expected: 70ae, Got: 039a
Checksum failed. Expected: 0b59, Got: 00bb
Checksum failed. Expected: d0c9, Got: 0a70
Checksum failed. Expected: 3965, Got: 0cc8
Checksum failed. Expected: ee4c, Got: 054f
