
#################################################################
Log started at 2025-06-13_16-13-54 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.103748, Y=-0.627945, Z=9.763558 m/s^2 Time of Week: 461654.341000, Week Number: 2370
Acceleration: X=-0.110310, Y=-0.623720, Z=9.770136 m/s^2 Time of Week: 461654.342000, Week Number: 2370
Acceleration: X=-0.103123, Y=-0.623775, Z=9.768348 m/s^2 Time of Week: 461654.343000, Week Number: 2370
Acceleration: X=-0.095337, Y=-0.631025, Z=9.764194 m/s^2 Time of Week: 461654.344000, Week Number: 2370
Acceleration: X=-0.095958, Y=-0.637013, Z=9.763633 m/s^2 Time of Week: 461654.345000, Week Number: 2370
Acceleration: X=-0.100185, Y=-0.635808, Z=9.766614 m/s^2 Time of Week: 461654.346000, Week Number: 2370
Acceleration: X=-0.108586, Y=-0.633347, Z=9.776749 m/s^2 Time of Week: 461654.347000, Week Number: 2370
Acceleration: X=-0.100161, Y=-0.631557, Z=9.785752 m/s^2 Time of Week: 461654.348000, Week Number: 2370
Acceleration: X=-0.090575, Y=-0.628002, Z=9.783973 m/s^2 Time of Week: 461654.349000, Week Number: 2370
Acceleration: X=-0.088219, Y=-0.630433, Z=9.779171 m/s^2 Time of Week: 461654.350000, Week Number: 2370
Acceleration: X=-0.094188, Y=-0.623781, Z=9.786327 m/s^2 Time of Week: 461654.351000, Week Number: 2370
Acceleration: X=-0.100752, Y=-0.621359, Z=9.783938 m/s^2 Time of Week: 461654.352000, Week Number: 2370
Acceleration: X=-0.099566, Y=-0.623180, Z=9.782749 m/s^2 Time of Week: 461654.353000, Week Number: 2370
Acceleration: X=-0.095361, Y=-0.623195, Z=9.781554 m/s^2 Time of Week: 461654.354000, Week Number: 2370
Acceleration: X=-0.093563, Y=-0.623762, Z=9.789920 m/s^2 Time of Week: 461654.355000, Week Number: 2370
Acceleration: X=-0.091207, Y=-0.624995, Z=9.791123 m/s^2 Time of Week: 461654.356000, Week Number: 2370
Acceleration: X=-0.095985, Y=-0.621388, Z=9.792314 m/s^2 Time of Week: 461654.357000, Week Number: 2370
Acceleration: X=-0.100786, Y=-0.623743, Z=9.794084 m/s^2 Time of Week: 461654.358000, Week Number: 2370
Acceleration: X=-0.106738, Y=-0.626072, Z=9.793502 m/s^2 Time of Week: 461654.359000, Week Number: 2370
Acceleration: X=-0.103732, Y=-0.619528, Z=9.792886 m/s^2 Time of Week: 461654.365000, Week Number: 2370
Acceleration: X=-0.103108, Y=-0.615944, Z=9.793495 m/s^2 Time of Week: 461654.366000, Week Number: 2370
Acceleration: X=-0.094752, Y=-0.621358, Z=9.789941 m/s^2 Time of Week: 461654.367000, Week Number: 2370
Acceleration: X=-0.098398, Y=-0.627374, Z=9.789954 m/s^2 Time of Week: 461654.368000, Week Number: 2370
Acceleration: X=-0.100760, Y=-0.623142, Z=9.789329 m/s^2 Time of Week: 461654.369000, Week Number: 2370
Acceleration: X=-0.103159, Y=-0.618914, Z=9.795286 m/s^2 Time of Week: 461654.370000, Week Number: 2370
Acceleration: X=-0.096580, Y=-0.620739, Z=9.794103 m/s^2 Time of Week: 461654.371000, Week Number: 2370
Acceleration: X=-0.100730, Y=-0.619538, Z=9.790504 m/s^2 Time of Week: 461654.372000, Week Number: 2370
Acceleration: X=-0.098967, Y=-0.617184, Z=9.788064 m/s^2 Time of Week: 461654.373000, Week Number: 2370
Acceleration: X=-0.100765, Y=-0.614157, Z=9.791637 m/s^2 Time of Week: 461654.374000, Week Number: 2370
Acceleration: X=-0.109743, Y=-0.609911, Z=9.794030 m/s^2 Time of Week: 461654.375000, Week Number: 2370
Acceleration: X=-0.113329, Y=-0.612303, Z=9.792830 m/s^2 Time of Week: 461654.376000, Week Number: 2370
Acceleration: X=-0.113919, Y=-0.617692, Z=9.789871 m/s^2 Time of Week: 461654.377000, Week Number: 2370
Acceleration: X=-0.109644, Y=-0.616453, Z=9.784508 m/s^2 Time of Week: 461654.378000, Week Number: 2370
Acceleration: X=-0.109095, Y=-0.618269, Z=9.783275 m/s^2 Time of Week: 461654.379000, Week Number: 2370
Acceleration: X=-0.106761, Y=-0.621339, Z=9.782084 m/s^2 Time of Week: 461654.380000, Week Number: 2370
Acceleration: X=-0.105548, Y=-0.621943, Z=9.782093 m/s^2 Time of Week: 461654.381000, Week Number: 2370
Acceleration: X=-0.106149, Y=-0.626766, Z=9.781507 m/s^2 Time of Week: 461654.382000, Week Number: 2370
Acceleration: X=-0.114493, Y=-0.620148, Z=9.778495 m/s^2 Time of Week: 461654.383000, Week Number: 2370
Acceleration: X=-0.116297, Y=-0.621946, Z=9.779690 m/s^2 Time of Week: 461654.384000, Week Number: 2370
Acceleration: X=-0.115726, Y=-0.621964, Z=9.779704 m/s^2 Time of Week: 461654.385000, Week Number: 2370
Acceleration: X=-0.112734, Y=-0.620187, Z=9.777920 m/s^2 Time of Week: 461654.386000, Week Number: 2370
Acceleration: X=-0.107923, Y=-0.620166, Z=9.778513 m/s^2 Time of Week: 461654.387000, Week Number: 2370
Acceleration: X=-0.104318, Y=-0.617704, Z=9.783295 m/s^2 Time of Week: 461654.388000, Week Number: 2370
Acceleration: X=-0.107308, Y=-0.616542, Z=9.777315 m/s^2 Time of Week: 461654.389000, Week Number: 2370
Acceleration: X=-0.107333, Y=-0.617146, Z=9.773128 m/s^2 Time of Week: 461654.390000, Week Number: 2370
Acceleration: X=-0.103171, Y=-0.624331, Z=9.775532 m/s^2 Time of Week: 461654.391000, Week Number: 2370
Acceleration: X=-0.103758, Y=-0.627341, Z=9.773164 m/s^2 Time of Week: 461654.392000, Week Number: 2370
Acceleration: X=-0.105568, Y=-0.626138, Z=9.777338 m/s^2 Time of Week: 461654.393000, Week Number: 2370
Acceleration: X=-0.115181, Y=-0.632158, Z=9.776742 m/s^2 Time of Week: 461654.394000, Week Number: 2370
Acceleration: X=-0.113297, Y=-0.625610, Z=9.777935 m/s^2 Time of Week: 461654.395000, Week Number: 2370
Acceleration: X=-0.104318, Y=-0.626218, Z=9.788118 m/s^2 Time of Week: 461654.396000, Week Number: 2370
Acceleration: X=-0.102566, Y=-0.631534, Z=9.785126 m/s^2 Time of Week: 461654.397000, Week Number: 2370
Acceleration: X=-0.105612, Y=-0.631555, Z=9.784519 m/s^2 Time of Week: 461654.398000, Week Number: 2370
Acceleration: X=-0.109748, Y=-0.631561, Z=9.776774 m/s^2 Time of Week: 461654.399000, Week Number: 2370
Acceleration: X=-0.108548, Y=-0.632788, Z=9.779767 m/s^2 Time of Week: 461654.400000, Week Number: 2370
Acceleration: X=-0.105573, Y=-0.627365, Z=9.786307 m/s^2 Time of Week: 461654.401000, Week Number: 2370
Acceleration: X=-0.103117, Y=-0.620136, Z=9.788705 m/s^2 Time of Week: 461654.402000, Week Number: 2370
Acceleration: X=-0.098907, Y=-0.623778, Z=9.786347 m/s^2 Time of Week: 461654.403000, Week Number: 2370
Acceleration: X=-0.098364, Y=-0.632195, Z=9.780385 m/s^2 Time of Week: 461654.404000, Week Number: 2370
Acceleration: X=-0.097220, Y=-0.639337, Z=9.785183 m/s^2 Time of Week: 461654.405000, Week Number: 2370
Acceleration: X=-0.091274, Y=-0.636955, Z=9.791129 m/s^2 Time of Week: 461654.406000, Week Number: 2370
Acceleration: X=-0.095460, Y=-0.626742, Z=9.786276 m/s^2 Time of Week: 461654.407000, Week Number: 2370
Acceleration: X=-0.098442, Y=-0.629168, Z=9.789908 m/s^2 Time of Week: 461654.408000, Week Number: 2370
Acceleration: X=-0.100842, Y=-0.629765, Z=9.791106 m/s^2 Time of Week: 461654.409000, Week Number: 2370
Acceleration: X=-0.099633, Y=-0.629819, Z=9.789312 m/s^2 Time of Week: 461654.410000, Week Number: 2370
Acceleration: X=-0.096076, Y=-0.630414, Z=9.783921 m/s^2 Time of Week: 461654.411000, Week Number: 2370
Acceleration: X=-0.097890, Y=-0.632149, Z=9.780931 m/s^2 Time of Week: 461654.412000, Week Number: 2370
