
#################################################################
Log started at 2025-06-12_16-19-52 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 58c0, Got: 95a7
Checksum failed. Expected: e245, Got: 987f
Checksum failed. Expected: abe2, Got: 9eb7
Checksum failed. Expected: 0fc4, Got: 1c25
Checksum failed. Expected: c89b, Got: 1507
Checksum failed. Expected: ffff, Got: 1114
Checksum failed. Expected: f975, Got: 1522
Checksum failed. Expected: d672, Got: 1464
Checksum failed. Expected: 22ac, Got: 9269
Checksum failed. Expected: 044a, Got: 12ab
Checksum failed. Expected: f5c6, Got: 9271
Checksum failed. Expected: 72dc, Got: 94b3
Checksum failed. Expected: 5354, Got: 8bfa
Checksum failed. Expected: cd87, Got: 0e87
Checksum failed. Expected: 98d7, Got: 1151
Checksum failed. Expected: 79f3, Got: 8f3b
Checksum failed. Expected: 3a76, Got: 0d14
Checksum failed. Expected: fe2f, Got: 933e
Checksum failed. Expected: bdea, Got: 4e34
Checksum failed. Expected: 9d65, Got: 99a6
Checksum failed. Expected: 9c7b, Got: 9100
Checksum failed. Expected: 4105, Got: 8774
Checksum failed. Expected: 7da8, Got: 0bc9
Checksum failed. Expected: 5fc6, Got: 070c
Checksum failed. Expected: 124f, Got: 8991
Checksum failed. Expected: 1a82, Got: 00a0
Checksum failed. Expected: 5ff3, Got: 404b
Checksum failed. Expected: 5187, Got: 85c9
Checksum failed. Expected: 6dc8, Got: 07c8
Checksum failed. Expected: 4098, Got: 8402
Checksum failed. Expected: 7f92, Got: 48dd
Checksum failed. Expected: 17c6, Got: 464b
Checksum failed. Expected: 7436, Got: 8d35
Checksum failed. Expected: bf2c, Got: 3f2e
Checksum failed. Expected: 1c3e, Got: 79c9
Checksum failed. Expected: 170f, Got: 8956
Checksum failed. Expected: 2eab, Got: 9a70
Checksum failed. Expected: 3273, Got: 137c
Checksum failed. Expected: 155a, Got: 1346
Checksum failed. Expected: 98c5, Got: 9743
Checksum failed. Expected: e1fb, Got: 97fe
Checksum failed. Expected: 543a, Got: 9275
Checksum failed. Expected: 480c, Got: 8d6c
Checksum failed. Expected: 9bba, Got: 913a
Checksum failed. Expected: fc45, Got: 91a0
Checksum failed. Expected: fb99, Got: 17f2
Checksum failed. Expected: 43cb, Got: 1029
Checksum failed. Expected: d89d, Got: 892b
Checksum failed. Expected: 643c, Got: 87f1
Checksum failed. Expected: ff54, Got: 0d32
Checksum failed. Expected: 56d1, Got: 9624
Checksum failed. Expected: 5af7, Got: 1b00
Checksum failed. Expected: 8b72, Got: 1983
Checksum failed. Expected: e358, Got: 1416
Checksum failed. Expected: d2e4, Got: 0b90
Checksum failed. Expected: 6e51, Got: 1176
Checksum failed. Expected: 3359, Got: 1062
Checksum failed. Expected: 40b5, Got: 83bc
Checksum failed. Expected: 9e4a, Got: 8f09
Checksum failed. Expected: dc5d, Got: 1d2f
Checksum failed. Expected: b0fb, Got: 9c13
Checksum failed. Expected: 5f4b, Got: 97a2
Checksum failed. Expected: c9f6, Got: 8eb1
Checksum failed. Expected: 6667, Got: 1776
Checksum failed. Expected: e03b, Got: a022
Checksum failed. Expected: cb64, Got: 9912
Checksum failed. Expected: b481, Got: 8e7f
Checksum failed. Expected: 0ea5, Got: 1663
Checksum failed. Expected: 9d13, Got: 1875
Checksum failed. Expected: 629e, Got: 970e
Checksum failed. Expected: 5d87, Got: 9719
Checksum failed. Expected: e033, Got: 9c27
Checksum failed. Expected: 47a8, Got: 1c40
Checksum failed. Expected: fc0b, Got: 171e
Checksum failed. Expected: be82, Got: 9c13
Checksum failed. Expected: 18b3, Got: a1ef
Checksum failed. Expected: eea0, Got: 2457
Checksum failed. Expected: 6ed8, Got: 21be
Checksum failed. Expected: 664f, Got: 216f
Checksum failed. Expected: 5051, Got: d09e
Checksum failed. Expected: cc3a, Got: 4fb8
Checksum failed. Expected: a70b, Got: 5311
Checksum failed. Expected: a5fd, Got: 8c15
Checksum failed. Expected: 776f, Got: 900a
Checksum failed. Expected: 5cb8, Got: 1da2
Checksum failed. Expected: 4644, Got: 4d69
Checksum failed. Expected: 3364, Got: 1878
Checksum failed. Expected: 3101, Got: 093a
Checksum failed. Expected: fa66, Got: 4b2a
Checksum failed. Expected: 5714, Got: 9366
Checksum failed. Expected: 0ba1, Got: 9500
Checksum failed. Expected: 76af, Got: 994c
Checksum failed. Expected: 7760, Got: 904d
Checksum failed. Expected: d041, Got: 1225
Checksum failed. Expected: 6034, Got: a5e9
Checksum failed. Expected: 1659, Got: 9f77
Checksum failed. Expected: 93b9, Got: 175e
Checksum failed. Expected: d8ab, Got: 9602
Checksum failed. Expected: e207, Got: 983d
Checksum failed. Expected: d026, Got: 2093
Checksum failed. Expected: d7e3, Got: 2327
Checksum failed. Expected: 9f9c, Got: 1bc7
Checksum failed. Expected: 03d9, Got: 1c6a
Checksum failed. Expected: 318c, Got: 9a73
Checksum failed. Expected: 1bfe, Got: 15b3
Checksum failed. Expected: a896, Got: 1444
Checksum failed. Expected: 3c29, Got: 14e0
