
#################################################################
Log started at 2025-06-13_16-01-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 84d8, Got: bd7f
Checksum failed. Expected: 1a47, Got: bd7e
Checksum failed. Expected: 8e70, Got: bd7d
Checksum failed. Expected: febc, Got: bd7f
Checksum failed. Expected: 51dc, Got: bd81
Checksum failed. Expected: b006, Got: bd81
Checksum failed. Expected: cb06, Got: bd81
Checksum failed. Expected: 8ce1, Got: bd80
Checksum failed. Expected: 493f, Got: bd80
Checksum failed. Expected: 5f72, Got: bd80
Checksum failed. Expected: cfc1, Got: bd7f
Checksum failed. Expected: 9a40, Got: bd7f
Checksum failed. Expected: f6af, Got: bd80
Checksum failed. Expected: 96b8, Got: bd81
Checksum failed. Expected: 1e84, Got: bd7f
Checksum failed. Expected: def9, Got: bd7d
Checksum failed. Expected: 1191, Got: bd7d
Checksum failed. Expected: 5f4b, Got: bd7f
Checksum failed. Expected: 60da, Got: bd80
Checksum failed. Expected: b642, Got: bd80
Checksum failed. Expected: fc89, Got: bd80
Checksum failed. Expected: 4b2f, Got: bd80
Checksum failed. Expected: c9da, Got: bd80
Checksum failed. Expected: 6a81, Got: bd7d
Checksum failed. Expected: e935, Got: bd7d
Checksum failed. Expected: acfa, Got: bd7e
Checksum failed. Expected: e14d, Got: bd7e
Checksum failed. Expected: 284d, Got: bd7b
Checksum failed. Expected: 27dd, Got: bd7d
Checksum failed. Expected: 4f87, Got: bd7f
Checksum failed. Expected: 2988, Got: bd7f
Checksum failed. Expected: a25d, Got: bd7f
Checksum failed. Expected: 0747, Got: bd7e
Checksum failed. Expected: 7e0e, Got: bd80
Checksum failed. Expected: 9199, Got: bd81
Checksum failed. Expected: 8e13, Got: bd82
Checksum failed. Expected: 17b2, Got: bd82
Checksum failed. Expected: c267, Got: bd81
Checksum failed. Expected: 8ed4, Got: bd80
Checksum failed. Expected: 5b4c, Got: bd81
Checksum failed. Expected: 21f4, Got: bd83
Checksum failed. Expected: 57ab, Got: bd83
Checksum failed. Expected: 8605, Got: bd81
Checksum failed. Expected: b045, Got: bd81
Checksum failed. Expected: 6f0e, Got: bd81
Checksum failed. Expected: cf2e, Got: bd80
Checksum failed. Expected: 4034, Got: bd80
