
#################################################################
Log started at 2025-06-12_15-58-51 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c545, Got: b138
Checksum failed. Expected: 60d5, Got: b299
Checksum failed. Expected: d897, Got: 37d0
Checksum failed. Expected: 9446, Got: 2f34
Checksum failed. Expected: 4b42, Got: 278b
Checksum failed. Expected: 574f, Got: 2d0b
Checksum failed. Expected: 9f49, Got: b002
Checksum failed. Expected: 869c, Got: b22e
Checksum failed. Expected: 8d32, Got: 2cf0
Checksum failed. Expected: f1ec, Got: b00c
Checksum failed. Expected: 386f, Got: bf72
Checksum failed. Expected: dc04, Got: bfe1
Checksum failed. Expected: 9a00, Got: 38be
Checksum failed. Expected: 35b2, Got: 367a
Checksum failed. Expected: 0bb7, Got: b817
Checksum failed. Expected: a8b8, Got: c22a
Checksum failed. Expected: 2085, Got: 3d3d
Checksum failed. Expected: 61ec, Got: bdc6
Checksum failed. Expected: 6f3f, Got: 3830
Checksum failed. Expected: 868e, Got: 3016
Checksum failed. Expected: 7263, Got: b547
Checksum failed. Expected: 7725, Got: 40f9
Checksum failed. Expected: 7485, Got: 3b34
Checksum failed. Expected: 364f, Got: b537
Checksum failed. Expected: 0858, Got: 3176
Checksum failed. Expected: a8d6, Got: 307f
Checksum failed. Expected: f58f, Got: aec8
Checksum failed. Expected: 7e06, Got: 385d
Checksum failed. Expected: 32cd, Got: ae33
Checksum failed. Expected: 33b9, Got: adac
Checksum failed. Expected: 9252, Got: 287b
Checksum failed. Expected: 975f, Got: a9ed
Checksum failed. Expected: df45, Got: abda
Checksum failed. Expected: 95c3, Got: 2d60
Checksum failed. Expected: 6a2b, Got: 2930
Checksum failed. Expected: 8811, Got: a2e3
Checksum failed. Expected: fb7f, Got: 25ec
Checksum failed. Expected: 7548, Got: 2619
Checksum failed. Expected: 6c62, Got: 9fea
Checksum failed. Expected: 34c0, Got: 2557
Checksum failed. Expected: 2942, Got: 34cc
Checksum failed. Expected: f811, Got: acff
Checksum failed. Expected: 18fe, Got: a4ee
Checksum failed. Expected: 3cb0, Got: a066
Checksum failed. Expected: 9c66, Got: a4e5
Checksum failed. Expected: d771, Got: a115
Checksum failed. Expected: 35e8, Got: a0cd
Checksum failed. Expected: 009b, Got: 9ca5
Checksum failed. Expected: 86e2, Got: 1d4a
Checksum failed. Expected: 5745, Got: 2465
Checksum failed. Expected: 0060, Got: 240c
