
#################################################################
Log started at 2025-06-12_16-21-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: e48a, Got: 8aee
Checksum failed. Expected: 84b5, Got: 1249
Checksum failed. Expected: 3b0f, Got: 8cff
Checksum failed. Expected: 96c2, Got: fd76
Checksum failed. Expected: 576f, Got: 7cba
Checksum failed. Expected: d92b, Got: 7b86
Checksum failed. Expected: 9e53, Got: 854b
Checksum failed. Expected: ed35, Got: 84bb
Checksum failed. Expected: dd1e, Got: fe86
Checksum failed. Expected: e026, Got: fcf6
Checksum failed. Expected: 3a4e, Got: 02c5
Checksum failed. Expected: 0191, Got: 83e5
Checksum failed. Expected: a931, Got: 8b7e
Checksum failed. Expected: d231, Got: 0bf1
Checksum failed. Expected: b82b, Got: 8bcf
Checksum failed. Expected: 400a, Got: 767a
Checksum failed. Expected: 618c, Got: 7a26
Checksum failed. Expected: d738, Got: 8f98
Checksum failed. Expected: 56c8, Got: 8e06
Checksum failed. Expected: 2999, Got: 46d8
Checksum failed. Expected: 5e92, Got: 91fa
Checksum failed. Expected: 49da, Got: 14ac
Checksum failed. Expected: d49d, Got: 074b
Checksum failed. Expected: 08a6, Got: 041f
Checksum failed. Expected: 026d, Got: 0753
Checksum failed. Expected: 5ffa, Got: 0fe1
Checksum failed. Expected: c493, Got: 90b3
Checksum failed. Expected: 515b, Got: 8862
Checksum failed. Expected: 76ba, Got: 0021
Checksum failed. Expected: 77d2, Got: 44a3
Checksum failed. Expected: 0e0b, Got: 0517
Checksum failed. Expected: 846a, Got: 0a93
Checksum failed. Expected: 600f, Got: 1088
Checksum failed. Expected: c7fb, Got: 07e8
Checksum failed. Expected: 994b, Got: 0250
Checksum failed. Expected: 9364, Got: 4171
Checksum failed. Expected: 43bc, Got: 03c1
Checksum failed. Expected: 5418, Got: 8057
Checksum failed. Expected: c67d, Got: ff92
Checksum failed. Expected: 7287, Got: 0d19
Checksum failed. Expected: 23a3, Got: 9645
Checksum failed. Expected: 1c22, Got: 90f8
Checksum failed. Expected: 601a, Got: 1150
Checksum failed. Expected: f074, Got: 0986
Checksum failed. Expected: 2dbc, Got: ffbf
Checksum failed. Expected: cea1, Got: 825e
Checksum failed. Expected: 51c1, Got: 88f2
Checksum failed. Expected: 4495, Got: 014e
Checksum failed. Expected: 09a9, Got: 0189
Checksum failed. Expected: 7331, Got: 7ff9
Checksum failed. Expected: ec8f, Got: 00bc
Checksum failed. Expected: 9af3, Got: 8c0f
Checksum failed. Expected: 1790, Got: 8d5c
Checksum failed. Expected: 8006, Got: 7cab
Checksum failed. Expected: 6394, Got: 72ee
Checksum failed. Expected: 70bc, Got: 762c
Checksum failed. Expected: 2693, Got: 0bd8
