
#################################################################
Log started at 2025-06-12_14-02-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 4fac, Got: 0e04
Checksum failed. Expected: 35fc, Got: 0e04
Checksum failed. Expected: 836d, Got: 0e04
Checksum failed. Expected: 05f1, Got: 0e04
Checksum failed. Expected: 4f0f, Got: 0e04
Checksum failed. Expected: c800, Got: 0e04
Checksum failed. Expected: 556d, Got: 0e04
Checksum failed. Expected: 94e4, Got: 0e04
Checksum failed. Expected: 34cc, Got: 0e04
Checksum failed. Expected: 5281, Got: 0e04
Checksum failed. Expected: 7c31, Got: 0e04
Checksum failed. Expected: 1f3e, Got: 0e04
Checksum failed. Expected: 60a6, Got: 0e04
Checksum failed. Expected: 4a59, Got: 0e04
Checksum failed. Expected: 00f7, Got: 0e04
Checksum failed. Expected: fbcf, Got: 0e04
Checksum failed. Expected: 1450, Got: 0e04
Checksum failed. Expected: 3891, Got: 0e04
Checksum failed. Expected: 7a15, Got: 0e04
Checksum failed. Expected: 628b, Got: 0e04
Checksum failed. Expected: e880, Got: 0e04
Checksum failed. Expected: 1ce0, Got: 0e04
Checksum failed. Expected: 1d48, Got: 0e04
Checksum failed. Expected: 87f8, Got: 0e04
Checksum failed. Expected: e294, Got: 0e04
Checksum failed. Expected: 23f8, Got: 0e04
Checksum failed. Expected: 8eac, Got: 0e04
Checksum failed. Expected: 30ad, Got: 0e04
Checksum failed. Expected: 1fb5, Got: 0e04
Checksum failed. Expected: fc4f, Got: 0e04
Checksum failed. Expected: 17e8, Got: 0e04
Checksum failed. Expected: f381, Got: 0e04
Checksum failed. Expected: fcc0, Got: 0e04
Checksum failed. Expected: 714c, Got: 0e04
Checksum failed. Expected: 3835, Got: 0e04
Checksum failed. Expected: 62e5, Got: 0e04
Checksum failed. Expected: b7da, Got: 0e04
Checksum failed. Expected: 9586, Got: 0e04
Checksum failed. Expected: f45d, Got: 0e04
Checksum failed. Expected: 6d37, Got: 0e04
Checksum failed. Expected: b3eb, Got: 0e04
Checksum failed. Expected: f03c, Got: 0e04
Checksum failed. Expected: 0f19, Got: 0e04
Checksum failed. Expected: a641, Got: 0e04
Checksum failed. Expected: 8a67, Got: 0e04
Checksum failed. Expected: cae4, Got: 0e04
Checksum failed. Expected: 1a74, Got: 0e04
Checksum failed. Expected: 5000, Got: 0e04
Checksum failed. Expected: 1d6c, Got: 0e04
Checksum failed. Expected: 81bc, Got: 0e04
Checksum failed. Expected: 96b0, Got: 0e04
Checksum failed. Expected: 9a58, Got: 0e04
Checksum failed. Expected: c2d1, Got: 0e04
Checksum failed. Expected: 5159, Got: 0e04
Checksum failed. Expected: a653, Got: 0e04
Checksum failed. Expected: 2058, Got: 0e04
Checksum failed. Expected: cc31, Got: 0e04
Checksum failed. Expected: f3c8, Got: 0e04
