
#################################################################
Log started at 2025-06-16_16-24-33.689473 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.388930, Y=0.071718, Z=9.796475 m/s^2 Time of Week: 52.056000, Week Number: 0
Acceleration: X=0.405744, Y=0.074833, Z=9.797984 m/s^2 Time of Week: 52.287000, Week Number: 0
Acceleration: X=0.397757, Y=0.070550, Z=9.797958 m/s^2 Time of Week: 52.290000, Week Number: 0
Acceleration: X=0.401039, Y=0.074471, Z=9.791885 m/s^2 Time of Week: 52.293000, Week Number: 0
Acceleration: X=0.400192, Y=0.071274, Z=9.793815 m/s^2 Time of Week: 52.296000, Week Number: 0
Acceleration: X=0.408364, Y=0.068274, Z=9.797550 m/s^2 Time of Week: 52.299000, Week Number: 0
Acceleration: X=0.406072, Y=0.070197, Z=9.803443 m/s^2 Time of Week: 52.302000, Week Number: 0
Acceleration: X=0.401624, Y=0.064609, Z=9.802326 m/s^2 Time of Week: 52.305000, Week Number: 0
Acceleration: X=0.403422, Y=0.061737, Z=9.806913 m/s^2 Time of Week: 52.308000, Week Number: 0
Acceleration: X=0.407152, Y=0.065939, Z=9.801269 m/s^2 Time of Week: 52.311000, Week Number: 0
Acceleration: X=0.404802, Y=0.064972, Z=9.798121 m/s^2 Time of Week: 52.314000, Week Number: 0
Acceleration: X=0.405247, Y=0.058890, Z=9.800914 m/s^2 Time of Week: 52.317000, Week Number: 0
Acceleration: X=0.403795, Y=0.064685, Z=9.802926 m/s^2 Time of Week: 52.320000, Week Number: 0
Acceleration: X=0.405783, Y=0.067296, Z=9.796775 m/s^2 Time of Week: 52.323000, Week Number: 0
Acceleration: X=0.395558, Y=0.072370, Z=9.799575 m/s^2 Time of Week: 52.326000, Week Number: 0
Acceleration: X=0.399338, Y=0.069095, Z=9.789823 m/s^2 Time of Week: 52.329000, Week Number: 0
Acceleration: X=0.397088, Y=0.072849, Z=9.789650 m/s^2 Time of Week: 52.332000, Week Number: 0
Acceleration: X=0.395807, Y=0.069754, Z=9.799439 m/s^2 Time of Week: 52.335000, Week Number: 0
Acceleration: X=0.388872, Y=0.070070, Z=9.801742 m/s^2 Time of Week: 52.338000, Week Number: 0
Acceleration: X=0.401642, Y=0.071194, Z=9.805908 m/s^2 Time of Week: 52.341000, Week Number: 0
Acceleration: X=0.400417, Y=0.071476, Z=9.796798 m/s^2 Time of Week: 52.344000, Week Number: 0
Acceleration: X=0.402204, Y=0.069314, Z=9.795157 m/s^2 Time of Week: 52.347000, Week Number: 0
Acceleration: X=0.398646, Y=0.067690, Z=9.809397 m/s^2 Time of Week: 52.350000, Week Number: 0
Acceleration: X=0.408360, Y=0.070123, Z=9.804130 m/s^2 Time of Week: 52.353000, Week Number: 0
Acceleration: X=0.401168, Y=0.074000, Z=9.803079 m/s^2 Time of Week: 52.356000, Week Number: 0
Acceleration: X=0.405321, Y=0.065734, Z=9.802830 m/s^2 Time of Week: 52.359000, Week Number: 0
Acceleration: X=0.408352, Y=0.066552, Z=9.792550 m/s^2 Time of Week: 52.362000, Week Number: 0
Acceleration: X=0.407420, Y=0.069273, Z=9.789566 m/s^2 Time of Week: 52.365000, Week Number: 0
Acceleration: X=0.407609, Y=0.066690, Z=9.795047 m/s^2 Time of Week: 52.368000, Week Number: 0
Acceleration: X=0.402937, Y=0.066675, Z=9.801489 m/s^2 Time of Week: 52.371000, Week Number: 0
Acceleration: X=0.406400, Y=0.062617, Z=9.806920 m/s^2 Time of Week: 52.374000, Week Number: 0
Acceleration: X=0.405271, Y=0.066551, Z=9.804070 m/s^2 Time of Week: 52.377000, Week Number: 0
Acceleration: X=0.399506, Y=0.069464, Z=9.801424 m/s^2 Time of Week: 52.380000, Week Number: 0
Acceleration: X=0.398861, Y=0.074720, Z=9.797519 m/s^2 Time of Week: 52.383000, Week Number: 0
Acceleration: X=0.398917, Y=0.068877, Z=9.806374 m/s^2 Time of Week: 52.386000, Week Number: 0
Acceleration: X=0.404420, Y=0.070895, Z=9.809455 m/s^2 Time of Week: 52.389000, Week Number: 0
Acceleration: X=0.397199, Y=0.068890, Z=9.806536 m/s^2 Time of Week: 52.392000, Week Number: 0
Acceleration: X=0.400703, Y=0.064527, Z=9.799303 m/s^2 Time of Week: 52.395000, Week Number: 0
Acceleration: X=0.402502, Y=0.068311, Z=9.796065 m/s^2 Time of Week: 52.398000, Week Number: 0
Acceleration: X=0.398382, Y=0.063415, Z=9.794127 m/s^2 Time of Week: 52.401000, Week Number: 0
Acceleration: X=0.388537, Y=0.062577, Z=9.800782 m/s^2 Time of Week: 52.404000, Week Number: 0
Acceleration: X=0.396193, Y=0.066087, Z=9.802902 m/s^2 Time of Week: 52.407000, Week Number: 0
Acceleration: X=0.399128, Y=0.069105, Z=9.795012 m/s^2 Time of Week: 52.410000, Week Number: 0
Acceleration: X=0.397484, Y=0.065977, Z=9.787908 m/s^2 Time of Week: 52.413000, Week Number: 0
Acceleration: X=0.399865, Y=0.068151, Z=9.790884 m/s^2 Time of Week: 52.416000, Week Number: 0
Acceleration: X=0.403923, Y=0.068019, Z=9.795537 m/s^2 Time of Week: 52.419000, Week Number: 0
Acceleration: X=0.390625, Y=0.066413, Z=9.795863 m/s^2 Time of Week: 52.422000, Week Number: 0
Acceleration: X=0.397802, Y=0.065865, Z=9.805597 m/s^2 Time of Week: 52.425000, Week Number: 0
Acceleration: X=0.392598, Y=0.069599, Z=9.802350 m/s^2 Time of Week: 52.428000, Week Number: 0
Acceleration: X=0.394758, Y=0.069623, Z=9.796198 m/s^2 Time of Week: 52.431000, Week Number: 0
Acceleration: X=0.397883, Y=0.069931, Z=9.796051 m/s^2 Time of Week: 52.434000, Week Number: 0
Acceleration: X=0.389444, Y=0.067643, Z=9.800458 m/s^2 Time of Week: 52.437000, Week Number: 0
Acceleration: X=0.399038, Y=0.066598, Z=9.802000 m/s^2 Time of Week: 52.440000, Week Number: 0
Acceleration: X=0.401150, Y=0.064299, Z=9.795735 m/s^2 Time of Week: 52.443000, Week Number: 0
Acceleration: X=0.401704, Y=0.067497, Z=9.791824 m/s^2 Time of Week: 52.446000, Week Number: 0
Acceleration: X=0.401850, Y=0.073880, Z=9.792758 m/s^2 Time of Week: 52.449000, Week Number: 0
Acceleration: X=0.408620, Y=0.066122, Z=9.800432 m/s^2 Time of Week: 52.452000, Week Number: 0
Acceleration: X=0.409279, Y=0.069222, Z=9.801310 m/s^2 Time of Week: 52.455000, Week Number: 0
Acceleration: X=0.412113, Y=0.068408, Z=9.797141 m/s^2 Time of Week: 52.458000, Week Number: 0
Acceleration: X=0.408291, Y=0.072693, Z=9.797031 m/s^2 Time of Week: 52.461000, Week Number: 0
Acceleration: X=0.405060, Y=0.068181, Z=9.799007 m/s^2 Time of Week: 52.464000, Week Number: 0
Acceleration: X=0.403226, Y=0.066781, Z=9.802512 m/s^2 Time of Week: 52.467000, Week Number: 0
Acceleration: X=0.403781, Y=0.074750, Z=9.804731 m/s^2 Time of Week: 52.470000, Week Number: 0
Acceleration: X=0.405262, Y=0.064204, Z=9.811941 m/s^2 Time of Week: 52.473000, Week Number: 0
Acceleration: X=0.399525, Y=0.069941, Z=9.805319 m/s^2 Time of Week: 52.476000, Week Number: 0
Acceleration: X=0.408138, Y=0.064309, Z=9.807402 m/s^2 Time of Week: 52.479000, Week Number: 0
Acceleration: X=0.411196, Y=0.062465, Z=9.795235 m/s^2 Time of Week: 52.482000, Week Number: 0
Acceleration: X=0.404316, Y=0.062886, Z=9.799273 m/s^2 Time of Week: 52.485000, Week Number: 0
Acceleration: X=0.406977, Y=0.062899, Z=9.806829 m/s^2 Time of Week: 52.488000, Week Number: 0
Acceleration: X=0.410358, Y=0.066454, Z=9.805725 m/s^2 Time of Week: 52.491000, Week Number: 0
Acceleration: X=0.406769, Y=0.065732, Z=9.799512 m/s^2 Time of Week: 52.494000, Week Number: 0
Acceleration: X=0.402519, Y=0.067497, Z=9.797934 m/s^2 Time of Week: 52.497000, Week Number: 0
Acceleration: X=0.400655, Y=0.065146, Z=9.789754 m/s^2 Time of Week: 52.500000, Week Number: 0
Acceleration: X=0.391994, Y=0.072318, Z=9.794511 m/s^2 Time of Week: 52.503000, Week Number: 0
Acceleration: X=0.395444, Y=0.065737, Z=9.804881 m/s^2 Time of Week: 52.506000, Week Number: 0
Acceleration: X=0.391704, Y=0.067788, Z=9.797302 m/s^2 Time of Week: 52.509000, Week Number: 0
Acceleration: X=0.391297, Y=0.074627, Z=9.797647 m/s^2 Time of Week: 52.512000, Week Number: 0
Acceleration: X=0.398162, Y=0.063305, Z=9.793239 m/s^2 Time of Week: 52.515000, Week Number: 0
Acceleration: X=0.401154, Y=0.069657, Z=9.792444 m/s^2 Time of Week: 52.518000, Week Number: 0
Acceleration: X=0.401647, Y=0.070856, Z=9.807054 m/s^2 Time of Week: 52.521000, Week Number: 0
Acceleration: X=0.396866, Y=0.066894, Z=9.808663 m/s^2 Time of Week: 52.524000, Week Number: 0
Acceleration: X=0.405928, Y=0.070855, Z=9.801430 m/s^2 Time of Week: 52.527000, Week Number: 0
Acceleration: X=0.407382, Y=0.070268, Z=9.794591 m/s^2 Time of Week: 52.530000, Week Number: 0
Acceleration: X=0.410400, Y=0.066454, Z=9.791388 m/s^2 Time of Week: 52.533000, Week Number: 0
Acceleration: X=0.410224, Y=0.069611, Z=9.791549 m/s^2 Time of Week: 52.536000, Week Number: 0
Acceleration: X=0.410914, Y=0.071311, Z=9.801454 m/s^2 Time of Week: 52.539000, Week Number: 0
Acceleration: X=0.404137, Y=0.074933, Z=9.800175 m/s^2 Time of Week: 52.542000, Week Number: 0
Acceleration: X=0.410144, Y=0.065839, Z=9.799316 m/s^2 Time of Week: 52.545000, Week Number: 0
Acceleration: X=0.400844, Y=0.065987, Z=9.790887 m/s^2 Time of Week: 52.548000, Week Number: 0
Acceleration: X=0.402093, Y=0.069433, Z=9.802293 m/s^2 Time of Week: 52.551000, Week Number: 0
Acceleration: X=0.404984, Y=0.068838, Z=9.800055 m/s^2 Time of Week: 52.554000, Week Number: 0
Acceleration: X=0.398390, Y=0.067872, Z=9.798820 m/s^2 Time of Week: 52.557000, Week Number: 0
Acceleration: X=0.399706, Y=0.063696, Z=9.797820 m/s^2 Time of Week: 52.560000, Week Number: 0
Acceleration: X=0.401972, Y=0.067114, Z=9.791095 m/s^2 Time of Week: 52.563000, Week Number: 0
Acceleration: X=0.394085, Y=0.067018, Z=9.800895 m/s^2 Time of Week: 52.566000, Week Number: 0
Acceleration: X=0.402288, Y=0.068557, Z=9.795438 m/s^2 Time of Week: 52.569000, Week Number: 0
Acceleration: X=0.398568, Y=0.073430, Z=9.798909 m/s^2 Time of Week: 52.572000, Week Number: 0
Acceleration: X=0.393818, Y=0.074838, Z=9.797167 m/s^2 Time of Week: 52.575000, Week Number: 0
Acceleration: X=0.398024, Y=0.073243, Z=9.795771 m/s^2 Time of Week: 52.578000, Week Number: 0
Acceleration: X=0.398862, Y=0.068339, Z=9.796665 m/s^2 Time of Week: 52.581000, Week Number: 0
Acceleration: X=0.402778, Y=0.077315, Z=9.803309 m/s^2 Time of Week: 52.584000, Week Number: 0
Acceleration: X=0.401924, Y=0.071698, Z=9.800861 m/s^2 Time of Week: 52.587000, Week Number: 0
Acceleration: X=0.401038, Y=0.062199, Z=9.803378 m/s^2 Time of Week: 52.590000, Week Number: 0
Acceleration: X=0.401871, Y=0.069851, Z=9.803097 m/s^2 Time of Week: 52.593000, Week Number: 0
Acceleration: X=0.405177, Y=0.065933, Z=9.800210 m/s^2 Time of Week: 52.596000, Week Number: 0
Acceleration: X=0.403644, Y=0.069952, Z=9.795718 m/s^2 Time of Week: 52.599000, Week Number: 0
Acceleration: X=0.404421, Y=0.069423, Z=9.798665 m/s^2 Time of Week: 52.602000, Week Number: 0
Acceleration: X=0.400609, Y=0.063054, Z=9.796131 m/s^2 Time of Week: 52.605000, Week Number: 0
Acceleration: X=0.394849, Y=0.070317, Z=9.802973 m/s^2 Time of Week: 52.608000, Week Number: 0
Acceleration: X=0.393830, Y=0.065190, Z=9.796689 m/s^2 Time of Week: 52.611000, Week Number: 0
Acceleration: X=0.394052, Y=0.062621, Z=9.799717 m/s^2 Time of Week: 52.614000, Week Number: 0
Acceleration: X=0.398416, Y=0.068394, Z=9.802883 m/s^2 Time of Week: 52.617000, Week Number: 0
Acceleration: X=0.396028, Y=0.071261, Z=9.797168 m/s^2 Time of Week: 52.620000, Week Number: 0
Acceleration: X=0.401414, Y=0.064987, Z=9.800547 m/s^2 Time of Week: 52.623000, Week Number: 0
Acceleration: X=0.401305, Y=0.070934, Z=9.799776 m/s^2 Time of Week: 52.626000, Week Number: 0
Acceleration: X=0.406108, Y=0.062056, Z=9.800473 m/s^2 Time of Week: 52.629000, Week Number: 0
Acceleration: X=0.400650, Y=0.067465, Z=9.791272 m/s^2 Time of Week: 52.632000, Week Number: 0
Acceleration: X=0.399183, Y=0.069079, Z=9.797156 m/s^2 Time of Week: 52.635000, Week Number: 0
Acceleration: X=0.400212, Y=0.069456, Z=9.793647 m/s^2 Time of Week: 52.638000, Week Number: 0
Acceleration: X=0.401556, Y=0.062024, Z=9.808309 m/s^2 Time of Week: 52.641000, Week Number: 0
Acceleration: X=0.404978, Y=0.068799, Z=9.804658 m/s^2 Time of Week: 52.644000, Week Number: 0
Acceleration: X=0.407093, Y=0.069882, Z=9.804352 m/s^2 Time of Week: 52.647000, Week Number: 0
Acceleration: X=0.404386, Y=0.069002, Z=9.799100 m/s^2 Time of Week: 52.650000, Week Number: 0
Acceleration: X=0.403113, Y=0.064519, Z=9.798846 m/s^2 Time of Week: 52.653000, Week Number: 0
Acceleration: X=0.401374, Y=0.073031, Z=9.803118 m/s^2 Time of Week: 52.656000, Week Number: 0
Acceleration: X=0.396700, Y=0.063707, Z=9.800742 m/s^2 Time of Week: 52.659000, Week Number: 0
Acceleration: X=0.408925, Y=0.070765, Z=9.790514 m/s^2 Time of Week: 52.662000, Week Number: 0
Acceleration: X=0.403396, Y=0.070805, Z=9.788764 m/s^2 Time of Week: 52.665000, Week Number: 0
Acceleration: X=0.399718, Y=0.060581, Z=9.791341 m/s^2 Time of Week: 52.668000, Week Number: 0
Acceleration: X=0.396149, Y=0.067280, Z=9.792424 m/s^2 Time of Week: 52.671000, Week Number: 0
Acceleration: X=0.395478, Y=0.064063, Z=9.805019 m/s^2 Time of Week: 52.674000, Week Number: 0
Acceleration: X=0.398274, Y=0.064611, Z=9.806291 m/s^2 Time of Week: 52.677000, Week Number: 0
Acceleration: X=0.403116, Y=0.063994, Z=9.803557 m/s^2 Time of Week: 52.680000, Week Number: 0
Acceleration: X=0.399132, Y=0.063453, Z=9.796733 m/s^2 Time of Week: 52.683000, Week Number: 0
Acceleration: X=0.406530, Y=0.063822, Z=9.802969 m/s^2 Time of Week: 52.686000, Week Number: 0
Acceleration: X=0.399042, Y=0.069727, Z=9.808918 m/s^2 Time of Week: 52.689000, Week Number: 0
Acceleration: X=0.404904, Y=0.073046, Z=9.805835 m/s^2 Time of Week: 52.692000, Week Number: 0
Acceleration: X=0.399588, Y=0.071791, Z=9.806189 m/s^2 Time of Week: 52.695000, Week Number: 0
Acceleration: X=0.400065, Y=0.062928, Z=9.798615 m/s^2 Time of Week: 52.698000, Week Number: 0
Acceleration: X=0.395858, Y=0.066191, Z=9.798859 m/s^2 Time of Week: 52.701000, Week Number: 0
Acceleration: X=0.401560, Y=0.072627, Z=9.795645 m/s^2 Time of Week: 52.704000, Week Number: 0
Acceleration: X=0.398707, Y=0.071198, Z=9.796745 m/s^2 Time of Week: 52.707000, Week Number: 0
Acceleration: X=0.403502, Y=0.068366, Z=9.805702 m/s^2 Time of Week: 52.710000, Week Number: 0
Acceleration: X=0.402514, Y=0.077412, Z=9.807114 m/s^2 Time of Week: 52.713000, Week Number: 0
Acceleration: X=0.398981, Y=0.075411, Z=9.804432 m/s^2 Time of Week: 52.716000, Week Number: 0
Acceleration: X=0.404069, Y=0.074878, Z=9.803242 m/s^2 Time of Week: 52.719000, Week Number: 0
Acceleration: X=0.401766, Y=0.067485, Z=9.803629 m/s^2 Time of Week: 52.722000, Week Number: 0
Acceleration: X=0.403216, Y=0.060895, Z=9.801439 m/s^2 Time of Week: 52.725000, Week Number: 0
Acceleration: X=0.410576, Y=0.067227, Z=9.796787 m/s^2 Time of Week: 52.728000, Week Number: 0
Acceleration: X=0.402934, Y=0.070763, Z=9.794882 m/s^2 Time of Week: 52.731000, Week Number: 0
Acceleration: X=0.399278, Y=0.070746, Z=9.789440 m/s^2 Time of Week: 52.734000, Week Number: 0
Acceleration: X=0.400980, Y=0.065069, Z=9.791593 m/s^2 Time of Week: 52.737000, Week Number: 0
Acceleration: X=0.397394, Y=0.073453, Z=9.796120 m/s^2 Time of Week: 52.740000, Week Number: 0
Acceleration: X=0.394091, Y=0.065993, Z=9.798445 m/s^2 Time of Week: 52.743000, Week Number: 0
Acceleration: X=0.397771, Y=0.064114, Z=9.795173 m/s^2 Time of Week: 52.746000, Week Number: 0
Acceleration: X=0.392513, Y=0.075343, Z=9.795955 m/s^2 Time of Week: 52.749000, Week Number: 0
Acceleration: X=0.393520, Y=0.065337, Z=9.795649 m/s^2 Time of Week: 52.752000, Week Number: 0
Acceleration: X=0.397233, Y=0.067094, Z=9.799342 m/s^2 Time of Week: 52.755000, Week Number: 0
Acceleration: X=0.392023, Y=0.068273, Z=9.802157 m/s^2 Time of Week: 52.758000, Week Number: 0
Acceleration: X=0.400120, Y=0.068032, Z=9.795854 m/s^2 Time of Week: 52.761000, Week Number: 0
Acceleration: X=0.400363, Y=0.068411, Z=9.802510 m/s^2 Time of Week: 52.764000, Week Number: 0
Acceleration: X=0.398276, Y=0.067027, Z=9.802344 m/s^2 Time of Week: 52.767000, Week Number: 0
Acceleration: X=0.401318, Y=0.065007, Z=9.789671 m/s^2 Time of Week: 52.770000, Week Number: 0
Acceleration: X=0.402074, Y=0.068627, Z=9.796718 m/s^2 Time of Week: 52.773000, Week Number: 0
Acceleration: X=0.404721, Y=0.066165, Z=9.798995 m/s^2 Time of Week: 52.776000, Week Number: 0
Acceleration: X=0.399554, Y=0.067125, Z=9.801907 m/s^2 Time of Week: 52.779000, Week Number: 0
Acceleration: X=0.402231, Y=0.066476, Z=9.794327 m/s^2 Time of Week: 52.782000, Week Number: 0
Acceleration: X=0.394474, Y=0.074228, Z=9.799410 m/s^2 Time of Week: 52.785000, Week Number: 0
Acceleration: X=0.395903, Y=0.069169, Z=9.798488 m/s^2 Time of Week: 52.788000, Week Number: 0
Acceleration: X=0.397073, Y=0.071477, Z=9.799320 m/s^2 Time of Week: 52.791000, Week Number: 0
Acceleration: X=0.394604, Y=0.067695, Z=9.801500 m/s^2 Time of Week: 52.794000, Week Number: 0
Acceleration: X=0.393127, Y=0.059715, Z=9.798148 m/s^2 Time of Week: 52.797000, Week Number: 0
Acceleration: X=0.400663, Y=0.066297, Z=9.791485 m/s^2 Time of Week: 52.800000, Week Number: 0
Acceleration: X=0.406241, Y=0.067983, Z=9.794737 m/s^2 Time of Week: 52.803000, Week Number: 0
