
#################################################################
Log started at 2025-06-12_16-19-12 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 136e, Got: 9495
Checksum failed. Expected: 4b0e, Got: 9835
Checksum failed. Expected: fb0d, Got: 16b0
Checksum failed. Expected: 2741, Got: 1c68
Checksum failed. Expected: 79bf, Got: 1dc3
Checksum failed. Expected: 2291, Got: a315
Checksum failed. Expected: 4575, Got: 0f51
Checksum failed. Expected: 16c3, Got: 4d45
Checksum failed. Expected: 8bbc, Got: a83a
Checksum failed. Expected: 72de, Got: ab25
Checksum failed. Expected: 0376, Got: 9faa
Checksum failed. Expected: d0e9, Got: a52a
Checksum failed. Expected: 6eb4, Got: ac3a
Checksum failed. Expected: 288d, Got: 20c5
Checksum failed. Expected: 8708, Got: 1eb3
Checksum failed. Expected: 67bd, Got: 2c2d
Checksum failed. Expected: b145, Got: a8f2
Checksum failed. Expected: 569b, Got: 2393
Checksum failed. Expected: aa4a, Got: 30b5
Checksum failed. Expected: d5ae, Got: 3254
Checksum failed. Expected: 2db7, Got: 2fd6
Checksum failed. Expected: 1dd5, Got: 26f3
Checksum failed. Expected: 33f5, Got: a669
Checksum failed. Expected: 1033, Got: d85d
Checksum failed. Expected: f331, Got: 35f9
Checksum failed. Expected: eecc, Got: d7ea
Checksum failed. Expected: 6542, Got: 9d02
Checksum failed. Expected: 42af, Got: 21e1
Checksum failed. Expected: ae9c, Got: b5bc
Checksum failed. Expected: 416d, Got: 3044
Checksum failed. Expected: ad3e, Got: 2545
Checksum failed. Expected: 94f4, Got: 50ad
Checksum failed. Expected: b8f7, Got: d0d8
Checksum failed. Expected: 3fc9, Got: 280d
Checksum failed. Expected: 6d97, Got: 21aa
Checksum failed. Expected: ecb8, Got: 2204
Checksum failed. Expected: 485d, Got: a161
Checksum failed. Expected: e985, Got: 1aee
Checksum failed. Expected: fb47, Got: 9996
Checksum failed. Expected: 3735, Got: 1100
Checksum failed. Expected: 2c1d, Got: 9125
Checksum failed. Expected: 20fe, Got: 901a
Checksum failed. Expected: 32ce, Got: 0f62
Checksum failed. Expected: 47db, Got: 8f21
Checksum failed. Expected: 59fc, Got: 91cd
Checksum failed. Expected: 444e, Got: 4226
Checksum failed. Expected: 2300, Got: c5ba
Checksum failed. Expected: daf0, Got: 88c2
Checksum failed. Expected: dbaa, Got: 8404
Checksum failed. Expected: e143, Got: 4210
Checksum failed. Expected: 45ec, Got: 4386
Checksum failed. Expected: 0a90, Got: c7a7
Checksum failed. Expected: 8d0a, Got: 1188
Checksum failed. Expected: 214c, Got: 02e8
Checksum failed. Expected: d467, Got: bfb9
Checksum failed. Expected: 0e31, Got: 04bd
Checksum failed. Expected: 9324, Got: c87a
Checksum failed. Expected: 481b, Got: c569
Checksum failed. Expected: fab5, Got: 03fb
Checksum failed. Expected: 9a38, Got: 0333
Checksum failed. Expected: a0fd, Got: 4971
Checksum failed. Expected: 68c3, Got: 98a5
Checksum failed. Expected: a75a, Got: a343
Checksum failed. Expected: 86d4, Got: 9184
Checksum failed. Expected: 18c0, Got: 10a3
Checksum failed. Expected: 5944, Got: 8ff0
Checksum failed. Expected: 5a04, Got: 4b11
Checksum failed. Expected: 9e3e, Got: 4f73
Checksum failed. Expected: 13e0, Got: 8cf2
Checksum failed. Expected: 5100, Got: 487f
Checksum failed. Expected: 07fd, Got: c889
Checksum failed. Expected: f8aa, Got: 0a5c
Checksum failed. Expected: 01b6, Got: 4c4f
Checksum failed. Expected: c540, Got: 0f5f
Checksum failed. Expected: a357, Got: 1493
Checksum failed. Expected: 5448, Got: d31d
Checksum failed. Expected: 4482, Got: 8de0
Checksum failed. Expected: b404, Got: 8d5a
