
#################################################################
Log started at 2025-06-13_14-53-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 291e, Got: 9575
Checksum failed. Expected: d906, Got: cd75
Checksum failed. Expected: 8f8b, Got: 9c75
Checksum failed. Expected: 9523, Got: 2e75
Checksum failed. Expected: 9b80, Got: 8575
Checksum failed. Expected: 69a1, Got: d875
Checksum failed. Expected: b904, Got: eb75
Checksum failed. Expected: 5128, Got: 7775
Checksum failed. Expected: d1dc, Got: ab75
Checksum failed. Expected: 25ce, Got: 4975
Checksum failed. Expected: ede9, Got: 9c75
Checksum failed. Expected: f3de, Got: 8b75
Checksum failed. Expected: 873b, Got: 5475
Checksum failed. Expected: 23d4, Got: 5175
Checksum failed. Expected: 1d0c, Got: 8f75
Checksum failed. Expected: b763, Got: 4c75
Checksum failed. Expected: 4d48, Got: 9b75
Checksum failed. Expected: 653e, Got: 7975
Checksum failed. Expected: eb2e, Got: e375
Checksum failed. Expected: 2785, Got: fe75
Checksum failed. Expected: d942, Got: 0975
Checksum failed. Expected: 85ab, Got: c675
Checksum failed. Expected: 196b, Got: f275
Checksum failed. Expected: 1fa4, Got: 2575
Checksum failed. Expected: 31c0, Got: 2f75
Checksum failed. Expected: 2740, Got: b975
Checksum failed. Expected: d97c, Got: 4375
Checksum failed. Expected: 6df0, Got: 2375
Checksum failed. Expected: af9a, Got: 8b75
Checksum failed. Expected: 3f94, Got: f575
Checksum failed. Expected: 2353, Got: d075
Checksum failed. Expected: 03e2, Got: 7f75
Checksum failed. Expected: 8125, Got: 4475
Checksum failed. Expected: 4775, Got: ce75
Checksum failed. Expected: bb24, Got: 0975
Checksum failed. Expected: e7bc, Got: 7575
Checksum failed. Expected: f9e5, Got: 8c75
Checksum failed. Expected: 7917, Got: 3e75
Checksum failed. Expected: 952e, Got: 3975
Checksum failed. Expected: 7591, Got: bc75
Checksum failed. Expected: 7916, Got: 3d75
Checksum failed. Expected: 7188, Got: b775
Checksum failed. Expected: c3d7, Got: b475
Checksum failed. Expected: f9b7, Got: 5e75
Checksum failed. Expected: 2ff7, Got: 6875
Checksum failed. Expected: 1be7, Got: 6c75
Checksum failed. Expected: e51a, Got: d575
Checksum failed. Expected: 5557, Got: a275
Checksum failed. Expected: 27be, Got: 3775
Checksum failed. Expected: afea, Got: db75
Checksum failed. Expected: 7dad, Got: d075
Checksum failed. Expected: fd4e, Got: f175
Checksum failed. Expected: b1d3, Got: c275
Checksum failed. Expected: bfca, Got: ab75
Checksum failed. Expected: 8bd2, Got: e775
Checksum failed. Expected: 83ba, Got: d775
Checksum failed. Expected: d725, Got: ee75
Checksum failed. Expected: a505, Got: 0075
Checksum failed. Expected: 6dc0, Got: f375
Checksum failed. Expected: 5326, Got: 7375
Checksum failed. Expected: c50a, Got: e575
Checksum failed. Expected: ad92, Got: 8575
Checksum failed. Expected: 456b, Got: c675
Checksum failed. Expected: 8d26, Got: 3975
Checksum failed. Expected: 29ec, Got: 6375
Checksum failed. Expected: 4f31, Got: 8275
Checksum failed. Expected: 2392, Got: 0f75
Checksum failed. Expected: a1de, Got: dd75
Checksum failed. Expected: cfb8, Got: 8975
Checksum failed. Expected: 756a, Got: 9575
Checksum failed. Expected: af05, Got: f675
Checksum failed. Expected: a52a, Got: 2575
Checksum failed. Expected: e9c1, Got: 7875
Checksum failed. Expected: e7d1, Got: 8a75
Checksum failed. Expected: 877c, Got: 9575
Checksum failed. Expected: 7580, Got: ab75
Checksum failed. Expected: fdba, Got: 5d75
Checksum failed. Expected: fd3b, Got: de75
Checksum failed. Expected: 7fc3, Got: e475
Checksum failed. Expected: 11a3, Got: 3275
Checksum failed. Expected: 130e, Got: 9b75
Checksum failed. Expected: 0fd5, Got: 6675
Checksum failed. Expected: ab96, Got: 8b75
Checksum failed. Expected: df50, Got: 1175
Checksum failed. Expected: 55f8, Got: 4375
Checksum failed. Expected: 71d9, Got: 0875
Checksum failed. Expected: 4968, Got: bf75
Checksum failed. Expected: fdcf, Got: 7275
Checksum failed. Expected: dda9, Got: 6c75
Checksum failed. Expected: bd29, Got: 0c75
Checksum failed. Expected: 4767, Got: c075
Checksum failed. Expected: ad62, Got: 5575
Checksum failed. Expected: 1b3f, Got: c475
Checksum failed. Expected: a3bb, Got: b875
Checksum failed. Expected: 2536, Got: b175
Checksum failed. Expected: 1103, Got: 9275
Checksum failed. Expected: f1f0, Got: 9f75
Checksum failed. Expected: c925, Got: fc75
Checksum failed. Expected: 338a, Got: f775
Checksum failed. Expected: bbe2, Got: c775
Checksum failed. Expected: 795a, Got: 8175
Checksum failed. Expected: 1351, Got: de75
Checksum failed. Expected: 731a, Got: 4775
Checksum failed. Expected: 3bf6, Got: 5b75
Checksum failed. Expected: 81d3, Got: f275
Checksum failed. Expected: 3df6, Got: 5975
Checksum failed. Expected: 7ba1, Got: c675
Checksum failed. Expected: c382, Got: 5f75
Checksum failed. Expected: a955, Got: 4c75
Checksum failed. Expected: bf81, Got: 6275
Checksum failed. Expected: d37f, Got: 4c75
Checksum failed. Expected: 214f, Got: ce75
Checksum failed. Expected: e96f, Got: 2675
Checksum failed. Expected: 9d2f, Got: 3275
Checksum failed. Expected: 3703, Got: 6c75
Checksum failed. Expected: cba2, Got: 7775
Checksum failed. Expected: 99e1, Got: e875
Checksum failed. Expected: 1dc6, Got: 4975
Checksum failed. Expected: b5c7, Got: b275
