
#################################################################
Log started at 2025-06-13_14-56-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: f7da, Got: 04bc
Checksum failed. Expected: 888d, Got: 04bc
Checksum failed. Expected: e82c, Got: 04bc
Checksum failed. Expected: 63fe, Got: 04bc
Checksum failed. Expected: 9fb8, Got: 04bc
Checksum failed. Expected: c049, Got: 04bc
Checksum failed. Expected: ad8f, Got: 04bc
Checksum failed. Expected: 1f93, Got: 04bc
Checksum failed. Expected: 24b7, Got: 04bc
Checksum failed. Expected: 763f, Got: 04bc
Checksum failed. Expected: a3be, Got: 04bc
Checksum failed. Expected: cabf, Got: 04bc
Checksum failed. Expected: c4f6, Got: 04bc
Checksum failed. Expected: 02ae, Got: 04bc
Checksum failed. Expected: b980, Got: 04bc
Checksum failed. Expected: 6455, Got: 04bc
Checksum failed. Expected: 60cf, Got: 04bc
Checksum failed. Expected: 4112, Got: 04bc
Checksum failed. Expected: 1874, Got: 04bc
Checksum failed. Expected: 45d3, Got: 04bc
Checksum failed. Expected: 3774, Got: 04bc
Checksum failed. Expected: a447, Got: 04bc
Checksum failed. Expected: 1330, Got: 04bc
Checksum failed. Expected: f8b8, Got: 04bc
Checksum failed. Expected: 274e, Got: 04bc
Checksum failed. Expected: 2eaf, Got: 04bc
Checksum failed. Expected: 3b81, Got: 04bc
Checksum failed. Expected: cc2d, Got: 04bc
Checksum failed. Expected: ac6f, Got: 04bc
Checksum failed. Expected: 5ec8, Got: 04bc
Checksum failed. Expected: 26eb, Got: 04bc
Checksum failed. Expected: 2265, Got: 04bc
Checksum failed. Expected: 13f8, Got: 04bc
Checksum failed. Expected: d8e2, Got: 04bc
Checksum failed. Expected: 0efa, Got: 04bc
Checksum failed. Expected: 1dfe, Got: 04bc
Checksum failed. Expected: dfca, Got: 04bc
Checksum failed. Expected: d287, Got: 04bc
Checksum failed. Expected: 9893, Got: 04bc
Checksum failed. Expected: e49d, Got: 04bc
Checksum failed. Expected: 607b, Got: 04bc
Checksum failed. Expected: 194e, Got: 04bc
Checksum failed. Expected: 7b34, Got: 04bc
Checksum failed. Expected: 18f7, Got: 04bc
Checksum failed. Expected: af28, Got: 04bc
Checksum failed. Expected: 2d3d, Got: 04bc
Checksum failed. Expected: 7c73, Got: 04bc
Checksum failed. Expected: b6f6, Got: 04bc
Checksum failed. Expected: 70f1, Got: 04bc
Checksum failed. Expected: be33, Got: 04bc
Checksum failed. Expected: c7d2, Got: 04bc
Checksum failed. Expected: c9bb, Got: 04bc
Checksum failed. Expected: c40d, Got: 04bc
Checksum failed. Expected: 93d6, Got: 04bc
Checksum failed. Expected: 41d1, Got: 04bc
Checksum failed. Expected: ea51, Got: 04bc
Checksum failed. Expected: 5d7f, Got: 04bc
Checksum failed. Expected: 6b6e, Got: 04bc
Checksum failed. Expected: 546d, Got: 04bc
Checksum failed. Expected: 99e4, Got: 04bc
Checksum failed. Expected: e5ee, Got: 04bc
Checksum failed. Expected: 5291, Got: 04bc
Checksum failed. Expected: 9e73, Got: 04bc
Checksum failed. Expected: cadd, Got: 04bc
Checksum failed. Expected: a6c5, Got: 04bc
Checksum failed. Expected: a253, Got: 04bc
Checksum failed. Expected: 9b8e, Got: 04bc
Checksum failed. Expected: 93a5, Got: 04bc
Checksum failed. Expected: 8eea, Got: 04bc
Checksum failed. Expected: 5720, Got: 04bc
Checksum failed. Expected: 374e, Got: 04bc
Checksum failed. Expected: 63c6, Got: 04bc
Checksum failed. Expected: ac96, Got: 04bc
Checksum failed. Expected: ccf1, Got: 04bc
Checksum failed. Expected: 3f2e, Got: 04bc
Checksum failed. Expected: 3a86, Got: 04bc
Checksum failed. Expected: 130c, Got: 04bc
Checksum failed. Expected: b1d0, Got: 04bc
Checksum failed. Expected: b07a, Got: 04bc
