
#################################################################
Log started at 2025-06-13_16-08-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 26c3, Got: 0942
Checksum failed. Expected: f455, Got: 0942
Checksum failed. Expected: 72db, Got: 0942
Checksum failed. Expected: 2b39, Got: 0942
Checksum failed. Expected: 28e5, Got: 0942
Checksum failed. Expected: 2047, Got: 0942
Checksum failed. Expected: 5bc5, Got: 0942
Checksum failed. Expected: 0304, Got: 0942
Checksum failed. Expected: 4b32, Got: 0942
Checksum failed. Expected: ce1b, Got: 0942
Checksum failed. Expected: e449, Got: 0942
Checksum failed. Expected: eb95, Got: 0942
Checksum failed. Expected: 8b68, Got: 0942
Checksum failed. Expected: ae53, Got: 0942
Checksum failed. Expected: a9d1, Got: 0942
Checksum failed. Expected: 3882, Got: 0942
Checksum failed. Expected: f50b, Got: 0942
Checksum failed. Expected: 0a29, Got: 0942
Checksum failed. Expected: 1f38, Got: 0942
Checksum failed. Expected: 4121, Got: 0942
Checksum failed. Expected: b0f3, Got: 0942
Checksum failed. Expected: e731, Got: 0942
Checksum failed. Expected: 8c42, Got: 0942
Checksum failed. Expected: df1c, Got: 0942
Checksum failed. Expected: 6fd7, Got: 0942
Checksum failed. Expected: 3fa5, Got: 0942
Checksum failed. Expected: f4d1, Got: 0942
Checksum failed. Expected: 08f3, Got: 0942
Checksum failed. Expected: b591, Got: 0942
Checksum failed. Expected: bdc3, Got: 0942
Checksum failed. Expected: a2b9, Got: 0942
Checksum failed. Expected: 0287, Got: 0942
Checksum failed. Expected: 2695, Got: 0942
Checksum failed. Expected: ede1, Got: 0942
Checksum failed. Expected: f314, Got: 0942
Checksum failed. Expected: 9f8f, Got: 0942
Checksum failed. Expected: f494, Got: 0942
Checksum failed. Expected: 2cb7, Got: 0942
Checksum failed. Expected: 3a65, Got: 0942
Checksum failed. Expected: 7c44, Got: 0942
Checksum failed. Expected: ed0f, Got: 0942
Checksum failed. Expected: 178b, Got: 0942
Checksum failed. Expected: abad, Got: 0942
Checksum failed. Expected: 51ce, Got: 0942
Checksum failed. Expected: da17, Got: 0942
Checksum failed. Expected: b476, Got: 0942
Checksum failed. Expected: 0651, Got: 0942
Checksum failed. Expected: 550f, Got: 0942
Checksum failed. Expected: bb4b, Got: 0942
Checksum failed. Expected: f7ed, Got: 0942
Checksum failed. Expected: 0f1f, Got: 0942
Checksum failed. Expected: 7965, Got: 0942
Checksum failed. Expected: 1b53, Got: 0942
Checksum failed. Expected: 6901, Got: 0942
Checksum failed. Expected: 758f, Got: 0942
Checksum failed. Expected: 4efb, Got: 0942
Checksum failed. Expected: eb9e, Got: 0942
Checksum failed. Expected: 26fc, Got: 0942
Checksum failed. Expected: 9d25, Got: 0942
Checksum failed. Expected: 7793, Got: 0942
Checksum failed. Expected: c211, Got: 0942
Checksum failed. Expected: a610, Got: 0942
Checksum failed. Expected: ad3b, Got: 0942
Checksum failed. Expected: 3377, Got: 0942
Checksum failed. Expected: 7cdc, Got: 0942
Checksum failed. Expected: da75, Got: 0942
Checksum failed. Expected: 9c63, Got: 0942
Checksum failed. Expected: 8392, Got: 0942
Checksum failed. Expected: 5ded, Got: 0942
Checksum failed. Expected: aecb, Got: 0942
Checksum failed. Expected: 0627, Got: 0942
Checksum failed. Expected: 16fc, Got: 0942
Checksum failed. Expected: 2046, Got: 0942
Checksum failed. Expected: 1ee1, Got: 0942
Checksum failed. Expected: 073f, Got: 0942
Checksum failed. Expected: 5f8d, Got: 0942
Checksum failed. Expected: e5bb, Got: 0942
Checksum failed. Expected: 8790, Got: 0942
Checksum failed. Expected: 1c82, Got: 0942
Checksum failed. Expected: c6f1, Got: 0942
Checksum failed. Expected: 9e3f, Got: 0942
Checksum failed. Expected: f24d, Got: 0942
Checksum failed. Expected: 50fb, Got: 0942
Checksum failed. Expected: cfaa, Got: 0942
Checksum failed. Expected: f288, Got: 0942
Checksum failed. Expected: a79f, Got: 0942
Checksum failed. Expected: 7891, Got: 0942
Checksum failed. Expected: 1a7f, Got: 0942
Checksum failed. Expected: ea3e, Got: 0942
Checksum failed. Expected: 9f49, Got: 0942
Checksum failed. Expected: a357, Got: 0942
Checksum failed. Expected: 1ca8, Got: 0942
Checksum failed. Expected: e60f, Got: 0942
Checksum failed. Expected: b1a1, Got: 0942
Checksum failed. Expected: 3160, Got: 0942
Checksum failed. Expected: 7ccb, Got: 0942
Checksum failed. Expected: d0d9, Got: 0942
Checksum failed. Expected: 62c7, Got: 0942
Checksum failed. Expected: 0d38, Got: 0942
Checksum failed. Expected: 7cd2, Got: 0942
Checksum failed. Expected: 4fcb, Got: 0942
Checksum failed. Expected: 8e9d, Got: 0942
Checksum failed. Expected: 4d5b, Got: 0942
Checksum failed. Expected: 7059, Got: 0942
Checksum failed. Expected: 5687, Got: 0942
Checksum failed. Expected: a529, Got: 0942
Checksum failed. Expected: 7a1f, Got: 0942
Checksum failed. Expected: 338b, Got: 0942
Checksum failed. Expected: d25d, Got: 0942
Checksum failed. Expected: 044b, Got: 0942
Checksum failed. Expected: 962a, Got: 0942
Checksum failed. Expected: e195, Got: 0942
Checksum failed. Expected: 5266, Got: 0942
Checksum failed. Expected: 443f, Got: 0942
Checksum failed. Expected: 82fb, Got: 0942
Checksum failed. Expected: 294d, Got: 0942
Checksum failed. Expected: 0d4c, Got: 0942
