
#################################################################
Log started at 2025-06-12_16-19-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 11a4, Got: 8c3a
Checksum failed. Expected: d2cb, Got: 8959
Checksum failed. Expected: 3cb5, Got: 871c
Checksum failed. Expected: deed, Got: 06e5
Checksum failed. Expected: 6e34, Got: 898e
Checksum failed. Expected: 8464, Got: 94c7
Checksum failed. Expected: 6135, Got: 0e88
Checksum failed. Expected: 45df, Got: 8723
Checksum failed. Expected: 49de, Got: fc47
Checksum failed. Expected: 97a0, Got: 0238
Checksum failed. Expected: 36d7, Got: 8ebc
Checksum failed. Expected: 02d2, Got: 0e7f
Checksum failed. Expected: 9e40, Got: 8c9c
Checksum failed. Expected: 552c, Got: 906a
Checksum failed. Expected: 95e2, Got: 01ef
Checksum failed. Expected: 8769, Got: 4608
Checksum failed. Expected: f2ab, Got: 9522
Checksum failed. Expected: 9311, Got: 1790
Checksum failed. Expected: a86f, Got: 17af
Checksum failed. Expected: 3b92, Got: 931f
Checksum failed. Expected: b6b3, Got: 14d2
Checksum failed. Expected: 5beb, Got: 1239
Checksum failed. Expected: fca8, Got: 9682
Checksum failed. Expected: 3af0, Got: 1a81
Checksum failed. Expected: 41ab, Got: 1a18
Checksum failed. Expected: 49a5, Got: a382
Checksum failed. Expected: c880, Got: a3db
Checksum failed. Expected: 9acd, Got: 8bbc
Checksum failed. Expected: f462, Got: 09c0
Checksum failed. Expected: 1f07, Got: 915f
Checksum failed. Expected: ad4c, Got: 9b40
Checksum failed. Expected: 7b93, Got: 253a
Checksum failed. Expected: 74ff, Got: 9c2a
Checksum failed. Expected: cb6b, Got: 9c4d
Checksum failed. Expected: 283c, Got: 9815
Checksum failed. Expected: 863e, Got: 10b3
Checksum failed. Expected: be83, Got: 9157
Checksum failed. Expected: d85e, Got: 98aa
Checksum failed. Expected: b577, Got: 16a8
Checksum failed. Expected: 6b49, Got: 9902
Checksum failed. Expected: 6c2d, Got: 118b
Checksum failed. Expected: 7a03, Got: 1416
Checksum failed. Expected: 2bb5, Got: 9053
Checksum failed. Expected: bea2, Got: 874a
Checksum failed. Expected: db61, Got: 040e
Checksum failed. Expected: cc20, Got: 073a
Checksum failed. Expected: 7c85, Got: 9013
Checksum failed. Expected: 0476, Got: 89ed
Checksum failed. Expected: e0da, Got: 8d11
Checksum failed. Expected: 1d64, Got: 09b9
Checksum failed. Expected: 0fb2, Got: 0a4d
Checksum failed. Expected: 0921, Got: 8acc
Checksum failed. Expected: 1b47, Got: 0cb6
Checksum failed. Expected: a1e5, Got: 9072
Checksum failed. Expected: 082b, Got: 86cc
Checksum failed. Expected: fca3, Got: 0a6b
Checksum failed. Expected: ea71, Got: 0b98
Checksum failed. Expected: 8108, Got: 0c81
Checksum failed. Expected: 0a6e, Got: 89a2
Checksum failed. Expected: 4e86, Got: 096e
Checksum failed. Expected: 0bb6, Got: 888a
Checksum failed. Expected: 63b3, Got: 0db5
Checksum failed. Expected: 4d29, Got: 065c
Checksum failed. Expected: faae, Got: 094e
Checksum failed. Expected: 7864, Got: 178b
Checksum failed. Expected: 89de, Got: 2018
Checksum failed. Expected: 58a0, Got: a188
Checksum failed. Expected: d260, Got: 9602
Checksum failed. Expected: ea43, Got: 91e0
Checksum failed. Expected: 1532, Got: 9489
Checksum failed. Expected: 4342, Got: 11ec
Checksum failed. Expected: f12c, Got: 1525
Checksum failed. Expected: 18c5, Got: 1642
Checksum failed. Expected: 2015, Got: 186a
Checksum failed. Expected: bb8d, Got: 93b2
Checksum failed. Expected: f5c7, Got: 1503
Checksum failed. Expected: 2f3f, Got: 124f
Checksum failed. Expected: eabf, Got: 1ce8
Checksum failed. Expected: cd9c, Got: 9f8f
Checksum failed. Expected: a17a, Got: 1dee
Checksum failed. Expected: 0bcb, Got: 0d01
Checksum failed. Expected: 7dc1, Got: 12c8
Checksum failed. Expected: ddc2, Got: 8f46
Checksum failed. Expected: 34eb, Got: 9649
Checksum failed. Expected: d463, Got: 9b78
Checksum failed. Expected: 5a3c, Got: 9726
Checksum failed. Expected: 6a44, Got: 931d
Checksum failed. Expected: c5bd, Got: 9674
Checksum failed. Expected: ee8a, Got: 9645
Checksum failed. Expected: 7cda, Got: 91ab
Checksum failed. Expected: 2f93, Got: 9223
Checksum failed. Expected: 30f7, Got: 8fcb
Checksum failed. Expected: 80ef, Got: 112f
Checksum failed. Expected: 65db, Got: 967e
Checksum failed. Expected: aa33, Got: 0f84
Checksum failed. Expected: a1c9, Got: 0c63
Checksum failed. Expected: 89bc, Got: 1189
Checksum failed. Expected: c44c, Got: 8e2b
Checksum failed. Expected: e6a0, Got: 05f3
Checksum failed. Expected: 7930, Got: 10b6
Checksum failed. Expected: 43fc, Got: 9ade
Checksum failed. Expected: b5f7, Got: 247d
Checksum failed. Expected: 7449, Got: a44c
Checksum failed. Expected: 5d87, Got: 971b
Checksum failed. Expected: ac64, Got: 8fb0
Checksum failed. Expected: 13a7, Got: 4924
Checksum failed. Expected: 4a27, Got: 9684
Checksum failed. Expected: a0dc, Got: 1761
Checksum failed. Expected: 7c53, Got: 9222
Checksum failed. Expected: 8154, Got: 8d91
Checksum failed. Expected: 4bd3, Got: 0b71
Checksum failed. Expected: f88a, Got: 19c5
Checksum failed. Expected: ba4b, Got: 91c8
Checksum failed. Expected: e377, Got: 11fd
Checksum failed. Expected: 1089, Got: 93e3
Checksum failed. Expected: 865a, Got: 8a82
Checksum failed. Expected: b3db, Got: 0e6f
Checksum failed. Expected: 9516, Got: 0d36
Checksum failed. Expected: a226, Got: 0f9e
Checksum failed. Expected: 20df, Got: 8704
Checksum failed. Expected: 5180, Got: 03ba
Checksum failed. Expected: 5661, Got: 0fc0
Checksum failed. Expected: e6ed, Got: 8dfa
Checksum failed. Expected: 4e13, Got: 1481
Checksum failed. Expected: 785e, Got: 0baf
Checksum failed. Expected: ee67, Got: 945a
Checksum failed. Expected: 0c51, Got: 8ae8
Checksum failed. Expected: e3e7, Got: 0c38
Checksum failed. Expected: 379d, Got: 9132
Checksum failed. Expected: 0592, Got: 1c92
Checksum failed. Expected: e066, Got: 14d7
Checksum failed. Expected: 8fce, Got: 92ea
Checksum failed. Expected: 6e2e, Got: 1a34
Checksum failed. Expected: e1e0, Got: 993d
Checksum failed. Expected: a6cf, Got: 9086
Checksum failed. Expected: c270, Got: 13ec
Checksum failed. Expected: d801, Got: 1bab
Checksum failed. Expected: 60d1, Got: 1c7d
Checksum failed. Expected: 3b7e, Got: a22e
Checksum failed. Expected: 6b03, Got: a46f
Checksum failed. Expected: 4aa6, Got: a5d9
Checksum failed. Expected: 2bd8, Got: 229d
Checksum failed. Expected: ceb7, Got: 22dd
Checksum failed. Expected: a416, Got: a21b
Checksum failed. Expected: 363b, Got: 9f8c
Checksum failed. Expected: 4df9, Got: a137
Checksum failed. Expected: 4913, Got: 9aab
Checksum failed. Expected: 6e25, Got: 19c1
Checksum failed. Expected: cf78, Got: 1238
Checksum failed. Expected: f81c, Got: 0fe3
Checksum failed. Expected: 557a, Got: 8880
Checksum failed. Expected: 336d, Got: 012d
Checksum failed. Expected: 6b46, Got: 0927
Checksum failed. Expected: 77f2, Got: 9521
Checksum failed. Expected: 7eb4, Got: 13fb
Checksum failed. Expected: cfb9, Got: 93bc
Checksum failed. Expected: d4ec, Got: 10a7
Checksum failed. Expected: 0e9e, Got: 85b0
Checksum failed. Expected: 5517, Got: fc0a
Checksum failed. Expected: eead, Got: 7dd0
Checksum failed. Expected: c747, Got: 8da1
Checksum failed. Expected: 9c70, Got: 9887
Checksum failed. Expected: 91fc, Got: 96e8
Checksum failed. Expected: 520c, Got: 9461
Checksum failed. Expected: d29f, Got: 8a91
Checksum failed. Expected: 2292, Got: 85a0
Checksum failed. Expected: 10bf, Got: 8350
Checksum failed. Expected: 48f3, Got: 0838
Checksum failed. Expected: d207, Got: 94f9
Checksum failed. Expected: 9e29, Got: 0769
Checksum failed. Expected: a45f, Got: 80b4
Checksum failed. Expected: 80c2, Got: 7564
Checksum failed. Expected: c0dc, Got: 02b9
Checksum failed. Expected: e4ad, Got: 112c
Checksum failed. Expected: 7dc5, Got: 8a54
Checksum failed. Expected: 982c, Got: 915f
